timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-24T10:59:38+00:00,1,2000558140,10,0,10,0,5,0,5,0
2026-08-24T11:00:38+00:00,1,1955676356,4835,14,1193,0,1196,0,1196,0
2026-08-24T11:01:38+00:00,1,1932562800,10549,100,10597,100,10592,0,10352,0
2026-08-24T11:02:38+00:00,1,1922243180,19929,0,20411,0,20406,0,19926,0
2026-08-24T11:03:39+00:00,1,1910370860,18949,2,19113,0,19310,2,18532,0
2026-08-24T11:04:39+00:00,1,1893989908,19409,3,22911,0,21721,1,22723,49
2026-08-24T11:05:39+00:00,1,1894330428,22819,44,23107,3,23202,84,21810,0
2026-08-24T11:06:39+00:00,1,1892017616,21613,3,21503,79,21724,8,20420,2
2026-08-24T11:07:39+00:00,1,1887873828,21231,0,21939,0,21115,0,22979,0
2026-08-24T11:08:40+00:00,1,1880023148,22481,0,23719,0,23459,85,22421,4
2026-08-24T11:09:40+00:00,1,1877069676,23037,2,22531,3,22865,0,21691,7
2026-08-24T11:10:40+00:00,1,1872925648,22149,0,21645,0,22075,0,21565,0
2026-08-24T11:11:40+00:00,1,1865547644,21311,0,24085,0,21789,0,23345,93
2026-08-24T11:12:40+00:00,1,1864779264,23953,0,23391,0,23729,0,22449,0
2026-08-24T11:13:40+00:00,1,1842890624,20875,28,21245,21,20984,27,20761,30
2026-08-24T11:14:41+00:00,1,1843456632,20423,0,21227,10,21319,0,20999,0
2026-08-24T11:15:41+00:00,1,1837380620,20825,0,21225,1,21721,2,21295,0
2026-08-24T11:16:41+00:00,1,1827725360,21653,1,24333,0,24033,1,24105,99
2026-08-24T11:17:41+00:00,1,1820375720,23433,48,23223,4,24233,0,24009,0
2026-08-24T11:18:42+00:00,1,1820242084,22281,0,22587,0,22881,0,22657,0
2026-08-24T11:19:42+00:00,1,1818485920,21253,3,23147,0,21947,0,22021,0
2026-08-24T11:20:42+00:00,1,1817272796,23433,80,24333,25,24329,0,24105,0
2026-08-24T11:21:42+00:00,1,1813399820,22835,0,23437,0,23731,76,23807,0
2026-08-24T11:22:43+00:00,1,1809909436,21943,0,22831,3,22839,0,22913,0
2026-08-24T11:23:43+00:00,1,1806718672,22545,1,24333,98,24585,38,22277,81
2026-08-24T11:24:43+00:00,1,1803288824,23689,85,24291,0,24287,3,25129,0
2026-08-24T11:25:43+00:00,1,1804665428,17619,0,18455,0,18515,0,18739,0
2026-08-24T11:26:43+00:00,1,1806073668,23433,95,24269,17,24329,52,24553,100
2026-08-24T11:27:44+00:00,1,1803430948,21419,2,22255,0,22409,0,22859,2
2026-08-24T11:28:44+00:00,1,1801726528,20741,0,21577,0,21733,2,22255,36
2026-08-24T11:29:44+00:00,1,1800877988,23433,0,24269,0,24329,98,24553,100
2026-08-24T11:30:44+00:00,1,1795439716,22281,0,23319,0,23475,0,23999,2
2026-08-24T11:31:44+00:00,1,1794721376,21765,0,22483,0,22839,1,23265,0
2026-08-24T11:32:45+00:00,1,1793224824,24201,91,24781,0,22251,0,22373,2
2026-08-24T11:33:45+00:00,1,1792574872,23603,0,24685,5,24329,0,24553,61
2026-08-24T11:34:45+00:00,1,1792112884,22967,69,23845,72,23433,2,24157,3
2026-08-24T11:35:45+00:00,1,1792644920,24457,83,22857,0,22471,1,22969,1
2026-08-24T11:36:45+00:00,1,1869185788,24613,0,25805,0,24585,42,24553,99
