timestamp,driver_alive,host_mem_available_kib,gpu2_used_mib,gpu2_util_pct,gpu3_used_mib,gpu3_util_pct
2026-08-31T06:43:55+00:00,1,1050000368,9,0,9,0
2026-08-31T06:44:26+00:00,1,1045354568,1200,0,1200,0
2026-08-31T06:44:56+00:00,1,1021349132,1200,0,1200,0
2026-08-31T06:45:26+00:00,1,1010619936,1722,0,1722,0
2026-08-31T06:45:56+00:00,1,1019020360,1722,0,8892,0
2026-08-31T06:46:26+00:00,1,1004784476,10754,0,11138,0
2026-08-31T06:46:56+00:00,1,990674144,16426,0,16810,0
2026-08-31T06:47:26+00:00,1,993635464,19832,3,20314,12
2026-08-31T06:47:57+00:00,1,987163684,23130,0,23514,1
2026-08-31T06:48:27+00:00,1,978005296,26544,1,26974,10
2026-08-31T06:48:57+00:00,1,970215736,29590,0,29976,0
2026-08-31T06:49:27+00:00,1,961714360,32990,0,33632,0
2026-08-31T06:49:58+00:00,1,955752192,36294,1,37138,0
2026-08-31T06:50:28+00:00,1,949828120,40307,0,40693,0
2026-08-31T06:50:58+00:00,1,939723776,43756,41,51332,25
2026-08-31T06:51:28+00:00,1,935102340,51044,0,51334,0
2026-08-31T06:51:58+00:00,1,945410716,51044,93,51334,93
2026-08-31T06:52:29+00:00,1,946429580,46894,0,49188,0
2026-08-31T06:52:59+00:00,1,944840320,34186,0,34380,0
2026-08-31T06:53:29+00:00,1,939011272,35280,0,35368,2
2026-08-31T06:53:59+00:00,1,930316016,36270,0,36560,0
2026-08-31T06:54:29+00:00,1,922538060,37466,0,37662,2
2026-08-31T06:55:00+00:00,1,914709736,38362,1,38652,0
2026-08-31T06:55:30+00:00,1,906922480,40482,0,40571,1
2026-08-31T06:56:00+00:00,1,899907524,42914,2,43204,0
2026-08-31T06:56:30+00:00,1,893832328,45697,57,45179,0
2026-08-31T06:57:01+00:00,1,886528876,48641,0,47605,0
2026-08-31T06:57:31+00:00,1,881044540,51585,0,51006,0
2026-08-31T06:58:01+00:00,1,879585252,52136,0,52171,0
2026-08-31T06:58:31+00:00,1,879847648,52136,0,52171,88
2026-08-31T06:59:02+00:00,1,879164408,52136,76,52171,0
2026-08-31T06:59:32+00:00,1,879775432,43038,0,50689,0
2026-08-31T07:00:02+00:00,1,881429388,31096,3,31034,1
2026-08-31T07:00:32+00:00,1,880565948,32284,0,32022,0
2026-08-31T07:01:02+00:00,1,881329564,33382,0,33118,6
2026-08-31T07:01:33+00:00,1,881520376,34534,0,33808,1
2026-08-31T07:02:03+00:00,1,880395564,37061,0,36187,0
2026-08-31T07:02:33+00:00,1,877039160,39490,2,38617,0
2026-08-31T07:03:03+00:00,1,872418328,42381,1,41143,0
2026-08-31T07:03:34+00:00,1,866534464,45349,1,43831,0
2026-08-31T07:04:04+00:00,1,863815048,47751,4,46775,0
2026-08-31T07:04:34+00:00,1,859436104,50695,0,49717,0
2026-08-31T07:05:04+00:00,1,855572172,51859,0,52149,0
2026-08-31T07:05:35+00:00,1,853206468,51859,63,52149,0
2026-08-31T07:06:05+00:00,1,849781836,51858,93,52148,0
2026-08-31T07:06:35+00:00,1,849711804,44670,0,52148,67
2026-08-31T07:07:05+00:00,1,849708656,38311,0,46068,0
2026-08-31T07:07:35+00:00,1,849902624,39499,0,38833,67
2026-08-31T07:08:06+00:00,1,847638608,40687,0,39949,0
2026-08-31T07:08:36+00:00,1,845559816,41867,7,40935,0
2026-08-31T07:09:06+00:00,1,841701044,42679,0,42033,1
2026-08-31T07:09:36+00:00,1,838276864,43669,1,43023,0
2026-08-31T07:10:06+00:00,1,834332356,44727,2,43919,0
2026-08-31T07:10:37+00:00,1,829290200,47253,2,44815,0
2026-08-31T07:11:07+00:00,1,822425328,49683,1,47191,0
2026-08-31T07:11:37+00:00,1,814904012,52347,44,49165,0
2026-08-31T07:12:07+00:00,1,811282492,52371,0,52109,1
2026-08-31T07:12:37+00:00,1,808156804,52371,95,52917,99
2026-08-31T07:13:08+00:00,1,805709216,52371,10,52917,0
2026-08-31T07:13:38+00:00,1,801572740,38243,0,52917,0
2026-08-31T07:14:08+00:00,1,794738932,60159,100,60705,100
2026-08-31T07:14:38+00:00,1,793201912,45509,0,46055,0
2026-08-31T07:15:08+00:00,0,933794072
