timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,cgroup_oom,cgroup_oom_kill,mem_psi_some_avg10,mem_psi_full_avg10,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-24T03:29:29+00:00,1,2021669428,11255808,0,0,0.00,0.00,5,0,5,0
2026-08-24T03:29:39+00:00,1,2017041176,760811520,0,0,0.00,0.00,5,0,5,0
2026-08-24T03:29:50+00:00,1,2014264392,861286400,0,0,0.00,0.00,548,0,548,0
2026-08-24T03:30:00+00:00,1,1999314764,861069312,0,0,0.00,0.00,1070,0,1070,0
2026-08-24T03:30:10+00:00,1,1989723272,861421568,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:30:21+00:00,1,1984538740,861732864,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:30:31+00:00,1,1984699660,861650944,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:30:41+00:00,1,2003158404,862994432,0,0,0.00,0.00,11704,1,12100,4
2026-08-24T03:30:51+00:00,1,1999856048,863023104,0,0,0.00,0.00,15232,0,15620,0
2026-08-24T03:31:02+00:00,1,2001412672,863293440,0,0,0.00,0.00,12312,0,12606,0
2026-08-24T03:31:12+00:00,0,2021677144,,,,,,,,,
