group_id,policy,checkpoint,task,metric,success_episodes,failure_episodes,success_mean,failure_mean,success_minus_failure,bootstrap_ci_low,bootstrap_ci_high,inference_limit
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_S_raw,42,22,-0.2509605525331278,0.19362320097758,-0.44458375351070784,-0.5712808897508606,-0.32700846246754267,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_S_std,42,22,-0.38923636826090124,0.3008979993807293,-0.6901343676416305,-0.8865373346386328,-0.49639264346124273,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_I_raw,42,22,0.3495813812899196,0.37175764990201227,-0.022176268612092653,-0.04045835041433896,-0.003659736799158537,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_I_std,42,22,0.5538622045551985,0.5916871793387912,-0.0378249747835927,-0.06705902796017744,-0.007252599745568225,"episode-level descriptive bootstrap; observational, not causal"
pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,episode_mean_abs_R_std,42,22,0.8705004052509079,0.8690327346668457,0.001467670584062164,-0.10681365991474857,0.09685442692866567,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_S_raw,16,0,0.09861858260746595,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_S_std,16,0,0.16098938053894926,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_I_raw,16,0,0.37078644836631924,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_I_std,16,0,0.6431523096224494,,,,,"episode-level descriptive bootstrap; observational, not causal"
fastwam__adjust_bottle__run-fastwam-adjust_bottle-p1-16ep-c6__cohort-fastwam-adjust_bottle-p1__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,adjust_bottle,episode_mean_abs_R_std,16,0,0.8372231320498473,,,,,"episode-level descriptive bootstrap; observational, not causal"
