run_id,episode_id,query_idx,query_key,action_slot_start,query_state_phase,phase_coarse,phase_task,phase_source,phase_confidence
pi0-adjust_bottle-fixed64-800baf80-v1,0,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000000_q000_reset100100052,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,1,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000001_q000_reset100100066,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,2,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000002_q000_reset100100113,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,3,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000003_q000_reset100100088,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,4,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000004_q000_reset100100043,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,5,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000005_q000_reset100100081,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,6,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000006_q000_reset100100144,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,7,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000007_q000_reset100100098,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,8,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000008_q000_reset100100058,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,9,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000009_q000_reset100100130,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,10,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000010_q000_reset100100156,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,11,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000011_q000_reset100100148,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,12,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000012_q000_reset100100091,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,13,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000013_q000_reset100100085,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,14,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000014_q000_reset100100013,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,15,0,pi0-adjust_bottle-fixed64-800baf80-v1::ep000015_q000_reset100100034,0,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,0,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000000_q001_reset100100052,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,1,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000001_q001_reset100100066,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,2,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000002_q001_reset100100113,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,3,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000003_q001_reset100100088,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,4,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000004_q001_reset100100043,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,5,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000005_q001_reset100100081,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,6,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000006_q001_reset100100144,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,7,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000007_q001_reset100100098,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,8,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000008_q001_reset100100058,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,9,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000009_q001_reset100100130,50,,,,,
pi0-adjust_bottle-fixed64-800baf80-v1,10,1,pi0-adjust_bottle-fixed64-800baf80-v1::ep000010_q001_reset100100156,50,,,,,
