h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
0,-4.067625999450684,0.23151256144046783,-4.063290596008301,0.018726428970694542,0.9412312507629395,0.5928279161453247,1.0018726587295532,1.1577861309051514,0.4946236559139785,0.5053763440860215,0.017921146953405017,0.014336917562724014
1,-4.059020042419434,0.2553386688232422,-4.109687328338623,-0.19843170046806335,0.9088436961174011,0.5536695718765259,0.9503920674324036,1.1639645099639893,0.6021505376344086,0.3978494623655914,0.03225806451612903,0.03225806451612903
2,-4.059953212738037,0.2684659957885742,-4.118138790130615,-0.21673351526260376,0.9229229092597961,0.5687627196311951,0.9458166360855103,1.16603422164917,0.5806451612903226,0.41935483870967744,0.021505376344086023,0.014336917562724014
3,-4.057469367980957,0.2917880415916443,-4.119635581970215,-0.2130526453256607,0.9238501191139221,0.5893954038619995,0.9467368125915527,1.1521319150924683,0.5734767025089605,0.4265232974910394,0.014336917562724014,0.021505376344086023
4,-4.039890289306641,0.3092932105064392,-4.094651699066162,-0.17705339193344116,0.9108794331550598,0.5999115109443665,0.9557366371154785,1.1423436403274536,0.5663082437275986,0.4336917562724014,0.02867383512544803,0.021505376344086023
5,-4.020831108093262,0.3199506402015686,-4.094430923461914,-0.23003341257572174,0.9068740010261536,0.5331586003303528,0.9424916505813599,1.1743136644363403,0.5806451612903226,0.41935483870967744,0.03225806451612903,0.035842293906810034
6,-4.019604682922363,0.34130042791366577,-4.057971954345703,-0.11241495609283447,0.9191117882728577,0.5659095048904419,0.9718962907791138,1.1800320148468018,0.5412186379928315,0.45878136200716846,0.03225806451612903,0.02867383512544803
7,-4.005521774291992,0.3464052081108093,-4.065498352050781,-0.17313994467258453,0.9164940118789673,0.6020696759223938,0.9567149877548218,1.1593643426895142,0.5734767025089605,0.4265232974910394,0.021505376344086023,0.025089605734767026
8,-4.006143569946289,0.3684631884098053,-4.059590816497803,-0.14505450427532196,0.9274599552154541,0.6112473011016846,0.963736355304718,1.1652430295944214,0.5663082437275986,0.4336917562724014,0.017921146953405017,0.02867383512544803
9,-4.001981258392334,0.3829624056816101,-4.067142486572266,-0.17015045881271362,0.9284613132476807,0.6187222003936768,0.9574623703956604,1.1758993864059448,0.5591397849462365,0.44086021505376344,0.010752688172043012,0.035842293906810034
