unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785490323,166134005760,316502016,163059179520,0,0,1001735823360,0,0,0,0,1028,24928,0
1785490334,168220700672,2347933696,163059236864,0,0,1001735819264,4,0,4,0,1028,1490496,0
1785490344,177232908288,11168854016,163061133312,0,0,1001735794688,4,0,4,0,1028,2870188,0
1785490354,184567148544,18212556800,163082317824,0,0,1001735782400,585,0,543,0,1028,13817428,4
1785490364,193414451200,27047563264,163082317824,0,0,1001735782400,585,0,543,0,1028,22588824,4
1785490374,204707082240,38315913216,163082321920,0,0,1001735782400,585,0,543,0,1028,33437804,4
1785490385,205340196864,38950293504,163082321920,0,0,1001735782400,585,0,543,0,1028,34174152,4
1785490395,209325891584,42922766336,163082346496,0,0,1001735782400,585,0,543,0,1028,37930740,4
1785490405,196731768832,30341758976,163082797056,0,0,1001735782400,602,0,543,0,1028,31083804,5
1785490415,189720928256,23333355520,163099574272,0,0,1001735782400,8348,0,8307,0,1028,20015868,6
1785490425,197948256256,31542345728,163099578368,0,0,1001735782400,8348,0,8307,0,1028,28003736,6
1785490436,210501873664,44071174144,163099578368,0,0,1001735782400,8348,0,8307,0,1028,40117832,6
1785490446,210508414976,44073938944,163099578368,0,0,1001735782400,8348,0,8307,0,1028,40127080,6
1785490456,215119101952,48676163584,163099602944,0,0,1001735782400,8348,0,8307,0,1028,44610380,6
1785490466,202520780800,36075499520,163099881472,0,0,1001735782400,8348,0,8307,0,1028,45576108,6
1785490476,195884404736,28610220032,163951738880,0,0,1001735778304,14700,2,14979,2,1028,26082480,8
1785490487,196708376576,29394132992,163979276288,0,0,1001735778304,17702,52,17915,86,1028,27067744,8
1785490497,198011838464,30686298112,163979333632,0,0,1001735729152,18710,0,18923,0,1028,28435888,8
1785490507,198760423424,31433895936,163979337728,0,0,1001735729152,19451,42,19663,97,1028,29161208,8
1785490517,198144356352,30818942976,163979452416,0,0,1001735675904,18710,0,18923,0,1028,28600184,8
1785490527,198736523264,31408250880,163979751424,0,0,1001735675904,19451,25,19663,45,1028,29134476,8
1785490538,198658150400,31333781504,163979825152,0,0,1001735626752,18710,0,18923,0,1028,29138492,8
1785490548,198787436544,31458045952,163979825152,0,0,1001735626752,19451,0,19663,25,1028,29177264,8
1785490558,198719574016,31391145984,163979890688,0,0,1001735573504,18710,3,18923,1,1028,29114480,8
1785490568,198740332544,31413231616,163979890688,0,0,1001735573504,19451,0,19663,0,1028,29135904,8
1785490579,198701420544,31375986688,163980161024,0,0,1001735520256,18710,3,18923,4,1028,29099356,8
1785490589,198924333056,31595008000,163980267520,0,0,1001735520256,19707,0,19663,50,1028,29310072,8
1785490599,198778105856,31452106752,163980333056,0,0,1001735471104,18646,2,18923,2,1028,29175172,8
1785490609,198943797248,31616798720,163980337152,0,0,1001735471104,19643,25,19663,72,1028,29334132,8
1785490620,198903402496,31576891392,163980394496,0,0,1001735364608,18902,1,18923,3,1028,29289612,8
1785490630,199014715392,31687172096,163980398592,0,0,1001735364608,19643,4,19919,26,1028,29402304,8
1785490640,199025741824,31697121280,163980677120,0,0,1001735315456,18646,0,18859,0,1028,29386912,8
1785490650,199084048384,31754518528,163980808192,0,0,1001735315456,19643,0,19855,0,1028,29461664,8
1785490660,198984286208,31658708992,163980873728,0,0,1001735266304,18646,3,18859,3,1028,29357596,8
1785490671,199127457792,31798882304,163980873728,0,0,1001735266304,19643,46,19855,0,1028,29500004,8
1785490681,199135236096,31813517312,163980943360,0,0,1001735221248,18646,4,19115,4,1028,29515584,8
1785490691,199130685440,31801757696,163980943360,0,0,1001735221248,19643,100,19855,76,1028,29505476,8
1785490701,199138451456,31809347584,163981332480,0,0,1001735163904,18646,4,19061,7,1028,29507288,8
1785490712,199111380992,31781974016,163981340672,0,0,1001735163904,19643,100,19855,72,1028,29478656,8
1785490722,198996025344,31665745920,163981398016,0,0,1001735057408,18849,4,19061,6,1028,29365512,8
1785490732,199000547328,31669047296,163981406208,0,0,1001735053312,19643,27,19855,21,1028,29368264,8
1785490742,198989254656,31659941888,163981475840,0,0,1001735008256,18849,0,19061,0,1028,29392652,8
