unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785552639,214561685504,316317696,211786678272,0,0,918612385792,0,0,0,0,25296,25296,0
1785552649,216654557184,2345328640,211787345920,0,0,918612381696,4,0,4,0,1490624,1490624,0
1785552659,225643974656,11144974336,211789295616,0,0,918612357120,4,0,4,0,1509524,2850800,0
1785552669,233016897536,18203123712,211832786944,0,0,918612344832,585,0,551,0,1510068,13793396,4
1785552679,241321439232,26497294336,211832786944,0,0,918612344832,585,0,551,0,1510244,22075172,4
1785552690,253154185216,38304153600,211832791040,0,0,918612344832,585,0,551,0,1510244,33413944,4
1785552700,253821034496,38970101760,211832791040,0,0,918612344832,585,0,551,0,1510244,34140688,4
1785552710,252099055616,42909523968,206190505984,0,0,918612344832,585,0,551,0,1510244,37906448,4
1785552720,235850203136,26620190720,206199631872,0,0,918612344832,6194,33,551,0,1510244,23852628,5
1785552730,232006713344,22830886912,206208020480,0,0,918612344832,8348,0,8315,0,1510304,19557280,6
1785552741,240013668352,30820990976,206208024576,0,0,918612344832,8348,0,8315,0,1510304,27292216,6
1785552751,253287198720,44063334400,206208024576,0,0,918612344832,8348,0,8315,0,1510304,40089416,6
1785552761,253288284160,44065697792,206208024576,0,0,918612344832,8348,0,8315,0,1510304,40089592,6
1785552771,256828874752,48305098752,205515005952,0,0,918612344832,8348,0,8315,0,1510072,44316480,6
1785552782,237782073344,38934831104,195993968640,0,0,918612344832,8348,0,8315,0,1509968,42803256,6
1785552792,226698715136,27832102912,196115599360,0,0,918612340736,22350,17,22317,50,1509968,24978712,8
1785552802,229246971904,30272552960,196210860032,0,0,918612340736,26286,23,26425,100,1509972,27198636,8
1785552812,232948539392,33281925120,196880572416,0,0,918612340736,18872,37,19037,32,1510868,30896372,8
1785552822,233073643520,33406586880,196880592896,0,0,918612324352,18872,0,19037,0,1510960,30964776,8
1785552833,233260187648,33587220480,196880658432,0,0,918612303872,34334,100,34499,100,1511708,31313560,8
1785552843,233265238016,33588772864,196880965632,0,0,918612303872,35522,66,35703,85,1511744,31313724,8
1785552853,233268305920,33590657024,196880965632,0,0,918612303872,36108,44,36275,58,1511744,31315124,8
1785552863,233268785152,33592090624,196880965632,0,0,918612303872,37266,79,37461,75,1511744,31315504,8
1785552873,233267851264,33593454592,196880969728,0,0,918612303872,37852,83,38035,89,1511744,31316984,8
1785552884,233267982336,33594691584,196880969728,0,0,918612303872,38496,83,38679,74,1511816,31317340,8
1785552894,233271377920,33596653568,196881178624,0,0,918612303872,39664,100,39847,100,1511816,31317340,8
1785552904,233274048512,33597382656,196881285120,0,0,918612303872,40360,78,40541,78,1511816,31317456,8
1785552914,233271693312,33597366272,196881285120,0,0,918612303872,41396,78,41599,82,1511820,31317596,8
1785552924,233271676928,33597001728,196881289216,0,0,918612303872,42312,73,42383,81,1511820,31317700,8
1785552935,233269276672,33597231104,196881289216,0,0,918612303872,43082,100,43309,3,1511884,31318280,8
1785552945,233271398400,33597771776,196881293312,0,0,918612303872,43082,100,43309,100,1511884,31318424,8
1785552955,233276157952,33600749568,196881498112,0,0,918612303872,43082,74,43309,80,1511884,31318772,8
1785552965,233278910464,33603084288,196881649664,0,0,918612291584,25420,4,25461,4,1513272,30771688,8
1785552975,234918621184,35239751680,196881649664,0,0,918612291584,19107,34,19315,37,1513452,32922116,8
1785552986,234722123776,35043258368,196881686528,0,0,918612254720,30417,78,30591,78,1513456,32737396,8
1785552996,234723037184,35043876864,196881690624,0,0,918612254720,34953,68,35131,88,1513468,32737628,8
1785553006,234724626432,35044167680,196881690624,0,0,918612254720,35503,94,35715,90,1513468,32737628,8
1785553016,234726264832,35045785600,196882006016,0,0,918612254720,36089,69,36265,87,1513468,32738048,8
1785553027,234726100992,35047690240,196882014208,0,0,918612254720,37247,99,37423,96,1513468,32738328,8
1785553037,234723151872,35045883904,196882018304,0,0,918612250624,37833,75,38067,80,1513468,32738392,8
1785553047,234726273024,35047964672,196882022400,0,0,918612250624,39049,100,39217,100,1513468,32739356,8
1785553057,234726334464,35048714240,196882022400,0,0,918612250624,39745,69,39877,82,1513468,32739392,8
1785553067,234727108608,35048951808,196882022400,0,0,918612250624,40757,54,40997,55,1513472,32739784,8
1785553078,234732015616,35050975232,196882358272,0,0,918612250624,41607,76,41801,83,1513472,32740376,8
1785553088,234731679744,35052249088,196882358272,0,0,918612250624,42559,81,42715,78,1513472,32740660,8
1785553098,234729197568,35051995136,196882362368,0,0,918612250624,42823,100,43265,100,1513472,32740988,8
1785553108,234732236800,35052699648,196882362368,0,0,918612250624,42823,70,43265,81,1513472,32741020,8
1785553119,234732142592,35053318144,196882362368,0,0,918612250624,42823,81,43265,98,1513472,32741044,8
1785553129,234179031040,34501849088,196882423808,0,0,918612234240,18376,0,18539,0,1513720,32352636,8
1785553139,234743259136,35062173696,196882866176,0,0,918612230144,19117,0,19279,40,1513732,32748124,8
1785553149,234765774848,35086262272,196882903040,0,0,918612197376,34281,70,34463,85,1513736,32771636,8
1785553160,234761265152,35083317248,196883218432,0,0,918611881984,34953,96,35135,74,1513740,32771640,8
1785553170,234761351168,35083997184,196883222528,0,0,918611881984,36089,88,36271,74,1513740,32771672,8
1785553180,234765877248,35085819904,196883222528,0,0,918611881984,36675,99,36835,84,1513740,32772096,8
1785553190,234765455360,35085602816,196883255296,0,0,918611869696,37247,78,37449,82,1513740,32772140,8
1785553201,234759553024,35080871936,196883558400,0,0,918611869696,38405,100,38607,100,1513740,32772120,8
1785553211,234758184960,35081342976,196883734528,0,0,918611693568,39049,68,39281,83,1513740,32772156,8
1785553221,234759524352,35079245824,196883738624,0,0,918611693568,40205,60,40365,82,1513740,32772164,8
1785553231,234767699968,35085217792,196884324352,0,0,918611693568,40977,83,41159,62,1513808,32772232,8
1785553241,234768826368,35085774848,196884324352,0,0,918611693568,41995,59,42175,86,1513868,32772620,8
1785553252,234769580032,35087319040,196884357120,0,0,918611693568,42559,70,42739,87,1513984,32772772,8
1785553262,234770264064,35087507456,196884660224,0,0,918611693568,42823,61,43311,94,1513984,32772772,8
1785553272,234770485248,35088904192,196884664320,0,0,918611693568,42823,76,43311,98,1513984,32772740,8
1785553282,234769801216,35089850368,196884664320,0,0,918611693568,42823,61,43311,93,1513984,32773024,8
1785553293,234788323328,35106201600,196885139456,0,0,918611681280,18835,0,18997,2,1514092,32812696,8
1785553303,234818899968,35133022208,196885143552,0,0,918611681280,19117,34,19279,86,1514092,32813108,8
1785553313,234828312576,35141636096,196885381120,0,0,918611644416,32495,100,34463,100,1514136,32814048,8
1785553323,234814205952,35129864192,196885508096,0,0,918611644416,34951,62,35135,99,1514136,32814160,8
1785553333,234812899328,35129872384,196885508096,0,0,918611644416,36087,71,36271,100,1514136,32814224,8
1785553344,234815107072,35130753024,196885508096,0,0,918611644416,36673,72,36835,88,1514136,32814688,8
1785553354,234810322944,35129192448,196885512192,0,0,918611644416,37831,69,38021,90,1514136,32814688,8
1785553364,234812874752,35130081280,196885512192,0,0,918611644416,38405,64,38607,91,1514136,32814688,8
