timestamp,memory_current,memory_available_kb,gpu0_mib,gpu0_util,gpu1_mib,gpu1_util
2026-08-29T11:45:39+08:00,77652226048,1026500344,0, 0,0, 0
2026-08-29T11:45:44+08:00,78252687360,1025936904,0, 0,0, 0
2026-08-29T11:45:49+08:00,77762973696,1026410296,0, 0,0, 0
2026-08-29T11:45:55+08:00,78303780864,1025901784,0, 0,0, 0
2026-08-29T11:46:00+08:00,80462196736,1023748752,4, 0,4, 0
2026-08-29T11:46:05+08:00,84157157376,1020221824,4, 0,4, 0
2026-08-29T11:46:10+08:00,85073051648,1019247260,447, 0,4, 0
2026-08-29T11:46:15+08:00,87164813312,1017104244,935, 0,4, 0
2026-08-29T11:46:20+08:00,87873200128,1016414216,1013, 0,4, 0
2026-08-29T11:46:25+08:00,91211796480,1013184068,947, 0,4, 0
2026-08-29T11:46:30+08:00,94805712896,1009658000,947, 0,4, 0
2026-08-29T11:46:35+08:00,97145368576,1007365620,947, 0,4, 0
2026-08-29T11:46:40+08:00,97150709760,1007348084,947, 0,4, 0
2026-08-29T11:46:45+08:00,97184829440,1007310988,947, 0,4, 0
2026-08-29T11:46:50+08:00,99260534784,1005262396,947, 0,4, 0
2026-08-29T11:46:56+08:00,99456937984,1005053868,947, 0,4, 0
2026-08-29T11:47:01+08:00,99267473408,1005224316,947, 0,4, 0
2026-08-29T11:47:06+08:00,93150580736,1011198440,947, 0,4, 0
2026-08-29T11:47:11+08:00,95875571712,1008642792,947, 0,4, 0
2026-08-29T11:47:16+08:00,103906492416,1001063184,947, 0,4, 0
2026-08-29T11:47:21+08:00,90042269696,1014524552,9867, 0,4, 0
2026-08-29T11:47:26+08:00,90102513664,1014482312,9867, 0,4, 0
2026-08-29T11:47:31+08:00,90230255616,1014368328,9873, 0,4, 0
2026-08-29T11:47:36+08:00,91037396992,1013523152,10155, 0,4, 0
2026-08-29T11:47:41+08:00,92202897408,1012323852,12986, 0,4, 0
2026-08-29T11:47:47+08:00,93482991616,1011063064,14050, 0,4, 0
2026-08-29T11:47:52+08:00,93561475072,1010963412,15114, 5,4, 0
2026-08-29T11:47:57+08:00,94673035264,1009882032,15651, 5,4, 0
2026-08-29T11:48:02+08:00,98526539776,1006116988,16390, 0,4, 0
2026-08-29T11:48:07+08:00,100716322816,1003864436,17454, 1,447, 0
2026-08-29T11:48:12+08:00,102032326656,1002488120,18077, 0,917, 0
2026-08-29T11:48:17+08:00,104698474496,999854376,18889, 0,917, 0
