unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785324868,1.03661e+12,248891342848,314322944,246888251392,0,0,0,0,25232,0
1785324870,1.03641e+12,249116884992,534450176,246888251392,0,0,0,0,407728,0
1785324871,1.0363e+12,249227874304,645738496,246888255488,0,0,0,0,579632,0
1785324872,1.03604e+12,249504313344,914182144,246888255488,0,0,0,0,633812,0
1785324873,1.03585e+12,249651744768,1059512320,246888259584,4,0,1,0,785524,0
1785324874,1.03522e+12,250299342848,1663283200,246888288256,4,0,4,0,1300384,0
1785324876,1.03474e+12,250788945920,2144432128,246888304640,4,0,4,0,1635800,0
1785324877,1.03404e+12,251540774912,2869309440,246889574400,4,0,4,0,1717308,0
1785324878,1.03388e+12,251688275968,3013660672,246889603072,4,0,4,0,1886436,0
1785324879,1.03229e+12,253297446912,4572467200,246889746432,4,0,4,0,4843632,0
1785324881,1.03192e+12,253666865152,4910858240,246889906176,4,0,4,0,5215044,0
1785324882,1.0316e+12,254007521280,5243297792,246890008576,4,0,4,0,6786284,0
1785324883,1.03008e+12,255518949376,6738481152,246890082304,4,0,4,0,8527180,0
1785324884,1.02969e+12,255909613568,7121944576,246890098688,4,0,4,0,8985048,0
1785324885,1.02916e+12,256451440640,7662436352,246890098688,4,0,4,0,9075496,0
1785324886,1.02885e+12,256766410752,7970299904,246890106880,4,0,4,0,9344828,0
1785324888,1.02844e+12,257198350336,8323985408,246890156032,4,0,4,0,9734524,0
1785324889,1.02824e+12,257401020416,8523907072,246890319872,4,0,4,0,10555844,0
1785324890,1.02799e+12,257650933760,8771727360,246890323968,4,0,4,0,10886224,0
1785324891,1.02781e+12,257695322112,8937709568,246779256832,4,0,4,0,11041492,0
1785324892,1.02762e+12,257697996800,9075474432,246616952832,4,0,4,0,11558452,0
1785324894,1.02749e+12,257697849344,9195155456,246499774464,4,0,4,0,11771152,0
1785324895,1.02739e+12,257688682496,9269665792,246415052800,4,0,4,0,11855248,0
1785324896,1.02736e+12,257684684800,9288527872,246392291328,4,0,4,0,11864008,0
1785324897,1.02674e+12,257697648640,9888591872,245804855296,4,0,4,0,12580016,0
1785324898,1.02531e+12,257697943552,11303907328,244385906688,4,0,4,0,13986392,0
1785324900,1.0239e+12,257682100224,12650442752,243019771904,4,0,4,0,15144660,0
1785324901,1.02393e+12,257682354176,12650954752,243019509760,4,0,4,0,15145668,0
1785324902,1.02392e+12,257682558976,12651565056,243019247616,4,0,4,0,15145976,0
1785324903,1.0239e+12,257682513920,12651859968,243018723328,4,0,4,0,15146208,0
1785324904,1.02354e+12,257697910784,13027930112,242654867456,4,0,4,0,15637680,0
1785324906,1.02193e+12,257698004992,14610673664,241073885184,4,0,4,0,17208536,0
1785324907,1.0203e+12,257697652736,16220196864,239459999744,4,0,4,0,18778908,0
1785324908,1.01933e+12,257697787904,17159512064,238516080640,4,0,4,0,19673968,0
1785324909,1.01787e+12,257698037760,18590670848,237081157632,4,0,4,0,21087460,0
1785324910,1.01639e+12,257698021376,20058206208,235612364800,4,0,4,0,22509240,0
1785324912,1.015e+12,257698029568,21440110592,234226311168,4,0,4,0,23782180,0
1785324913,1.01358e+12,257697906688,22853746688,232812998656,4,0,4,0,25186052,0
1785324914,1.01215e+12,257697783808,24265633792,231396896768,4,0,4,0,26568240,0
