step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1498,0.83984375,,0.063,0.109,24.515,0.181,0.457,1498.0,1469.3,21.617
2,2999,0.703125,,0.025,0.094,33.732,0.093,0.595,1501.5,1477.1,22.275
3,4466,0.7578125,,0.0069,0.057,23.228,0.069,0.478,1466.4,1441.3,22.659
4,5952,0.875,,0.021,0.089,21.297,0.084,0.296,1486.7,1463.3,21.035
5,7756,0.875,0.9375,0.014,0.097,27.464,0.098,0.342,1803.3,1438.3,22.863
6,9291,0.92578125,,0.0046,0.069,16.972,0.068,0.261,1535.4,1511.3,21.993
7,10788,0.8828125,,0.0081,0.066,18.613,0.058,0.34,1496.8,1474.4,20.1
8,12250,0.890625,,0.022,0.067,25.817,0.084,0.36,1462.1,1438.8,21.312
9,13717,0.86328125,,0.0056,0.048,23.483,0.056,0.376,1466.4,1441.1,22.982
10,15432,0.82421875,0.90625,0.02,0.049,21.432,0.062,0.389,1715.4,1368.2,22.535
11,16871,0.86328125,,0.018,0.068,29.128,0.075,0.406,1438.6,1417.0,20.04
12,18306,0.8203125,,0.0096,0.065,28.427,0.064,0.371,1435.7,1411.5,22.141
13,19756,0.765625,,0.018,0.079,22.634,0.09,0.303,1449.9,1425.5,22.127
14,21312,0.8515625,,0.0069,0.072,17.284,0.077,0.276,1555.8,1529.1,24.617
15,23136,0.8359375,0.875,0.0066,0.052,25.227,0.063,0.335,1824.2,1462.7,22.728
16,24589,0.78515625,,0.011,0.049,29.105,0.074,0.448,1452.3,1428.9,21.369
17,26031,0.79296875,,0.023,0.063,33.18,0.09,0.422,1442.5,1419.8,20.362
18,27529,0.78125,,0.017,0.107,39.447,0.12,0.488,1497.4,1472.6,22.678
19,28867,0.88671875,,0.0038,0.056,20.578,0.075,0.216,1338.6,1316.5,20.312
20,30549,0.91796875,0.875,0.0096,0.067,21.191,0.075,0.228,1681.9,1361.9,20.623
21,31984,0.8984375,,0.013,0.032,15.386,0.049,0.211,1434.3,1412.8,19.825
22,33433,0.82421875,,0.026,0.074,28.842,0.083,0.332,1449.4,1424.4,22.863
23,34864,0.86328125,,0.011,0.035,22.741,0.061,0.333,1431.3,1406.9,22.157
24,36289,0.74609375,,0.0072,0.07,26.92,0.072,0.369,1425.1,1402.7,20.052
25,38022,0.8828125,0.90625,0.0047,0.073,21.04,0.073,0.314,1732.1,1432.7,20.109
26,39451,0.91015625,,0.0076,0.045,17.174,0.057,0.257,1428.9,1404.6,22.477
27,40863,0.86328125,,0.024,0.088,31.568,0.095,0.347,1412.8,1388.4,22.103
28,42258,0.89453125,,0.02,0.064,24.232,0.074,0.305,1394.1,1371.8,19.896
29,43636,0.93359375,,0.01,0.074,18.793,0.076,0.243,1378.7,1357.3,19.539
30,45367,0.87109375,0.9375,0.025,0.087,26.686,0.085,0.363,1730.8,1377.0,19.929
31,46716,0.90625,,0.0085,0.075,30.256,0.076,0.306,1349.3,1325.8,21.845
32,48021,0.94140625,,0.0033,0.109,23.208,0.101,0.247,1304.0,1282.2,19.643
33,49281,0.90625,,0.022,0.057,19.794,0.075,0.232,1260.5,1239.0,19.529
34,50663,0.92578125,,0.019,0.066,23.423,0.084,0.235,1382.4,1358.8,21.714
35,52330,0.93359375,0.96875,0.0063,0.072,15.963,0.081,0.109,1666.4,1364.3,22.409
36,53721,0.95703125,,0.0088,0.055,18.174,0.079,0.173,1391.4,1366.9,22.656
37,55145,0.94140625,,0.029,0.074,26.158,0.092,0.226,1423.3,1400.9,20.06
38,56531,0.96484375,,0.023,0.07,16.792,0.071,0.099,1386.7,1364.6,19.781
39,57947,0.88671875,,0.013,0.089,19.454,0.104,0.251,1415.3,1393.5,19.735
40,59694,0.921875,0.9375,-0.019,0.091,19.733,0.098,0.226,1747.7,1408.9,19.659
41,61096,0.921875,,0.022,0.118,23.755,0.126,0.202,1401.1,1379.5,20.029
42,62488,0.88671875,,0.021,0.062,28.762,0.08,0.306,1392.6,1370.3,20.305
43,63866,0.8828125,,0.013,0.098,29.177,0.106,0.325,1377.8,1355.6,20.076
44,65256,0.84765625,,0.02,0.073,22.077,0.09,0.277,1390.3,1368.6,19.643
45,66939,0.87890625,0.96875,0.0082,0.079,33.026,0.105,0.307,1682.7,1365.0,19.749
46,68314,0.9140625,,0.026,0.07,14.93,0.057,0.147,1374.7,1352.7,20.12
