step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1297,0.8125,,0.082,0.156,31.561,0.175,0.502,1297.2,1265.2,20.722
2,2670,0.62109375,,0.047,0.122,50.49,0.133,0.673,1373.6,1349.0,22.45
3,3944,0.7578125,,0.017,0.086,34.594,0.097,0.535,1273.5,1251.0,19.963
4,5212,0.796875,,0.018,0.056,34.089,0.071,0.539,1267.6,1245.4,19.788
5,6781,0.85546875,0.84375,0.012,0.079,37.955,0.074,0.397,1569.4,1237.8,22.498
6,8223,0.8984375,,0.019,0.059,28.962,0.071,0.359,1441.7,1419.7,19.93
7,9659,0.84765625,,0.021,0.088,43.615,0.098,0.415,1436.1,1412.2,21.808
8,11126,0.90234375,,0.011,0.068,22.937,0.059,0.281,1466.9,1442.0,22.788
9,12657,0.84375,,0.016,0.059,37.214,0.077,0.41,1531.3,1506.2,22.684
10,14534,0.8671875,0.96875,0.014,0.089,33.03,0.1,0.389,1876.7,1477.4,23.031
11,16107,0.86328125,,0.021,0.053,29.935,0.067,0.366,1573.3,1549.9,21.787
12,17690,0.87109375,,0.0065,0.043,23.462,0.056,0.286,1582.9,1557.9,22.752
13,19297,0.765625,,0.0075,0.086,35.024,0.09,0.376,1607.2,1581.8,23.028
14,20901,0.87890625,,0.011,0.057,30.042,0.071,0.288,1603.7,1578.0,23.311
15,22902,0.875,0.90625,0.029,0.075,38.885,0.091,0.348,2000.8,1623.6,22.962
16,24508,0.9296875,,0.039,0.089,13.896,0.092,0.11,1606.1,1580.5,23.54
17,26086,0.84765625,,0.014,0.052,27.292,0.059,0.277,1578.0,1552.6,22.754
18,27691,0.921875,,0.017,0.048,18.507,0.057,0.173,1605.3,1579.8,23.13
19,29279,0.94140625,,0.022,0.078,16.039,0.081,0.104,1587.9,1562.4,23.22
20,31239,0.94921875,0.9375,0.0072,0.047,13.502,0.043,0.099,1960.1,1555.7,22.601
21,32860,0.875,,0.022,0.073,34.463,0.095,0.35,1620.2,1595.4,23.211
22,34449,0.90234375,,0.017,0.058,22.878,0.073,0.258,1589.2,1564.3,22.439
23,36017,0.9296875,,0.028,0.053,27.177,0.061,0.223,1568.1,1544.1,21.687
24,37686,0.80859375,,0.031,0.07,45.091,0.098,0.375,1669.1,1643.8,23.098
25,39599,0.9453125,0.90625,0.027,0.034,15.476,0.059,0.135,1912.7,1528.6,22.586
26,41273,0.86328125,,0.031,0.089,27.2,0.112,0.265,1674.3,1651.9,20.354
27,42843,0.8984375,,0.017,0.085,27.817,0.092,0.336,1569.9,1544.7,23.233
28,44407,0.90625,,0.0087,0.055,31.345,0.068,0.318,1564.1,1539.0,22.747
29,46041,0.87109375,,0.0088,0.057,29.55,0.075,0.355,1633.6,1608.7,22.482
30,48047,0.85546875,0.9375,0.032,0.074,44.874,0.084,0.375,2006.3,1622.0,23.37
31,49593,0.93359375,,0.014,0.042,21.783,0.062,0.193,1545.5,1520.8,23.099
32,51181,0.953125,,0.0053,0.04,17.246,0.055,0.126,1588.1,1562.3,23.465
33,52800,0.90625,,0.026,0.065,19.233,0.07,0.196,1619.2,1593.9,22.95
34,54413,0.8828125,,0.021,0.052,20.235,0.059,0.298,1612.4,1587.0,23.042
35,56364,0.8671875,0.875,0.018,0.051,36.474,0.071,0.389,1950.8,1576.6,22.859
36,57920,0.93359375,,0.0078,0.07,23.416,0.073,0.256,1556.5,1531.5,22.856
37,59490,0.9296875,,0.012,0.04,21.859,0.054,0.193,1569.7,1546.2,21.174
38,61049,0.88671875,,0.016,0.065,38.491,0.094,0.383,1558.9,1534.8,21.875
39,62557,0.87890625,,0.027,0.056,33.469,0.089,0.285,1507.8,1484.5,21.176
40,64391,0.87890625,0.9375,0.011,0.051,30.42,0.076,0.347,1834.5,1434.3,23.151
41,65913,0.9296875,,0.018,0.072,21.613,0.08,0.167,1521.5,1498.4,21.433
42,67530,0.85546875,,0.014,0.082,29.196,0.081,0.365,1616.7,1591.5,22.903
43,69110,0.9375,,0.018,0.052,25.017,0.066,0.191,1580.3,1558.3,19.692
44,70734,0.77734375,,0.017,0.099,35.689,0.086,0.353,1624.3,1599.2,22.981
45,72682,0.89453125,0.96875,0.023,0.088,26.109,0.089,0.198,1947.8,1586.3,22.313
46,74295,0.85546875,,0.036,0.093,32.083,0.108,0.352,1613.1,1588.2,23.072
47,75841,0.953125,,0.0042,0.053,12.702,0.054,0.127,1546.2,1523.9,19.846
48,77344,0.8828125,,0.018,0.086,29.857,0.095,0.225,1502.9,1478.2,22.742
49,78877,0.8828125,,0.021,0.085,40.822,0.099,0.398,1532.2,1508.6,21.357
50,80678,0.91015625,0.96875,0.0067,0.103,32.285,0.111,0.271,1801.4,1469.5,21.63
51,82132,0.89453125,,0.017,0.073,31.384,0.093,0.308,1453.7,1429.7,22.125
52,83577,0.9453125,,0.025,0.055,18.893,0.082,0.129,1445.1,1419.6,23.126
