step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_grad_norm,critic_grad_norm,updates_scheduled,global_total_transitions_added
1,96,96.757,0.25,,0.0125,94.804,0.0066,71.0,71.0,62.0,0.0,0.0,,,,,0.0,142.0
2,200,100.228,0.25,,0.01125,103.0,0.0051,143.0,72.0,126.0,0.0,0.0,,,,,0.0,286.0
3,296,98.901,0.25,,0.011875,95.546,0.006,214.5,71.5,198.0,0.0,0.0,,,,,0.0,429.0
4,381,95.35,0.25,,0.0125,84.018,0.0052,285.5,71.0,269.0,0.0,0.0,,,,,0.0,571.0
5,464,92.869,0.375,,0.01875,82.418,0.0046,352.0,66.5,331.0,0.0,0.0,,,,,0.0,704.0
6,550,91.709,0.25,,0.0125,85.338,0.0046,423.0,71.0,402.0,0.0,0.0,,,,,0.0,846.0
7,636,90.957,0.125,,0.005625,85.931,0.0041,499.0,76.0,482.0,0.0,0.0,,,,,0.0,998.0
8,734,91.86,0.0,,0.0,97.647,0.0063,579.0,80.0,562.0,0.0,0.0,,,,,0.0,115.0
9,830,92.25,0.375,,0.01625,94.615,0.0055,647.5,68.5,628.0,0.0,0.0,,,,,0.0,129.0
10,926,92.676,0.125,,0.006875,95.735,0.005,722.5,75.0,698.0,0.0,0.0,,,,,0.0,144.0
11,1024,93.105,0.125,,0.005625,96.667,0.0047,798.5,76.0,770.0,0.0,0.0,,,,,0.0,159.0
12,1123,93.654,0.0,,0.0,99.176,0.0075,878.5,80.0,850.0,0.0,0.0,,,,,0.0,175.0
13,1220,93.916,0.25,,0.011875,96.389,0.0052,950.0,71.5,921.0,0.0,0.0,,,,,0.0,190.0
14,1317,94.135,0.25,,0.011875,96.251,0.0062,1021.5,71.5,984.0,0.0,0.0,,,,,0.0,204.0
15,1413,94.237,0.25,,0.0125,94.918,0.0062,1092.5,71.0,1055.0,0.0,0.0,,,,,0.0,218.0
16,1513,94.588,0.0,,0.0,99.103,0.0053,1172.5,80.0,1135.0,0.0,0.0,,,,,0.0,234.0
17,1612,94.865,0.25,,0.0125,98.565,0.0044,1243.5,71.0,1197.0,0.0,0.0,,,,,0.0,248.0
18,1706,94.793,0.25,,0.011875,93.034,0.0051,1315.0,71.5,1268.0,0.0,0.0,,,,,0.0,263.0
19,1806,95.102,0.25,,0.011875,99.913,0.0036,1386.5,71.5,1331.0,0.0,0.0,,,,,0.0,277.0
20,1895,94.786,0.125,,0.00625,88.258,0.0055,1462.0,75.5,1402.0,0.0,0.0,,,,,0.0,292.0
21,1990,94.807,0.25,,0.0131250005,94.499,0.0036,1532.5,70.5,1482.0,0.0,0.0,,,,,0.0,306.0
22,2073,94.236,0.25,,0.0131250005,81.71,0.0047,1603.0,70.5,1553.0,0.0,0.0,,,,,0.0,320.0
23,2170,94.348,0.0,,0.0,96.293,0.0054,1683.0,80.0,1633.0,0.0,0.0,,,,,0.0,336.0
24,2259,94.146,0.375,,0.0175,88.759,0.0055,1750.5,67.5,1704.0,0.0,0.0,,,,,0.0,350.0
25,2555,102.24,0.375,0.0,0.018125,91.574,0.0055,1817.5,67.0,1767.0,0.0,0.0,,,,,0.0,363.0
26,2647,101.839,0.125,,0.006875,91.297,0.0063,1892.5,75.0,1847.0,0.0,0.0,,,,,0.0,378.0
27,2742,101.557,0.125,,0.00625,93.472,0.0054,1968.0,75.5,1927.0,0.0,0.0,,,,,0.0,393.0
28,2837,101.33,0.0,,0.0,94.329,0.0057,2048.0,80.0,2007.0,0.0,0.0,,,,,0.0,409.0
29,2932,101.119,0.25,,0.0131250005,94.273,0.004,2118.5,70.5,2087.0,0.0,0.0,,,,,0.0,423.0
30,3026,100.888,0.125,,0.00625,93.438,0.0073,2194.0,75.5,2167.0,0.0,0.0,,,,,0.0,438.0
31,3121,100.68,0.0,,0.0,93.703,0.0052,2274.0,80.0,2247.0,0.0,0.0,,,,,0.0,454.0
32,3214,100.459,0.0,,0.0,92.873,0.006,2354.0,80.0,2327.0,0.0,0.0,,,,,0.0,470.0
33,3307,100.229,0.25,,0.01375,92.123,0.0036,2424.0,70.0,2387.0,0.0,0.0,,,,,0.0,484.0
34,3391,99.762,0.25,,0.0125,83.796,0.0063,2495.0,71.0,2459.0,0.0,0.0,,,,,0.0,499.0
35,3487,99.638,0.125,,0.005625,94.699,0.0063,2571.0,76.0,2531.0,0.0,0.0,,,,,0.0,514.0
36,3582,99.516,0.25,,0.0131250005,94.463,0.0042,2641.5,70.5,2611.0,0.0,0.0,,,,,0.0,528.0
37,3669,99.17,0.125,,0.006875,86.186,0.0055,2716.5,75.0,2681.0,0.0,0.0,,,,,0.0,543.0
38,3764,99.078,0.0,,0.0,94.94,0.005,2796.5,80.0,2761.0,0.0,0.0,,,,,0.0,559.0
39,3858,98.944,0.0,,0.0,93.064,0.0051,2876.5,80.0,2841.0,0.0,0.0,,,,,0.0,575.0
40,3948,98.713,0.375,,0.0175,88.991,0.0054,2944.0,67.5,2904.0,0.0,0.0,,,,,0.0,588.0
41,4039,98.526,0.25,,0.0125,90.305,0.0052,3015.0,71.0,2976.0,0.0,0.0,,,,,0.0,603.0
42,4128,98.286,0.25,,0.010625,87.723,0.0057,3087.5,72.5,3048.0,0.0,0.0,,,,,0.0,617.0
43,4219,98.125,0.0,,0.0,90.768,0.0062,3167.5,80.0,3128.0,0.0,0.0,,,,,0.0,633.0
44,4313,98.023,0.125,,0.00625,92.895,0.0051,3243.0,75.5,3199.0,0.0,0.0,,,,,0.0,648.0
45,4401,97.81,0.0,,0.0,87.895,0.0062,3323.0,80.0,3279.0,0.0,0.0,,,,,0.0,664.0
46,4491,97.64,0.25,,0.0125,89.24,0.0063,3394.0,71.0,3349.0,0.0,0.0,,,,,0.0,678.0
47,4585,97.567,0.375,,0.016875,93.474,0.0037,3462.0,68.0,3405.0,0.0,0.0,,,,,0.0,692.0
48,4675,97.414,0.0,,0.0,89.708,0.0057,3542.0,80.0,3485.0,0.0,0.0,,,,,0.0,708.0
49,4766,97.279,0.25,,0.01125,90.029,0.0057,3614.0,72.0,3557.0,0.0,0.0,,,,,0.0,722.0
50,5070,101.401,0.125,0.0,0.00625,95.44,0.005,3689.5,75.5,3628.0,0.0,0.0,,,,,0.0,737.0
51,5164,101.274,0.125,,0.00625,94.165,0.0056,3765.0,75.5,3708.0,0.0,0.0,,,,,0.0,753.0
52,5253,101.029,0.125,,0.00625,87.811,0.0054,3840.5,75.5,3779.0,0.0,0.0,,,,,0.0,768.0
53,5349,100.936,0.125,,0.00625,95.395,0.0036,3916.0,75.5,3850.0,0.0,0.0,,,,,0.0,783.0
54,5434,100.631,0.25,,0.0131250005,83.921,0.0047,3986.5,70.5,3920.0,0.0,0.0,,,,,0.0,797.0
55,5528,100.513,0.0,,0.0,93.607,0.0068,4066.5,80.0,4000.0,0.0,0.0,,,,,0.0,813.0
56,5620,100.369,0.125,,0.005,91.731,0.0065,4143.0,76.5,4073.0,0.0,0.0,,,,,0.0,828.0
57,5715,100.274,0.25,,0.0125,94.233,0.0031,4214.0,71.0,4153.0,0.0,0.0,,,,,0.0,842.0
58,5805,100.098,0.25,,0.0125,89.49,0.006,4285.0,71.0,4224.0,0.0,0.0,,,,,0.0,857.0
59,5900,100.0,0.125,,0.005625,93.588,0.0056,4361.0,76.0,4304.0,0.0,0.0,,,,,0.0,872.0
60,5996,99.935,0.0,,0.0,95.318,0.0056,4441.0,80.0,4384.0,0.0,0.0,,,,,0.0,888.0
61,6090,99.847,0.125,,0.00625,93.826,0.0057,4516.5,75.5,4455.0,0.0,0.0,,,,,0.0,903.0
62,6186,99.778,0.125,,0.005,94.808,0.0048,4593.0,76.5,4528.0,0.0,0.0,,,,,0.0,918.0
63,6278,99.655,0.0,,0.0,91.372,0.0053,4673.0,80.0,4608.0,0.0,0.0,,,,,0.0,934.0
64,6372,99.571,0.125,,0.005625,93.59,0.0056,4749.0,76.0,4688.0,0.0,0.0,,,,,0.0,949.0
65,6462,99.425,0.25,,0.01125,89.316,0.0056,4821.0,72.0,4760.0,0.0,0.0,,,,,0.0,964.0
66,6556,99.333,0.0,,0.0,92.781,0.005,4901.0,80.0,4840.0,0.0,0.0,,,,,0.0,980.0
67,6649,99.25,0.0,,0.0,93.23,0.0055,4981.0,80.0,4920.0,0.0,0.0,,,,,0.0,996.0
68,6743,99.17,0.125,,0.00625,93.075,0.0054,5056.5,75.5,4991.0,0.0,0.0,,,,,0.0,1.0
69,6837,99.09,0.125,,0.004375,92.968,0.0059,5133.5,77.0,5065.0,0.0,0.0,,,,,0.0,1.0
70,6931,99.022,0.125,,0.00625,93.559,0.0053,5209.0,75.5,5136.0,0.0,0.0,,,,,0.0,1.0
71,7018,98.849,0.0,,0.0,86.16,0.0057,5289.0,80.0,5216.0,0.0,0.0,,,,,0.0,1.0
72,7109,98.741,0.125,,0.006875,90.375,0.0059,5364.0,75.0,5286.0,0.0,0.0,,,,,0.0,1.0
73,7202,98.671,0.25,,0.01125,92.915,0.0059,5436.0,72.0,5350.0,0.0,0.0,,,,,0.0,1.0
74,7293,98.563,0.25,,0.011875,89.917,0.0062,5507.5,71.5,5420.0,0.0,0.0,,,,,0.0,1.1
75,7601,101.349,0.125,0.0,0.005,94.954,0.0065,5584.0,76.5,5493.0,0.0,0.0,,,,,0.0,1.1
76,7696,101.266,0.0,,0.0,94.213,0.0053,5664.0,80.0,5573.0,0.0,0.0,,,,,0.0,1.1
77,7790,101.176,0.125,,0.005625,93.66,0.0053,5740.0,76.0,5645.0,0.0,0.0,,,,,0.0,1.1
78,7879,101.024,0.25,,0.0125,88.535,0.0046,5811.0,71.0,5716.0,0.0,0.0,,,,,0.0,1.1
79,7973,100.927,0.125,,0.006875,92.873,0.0048,5886.0,75.0,5786.0,0.0,0.0,,,,,0.0,1.1
80,8069,100.863,0.125,,0.00625,95.188,0.0049,5961.5,75.5,5866.0,0.0,0.0,,,,,0.0,1.1
81,8166,100.816,0.25,,0.0125,96.27,0.0041,6032.5,71.0,5946.0,0.0,0.0,,,,,0.0,1.2
