unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785516227,199764185088,313131008,196611006464,0,0,967284473856,0,0,0,0,1056,25816,0
1785516237,201859256320,2351177728,196611059712,0,0,967284469760,4,0,4,0,1056,1490684,0
1785516248,210916544512,11139784704,196612956160,0,0,967284445184,4,0,4,0,1056,2867776,0
1785516258,218199986176,18208174080,196634140672,0,0,967284432896,585,0,543,0,1056,13859364,4
1785516268,224933257216,24937021440,196634140672,0,0,967284432896,585,0,543,0,1056,20572076,4
1785516278,238339960832,38311931904,196634144768,0,0,967284432896,585,0,543,0,1056,33479888,4
1785516288,238343221248,38315241472,196634148864,0,0,967284432896,585,0,543,0,1056,33480016,4
1785516299,242042613760,42139774976,196502568960,0,0,967284432896,585,0,543,0,1056,37296588,4
1785516309,232239542272,32717021184,196148064256,0,0,967284432896,585,0,543,0,1056,27065524,4
1785516319,220163559424,20626784256,196164997120,0,0,967284432896,8348,0,8307,0,1056,17249836,6
1785516329,227013599232,27468824576,196165001216,0,0,967284432896,8348,0,8307,0,1056,24087308,6
1785516339,241063665664,41489645568,196165001216,0,0,967284432896,8348,0,8307,0,1056,37806904,6
1785516349,243660238848,44076933120,196165001216,0,0,967284432896,8348,0,8307,0,1056,40149512,6
1785516360,245057613824,46153412608,195483168768,0,0,967284432896,8348,0,8307,0,1056,42207280,6
1785516370,238268735488,39802257408,195029655552,0,0,967284432896,8348,0,8307,0,1056,35582592,6
1785516380,225872773120,26591838208,195881652224,0,0,967284428800,14508,0,14787,0,1056,24328748,8
1785516390,228809920512,29476380672,195914313728,0,0,967284428800,17702,25,17915,34,1056,27196664,8
1785516400,229167915008,29827219456,195914366976,0,0,967284379648,24798,4,24903,0,1056,27651008,8
1785516411,231005413376,31660191744,195914375168,0,0,967284379648,19451,73,19663,77,1056,29439252,8
1785516421,230841815040,31496175616,195914473472,0,0,967284326400,24735,26,24839,16,1056,29256884,8
