timestamp,cgroup_ram_mb,cgroup_limit_mb,cgroup_ram_pct,shm_used_mb,gpu0_memory_mb,gpu0_util_pct,gpu0_power_w,gpu1_memory_mb,gpu1_util_pct,gpu1_power_w,gpu_total_memory_mb,env_rss_mb,actor_rss_mb,rollout_rss_mb,driver_rss_mb,ray_system_rss_mb,top_pid,top_rss_mb,top_command,cgroup_oom,cgroup_oom_kill
2026-07-18 10:09:17,112081,245760,45.61,0,0,0,65.13,0,0,60.49,0,0,0,0,81.2,0,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:19,112424,245760,45.75,0,0,0,65.13,0,0,60.56,0,0,0,0,638.2,0,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:21,112815,245760,45.9,0,4,0,66.74,4,0,60.62,8,0,0,0,756.2,0,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:23,113333,245760,46.12,0,4,0,65.19,4,0,60.56,8,0,0,0,948.9,256.6,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:25,114086,245760,46.42,0,4,0,65.13,4,0,60.49,8,0,0,0,972.0,923.1,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:28,114812,245760,46.72,0,4,0,65.19,4,0,60.49,8,0,0,0,972.3,1152.5,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:30,115139,245760,46.85,0,4,0,69.5,4,0,66.74,8,0,0,0,974.3,2658.8,913575,1560.2,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:32,116903,245760,47.57,0,4,0,65.19,4,0,60.56,8,0,0,0,984.3,1302.7,913575,1560.4,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:34,120575,245760,49.06,0,4,0,65.19,4,0,60.56,8,0,0,0,987.7,1075.4,913575,1560.4,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:36,122606,245760,49.89,0,4,0,65.13,4,0,60.56,8,0,0,739.4,988.0,1079.9,913575,1560.4,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:38,123862,245760,50.4,0,4,0,89.69,4,0,85.71,8,857.4,1809.7,1987.9,988.1,1087.4,913575,1560.4,/root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/node /root/.vscode-server/cli/servers/Stable-8a7abeba6e03ea3af87bfbce9a1b7e48fed567b8/server/out/bootstrap-fork --type=fileWatcher,0,0
2026-07-18 10:09:40,127653,245760,51.94,0,4,0,65.19,4,0,60.56,8,1073.4,1809.8,4730.9,988.4,1088.9,918904,2389.0,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:42,130682,245760,53.17,0,512,9,71.26,4,0,60.56,516,1438.3,1809.8,7611.9,988.4,1090.7,918904,3836.5,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:44,133672,245760,54.39,0,519,7,74.02,4,0,60.56,523,1651.7,1810.1,10470.4,988.4,1091.7,918904,5266.4,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:47,136661,245760,55.61,0,531,1,71.66,4,0,60.28,535,1653.4,1810.1,13345.2,988.4,1093.4,918904,6705.2,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:49,139445,245760,56.74,0,566,1,72.53,4,0,60.56,570,1663.4,1810.1,16205.9,988.4,1093.4,918904,8111.5,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:51,142265,245760,57.89,0,503,0,70.98,4,0,60.22,507,1549.9,1810.1,19040.3,988.6,1094.6,918904,9547.1,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:53,145131,245760,59.05,0,503,0,71.05,4,0,60.28,507,1550.0,1810.4,21900.1,988.6,1094.5,918904,10973.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:55,148057,245760,60.24,0,503,0,71.05,4,0,60.34,507,1550.0,1810.4,24764.7,988.6,1094.7,918904,12429.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:57,150945,245760,61.42,0,503,0,71.05,4,0,60.34,507,1550.0,1810.4,27662.9,988.6,1096.2,918904,13890.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:09:59,153797,245760,62.58,0,503,0,70.72,4,0,60.34,507,1550.0,1810.4,30474.0,988.6,1096.0,918904,15291.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:01,156669,245760,63.75,0,503,0,71.05,4,0,60.28,507,1550.0,1810.4,33412.2,988.7,1096.1,918904,16742.4,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:04,159552,245760,64.92,0,503,0,70.79,4,0,60.4,507,1550.0,1810.4,36201.1,988.7,1096.1,918904,18158.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:06,162380,245760,66.07,0,503,0,71.93,4,0,60.34,507,1550.0,1810.4,39051.3,988.7,1096.8,918904,19610.5,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:08,160221,245760,65.19,0,2047,5,71.05,1767,3,67.02,3814,1550.0,1810.9,36840.1,988.7,1096.9,918896,18578.7,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:10,154672,245760,62.94,0,3947,5,70.98,3447,5,67.02,7394,1550.0,1810.9,30810.9,988.7,1096.6,918896,15411.2,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:12,146642,245760,59.67,0,5549,4,71.33,5509,5,67.09,11058,1550.0,1810.9,25454.5,988.7,1098.6,918896,12976.7,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:14,140289,245760,57.08,0,7669,5,71.59,7509,5,67.35,15178,1550.0,1810.9,19076.2,988.7,1098.5,918896,9928.9,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:16,133389,245760,54.28,0,9651,4,71.05,9971,5,67.09,19622,1550.0,1810.9,12290.1,988.7,1098.7,918896,6677.4,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:19,133861,245760,54.47,0,10471,0,71.12,9971,0,67.09,20442,1550.0,1810.9,13122.7,988.7,1098.9,918904,6812.4,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:21,136817,245760,55.67,0,10471,0,71.33,9971,0,67.02,20442,1550.0,1810.9,16080.8,988.7,1099.2,918904,8264.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:23,139553,245760,56.78,0,10471,0,71.33,9971,0,67.09,20442,1550.0,1810.9,18750.4,988.7,1099.6,918896,9383.5,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:25,140986,245760,57.37,0,10471,0,71.33,9971,0,67.09,20442,1550.0,1810.9,20248.1,988.7,1099.9,918904,10535.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:27,143851,245760,58.53,0,10471,0,71.33,9971,0,67.02,20442,1550.0,1810.9,23097.7,988.7,1101.8,918904,11980.7,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:29,146717,245760,59.7,0,10471,0,71.33,9971,0,67.09,20442,1550.0,1810.9,26018.4,988.7,1101.7,918904,13434.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:31,149594,245760,60.87,0,10471,0,71.66,9971,0,67.96,20442,1550.0,1810.9,28886.1,988.7,1101.3,918904,14870.0,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:33,152516,245760,62.06,0,10471,0,71.66,9971,0,67.02,20442,1550.0,1810.9,31802.3,988.7,1101.4,918904,16328.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:35,155445,245760,63.25,0,10471,0,71.66,9971,0,67.02,20442,1550.0,1810.9,34656.7,988.7,1102.0,918904,17783.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:38,158292,245760,64.41,0,10471,0,71.93,9971,0,67.09,20442,1550.0,1810.9,37490.5,988.7,1101.7,918904,19197.0,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:40,161112,245760,65.56,0,10471,0,71.93,9971,0,67.02,20442,1550.0,1810.9,40347.9,988.7,1102.0,918904,20625.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:42,163992,245760,66.73,0,10471,0,71.66,9971,0,67.02,20442,1550.0,1810.9,43236.7,988.7,1103.7,918904,22073.4,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:44,166809,245760,67.87,0,10471,0,71.93,9971,0,67.09,20442,1550.0,1810.9,46045.3,988.7,1103.7,918904,23450.8,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:46,169627,245760,69.02,0,10471,0,71.86,9971,0,67.02,20442,1550.0,1810.9,48846.0,988.7,1103.5,918904,24843.9,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:48,172528,245760,70.2,0,10471,0,71.93,9971,0,67.02,20442,1550.0,1810.9,51707.8,988.7,1103.9,918904,26292.6,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:50,174770,245760,71.11,0,10471,0,71.93,9971,0,67.02,20442,1550.0,1810.9,55735.8,988.7,1103.7,918904,28880.0,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:52,175036,245760,71.22,0,10471,0,71.93,9971,0,67.02,20442,1550.0,1810.9,62884.8,988.7,1103.9,918904,32560.7,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:55,175054,245760,71.23,0,10471,0,72.08,9971,0,67.09,20442,1550.0,1810.9,73291.9,988.7,1104.3,918896,36971.4,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:10:57,172196,245760,70.07,0,12931,7,71.93,11971,0,67.02,24902,1550.0,1810.9,72666.1,988.7,1105.0,918904,39697.2,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:10:59,158322,245760,64.42,0,15711,7,71.86,13451,5,67.02,29162,1550.0,1810.9,58321.8,988.7,1105.1,918904,30860.7,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:01,147332,245760,59.95,0,18431,6,71.93,16231,6,67.02,34662,1550.0,1810.9,47596.9,988.7,1104.9,918904,25590.2,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:03,138523,245760,56.37,0,20571,7,71.93,18431,4,67.42,39002,1550.0,1810.9,38893.0,988.7,1104.7,918904,21166.7,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:05,133336,245760,54.25,0,21311,0,71.66,20351,4,67.02,41662,1550.0,1810.9,23247.4,988.7,1104.3,918904,17333.3,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:07,134002,245760,54.53,0,21311,0,71.66,20811,0,67.02,42122,1550.3,1810.9,13324.2,988.7,1104.5,918896,7349.6,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:09,134374,245760,54.68,0,22595,8,71.93,20811,0,67.02,43406,1550.3,1810.9,13804.5,988.7,1104.6,918904,7459.4,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:12,132832,245760,54.05,0,22655,0,71.93,21953,6,67.02,44608,1550.3,1810.9,13109.9,988.7,1105.4,918904,7384.1,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:14,132383,245760,53.87,0,22655,0,71.66,22155,0,67.09,44810,1550.3,1810.9,11619.0,988.7,1106.0,918896,5897.6,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:16,133589,245760,54.36,0,24599,0,71.66,22155,0,67.42,46754,1550.3,1811.5,13047.9,988.7,1105.9,918896,7282.8,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:18,139140,245760,56.62,0,24599,0,71.93,23757,12,67.68,48356,1550.3,1811.5,18535.8,988.7,1106.4,918896,11899.5,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:20,147998,245760,60.22,0,24599,0,71.66,24099,0,67.16,48698,1550.3,1811.5,27420.9,988.7,1107.0,918896,16544.5,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:22,153644,245760,62.52,0,24599,43,90.11,24099,0,67.02,48698,1550.3,1811.5,30183.2,988.7,1106.7,918904,15568.7,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:24,148346,245760,60.36,0,24599,10,72.26,24099,47,85.8,48698,1550.3,1811.5,27672.3,988.7,1106.7,918904,18124.0,ray::MultiStepRolloutWorker.init_worker,0,0
2026-07-18 10:11:27,142708,245760,58.07,0,24599,9,72.19,24099,10,67.68,48698,1550.3,1811.5,22388.1,988.7,1108.9,918896,13595.1,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:29,149988,245760,61.03,0,24599,15,72.53,24099,10,67.28,48698,1550.3,1811.5,29540.6,988.7,1109.2,918896,16561.2,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:31,157216,245760,63.97,0,24599,9,72.26,24099,25,67.28,48698,1550.3,1811.5,36773.9,988.7,1109.0,918896,20641.4,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:33,165386,245760,67.3,0,24599,9,72.26,24099,9,67.09,48698,1550.3,1811.5,45000.3,988.7,1108.7,918896,24865.2,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:35,171781,245760,69.9,0,925,0,90.2,24099,9,67.09,25024,1550.3,1811.5,51020.4,988.7,1109.1,918896,26698.6,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:37,174995,245760,71.21,0,925,0,71.93,425,0,83.31,1350,1550.3,2609.6,53443.0,988.8,1109.2,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:39,177876,245760,72.38,0,925,0,71.93,425,0,67.02,1350,1550.3,5427.4,53443.0,988.8,1109.4,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:41,180609,245760,73.49,0,925,0,71.66,425,0,67.09,1350,1550.3,8156.3,53443.0,988.8,1110.9,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:44,183397,245760,74.62,0,925,0,71.66,425,0,67.02,1350,1550.3,10978.9,53443.0,988.8,1111.0,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:46,186245,245760,75.78,0,925,0,71.66,425,0,67.02,1350,1550.3,13831.3,53443.0,988.8,1111.2,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:48,189172,245760,76.97,0,925,0,71.86,425,0,66.74,1350,1550.3,16755.1,53443.0,988.8,1110.7,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:50,192104,245760,78.17,0,925,0,71.59,425,0,67.02,1350,1550.3,19623.0,53443.0,988.8,1110.5,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:52,194892,245760,79.3,0,925,0,71.66,425,0,66.81,1350,1550.3,22472.1,53443.0,988.8,1110.5,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:54,197739,245760,80.46,0,925,0,71.81,425,0,66.81,1350,1550.7,25245.0,53443.0,988.8,1110.3,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:56,200563,245760,81.61,0,925,0,71.66,425,0,66.74,1350,1550.7,28135.3,53443.0,988.8,1110.6,918904,26744.3,ray::MultiStepRolloutWorker,0,0
2026-07-18 10:11:58,203417,245760,82.77,0,925,0,71.66,425,0,67.02,1350,1550.7,30929.5,53443.0,988.8,1111.1,918904,26744.3,ray::MultiStepRolloutWorker,0,0
