global_step,max_steps,episode_len,num_trajectories,return,reward,success_once,advantages_max,advantages_mean,advantages_min,returns_max,returns_mean,returns_min,rewards,actor/approx_kl,actor/clip_fraction,actor/clipped_ratio,actor/dual_cliped_ratio,actor/entropy_loss,actor/grad_norm,actor/lr,actor/policy_loss,actor/policy_loss_abs,actor/ratio,actor/ratio_abs,actor/total_loss,critic/explained_variance,critic/lr,critic/value_clip_ratio,critic/value_loss,actor/actor/compute_adv,actor/actor/recv_traj,actor/actor/sync_model_to_rollout,actor/run_training,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step,env/env/send_rollout_trajectories,env/env_interact_step,env/interact,env/run_interact_once,generate_rollouts,rollout/generate_one_epoch,rollout/predict,rollout/rollout/generate,step,sync_weights
1,100,192.0,128.0,0.453125,0.0023600261,0.453125,1.791,3.35e-08,-1.128,1.0,0.318,-0.079,0.0025,0.0058,0.016,0.993,0.0,0.0,18.964,5e-06,-0.067,0.973,0.993,0.025,0.001,,0.00011,0.0,0.2,0.024,2423.8,2.0,234.1,0.028,0.025,814.1,2.384,1420.6,2421.5,2421.1,2429.3,2414.2,158.7,2429.2,2665.8,2.439
2,100,192.0,128.0,0.546875,0.0028483074,0.546875,1.382,5e-08,-1.207,1.0,0.46,0.0,0.0031,0.0048,0.015,0.995,0.0,0.0,17.504,5e-06,-0.068,0.982,0.995,0.026,0.000313,,0.00011,0.0,0.108,0.0062,2380.5,1.9,235.7,0.0086,0.026,810.8,2.34,1380.7,2378.2,2377.7,2386.2,2370.4,160.3,2386.1,2624.2,2.362
3,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.635,2.96e-09,-1.104,1.0,0.42,0.0,0.0025,0.000528,0.012,0.999,0.0,0.0,19.259,5e-06,-0.065,0.987,1.0,0.029,0.00019,,0.00011,0.0,0.089,0.0042,2399.5,1.9,234.5,0.0081,0.023,810.8,2.452,1399.6,2397.4,2396.8,2404.9,2389.3,160.3,2404.9,2641.7,2.373
4,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.812,-2.27e-08,-1.212,1.0,0.422,0.0,0.0025,0.0022,0.016,1.0,0.0,0.0,19.723,5e-06,-0.069,0.978,1.0,0.029,0.000143,,0.00011,0.0,0.087,0.0041,2387.7,2.0,236.9,0.0085,0.022,799.6,2.504,1400.7,2385.4,2384.9,2392.9,2377.3,159.7,2392.8,2632.2,2.417
5,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.716,1.28e-08,-1.14,1.0,0.414,0.0,0.0025,-0.000372,0.0083,0.996,0.0,0.0,18.156,5e-06,-0.063,0.983,0.996,0.024,0.000173,,0.00011,0.0,0.085,0.0044,2388.0,2.1,235.2,0.0088,0.022,795.4,2.338,1405.7,2385.8,2385.4,2393.6,2378.0,159.8,2393.5,2631.2,2.428
6,100,192.0,128.0,0.3984375,0.0020751953,0.3984375,2.008,1.52e-08,-1.077,1.0,0.366,0.0,0.0022,0.0033,0.02,0.997,0.0,0.0,16.868,5e-06,-0.064,0.962,0.997,0.026,0.000151,,0.00011,0.0,0.083,0.0043,2385.3,2.1,234.2,0.0083,0.022,801.2,2.307,1397.8,2383.2,2382.7,2391.1,2375.4,159.4,2391.0,2627.8,2.446
7,100,192.0,128.0,0.453125,0.0023600261,0.453125,1.94,1.19e-08,-1.167,1.0,0.402,0.0,0.0025,0.0026,0.011,0.997,0.0,0.0,18.696,5e-06,-0.073,0.982,0.997,0.026,0.000102,,0.00011,0.0,0.087,0.0042,2362.2,2.0,234.8,0.0085,0.021,797.7,2.353,1378.9,2359.9,2359.5,2367.6,2352.6,158.7,2367.5,2604.8,2.453
8,100,192.0,128.0,0.515625,0.0026855466,0.515625,1.609,1.3e-08,-1.244,1.0,0.457,0.0,0.0029,0.0026,0.014,0.998,0.0,0.0,18.812,5e-06,-0.071,0.985,0.998,0.026,0.000126,,0.00011,0.0,0.088,0.0043,2362.6,2.0,235.9,0.0084,0.022,794.6,2.376,1381.4,2360.1,2359.6,2368.0,2352.5,159.6,2367.9,2606.4,2.433
9,100,192.0,128.0,0.4453125,0.0023193362,0.4453125,2.307,1.28e-08,-1.11,1.0,0.414,0.0,0.0024,-0.000931,0.0093,0.995,0.0,0.0,20.543,5e-06,-0.059,0.979,0.997,0.027,0.000198,,0.00011,0.0,0.085,0.0047,2401.8,1.9,238.7,0.0086,0.022,799.6,2.327,1415.7,2399.5,2399.0,2407.1,2392.3,159.4,2407.1,2648.2,2.308
10,100,192.0,128.0,0.53125,0.0027669272,0.53125,2.284,-1.1e-08,-1.405,1.0,0.486,0.0,0.003,-0.000326,0.0098,0.997,0.0,0.0,16.699,5e-06,-0.067,0.979,0.998,0.023,0.00013,,0.00011,0.0,0.084,0.0071,2353.9,2.3,235.1,0.011,0.021,792.5,2.315,1374.9,2351.7,2351.2,2359.5,2344.3,159.8,2359.4,2641.7,2.721
