global_step,max_steps,episode_len,num_trajectories,return,reward,success_once,advantages_max,advantages_mean,advantages_min,returns_max,returns_mean,returns_min,rewards,actor/approx_kl,actor/clip_fraction,actor/clipped_ratio,actor/entropy_loss,actor/grad_norm,actor/lr,actor/policy_loss,actor/policy_loss_abs,actor/ratio,actor/ratio_abs,actor/total_loss,critic/explained_variance,critic/lr,critic/value_clip_ratio,critic/value_loss,actor/run_training,generate_rollouts,step,sync_weights,env/env/bootstrap_step,env/env_interact_step,rollout/predict,success_pct,success_ma5,success_ma10
1,100,192.0,128.0,0.453125,0.0023600261,0.453125,1.791,3.35e-08,-1.128,1.0,0.318,-0.079,0.0025,0.0058,0.016,0.993,0.0,18.964,5e-06,-0.067,0.973,0.993,0.025,0.001,,0.00011,0.0,0.2,234.1,2429.3,2665.8,2.439,814.1,1420.6,158.7,45.3125,45.3125,
2,100,192.0,128.0,0.546875,0.0028483074,0.546875,1.382,5e-08,-1.207,1.0,0.46,0.0,0.0031,0.0048,0.015,0.995,0.0,17.504,5e-06,-0.068,0.982,0.995,0.026,0.000313,,0.00011,0.0,0.108,235.7,2386.2,2624.2,2.362,810.8,1380.7,160.3,54.6875,50.0,
3,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.635,2.96e-09,-1.104,1.0,0.42,0.0,0.0025,0.000528,0.012,0.999,0.0,19.259,5e-06,-0.065,0.987,1.0,0.029,0.00019,,0.00011,0.0,0.089,234.5,2404.9,2641.7,2.373,810.8,1399.6,160.3,44.53125,48.177083333333336,48.177083333333336
4,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.812,-2.27e-08,-1.212,1.0,0.422,0.0,0.0025,0.0022,0.016,1.0,0.0,19.723,5e-06,-0.069,0.978,1.0,0.029,0.000143,,0.00011,0.0,0.087,236.9,2392.9,2632.2,2.417,799.6,1400.7,159.7,44.53125,47.265625,47.265625
5,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.716,1.28e-08,-1.14,1.0,0.414,0.0,0.0025,-0.000372,0.0083,0.996,0.0,18.156,5e-06,-0.063,0.983,0.996,0.024,0.000173,,0.00011,0.0,0.085,235.2,2393.6,2631.2,2.428,795.4,1405.7,159.8,44.53125,46.71875,46.71875
6,100,192.0,128.0,0.3984375,0.0020751953,0.3984375,2.008,1.52e-08,-1.077,1.0,0.366,0.0,0.0022,0.0033,0.02,0.997,0.0,16.868,5e-06,-0.064,0.962,0.997,0.026,0.000151,,0.00011,0.0,0.083,234.2,2391.1,2627.8,2.446,801.2,1397.8,159.4,39.84375,45.625,45.572916666666664
7,100,192.0,128.0,0.453125,0.0023600261,0.453125,1.94,1.19e-08,-1.167,1.0,0.402,0.0,0.0025,0.0026,0.011,0.997,0.0,18.696,5e-06,-0.073,0.982,0.997,0.026,0.000102,,0.00011,0.0,0.087,234.8,2367.6,2604.8,2.453,797.7,1378.9,158.7,45.3125,43.75,45.535714285714285
8,100,192.0,128.0,0.515625,0.0026855466,0.515625,1.609,1.3e-08,-1.244,1.0,0.457,0.0,0.0029,0.0026,0.014,0.998,0.0,18.812,5e-06,-0.071,0.985,0.998,0.026,0.000126,,0.00011,0.0,0.088,235.9,2368.0,2606.4,2.433,794.6,1381.4,159.6,51.5625,45.15625,46.2890625
9,100,192.0,128.0,0.4453125,0.0023193362,0.4453125,2.307,1.28e-08,-1.11,1.0,0.414,0.0,0.0024,-0.000931,0.0093,0.995,0.0,20.543,5e-06,-0.059,0.979,0.997,0.027,0.000198,,0.00011,0.0,0.085,238.7,2407.1,2648.2,2.308,799.6,1415.7,159.4,44.53125,45.15625,46.09375
10,100,192.0,128.0,0.53125,0.0027669272,0.53125,2.284,-1.1e-08,-1.405,1.0,0.486,0.0,0.003,-0.000326,0.0098,0.997,0.0,16.699,5e-06,-0.067,0.979,0.998,0.023,0.00013,,0.00011,0.0,0.084,235.1,2359.5,2641.7,2.721,792.5,1374.9,159.8,53.125,46.875,46.796875
11,100,192.0,128.0,0.375,0.001953125,0.375,1.942,-3.81e-08,-1.078,1.0,0.36,0.0,0.002,0.0037,0.014,0.994,0.0,20.08,5e-06,-0.064,0.952,0.994,0.027,0.000167,,0.00011,0.0,0.085,234.4,2413.9,2650.6,2.276,790.9,1431.6,159.2,37.5,46.40625,46.015625
12,100,192.0,128.0,0.453125,0.0023600261,0.453125,2.201,3.16e-08,-1.218,1.0,0.411,-0.000302,0.0025,0.0035,0.013,0.994,0.0,18.852,5e-06,-0.064,0.973,0.994,0.024,0.000163,,0.00011,0.0,0.085,234.6,2394.8,2631.7,2.286,791.8,1412.3,158.9,45.3125,46.40625,45.078125
13,100,192.0,128.0,0.4375,0.002278646,0.4375,2.265,5.96e-09,-1.174,1.0,0.388,-0.0032,0.0024,0.0027,0.0098,0.995,0.0,19.589,5e-06,-0.073,0.972,0.995,0.024,8.92e-05,,0.00011,0.0,0.085,232.9,2374.2,2609.5,2.347,789.8,1393.7,158.4,43.75,44.84375,45.0
14,100,192.0,128.0,0.4453125,0.002319336,0.4453125,1.883,1.79e-08,-1.216,1.0,0.398,-0.0027,0.0025,0.0024,0.022,0.998,0.0,18.873,5e-06,-0.078,0.976,0.998,0.027,5.56e-05,,0.00011,0.0,0.085,234.1,2370.5,2606.9,2.317,784.5,1393.6,160.3,44.53125,44.84375,45.0
15,100,192.0,128.0,0.421875,0.0021972656,0.421875,2.939,0.0,-1.253,1.0,0.386,-0.0029,0.0023,0.000807,0.015,0.997,0.0,20.003,5e-06,-0.061,0.957,1.0,0.028,0.000173,,0.00011,0.0,0.083,236.0,2367.7,2606.0,2.314,795.1,1380.8,160.2,42.1875,42.65625,44.765625
16,100,192.0,128.0,0.3828125,0.0019938152,0.3828125,2.153,1.38e-08,-1.176,1.0,0.354,-0.0036,0.0021,0.0022,0.013,0.995,0.0,18.61,5e-06,-0.068,0.953,0.996,0.027,9.63e-05,,0.00011,0.0,0.08,235.7,2365.3,2603.2,2.221,794.0,1379.0,160.0,38.28125,42.8125,44.609375
