timestamp	pid	ppid	rss_kib	pcpu	comm	args
2026-08-20T19:03:17+08:00	21051	21040	3060	0.0	bash	bash -c set -euo pipefail target=/root/autodl-tmp/RLinf_idea2_dvac_pi0_robotwin run_id=idea2_dvac_sft_smoke_2gpu_16env_v1 runtime_dir=/root/autodl-tmp/idea2_dvac_runtime/$run_id launch="$runtime_dir/launch.sh" output="$target/outputs/$run_id" test -f "$launch" test ! -e "$output" test ! -e "$runtime_dir/launcher.pid" nohup bash "$launch" > "$runtime_dir/launcher.nohup.log" 2>&1 </dev/null & launcher_pid=$! printf '%s\n' "$launcher_pid" > "$runtime_dir/launcher.pid" sleep 2 test -d "/proc/$launcher_pid" printf 'LAUNCHER_PID=%s\n' "$launcher_pid" cat "$runtime_dir/status.env" printf 'DETACHED_SMOKE_STARTED=1\n'
2026-08-20T19:03:28+08:00	22278	21072	28352	5.0	raylet	/root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/core/src/ray/raylet/raylet --raylet_socket_name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --store_socket_name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --object_manager_port=0 --min_worker_port=0 --max_worker_port=0 --node_manager_port=0 --node_id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node_ip_address=172.17.0.4 --maximum_startup_concurrency=36 --static_resource_list=node:172.17.0.4,1.0,node:__internal_head__,1.0,accelerator_type:A800,1,CPU,36,GPU,2,memory,178504993588,object_store_memory,76502140108 --python_worker_command=/root/autodl-tmp/RLinf/.venv/bin/python /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/workers/setup_worker.py /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/workers/default_worker.py --node-ip-address=172.17.0.4 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --raylet-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --redis-address=None --metrics-agent-port=0 --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --runtime-env-agent-port=0 --gcs-address=172.17.0.4:34319 --session-name=session_2026-08-20_19-03-24_749199_21072 --temp-dir=/tmp/ray --webui=127.0.0.1:8265 --cluster-id=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 RAY_WORKER_DYNAMIC_OPTION_PLACEHOLDER --java_worker_command= --cpp_worker_command= --native_library_path=/root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/cpp/lib --temp_dir=/tmp/ray --session_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --log_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --resource_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/runtime_resources --metrics-agent-port=0 --metrics_export_port=0 --runtime_env_agent_port=0 --object_store_memory=76502140108 --plasma_directory=/dev/shm --fallback_directory=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --ray-debugger-external=0 --gcs-address=172.17.0.4:34319 --session-name=session_2026-08-20_19-03-24_749199_21072 --labels={"ray.io/accelerator-type": "A800"} --cluster-id=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --stdout_filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/raylet.out --stderr_filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/raylet.err --head --num_prestart_python_workers=36 --dashboard_agent_command=/root/autodl-tmp/RLinf/.venv/bin/python -u /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/dashboard/agent.py --node-id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node-ip-address=172.17.0.4 --metrics-export-port=0 --grpc-port=0 --listen-port=52365 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --raylet-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --temp-dir=/tmp/ray --session-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --log-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --session-name=session_2026-08-20_19-03-24_749199_21072 --gcs-address=172.17.0.4:34319 --cluster-id-hex=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --stdout-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/dashboard_agent.out --stderr-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/dashboard_agent.err --head --runtime_env_agent_command=/root/autodl-tmp/RLinf/.venv/bin/python -u /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/runtime_env/agent/main.py --node-id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node-ip-address=172.17.0.4 --runtime-env-agent-port=0 --session-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --gcs-address=172.17.0.4:34319 --cluster-id-hex=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --runtime-env-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/runtime_resources --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --log-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --temp-dir=/tmp/ray --stdout-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/runtime_env_agent.out --stderr-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/runtime_env_agent.err
2026-08-20T19:03:28+08:00	22347	22278	112520	54.0	ray::DashboardA	ray::DashboardAgent
2026-08-20T19:03:28+08:00	22349	22278	83440	36.0	ray::RuntimeEnv	ray::RuntimeEnvAgent
2026-08-20T19:03:39+08:00	22278	21072	47388	6.2	raylet	/root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/core/src/ray/raylet/raylet --raylet_socket_name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --store_socket_name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --object_manager_port=0 --min_worker_port=0 --max_worker_port=0 --node_manager_port=0 --node_id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node_ip_address=172.17.0.4 --maximum_startup_concurrency=36 --static_resource_list=node:172.17.0.4,1.0,node:__internal_head__,1.0,accelerator_type:A800,1,CPU,36,GPU,2,memory,178504993588,object_store_memory,76502140108 --python_worker_command=/root/autodl-tmp/RLinf/.venv/bin/python /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/workers/setup_worker.py /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/workers/default_worker.py --node-ip-address=172.17.0.4 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --raylet-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --redis-address=None --metrics-agent-port=0 --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --runtime-env-agent-port=0 --gcs-address=172.17.0.4:34319 --session-name=session_2026-08-20_19-03-24_749199_21072 --temp-dir=/tmp/ray --webui=127.0.0.1:8265 --cluster-id=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 RAY_WORKER_DYNAMIC_OPTION_PLACEHOLDER --java_worker_command= --cpp_worker_command= --native_library_path=/root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/cpp/lib --temp_dir=/tmp/ray --session_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --log_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --resource_dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/runtime_resources --metrics-agent-port=0 --metrics_export_port=0 --runtime_env_agent_port=0 --object_store_memory=76502140108 --plasma_directory=/dev/shm --fallback_directory=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --ray-debugger-external=0 --gcs-address=172.17.0.4:34319 --session-name=session_2026-08-20_19-03-24_749199_21072 --labels={"ray.io/accelerator-type": "A800"} --cluster-id=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --stdout_filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/raylet.out --stderr_filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/raylet.err --head --num_prestart_python_workers=36 --dashboard_agent_command=/root/autodl-tmp/RLinf/.venv/bin/python -u /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/dashboard/agent.py --node-id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node-ip-address=172.17.0.4 --metrics-export-port=0 --grpc-port=0 --listen-port=52365 --node-manager-port=RAY_NODE_MANAGER_PORT_PLACEHOLDER --object-store-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/plasma_store --raylet-name=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/sockets/raylet --temp-dir=/tmp/ray --session-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --log-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --session-name=session_2026-08-20_19-03-24_749199_21072 --gcs-address=172.17.0.4:34319 --cluster-id-hex=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --stdout-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/dashboard_agent.out --stderr-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/dashboard_agent.err --head --runtime_env_agent_command=/root/autodl-tmp/RLinf/.venv/bin/python -u /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/ray/_private/runtime_env/agent/main.py --node-id=24919c7d0913b64d0836d42b9d8d1f333a0847a04923a91753dc2ab2 --node-ip-address=172.17.0.4 --runtime-env-agent-port=0 --session-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072 --gcs-address=172.17.0.4:34319 --cluster-id-hex=2ba1fdbf021994c59728f87ae42a1f4da6402922a628fa4e61f78d98 --runtime-env-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/runtime_resources --logging-rotate-bytes=536870912 --logging-rotate-backup-count=5 --log-dir=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs --temp-dir=/tmp/ray --stdout-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/runtime_env_agent.out --stderr-filepath=/tmp/ray/session_2026-08-20_19-03-24_749199_21072/logs/runtime_env_agent.err
2026-08-20T19:03:39+08:00	22347	22278	143904	7.8	ray::DashboardA	ray::DashboardAgent
2026-08-20T19:03:39+08:00	22349	22278	83912	3.1	ray::RuntimeEnv	ray::RuntimeEnvAgent
2026-08-20T19:03:39+08:00	22561	22278	81392	3.9	ray::IDLE	ray::IDLE
2026-08-20T19:03:39+08:00	22562	22278	81156	3.8	ray::IDLE	ray::IDLE
2026-08-20T19:03:39+08:00	22563	22278	515936	17.3	ray::_RemoteNod	ray::_RemoteNodeProbe
