array_row,trace_rank,trace_row,query_uid,episode_idx,query_idx,action_slot_start,reset_id,success,success_before,source_env_rank,local_env_slot,head_image_relpath,left_wrist_image_relpath,right_wrist_image_relpath,V_total_L2,log10_V_total_L2,V_total_L3,log10_V_total_L3,V_total_L4,log10_V_total_L4
0,0,0,ep000000_q000_reset100100052,0,0,0,100100052,True,False,0,0,query_images/rollout_rank00/ep000000_q000_reset100100052__head.png,query_images/rollout_rank00/ep000000_q000_reset100100052__left_wrist.png,query_images/rollout_rank00/ep000000_q000_reset100100052__right_wrist.png,0.22770658,-0.64262444,0.7625742,-0.1177179,6.2406034,0.7952266
8,0,8,ep000000_q001_reset100100052,0,1,50,100100052,True,False,0,0,query_images/rollout_rank00/ep000000_q001_reset100100052__head.png,query_images/rollout_rank00/ep000000_q001_reset100100052__left_wrist.png,query_images/rollout_rank00/ep000000_q001_reset100100052__right_wrist.png,0.18208227,-0.7397324,0.6258467,-0.20353206,4.243941,0.62776935
16,0,16,ep000000_q002_reset100100052,0,2,100,100100052,True,False,0,0,query_images/rollout_rank00/ep000000_q002_reset100100052__head.png,query_images/rollout_rank00/ep000000_q002_reset100100052__left_wrist.png,query_images/rollout_rank00/ep000000_q002_reset100100052__right_wrist.png,0.13912357,-0.8565993,0.44033107,-0.3562207,1.6682093,0.22225055
24,0,24,ep000000_q003_reset100100052,0,3,150,100100052,True,True,0,0,query_images/rollout_rank00/ep000000_q003_reset100100052__head.png,query_images/rollout_rank00/ep000000_q003_reset100100052__left_wrist.png,query_images/rollout_rank00/ep000000_q003_reset100100052__right_wrist.png,0.07909161,-1.1018697,0.25050747,-0.60117936,1.2441418,0.09486988
1,0,1,ep000001_q000_reset100100066,1,0,0,100100066,True,False,0,1,query_images/rollout_rank00/ep000001_q000_reset100100066__head.png,query_images/rollout_rank00/ep000001_q000_reset100100066__left_wrist.png,query_images/rollout_rank00/ep000001_q000_reset100100066__right_wrist.png,0.19908643,-0.7009584,0.9590065,-0.018178454,6.1245728,0.7870758
9,0,9,ep000001_q001_reset100100066,1,1,50,100100066,True,False,0,1,query_images/rollout_rank00/ep000001_q001_reset100100066__head.png,query_images/rollout_rank00/ep000001_q001_reset100100066__left_wrist.png,query_images/rollout_rank00/ep000001_q001_reset100100066__right_wrist.png,0.15791714,-0.8015707,0.6306751,-0.20019434,2.3278723,0.36695915
17,0,17,ep000001_q002_reset100100066,1,2,100,100100066,True,False,0,1,query_images/rollout_rank00/ep000001_q002_reset100100066__head.png,query_images/rollout_rank00/ep000001_q002_reset100100066__left_wrist.png,query_images/rollout_rank00/ep000001_q002_reset100100066__right_wrist.png,0.16830094,-0.77391344,0.6347136,-0.19742222,1.9202627,0.28336066
25,0,25,ep000001_q003_reset100100066,1,3,150,100100066,True,True,0,1,query_images/rollout_rank00/ep000001_q003_reset100100066__head.png,query_images/rollout_rank00/ep000001_q003_reset100100066__left_wrist.png,query_images/rollout_rank00/ep000001_q003_reset100100066__right_wrist.png,0.079620875,-1.0989732,0.2724352,-0.56473684,1.0785998,0.032860342
2,0,2,ep000002_q000_reset100100113,2,0,0,100100113,True,False,0,2,query_images/rollout_rank00/ep000002_q000_reset100100113__head.png,query_images/rollout_rank00/ep000002_q000_reset100100113__left_wrist.png,query_images/rollout_rank00/ep000002_q000_reset100100113__right_wrist.png,0.16098978,-0.79320174,0.58179617,-0.23522915,7.2486043,0.8602544
10,0,10,ep000002_q001_reset100100113,2,1,50,100100113,True,False,0,2,query_images/rollout_rank00/ep000002_q001_reset100100113__head.png,query_images/rollout_rank00/ep000002_q001_reset100100113__left_wrist.png,query_images/rollout_rank00/ep000002_q001_reset100100113__right_wrist.png,0.13542533,-0.86830014,0.76872325,-0.114229985,3.257979,0.5129483
18,0,18,ep000002_q002_reset100100113,2,2,100,100100113,True,False,0,2,query_images/rollout_rank00/ep000002_q002_reset100100113__head.png,query_images/rollout_rank00/ep000002_q002_reset100100113__left_wrist.png,query_images/rollout_rank00/ep000002_q002_reset100100113__right_wrist.png,0.113137044,-0.94639516,0.36181477,-0.44151375,1.1506041,0.060925927
26,0,26,ep000002_q003_reset100100113,2,3,150,100100113,True,True,0,2,query_images/rollout_rank00/ep000002_q003_reset100100113__head.png,query_images/rollout_rank00/ep000002_q003_reset100100113__left_wrist.png,query_images/rollout_rank00/ep000002_q003_reset100100113__right_wrist.png,0.07244752,-1.1399765,0.21323067,-0.6711504,0.97488654,-0.011045928
3,0,3,ep000003_q000_reset100100088,3,0,0,100100088,True,False,0,3,query_images/rollout_rank00/ep000003_q000_reset100100088__head.png,query_images/rollout_rank00/ep000003_q000_reset100100088__left_wrist.png,query_images/rollout_rank00/ep000003_q000_reset100100088__right_wrist.png,0.1634619,-0.7865835,0.6722681,-0.17245752,1.7534008,0.24388121
11,0,11,ep000003_q001_reset100100088,3,1,50,100100088,True,False,0,3,query_images/rollout_rank00/ep000003_q001_reset100100088__head.png,query_images/rollout_rank00/ep000003_q001_reset100100088__left_wrist.png,query_images/rollout_rank00/ep000003_q001_reset100100088__right_wrist.png,0.16808692,-0.7744661,0.71270055,-0.14709292,1.9103348,0.2811095
19,0,19,ep000003_q002_reset100100088,3,2,100,100100088,True,False,0,3,query_images/rollout_rank00/ep000003_q002_reset100100088__head.png,query_images/rollout_rank00/ep000003_q002_reset100100088__left_wrist.png,query_images/rollout_rank00/ep000003_q002_reset100100088__right_wrist.png,0.12060645,-0.91862947,0.38246816,-0.4174047,1.1310494,0.05348157
27,0,27,ep000003_q003_reset100100088,3,3,150,100100088,True,True,0,3,query_images/rollout_rank00/ep000003_q003_reset100100088__head.png,query_images/rollout_rank00/ep000003_q003_reset100100088__left_wrist.png,query_images/rollout_rank00/ep000003_q003_reset100100088__right_wrist.png,0.13461879,-0.8708943,0.43263265,-0.36388072,1.2139659,0.084206484
4,0,4,ep000004_q000_reset100100043,4,0,0,100100043,True,False,0,4,query_images/rollout_rank00/ep000004_q000_reset100100043__head.png,query_images/rollout_rank00/ep000004_q000_reset100100043__left_wrist.png,query_images/rollout_rank00/ep000004_q000_reset100100043__right_wrist.png,0.15516947,-0.80919373,0.59201974,-0.22766383,1.5892226,0.20118473
12,0,12,ep000004_q001_reset100100043,4,1,50,100100043,True,False,0,4,query_images/rollout_rank00/ep000004_q001_reset100100043__head.png,query_images/rollout_rank00/ep000004_q001_reset100100043__left_wrist.png,query_images/rollout_rank00/ep000004_q001_reset100100043__right_wrist.png,0.1913822,-0.71809846,0.99319816,-0.0029640954,2.4186819,0.38357878
20,0,20,ep000004_q002_reset100100043,4,2,100,100100043,True,False,0,4,query_images/rollout_rank00/ep000004_q002_reset100100043__head.png,query_images/rollout_rank00/ep000004_q002_reset100100043__left_wrist.png,query_images/rollout_rank00/ep000004_q002_reset100100043__right_wrist.png,0.11211528,-0.9503352,0.3684542,-0.43361655,1.137782,0.05605905
28,0,28,ep000004_q003_reset100100043,4,3,150,100100043,True,True,0,4,query_images/rollout_rank00/ep000004_q003_reset100100043__head.png,query_images/rollout_rank00/ep000004_q003_reset100100043__left_wrist.png,query_images/rollout_rank00/ep000004_q003_reset100100043__right_wrist.png,0.1244206,-0.90510774,0.40154713,-0.39626348,1.2066538,0.081582695
5,0,5,ep000005_q000_reset100100081,5,0,0,100100081,False,False,0,5,query_images/rollout_rank00/ep000005_q000_reset100100081__head.png,query_images/rollout_rank00/ep000005_q000_reset100100081__left_wrist.png,query_images/rollout_rank00/ep000005_q000_reset100100081__right_wrist.png,0.32952154,-0.48211622,8.41294,0.9249478,99.91037,1.9996108
13,0,13,ep000005_q001_reset100100081,5,1,50,100100081,False,False,0,5,query_images/rollout_rank00/ep000005_q001_reset100100081__head.png,query_images/rollout_rank00/ep000005_q001_reset100100081__left_wrist.png,query_images/rollout_rank00/ep000005_q001_reset100100081__right_wrist.png,0.18032569,-0.7439424,0.8771253,-0.05693835,3.0039825,0.47769743
21,0,21,ep000005_q002_reset100100081,5,2,100,100100081,False,False,0,5,query_images/rollout_rank00/ep000005_q002_reset100100081__head.png,query_images/rollout_rank00/ep000005_q002_reset100100081__left_wrist.png,query_images/rollout_rank00/ep000005_q002_reset100100081__right_wrist.png,0.18956147,-0.72225,0.952821,-0.020988671,3.2281137,0.50894886
29,0,29,ep000005_q003_reset100100081,5,3,150,100100081,False,False,0,5,query_images/rollout_rank00/ep000005_q003_reset100100081__head.png,query_images/rollout_rank00/ep000005_q003_reset100100081__left_wrist.png,query_images/rollout_rank00/ep000005_q003_reset100100081__right_wrist.png,0.08509448,-1.0700986,1.1985339,0.07865032,9.829251,0.99252045
6,0,6,ep000006_q000_reset100100144,6,0,0,100100144,True,False,0,6,query_images/rollout_rank00/ep000006_q000_reset100100144__head.png,query_images/rollout_rank00/ep000006_q000_reset100100144__left_wrist.png,query_images/rollout_rank00/ep000006_q000_reset100100144__right_wrist.png,0.14267498,-0.84565216,0.63146484,-0.19965084,1.7294172,0.2378998
14,0,14,ep000006_q001_reset100100144,6,1,50,100100144,True,False,0,6,query_images/rollout_rank00/ep000006_q001_reset100100144__head.png,query_images/rollout_rank00/ep000006_q001_reset100100144__left_wrist.png,query_images/rollout_rank00/ep000006_q001_reset100100144__right_wrist.png,0.28273004,-0.5486281,1.1440347,0.058439214,2.8140228,0.44932762
22,0,22,ep000006_q002_reset100100144,6,2,100,100100144,True,False,0,6,query_images/rollout_rank00/ep000006_q002_reset100100144__head.png,query_images/rollout_rank00/ep000006_q002_reset100100144__left_wrist.png,query_images/rollout_rank00/ep000006_q002_reset100100144__right_wrist.png,0.12183974,-0.91421103,0.40645143,-0.39099136,1.1602851,0.06456472
30,0,30,ep000006_q003_reset100100144,6,3,150,100100144,True,True,0,6,query_images/rollout_rank00/ep000006_q003_reset100100144__head.png,query_images/rollout_rank00/ep000006_q003_reset100100144__left_wrist.png,query_images/rollout_rank00/ep000006_q003_reset100100144__right_wrist.png,0.15362844,-0.8135284,0.47329736,-0.32486594,1.3177099,0.11981982
7,0,7,ep000007_q000_reset100100098,7,0,0,100100098,True,False,0,7,query_images/rollout_rank00/ep000007_q000_reset100100098__head.png,query_images/rollout_rank00/ep000007_q000_reset100100098__left_wrist.png,query_images/rollout_rank00/ep000007_q000_reset100100098__right_wrist.png,0.21200264,-0.6736588,0.6982609,-0.15598229,1.8307374,0.26262605
15,0,15,ep000007_q001_reset100100098,7,1,50,100100098,True,False,0,7,query_images/rollout_rank00/ep000007_q001_reset100100098__head.png,query_images/rollout_rank00/ep000007_q001_reset100100098__left_wrist.png,query_images/rollout_rank00/ep000007_q001_reset100100098__right_wrist.png,0.18821113,-0.72535473,0.6754853,-0.1703841,1.7991879,0.25507653
23,0,23,ep000007_q002_reset100100098,7,2,100,100100098,True,False,0,7,query_images/rollout_rank00/ep000007_q002_reset100100098__head.png,query_images/rollout_rank00/ep000007_q002_reset100100098__left_wrist.png,query_images/rollout_rank00/ep000007_q002_reset100100098__right_wrist.png,0.10244226,-0.98952085,0.43885082,-0.3576831,1.4970461,0.17523518
31,0,31,ep000007_q003_reset100100098,7,3,150,100100098,True,True,0,7,query_images/rollout_rank00/ep000007_q003_reset100100098__head.png,query_images/rollout_rank00/ep000007_q003_reset100100098__left_wrist.png,query_images/rollout_rank00/ep000007_q003_reset100100098__right_wrist.png,0.106896855,-0.97103506,0.40302512,-0.3946679,1.206298,0.081454605
32,1,0,ep000008_q000_reset100100005,8,0,0,100100005,True,False,1,0,query_images/rollout_rank01/ep000008_q000_reset100100005__head.png,query_images/rollout_rank01/ep000008_q000_reset100100005__left_wrist.png,query_images/rollout_rank01/ep000008_q000_reset100100005__right_wrist.png,0.23711544,-0.6250402,0.66539496,-0.1769205,5.086607,0.70642823
40,1,8,ep000008_q001_reset100100005,8,1,50,100100005,True,False,1,0,query_images/rollout_rank01/ep000008_q001_reset100100005__head.png,query_images/rollout_rank01/ep000008_q001_reset100100005__left_wrist.png,query_images/rollout_rank01/ep000008_q001_reset100100005__right_wrist.png,0.116280705,-0.93449235,0.56817454,-0.24551824,3.6204355,0.5587608
48,1,16,ep000008_q002_reset100100005,8,2,100,100100005,True,False,1,0,query_images/rollout_rank01/ep000008_q002_reset100100005__head.png,query_images/rollout_rank01/ep000008_q002_reset100100005__left_wrist.png,query_images/rollout_rank01/ep000008_q002_reset100100005__right_wrist.png,0.1909299,-0.7191261,0.7303127,-0.13649115,1.4076178,0.14848477
56,1,24,ep000008_q003_reset100100005,8,3,150,100100005,True,True,1,0,query_images/rollout_rank01/ep000008_q003_reset100100005__head.png,query_images/rollout_rank01/ep000008_q003_reset100100005__left_wrist.png,query_images/rollout_rank01/ep000008_q003_reset100100005__right_wrist.png,0.08306421,-1.0805861,0.25692102,-0.59020036,1.4512279,0.16173562
33,1,1,ep000009_q000_reset100100122,9,0,0,100100122,False,False,1,1,query_images/rollout_rank01/ep000009_q000_reset100100122__head.png,query_images/rollout_rank01/ep000009_q000_reset100100122__left_wrist.png,query_images/rollout_rank01/ep000009_q000_reset100100122__right_wrist.png,0.15709086,-0.8038491,0.7202098,-0.14254099,11.073452,1.044283
41,1,9,ep000009_q001_reset100100122,9,1,50,100100122,False,False,1,1,query_images/rollout_rank01/ep000009_q001_reset100100122__head.png,query_images/rollout_rank01/ep000009_q001_reset100100122__left_wrist.png,query_images/rollout_rank01/ep000009_q001_reset100100122__right_wrist.png,0.16784951,-0.7750799,1.4497447,0.16129152,5.3091283,0.72502327
49,1,17,ep000009_q002_reset100100122,9,2,100,100100122,False,False,1,1,query_images/rollout_rank01/ep000009_q002_reset100100122__head.png,query_images/rollout_rank01/ep000009_q002_reset100100122__left_wrist.png,query_images/rollout_rank01/ep000009_q002_reset100100122__right_wrist.png,0.4766497,-0.32180068,1.7878189,0.25232354,16.238789,1.2105536
57,1,25,ep000009_q003_reset100100122,9,3,150,100100122,False,False,1,1,query_images/rollout_rank01/ep000009_q003_reset100100122__head.png,query_images/rollout_rank01/ep000009_q003_reset100100122__left_wrist.png,query_images/rollout_rank01/ep000009_q003_reset100100122__right_wrist.png,0.08352661,-1.0781752,0.5435754,-0.26474023,12.005642,1.0793854
