run,bin_index,bin_start_h,bin_end_h,samples,cgroup_current_gib_median,cgroup_current_gib_peak,cgroup_current_gib_last,gpu0_memory_gib_median,gpu0_memory_gib_peak,gpu0_memory_gib_last,gpu1_memory_gib_median,gpu1_memory_gib_peak,gpu1_memory_gib_last,env_rss_gib_median,env_rss_gib_peak,env_rss_gib_last
dvac_formal,0,0.0,0.167,271,55.951,63.379,63.109,22.989,25.398,25.398,22.959,25.367,25.367,22.061,29.121,29.121
dvac_formal,1,0.167,0.333,270,65.085,66.582,65.888,25.397,26.533,25.949,25.367,26.503,25.627,31.04,32.09,32.08
dvac_formal,2,0.333,0.5,271,69.489,78.569,78.569,26.453,28.869,22.146,26.095,28.799,21.746,33.973,42.954,42.954
dvac_formal,3,0.5,0.667,273,82.835,84.268,83.696,25.68,26.877,24.842,25.28,26.097,23.646,47.677,48.681,48.463
dvac_formal,4,0.667,0.833,273,88.855,92.931,92.36,27.377,28.627,28.338,26.394,27.478,26.894,53.366,57.248,57.217
dvac_formal,5,0.833,1.0,273,93.829,95.715,94.06,25.431,29.377,25.198,25.593,28.81,24.706,58.705,60.214,58.959
dvac_formal,6,1.0,1.167,273,94.986,101.771,101.369,25.992,27.628,25.599,25.655,26.728,25.849,59.994,66.469,66.19
dvac_formal,7,1.167,1.333,273,102.039,104.253,97.888,27.298,28.872,19.02,26.728,28.8,19.462,67.003,68.971,62.703
dvac_formal,8,1.333,1.5,272,114.461,116.086,115.668,25.412,26.247,26.127,25.28,26.728,26.728,79.0,81.296,78.705
dvac_formal,9,1.5,1.667,273,117.043,120.309,120.309,25.793,27.128,26.449,25.806,26.728,26.144,82.302,85.033,85.033
dvac_formal,10,1.667,1.833,273,116.289,127.403,116.851,25.492,28.872,25.896,25.53,28.808,25.843,81.504,92.441,82.056
dvac_formal,11,1.833,2.0,272,117.886,119.454,119.05,25.795,26.628,25.119,25.843,27.478,25.729,82.876,84.59,84.59
dvac_formal,12,2.0,2.167,273,120.281,122.559,108.109,26.628,28.87,20.661,27.683,28.806,20.261,85.439,87.682,73.801
dvac_formal,13,2.167,2.333,272,113.169,119.275,118.473,25.639,26.878,24.842,24.884,25.847,23.979,78.304,84.26,83.595
dvac_formal,14,2.333,2.5,273,124.721,126.844,126.739,26.877,28.627,28.627,25.647,26.478,25.897,89.997,91.878,91.878
dvac_formal,15,2.5,2.667,273,117.988,127.568,118.491,25.964,29.128,25.891,25.53,28.808,26.093,83.163,92.388,83.659
dvac_formal,16,2.667,2.833,273,119.471,126.369,125.968,26.4,27.815,27.815,26.144,27.478,26.569,84.652,91.155,91.115
dvac_formal,17,2.833,3.0,273,126.975,128.518,120.521,27.814,29.077,24.079,27.634,29.22,25.28,92.119,93.403,85.662
dvac_formal,18,3.0,3.167,272,126.02,127.794,127.581,25.431,26.565,24.82,25.247,26.097,24.229,91.106,92.96,92.96
dvac_formal,19,3.167,3.333,273,129.766,131.587,131.581,26.564,28.315,28.315,26.478,27.978,27.978,94.97,96.779,96.779
dvac_formal,20,3.333,3.5,273,128.495,132.493,128.574,25.742,28.87,23.957,25.843,28.808,24.024,93.451,97.472,93.378
dvac_formal,21,3.5,3.667,273,130.075,135.313,135.313,26.74,28.128,28.128,26.343,27.978,27.978,95.221,100.5,100.5
dvac_formal,22,3.667,3.833,272,138.207,139.953,129.728,27.996,29.377,25.431,27.645,28.978,25.28,103.022,105.143,94.947
dvac_formal,23,3.833,4.0,273,131.246,133.049,133.049,25.502,26.878,26.878,25.343,27.228,27.228,96.621,98.269,98.269
dvac_formal,24,4.0,4.167,273,133.867,135.035,134.669,26.878,28.128,26.963,27.14,28.228,27.257,99.008,99.873,99.873
dvac_formal,25,4.167,4.333,273,145.369,147.752,145.604,26.092,28.872,24.395,25.771,28.978,25.538,98.749,102.584,98.709
dvac_formal,26,4.333,4.5,272,144.024,146.614,144.527,26.617,28.118,28.118,26.082,26.968,25.417,97.125,99.362,97.625
dvac_formal,27,4.5,4.667,273,144.352,145.353,143.761,25.953,29.112,23.016,25.509,29.12,22.571,97.456,97.992,96.859
dvac_formal,28,4.667,4.833,272,145.89,147.533,147.532,25.982,27.118,27.118,25.833,27.468,27.468,99.079,100.614,100.614
dvac_formal,29,4.833,5.0,273,149.018,151.389,150.99,27.57,29.368,29.368,27.677,28.968,27.8,102.243,104.372,104.059
dvac_formal,30,5.0,5.167,273,149.322,152.723,152.214,25.921,29.368,26.126,26.038,29.468,26.833,102.937,105.355,105.355
dvac_formal,31,5.167,5.333,272,160.049,162.267,161.867,27.439,29.117,28.828,27.087,28.718,26.97,113.247,115.105,115.105
dvac_formal,32,5.333,5.5,274,162.417,164.118,144.284,28.513,29.618,22.145,28.498,30.218,21.585,115.701,117.038,97.819
dvac_formal,33,5.5,5.667,273,146.468,148.382,148.368,26.373,28.368,28.368,25.684,27.656,27.656,99.796,101.686,101.686
dvac_formal,34,5.667,5.833,272,149.231,151.534,151.126,28.217,29.618,29.23,27.656,29.156,28.567,102.547,104.84,104.44
dvac_formal,35,5.833,6.0,273,149.437,152.113,151.884,25.671,30.368,25.937,25.692,29.53,26.834,102.744,105.415,104.925
dvac_formal,36,6.0,6.167,272,153.011,159.527,159.527,25.983,27.118,25.374,26.132,26.969,26.093,106.37,112.055,112.007
dvac_formal,37,6.167,6.333,272,159.686,161.733,156.048,26.731,29.11,22.437,27.05,29.116,22.282,112.947,114.752,109.731
dvac_formal,38,6.333,6.5,273,157.589,159.353,158.952,26.233,28.118,28.118,25.503,26.719,24.876,110.888,112.662,112.595
dvac_formal,39,6.5,6.667,272,159.771,162.47,162.132,27.823,29.118,29.118,27.038,27.969,27.968,113.121,115.911,115.581
dvac_formal,40,6.667,6.833,273,155.988,162.833,156.16,25.983,29.118,26.444,25.521,29.12,26.584,109.449,116.102,109.615
dvac_formal,41,6.833,7.0,273,157.07,159.318,158.514,26.577,28.118,26.993,26.468,27.969,27.969,110.521,112.034,111.963
dvac_formal,42,7.0,7.167,272,160.105,162.009,154.238,27.251,29.114,25.983,26.759,29.114,25.833,113.548,115.013,107.686
dvac_formal,43,7.167,7.333,273,155.119,157.043,156.745,25.983,27.118,26.534,25.833,26.969,26.87,108.561,110.516,110.456
dvac_formal,44,7.333,7.5,272,158.713,159.638,159.212,27.868,29.118,27.124,27.219,28.219,27.343,112.14,112.958,112.623
dvac_formal,45,7.5,7.667,272,159.151,160.586,160.586,25.743,29.319,25.862,25.207,29.53,25.649,112.623,113.782,113.601
dvac_formal,46,7.667,7.833,273,161.774,163.362,162.958,27.034,28.618,28.618,26.321,27.156,25.604,115.182,116.482,116.363
dvac_formal,47,7.833,8.0,273,163.226,166.873,155.694,27.651,29.618,23.687,25.696,29.12,23.032,116.631,120.193,109.199
dvac_formal,48,8.0,8.167,273,156.721,157.891,157.888,26.483,27.368,27.368,25.583,27.219,27.219,110.223,111.383,111.383
dvac_formal,49,8.167,8.333,273,159.46,162.997,162.997,27.524,28.618,28.573,27.3,29.218,29.218,112.65,116.877,116.877
dvac_formal,50,8.333,8.5,272,169.789,171.314,170.599,25.899,29.118,26.946,24.893,29.218,25.993,113.477,116.877,114.245
dvac_formal,51,8.5,8.667,273,179.29,180.755,180.755,27.641,29.118,27.413,26.327,27.969,26.706,123.147,124.614,124.243
dvac_formal,52,8.667,8.833,273,180.657,182.686,172.495,28.124,30.368,24.399,26.759,29.317,23.665,124.619,126.633,116.513
dvac_formal,53,8.833,9.0,273,174.252,175.143,174.684,26.233,27.368,25.63,26.083,28.219,28.219,118.265,119.033,118.691
dvac_formal,54,9.0,9.167,273,175.048,176.131,176.129,25.19,26.368,26.368,26.174,28.219,27.969,118.733,120.124,120.124
dvac_formal,55,9.167,9.333,272,171.605,176.252,173.159,25.251,29.112,26.487,25.521,29.12,27.087,115.41,120.124,117.157
dvac_formal,56,9.333,9.5,273,174.24,176.562,176.442,26.243,27.868,27.868,27.456,28.969,28.381,118.223,120.906,120.906
dvac_formal,57,9.5,9.667,272,174.523,176.795,168.235,26.124,29.112,26.483,27.432,29.969,26.084,119.183,122.843,116.567
dvac_formal,58,9.667,9.833,272,167.782,173.362,172.895,26.483,28.118,26.28,25.998,26.906,26.364,117.238,122.925,122.825
dvac_formal,59,9.833,10.0,48,173.52,174.078,174.078,27.421,28.618,27.493,26.81,26.906,26.905,123.451,123.852,123.616
successful_grpo_baseline,0,0.0,0.167,283,85.501,90.741,90.739,22.058,24.646,22.907,22.035,24.615,23.457,24.562,29.781,29.781
successful_grpo_baseline,1,0.167,0.333,282,92.768,94.306,94.135,24.9,26.031,26.031,24.586,26.001,26.001,31.79,33.35,33.145
successful_grpo_baseline,2,0.333,0.5,282,94.859,111.287,111.287,24.711,28.352,21.676,24.681,28.252,21.933,33.822,49.098,49.098
successful_grpo_baseline,3,0.5,0.667,283,113.299,120.792,120.792,24.961,26.846,26.846,24.388,25.565,23.817,51.141,58.614,58.614
successful_grpo_baseline,4,0.667,0.833,283,121.85,124.313,119.273,26.762,28.346,28.331,25.981,27.815,14.733,59.663,62.2,56.545
successful_grpo_baseline,5,0.833,1.0,283,124.603,127.698,127.301,23.824,28.331,23.891,23.772,28.272,23.897,62.476,65.564,65.164
successful_grpo_baseline,6,1.0,1.167,283,128.641,130.368,129.966,25.762,26.847,25.399,25.065,26.565,25.106,66.501,68.216,67.815
successful_grpo_baseline,7,1.167,1.333,282,128.92,131.49,124.449,24.764,28.274,22.664,24.431,28.351,22.767,66.768,69.336,62.295
successful_grpo_baseline,8,1.333,1.5,283,126.525,133.396,133.202,24.674,25.847,23.811,24.948,26.565,24.724,64.371,71.249,70.656
successful_grpo_baseline,9,1.5,1.667,282,133.286,140.843,135.554,24.554,28.255,19.26,23.983,28.272,19.032,70.98,78.641,73.414
successful_grpo_baseline,10,1.667,1.833,283,142.553,143.834,143.316,23.921,25.216,23.549,23.897,25.315,24.349,80.348,81.645,81.13
successful_grpo_baseline,11,1.833,2.0,283,144.814,147.435,147.035,25.049,26.847,25.629,25.724,27.565,26.106,82.596,85.209,84.808
successful_grpo_baseline,12,2.0,2.167,283,140.025,148.098,140.556,24.649,28.274,25.462,24.368,28.272,24.681,77.798,85.889,78.328
successful_grpo_baseline,13,2.167,2.333,282,146.051,147.399,147.399,25.241,26.847,26.847,24.386,25.315,25.315,83.816,85.149,85.149
successful_grpo_baseline,14,2.333,2.5,283,148.143,150.934,150.921,26.188,28.255,24.462,24.599,28.312,24.931,85.902,88.648,88.635
successful_grpo_baseline,15,2.5,2.667,283,152.537,153.994,153.85,24.607,26.534,26.534,24.931,26.065,26.065,90.243,91.717,91.573
successful_grpo_baseline,16,2.667,2.833,283,154.899,157.203,156.843,26.408,27.784,27.783,26.226,27.815,27.815,92.609,94.876,94.532
successful_grpo_baseline,17,2.833,3.0,282,154.679,157.815,157.614,23.946,28.274,22.707,23.542,28.233,23.515,92.366,95.488,95.293
successful_grpo_baseline,18,3.0,3.167,283,155.275,158.015,155.921,24.199,25.784,24.626,24.228,25.315,23.567,92.978,95.693,93.59
successful_grpo_baseline,19,3.167,3.333,283,158.756,161.291,159.936,24.649,28.313,23.547,24.44,28.253,24.003,96.45,98.648,97.618
successful_grpo_baseline,20,3.333,3.5,283,161.614,169.768,169.352,25.211,26.597,25.432,25.106,26.565,25.884,99.271,107.391,106.99
successful_grpo_baseline,21,3.5,3.667,282,170.976,173.003,160.911,27.034,28.353,21.191,26.774,28.253,21.411,108.602,110.649,98.69
successful_grpo_baseline,22,3.667,3.833,282,160.603,163.573,163.293,24.399,25.465,24.766,24.368,25.815,24.077,98.245,101.198,100.92
