runner_step_internal,global_step,rank_count,paired_npz_complete,rank_global_csv_consistent,warmup,history_runner_steps_internal,history_steps,history_count,history_log_v_l3_mean,history_log_v_l3_std,current_count,current_log_v_l3_mean,current_log_v_l3_std,current_csv_mean_abs_error,current_csv_std_abs_error,current_minus_history_log_v_l3,current_over_history_geomean_ratio_l3,query_count_all,valid_query_count,positive_adv_query_count,negative_adv_query_count,zero_adv_query_count,weight_formula_max_abs_error,weight_min_valid,weight_p05_valid,weight_mean_valid,weight_p50_valid,weight_p95_valid,weight_max_valid,weight_below_one_fraction_valid,weight_above_one_fraction_valid,weight_low_clip_fraction_valid,weight_high_clip_fraction_valid,positive_adv_weight_mean_valid,negative_adv_weight_mean_valid,negative_minus_positive_adv_weight,weight_mean_all,weight_front_h00_24_mean_all,weight_back_h25_49_mean_all,weight_back_minus_front_all,weight_front_h00_24_mean_valid,weight_back_h25_49_mean_valid,weight_back_minus_front_valid,v_l2_mean,v_l2_median,v_l2_p05,v_l2_p95,v_l3_mean,v_l3_median,v_l3_p05,v_l3_p95,v_l4_mean,v_l4_median,v_l4_p05,v_l4_p95,v_l3_back_over_front_mean,h_spearman_with_median_v_l3,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss,all_arrays_finite,current_log_v_l3_p05,current_log_v_l3_p50,current_log_v_l3_p95,history_log_v_l3_p05,history_log_v_l3_p50,history_log_v_l3_p95,post_update_history_steps,post_update_history_count,post_update_history_log_v_l3_mean,post_update_history_log_v_l3_std,post_update_history_log_v_l3_p05,post_update_history_log_v_l3_p50,post_update_history_log_v_l3_p95
0,1,2,True,True,1,,0,0,0,0,51200,-4.412823824,0.6461099689,0,3.885780586e-15,,,1024,586,354,232,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0.004220374529,0.003192965407,0.001115985983,0.01059440915,0.01537819345,0.01152329333,0.004624287179,0.03689279761,0.05176799827,0.03288163617,0.01684515476,0.1566278435,1.204155198,0.6996878752,47.49304199,0.168091327,0.1423941255,0.9900237322,0.01873416267,True,-5.376433043,-4.463384785,-3.299738934,,,,1,51200,-4.412823824,0.6461099689,-5.376433043,-4.463384785,-3.299738934
1,2,2,True,True,0,0,1,51200,-4.412823824,0.6461099689,51200,-4.411570623,0.6717913151,0,9.992007222e-16,0.001253200748,1.001253986,1024,586,354,232,0,5.960464478e-08,0.8000000119,0.8648586333,1.016849234,1.013711572,1.193057239,1.200000048,0.4434812287,0.5565187713,0.00614334471,0.04580204778,1.00590481,1.033548917,0.02764410766,0.9982462377,0.9836045116,1.012887964,0.02928345224,0.9972835521,1.036414917,0.03913136447,0.004483436273,0.003347694059,0.001234918629,0.01122553032,0.0157096991,0.01149851736,0.004485478904,0.0391526727,0.06927343816,0.03524161316,0.01715817768,0.2066392958,1.278773627,0.8448979592,36.13875961,0.1510059237,0.04722914472,0.999119997,0.002194110537,True,-5.40691001,-4.465537178,-3.240286595,-5.376433043,-4.463384785,-3.299738934,2,102400,-4.412197223,0.6590760382,-5.393220476,-4.464403971,-3.27174198
2,3,2,True,True,0,0;1,2,102400,-4.412197223,0.6590760382,51200,-4.400568064,0.7098065654,0,1.33226763e-15,0.01162915912,1.011697041,1024,572,396,176,0,5.960464478e-08,0.8000000119,0.8737178952,1.018385787,1.013693631,1.200000048,1.200000048,0.4419230769,0.5580769231,0.002657342657,0.05206293706,1.010653743,1.035782888,0.02512914556,0.9984590015,0.9805343392,1.016383664,0.03584932461,0.9968956585,1.039875916,0.04298025771,0.004575810992,0.003356118803,0.001229822368,0.01148987124,0.01672150584,0.01151289465,0.004393664608,0.04224672932,0.07592167782,0.03687055968,0.01738829995,0.2262558877,1.457640786,0.9008883553,41.99591827,0.1531753242,0.03763066977,1.008193612,0.003983739763,True,-5.427591637,-4.464287598,-3.164228342,-5.393220476,-4.464403971,-3.27174198,3,153600,-4.408320837,0.6764313138,-5.404248104,-4.464346976,-3.238078889
3,4,2,True,True,0,0;1;2,3,153600,-4.408320837,0.6764313138,51200,-4.381834911,0.6726170977,8.881784197e-16,8.10462808e-15,0.02648592596,1.026839795,1024,482,286,196,0,5.960464478e-08,0.8000000119,0.8768456429,1.020746137,1.016561449,1.200000048,1.200000048,0.4272614108,0.5727385892,0.003070539419,0.05037344398,1.011562346,1.034146975,0.02258462861,1.001437428,0.988121802,1.014753054,0.02663125231,1.003047125,1.038445148,0.0353980227,0.004661474125,0.003477180842,0.001295776613,0.01158316787,0.01647465513,0.0116986339,0.004720681673,0.04066818785,0.06879961845,0.0353918653,0.01765515134,0.2100574218,1.318876694,0.8460504202,32.90983582,0.1330094635,0.04287748411,1.008221388,0.005833439063,True,-5.355802067,-4.448283205,-3.202309118,-5.404248104,-4.464346976,-3.238078889,4,204800,-4.401699355,0.6755771338,-5.392723854,-4.459967624,-3.230019921
4,5,2,True,True,0,0;1;2;3,4,204800,-4.401699355,0.6755771338,51200,-4.406621506,0.6329385395,0,2.886579864e-15,-0.00492215083,0.9950899431,1024,554,354,200,0,5.960464478e-08,0.8000000119,0.8797239602,1.016730675,1.011711776,1.18229816,1.200000048,0.4481227437,0.5518772563,0.001913357401,0.03841155235,1.008642592,1.031046582,0.02240398987,0.9975184493,0.9868952281,1.008141671,0.02124644249,1.000646234,1.032815117,0.03216888337,0.004212985833,0.003314931178,0.001317266538,0.009918859135,0.015582645,0.01146742795,0.004880874255,0.03649024703,0.05891911433,0.03383869492,0.01749903867,0.1635652326,1.26019253,0.7938055222,33.73635101,0.1248528212,0.02574636601,1.001439571,-0.005099593662,True,-5.322430924,-4.468244615,-3.310710259,-5.392723854,-4.459967624,-3.230019921,5,256000,-4.402683785,0.6672703248,-5.379204553,-4.461769915,-3.246177247
5,6,2,True,True,0,0;1;2;3;4,5,256000,-4.402683785,0.6672703248,51200,-4.438972338,0.6469924715,0,5.218048216e-15,-0.03628855241,0.9643619844,1024,519,363,156,0,5.960464478e-08,0.8000000119,0.8794151098,1.01523042,1.007637799,1.193057668,1.200000048,0.4665895954,0.5334104046,0.002080924855,0.04516377649,1.006050441,1.036591523,0.03054108197,0.9929529942,0.9771883659,1.008717623,0.03152925659,0.9964469519,1.034013887,0.03756693531,0.004364956097,0.003332046326,0.001237676409,0.01063720221,0.0151127954,0.01118935738,0.004550817492,0.03676686417,0.05915577085,0.0345655866,0.01735114828,0.1885173813,1.371444694,0.9145258103,38.71063614,0.1602674425,0.05006387085,0.9963307381,-0.000297171995,True,-5.392448393,-4.492792187,-3.30315827,-5.379204553,-4.461769915,-3.246177247,5,256000,-4.407913488,0.6676027094,-5.382381542,-4.468039691,-3.246574996
6,7,2,True,True,0,1;2;3;4;5,5,256000,-4.407913488,0.6676027094,51200,-4.405344914,0.6421831074,0,1.443289932e-15,0.002568574267,1.002571876,1024,454,270,184,0,5.960464478e-08,0.8000000119,0.8786545187,1.017894856,1.012963355,1.189444417,1.200000048,0.4440088106,0.5559911894,0.001938325991,0.04237885463,1.007980143,1.03244362,0.02446347735,0.9985016439,0.9827063119,1.014296976,0.03159066387,0.9972549794,1.038534733,0.04127975371,0.004422451383,0.003429565579,0.001292339934,0.01070856089,0.01557489168,0.0114818681,0.004747554986,0.03772629444,0.0623055379,0.03596385568,0.01795430956,0.2077643551,1.356300398,0.9164465786,43.56750488,0.1733511984,0.06918563694,0.9753342867,0.01124950126,True,-5.350125533,-4.466986175,-3.277397966,-5.382381542,-4.468039691,-3.246574996,5,256000,-4.406668347,0.6617473735,-5.369818793,-4.468371602,-3.254410579
7,8,2,True,True,0,2;3;4;5;6,5,256000,-4.406668347,0.6617473735,51200,-4.370310102,0.6437353285,8.881784197e-16,2.886579864e-15,0.03635824463,1.037027289,1024,475,303,172,0,5.960464478e-08,0.8000000119,0.8814703912,1.024701027,1.018974066,1.200000048,1.200000048,0.4256421053,0.5743578947,0.001557894737,0.05566315789,1.014893587,1.041978087,0.02708450074,1.003404307,0.9899108775,1.016897736,0.02698685886,1.005094405,1.044307649,0.03921324385,0.004393183445,0.003393052961,0.001293255348,0.01077490016,0.01611645881,0.01188989216,0.004946622672,0.0389912976,0.06482685133,0.03711753152,0.01826825719,0.2104396619,1.274377776,0.8792797119,36.14440155,0.1219463944,0.03299662098,1.001425028,0.002186408732,True,-5.309050224,-4.432066638,-3.244416797,-5.369818793,-4.468371602,-3.254410579,5,256000,-4.400616754,0.6482621914,-5.347038016,-4.461889344,-3.269112228
8,9,2,True,True,0,3;4;5;6;7,5,256000,-4.400616754,0.6482621914,51200,-4.34949949,0.6201423821,0,4.440892099e-15,0.05111726457,1.052446301,1024,419,279,140,0,5.960464478e-08,0.8000000119,0.8854733765,1.027303643,1.022631288,1.200000048,1.200000048,0.4040572792,0.5959427208,0.001527446301,0.05522673031,1.017356058,1.047127759,0.02977170127,1.005628634,0.9915797287,1.019677539,0.02809780988,1.007925902,1.046681385,0.03875548292,0.004492014126,0.003344660043,0.001230015006,0.01155736465,0.01624031959,0.01203768048,0.005300139007,0.03859226927,0.06305210224,0.03499942273,0.01826426787,0.2010657355,1.279910779,0.8757262905,34.43781281,0.1344389617,0.04299492389,0.9870966673,0.0004841263872,True,-5.240022231,-4.419713508,-3.254703302,-5.347038016,-4.461889344,-3.269112228,5,256000,-4.39414967,0.6380334253,-5.324963945,-4.455596942,-3.277660185
9,10,2,True,True,0,4;5;6;7;8,5,256000,-4.39414967,0.6380334253,51200,-4.313436158,0.6461624878,8.881784197e-16,4.329869796e-15,0.08071351145,1.084060281,1024,455,267,188,0,5.960464478e-08,0.8000000119,0.889689368,1.031923462,1.025254011,1.200000048,1.200000048,0.3956483516,0.6043516484,0.001362637363,0.06984615385,1.014751448,1.056311374,0.041559926,1.009478841,0.9953835658,1.023574117,0.02819055107,1.011667095,1.052179828,0.04051273284,0.00411523553,0.003272903501,0.001249789796,0.009588557016,0.01722662357,0.01235273201,0.005340524344,0.04248421974,0.06144930131,0.03600786626,0.01845921585,0.1916965485,1.291841782,0.8739015606,33.05364609,0.1001027524,0.02481345087,1.002693653,0.006909411401,True,-5.23243144,-4.393878026,-3.158622573,-5.324963945,-4.455596942,-3.277660185,5,256000,-4.3755126,0.6414001009,-5.308936719,-4.440063799,-3.246274895
