global_step,target_step_dvac,runner_step_index_zero_based,progress_pct,elapsed_text,elapsed_s,elapsed_h,eta_text,eta_s,eta_h,mean_step_time_s_dvac,step_time_s_dvac,step_time_min,step_time_s_rolling5,step_time_s_rolling10,num_trajectories_dvac,success_trajectories,cumulative_trajectories,cumulative_successes,return_dvac,success_once_dvac,success_pct,success_once_rolling5,success_once_rolling10,reward,actor/approx_kl_dvac,actor/clip_fraction_dvac,actor/grad_norm_dvac,actor/ratio_dvac,actor/ratio_abs_dvac,actor/policy_loss_dvac,actor/policy_loss_abs_dvac,actor/total_loss_dvac,actor/dvac_current_mean,actor/dvac_current_std,actor/dvac_history_mean,actor/dvac_history_std,actor/dvac_current_minus_history,actor/dvac_warmup,actor/dvac_weight_mean_rank_local,actor/actor/compute_adv,actor/actor/recv_traj,actor/clipped_ratio_dvac,actor/dual_cliped_ratio_dvac,actor/entropy_loss,actor/lr,actor/run_training_dvac,advantages_max_dvac,advantages_mean_dvac,advantages_min_dvac,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step_dvac,env/env/send_rollout_trajectories,env/env_interact_step_dvac,env/interact,env/run_interact_once,episode_len_dvac,generate_rollouts,rewards,rollout/generate_one_epoch,rollout/predict_dvac,rollout/rollout/generate,step_dvac,sync_weights_dvac,step_grpo,target_step_grpo,mean_step_time_s_grpo,step_time_s_grpo,success_once_grpo,return_grpo,actor/approx_kl_grpo,actor/clip_fraction_grpo,actor/clipped_ratio_grpo,actor/grad_norm_grpo,actor/policy_loss_grpo,actor/ratio_grpo,actor/ratio_abs_grpo,actor/policy_loss_abs_grpo,actor/total_loss_grpo,actor/dual_cliped_ratio_grpo,advantages_mean_grpo,advantages_min_grpo,advantages_max_grpo,num_trajectories_grpo,episode_len_grpo,env/env/bootstrap_step_grpo,env/env_interact_step_grpo,rollout/predict_grpo,actor/run_training_grpo,sync_weights_grpo,success_roll5_dvac,success_roll5_grpo,success_roll5_delta,success_roll10_dvac,success_roll10_grpo,success_roll10_delta,success_roll20_dvac,success_roll20_grpo,success_roll20_delta,delta_success,delta_kl,delta_clip_fraction,delta_grad_norm,delta_step_time_s
1,100,0,1,26:40,1600,0.4444444444,44:01:13,158473,44.02027778,1600.741,1600.7,26.67833333,1600.7,1600.7,256,198,256,198,0.7734375,0.7734375,77.34375,0.7734375,0.7734375,0.0038671875,0.142,0.168,47.493,0.99,0.246,0.019,0.524,0.0023,-4.413,0.646,0,0,-4.413,1,1,0.021,1555.3,0.98,0,0,5.6e-06,34.087,2.475,-0.117,-2.475,0.024,0.007,858.6,0.834,661.8,1554.7,1553.9,200,1555.4,0.004,1553.1,26.379,1553.1,1600.7,11.228,1,100,1438.32,1438.3,0.8359375,0.8359375,0.111,0.21,0.984,28.65,-7.74e-05,1.028,0.262,0.411,-9.68e-06,0,-0.121,-2.475,1.208,256,200,902.6,455.1,26.24,35.398,11.244,,,,,,,,,,-0.0625,0.031,-0.042,18.843,162.4
2,100,1,2,51:58,3118,0.8661111111,42:26:46,152806,42.44611111,1559.251,1517.7,25.295,1559.2,1559.2,256,190,512,388,0.7421875,0.7421875,74.21875,0.7578125,0.7578125,0.0037109375,0.047,0.151,36.139,0.999,0.176,0.0022,0.487,0.000274,-4.412,0.672,-4.413,0.646,0.001,0,1.017,0.003,1482.1,0.989,0,0,5.6e-06,34.028,2.475,-0.109,-2.475,0.0068,0.0067,856.7,0.73,591.1,1481.3,1480.6,200,1482.2,0.004,1479.8,26.036,1479.8,1517.7,1.497,2,100,1443.861,1449.4,0.7265625,0.7265625,0.078,0.194,0.988,35.52,0.0043,1.023,0.24,0.426,0.000532,0,-0.122,-2.475,2.475,256,200,897.8,482.6,25.908,34.889,1.638,,,,,,,,,,0.015625,-0.031,-0.043,0.619,68.3
3,100,2,3,01:16:59,4619,1.283055556,41:29:14,149354,41.48722222,1539.742,1500.7,25.01166667,1539.7,1539.7,256,196,768,584,0.765625,0.765625,76.5625,0.7604166667,0.7604166667,0.0038281248,0.038,0.153,41.996,1.008,0.186,0.004,0.506,0.000498,-4.401,0.71,-4.412,0.659,0.011,0,1.019,0.0042,1465.4,0.988,0,0,5.6e-06,33.916,1.208,-0.116,-2.475,0.0076,0.0067,848.2,0.734,583.3,1464.7,1463.9,200,1465.5,0.0046,1463.1,25.793,1463.1,1500.7,1.299,3,100,1446.537,1451.9,0.76953125,0.76953125,0.042,0.189,0.989,39.954,-0.0012,1.003,0.189,0.449,-0.00015,0,-0.124,-2.475,1.208,256,200,903.2,478.9,26.218,35.023,1.415,,,,,,,,,,-0.00390625,-0.004,-0.036,2.042,48.8
4,100,3,4,01:41:58,6118,1.699444444,40:47:16,146836,40.78777778,1529.542,1498.9,24.98166667,1529.5,1529.5,256,199,1024,783,0.77734375,0.77734375,77.734375,0.7646484375,0.7646484375,0.0038867188,0.043,0.133,32.91,1.008,0.176,0.0058,0.439,0.000729,-4.382,0.673,-4.408,0.676,0.026,0,1.021,0.0031,1463.2,0.992,0,0,5.6e-06,34.313,1.62,-0.117,-2.475,0.0061,0.0065,861.5,0.711,574.4,1462.4,1461.5,200,1463.3,0.0039,1460.7,26.249,1460.7,1498.9,1.27,4,100,1449.99,1460.3,0.859375,0.859375,0.05,0.154,0.981,33.845,0.0036,0.989,0.171,0.345,0.000449,0,-0.115,-2.475,2.475,256,200,897.7,493.4,25.925,35.077,1.635,,,,,,,,,,-0.08203125,-0.007,-0.021,-0.935,38.6
5,100,4,5,02:06:50,7610,2.113888889,40:10:07,144607,40.16861111,1522.189,1492.8,24.88,1522.16,1522.16,256,206,1280,989,0.8046875,0.8046875,80.46875,0.77265625,0.77265625,0.004023437,0.026,0.125,33.736,1.001,0.136,-0.0051,0.502,-0.000637,-4.407,0.633,-4.402,0.676,-0.005,0,1.017,0.0034,1457,0.995,0,0,5.6e-06,34.258,1.62,-0.118,-2.475,0.0077,0.0064,856.6,0.721,569.3,1456.1,1455.3,200,1457.1,0.0043,1454.6,26.439,1454.6,1492.8,1.397,5,100,1443.57,1417.9,0.8984375,0.8984375,0.04,0.107,0.99,22.997,-0.0033,0.986,0.125,0.328,-0.000414,0,-0.112,-2.475,0.935,256,200,897.7,458.8,25.972,36.074,1.583,0.77265625,0.81796875,-0.0453125,,,,,,,-0.09375,-0.014,0.018,10.739,74.9
6,100,5,6,02:31:21,9081,2.5225,39:31:19,142279,39.52194444,1513.611,1470.7,24.51166667,1496.16,1513.583333,256,217,1536,1206,0.84765625,0.84765625,84.765625,0.7875,0.78515625,0.004238281,0.05,0.16,38.711,0.996,0.179,-0.000297,0.453,-3.71e-05,-4.439,0.647,-4.403,0.667,-0.036,0,1.016,0.0038,1434.8,0.985,0,0,5.6e-06,34.334,1.208,-0.115,-2.475,0.0078,0.0066,854.4,0.747,546.2,1434,1433.2,200,1434.9,0.0047,1432.4,25.999,1432.4,1470.7,1.451,6,100,1445.331,1454.1,0.90625,0.90625,0.03,0.16,0.99,38.549,0.0035,1.014,0.19,0.319,0.000442,0,-0.115,-2.475,0.725,256,200,906.9,476.9,25.791,35.864,1.521,0.7875,0.83203125,-0.04453125,,,,,,,-0.05859375,0.02,0,0.162,16.6
7,100,6,7,02:56:29,10589,2.941388889,39:04:51,140691,39.08083333,1512.808,1508,25.13333333,1494.22,1512.785714,256,202,1792,1408,0.7890625,0.7890625,78.90625,0.796875,0.7857142857,0.0039453125,0.069,0.173,43.568,0.975,0.192,0.011,0.416,0.0014,-4.405,0.642,-4.408,0.668,0.003,0,1.018,0.0033,1472.4,0.972,0,0,5.6e-06,34.263,1.62,-0.12,-2.475,0.0077,0.0063,851.2,0.739,587,1471.5,1470.7,200,1472.5,0.004,1469.9,25.878,1469.9,1508,1.234,7,100,1442.063,1422.4,0.88671875,0.88671875,0.034,0.12,0.995,36.739,0.0039,1.001,0.161,0.377,0.000489,0,-0.112,-2.475,0.935,256,200,899.7,462.9,25.431,35.473,1.259,0.796875,0.8640625,-0.0671875,,,,,,,-0.09765625,0.035,0.053,6.829,85.6
8,100,7,8,03:21:07,12067,3.351944444,38:32:51,138771,38.5475,1508.386,1477.4,24.62333333,1489.56,1508.3625,256,213,2048,1621,0.83203125,0.83203125,83.203125,0.81015625,0.7915039062,0.004160156,0.033,0.122,36.144,1.001,0.151,0.0022,0.415,0.000273,-4.37,0.644,-4.407,0.662,0.037,0,1.024,0.0042,1441.9,0.989,0,0,5.6e-06,34.236,1.62,-0.113,-2.475,0.0074,0.011,855.3,0.765,558.7,1441.1,1440.4,200,1442,0.0043,1439.6,26.227,1439.6,1477.4,1.202,8,100,1441.137,1434.6,0.8984375,0.8984375,0.054,0.171,0.98,37.421,0.0033,0.995,0.202,0.258,0.000412,0,-0.108,-2.475,2.475,256,200,893.9,471.5,25.626,35.577,1.302,0.81015625,0.88984375,-0.0796875,,,,,,,-0.06640625,-0.021,-0.049,-1.277,42.8
9,100,8,9,03:46:02,13562,3.767222222,38:05:34,137134,38.09277778,1506.974,1495.7,24.92833333,1488.92,1506.955556,256,221,2304,1842,0.86328125,0.86328125,86.328125,0.82734375,0.7994791667,0.004316406,0.043,0.134,34.438,0.987,0.154,0.000484,0.363,6.05e-05,-4.349,0.62,-4.401,0.648,0.052,0,1.027,0.0057,1460.2,0.984,0,0,5.6e-06,34.134,1.208,-0.113,-2.475,0.0094,0.0062,855.8,0.746,569.9,1459.5,1458.5,200,1460.3,0.0044,1457.7,26.233,1457.7,1495.7,1.187,9,100,1443.304,1460.6,0.87109375,0.87109375,0.015,0.13,1,29.122,0.0011,1.016,0.154,0.279,0.000134,0,-0.112,-2.475,1.62,256,200,893.7,496.8,25.894,35.249,1.275,0.82734375,0.8921875,-0.06484375,,,,,,,-0.0078125,0.028,0.004,5.316,35.1
10,100,9,10,04:10:56,15056,4.182222222,37:38:31,135511,37.64194444,1505.685,1494.1,24.90166667,1489.18,1505.67,256,201,2560,2043,0.78515625,0.78515625,78.515625,0.8234375,0.798046875,0.003925781,0.025,0.1,33.054,1.003,0.137,0.0069,0.422,0.000864,-4.313,0.646,-4.394,0.638,0.081,0,1.032,0.0037,1443.2,0.991,0,0,5.6e-06,33.977,1.62,-0.12,-2.475,0.0076,0.0065,850,0.769,560.2,1442.4,1441.5,200,1443.3,0.0039,1440.7,25.947,1440.7,1494.1,1.17,10,100,1452.416,1534.4,0.83984375,0.83984375,0.033,0.123,0.992,39.783,0.0034,1.002,0.156,0.401,0.000419,0,-0.114,-2.475,2.475,256,200,874,574.7,26.085,34.851,1.326,0.8234375,0.88046875,-0.05703125,0.798046875,0.84921875,-0.051171875,,,,-0.0546875,-0.008,-0.023,-6.729,-40.3
