h,v_l3_median,weight_valid,weight_all,latest_v_l3_median,latest_weight_valid,latest_weight_all
0,0.01147625689,0.9581985959,0.9563935659,0.01336430851,0.9636499527,0.9627935969
1,0.0115976755,0.9607072518,0.9594226851,0.0138371163,0.9657660654,0.9663562994
2,0.01168653043,0.9625381596,0.961005348,0.01351129496,0.9643450631,0.9633021297
3,0.01211758028,0.967852428,0.9659936629,0.0136681404,0.9733419049,0.9678972713
4,0.01252741763,0.9753091871,0.9728638948,0.01422926318,0.9803680302,0.974123439
5,0.01276453934,0.9833655113,0.9786452001,0.01440342888,0.9871877676,0.9793746013
6,0.01286289142,0.9875990551,0.9814487309,0.01450056629,0.9909976962,0.9826216082
7,0.01314403722,0.993108221,0.9844287545,0.01487770816,1.000264556,0.9854940929
8,0.0132738594,0.9989026784,0.987534619,0.01447536284,1.00363215,0.984548558
9,0.01349590812,1.003899193,0.9910526717,0.01480747759,1.006082166,0.98939634
10,0.01333727292,1.009320185,0.9944055105,0.01518513402,1.015818803,0.9929631471
11,0.01356072514,1.01372563,0.9975193167,0.01528054662,1.014284782,0.9960021115
12,0.01358906599,1.018102738,1.000350005,0.01571979281,1.015211116,0.9988057417
13,0.01397596766,1.022332928,1.002463121,0.01555029582,1.022240694,0.9982909307
14,0.01440088451,1.023797537,1.004225771,0.01625031698,1.027303047,1.004519108
15,0.01431226987,1.023940064,1.004328307,0.01605468336,1.02028553,1.001493644
16,0.01426337287,1.021858621,1.002318648,0.01580056828,1.017992141,0.9994962633
17,0.01388450642,1.02115292,1.001073149,0.01553268312,1.016915306,0.9969287491
18,0.01383493631,1.019825206,0.999136734,0.01559564192,1.008705465,0.9971408195
19,0.01382144494,1.019597697,0.9967688664,0.01579178125,1.02087798,0.9965845119
20,0.0135185204,1.018551875,0.9943834967,0.01491057547,1.014382605,0.990507054
21,0.01336673624,1.016733886,0.9920013252,0.01546063926,1.015074939,0.9926566548
22,0.01313099708,1.016679413,0.9910931939,0.01562572177,1.019077164,0.991378558
23,0.0132111106,1.016261488,0.9903230169,0.01555341715,1.022155017,0.9924812167
24,0.01308288984,1.016199366,0.9899924737,0.01533307554,1.02021235,0.9901127766
25,0.01326127537,1.015915445,0.9907262349,0.01522208704,1.02052213,0.9911962383
26,0.01340747438,1.015439153,0.9914249755,0.0153307938,1.018953903,0.9912642188
27,0.01328504063,1.015965019,0.9921460218,0.01527702156,1.019404165,0.9914432814
28,0.01346244896,1.017319234,0.9937819396,0.01552164089,1.020883682,0.9935554098
29,0.01345685823,1.017406848,0.9952259813,0.01522415085,1.017525295,0.990612252
30,0.01380786206,1.019104302,0.9974010543,0.01544636022,1.018451141,0.994155449
31,0.01368330465,1.021044951,0.9998423222,0.01619774476,1.023239754,0.9983116772
32,0.01404422801,1.023056589,1.002358815,0.01584800892,1.023537227,0.9983952279
33,0.01399724768,1.026422386,1.005292575,0.01604178455,1.023187764,0.9994343981
34,0.01433539204,1.029355042,1.008186033,0.01640553586,1.032193046,1.005322727
35,0.0146006376,1.033465506,1.011095705,0.0163208507,1.028494148,1.00777342
36,0.01474262029,1.035778105,1.013364644,0.01647677086,1.037970965,1.009975276
37,0.01495771157,1.037571022,1.015248307,0.01716994401,1.04154624,1.012834713
38,0.01510412759,1.040194668,1.016780787,0.01771013159,1.046455506,1.016992621
39,0.01517669553,1.040393424,1.017238979,0.01733088307,1.049709707,1.01629536
40,0.0153897421,1.041297759,1.017638275,0.0176209202,1.048920592,1.017360822
41,0.01552814431,1.044541868,1.018820529,0.01850479282,1.060566795,1.020125718
42,0.0158902267,1.046742303,1.020534744,0.01830952801,1.060954635,1.0246012
43,0.01611807524,1.051449167,1.023044598,0.01833037939,1.072538137,1.025192545
44,0.01646747953,1.056494112,1.02656959,0.01871509757,1.070463586,1.026834003
45,0.01672351081,1.063439655,1.031568554,0.01961873006,1.085685754,1.035370647
46,0.01711005531,1.070389681,1.037643523,0.01985176094,1.084307136,1.040876766
47,0.01806737203,1.07875646,1.044446282,0.02031390276,1.096737816,1.045687618
48,0.0188724543,1.086511581,1.052876658,0.0211296631,1.095224136,1.054275209
49,0.02014237782,1.095766166,1.061658217,0.02317710873,1.106877772,1.064301054
