global_step,aligned_runner_index_zero_based,baseline_available,current_available,current_success_once,baseline_success_once,delta_success_once,current_approx_kl,baseline_approx_kl,delta_approx_kl,current_clip_fraction,baseline_clip_fraction,delta_clip_fraction,current_grad_norm,baseline_grad_norm,delta_grad_norm,current_step_time_s,baseline_step_time_s,delta_step_time_s,current_mean_step_time_s,baseline_mean_step_time_s,delta_mean_step_time_s
1,0,1,1,0.7734375,0.8359375,-0.0625,0.142,0.111,0.030999999999999986,0.168,0.21,-0.04199999999999998,47.493,28.65,18.843000000000004,1600.7,1438.3,162.4000000000001,1600.741,1438.32,162.42100000000005
2,1,1,1,0.7421875,0.7265625,0.015625,0.047,0.078,-0.031,0.151,0.194,-0.04300000000000001,36.139,35.52,0.6189999999999998,1517.7,1449.4,68.29999999999995,1559.251,1443.861,115.38999999999987
3,2,1,1,0.765625,0.76953125,-0.00390625,0.038,0.042,-0.0040000000000000036,0.153,0.189,-0.036000000000000004,41.996,39.954,2.0420000000000016,1500.7,1451.9,48.799999999999955,1539.742,1446.537,93.20499999999993
4,3,1,1,0.77734375,0.859375,-0.08203125,0.043,0.05,-0.007000000000000006,0.133,0.154,-0.02099999999999999,32.91,33.845,-0.9350000000000023,1498.9,1460.3,38.600000000000136,1529.542,1449.99,79.55199999999991
5,4,1,1,0.8046875,0.8984375,-0.09375,0.026,0.04,-0.014000000000000002,0.125,0.107,0.018000000000000002,33.736,22.997,10.738999999999997,1492.8,1417.9,74.89999999999986,1522.189,1443.57,78.61900000000014
6,5,1,1,0.84765625,0.90625,-0.05859375,0.05,0.03,0.020000000000000004,0.16,0.16,0.0,38.711,38.549,0.16199999999999903,1470.7,1454.1,16.600000000000136,1513.611,1445.331,68.2800000000002
7,6,1,1,0.7890625,0.88671875,-0.09765625,0.069,0.034,0.035,0.173,0.12,0.05299999999999999,43.568,36.739,6.829000000000001,1508.0,1422.4,85.59999999999991,1512.808,1442.063,70.74499999999989
8,7,1,1,0.83203125,0.8984375,-0.06640625,0.033,0.054,-0.020999999999999998,0.122,0.171,-0.049000000000000016,36.144,37.421,-1.277000000000001,1477.4,1434.6,42.80000000000018,1508.386,1441.137,67.24900000000002
9,8,1,1,0.86328125,0.87109375,-0.0078125,0.043,0.015,0.027999999999999997,0.134,0.13,0.0040000000000000036,34.438,29.122,5.3160000000000025,1495.7,1460.6,35.100000000000136,1506.974,1443.304,63.669999999999845
10,9,1,1,0.78515625,0.83984375,-0.0546875,0.025,0.033,-0.008,0.1,0.123,-0.022999999999999993,33.054,39.783,-6.728999999999999,1494.1,1534.4,-40.30000000000018,1505.685,1452.416,53.269000000000005
11,10,1,1,0.87890625,0.8359375,0.04296875,0.033,0.056,-0.023,0.139,0.155,-0.015999999999999986,28.825,29.032,-0.20700000000000074,1464.9,1484.8,-19.899999999999864,1501.977,1455.359,46.618000000000166
12,11,1,1,0.77734375,0.8359375,-0.05859375,0.024,0.061,-0.037,0.115,0.163,-0.048,36.776,40.197,-3.4209999999999994,1505.6,1497.0,8.599999999999909,1502.282,1458.835,43.44699999999989
13,12,1,1,0.765625,0.765625,0.0,0.042,0.026,0.016000000000000004,0.14,0.098,0.04200000000000001,41.789,42.256,-0.46699999999999875,1510.9,1518.2,-7.2999999999999545,1502.943,1463.404,39.53899999999999
14,13,1,1,0.80078125,0.80078125,0.0,0.051,0.023,0.027999999999999997,0.127,0.117,0.009999999999999995,38.995,38.402,0.5929999999999964,1492.9,1514.1,-21.199999999999818,1502.224,1467.026,35.197999999999865
15,14,1,1,0.81640625,0.8515625,-0.03515625,0.043,0.037,0.005999999999999998,0.136,0.121,0.015000000000000013,35.456,40.51,-5.053999999999995,1497.5,1492.7,4.7999999999999545,1501.913,1468.738,33.174999999999955
16,15,1,1,0.84375,0.859375,-0.015625,0.031,0.027,0.004,0.084,0.12,-0.03599999999999999,31.225,38.035,-6.809999999999995,1468.4,1482.2,-13.799999999999955,1499.821,1469.582,30.238999999999805
17,16,1,1,0.80859375,0.83203125,-0.0234375,0.036,0.03,0.005999999999999998,0.128,0.126,0.0020000000000000018,31.449,34.02,-2.5710000000000015,1493.6,1483.7,9.899999999999864,1499.454,1470.415,29.038999999999987
18,17,1,1,0.8984375,0.8828125,0.015625,0.033,0.034,-0.0010000000000000009,0.15,0.174,-0.023999999999999994,24.328,31.316,-6.9879999999999995,1468.9,1497.4,-28.5,1497.758,1471.914,25.84400000000005
19,18,1,1,0.890625,0.86328125,0.02734375,0.04,0.045,-0.0049999999999999975,0.147,0.151,-0.0040000000000000036,43.251,37.01,6.241,1487.0,1492.0,-5.0,1497.195,1472.97,24.22499999999991
20,19,1,1,0.92578125,0.9296875,-0.00390625,0.051,0.052,-0.0010000000000000009,0.147,0.172,-0.024999999999999994,30.946,21.573,9.373000000000001,1502.9,1497.7,5.2000000000000455,1497.48,1474.205,23.27500000000009
21,20,1,1,0.875,0.85546875,0.01953125,0.035,0.045,-0.009999999999999995,0.113,0.154,-0.040999999999999995,39.593,33.909,5.684000000000005,1477.4,1493.1,-15.699999999999818,1496.526,1475.105,21.42100000000005
22,21,1,1,0.8984375,0.8828125,0.015625,0.064,0.015,0.049,0.142,0.131,0.010999999999999982,31.486,31.109,0.3769999999999989,1484.1,1488.5,-4.400000000000091,1495.96,1475.717,20.242999999999938
23,22,1,1,0.87109375,0.85546875,0.015625,0.049,0.036,0.013000000000000005,0.172,0.135,0.03699999999999998,38.412,32.046,6.366,1482.0,1477.6,4.400000000000091,1495.356,1475.799,19.557000000000016
24,23,1,1,0.78515625,0.80859375,-0.0234375,0.045,0.036,0.009000000000000001,0.129,0.121,0.008000000000000007,33.519,29.246,4.273,1512.2,1511.2,1.0,1496.059,1477.276,18.7829999999999
25,24,1,1,0.90234375,0.94140625,-0.0390625,0.0079,0.057,-0.049100000000000005,0.188,0.182,0.006000000000000005,35.307,23.899,11.408000000000001,1461.4,1470.6,-9.199999999999818,1494.673,1477.007,17.66599999999994
26,25,1,1,0.89453125,0.88671875,0.0078125,0.041,0.068,-0.027000000000000003,0.12,0.158,-0.038000000000000006,36.625,27.271,9.354,1469.0,1496.3,-27.299999999999955,1493.686,1477.751,15.934999999999945
27,26,1,1,0.9296875,0.86328125,0.06640625,0.044,0.075,-0.031,0.148,0.156,-0.008000000000000007,35.88,35.257,0.6230000000000047,1490.5,1476.7,13.799999999999955,1493.571,1477.713,15.857999999999947
28,27,1,1,0.84765625,0.91796875,-0.0703125,0.033,0.036,-0.0029999999999999957,0.137,0.128,0.009000000000000008,42.279,30.961,11.318000000000005,1503.3,1487.6,15.700000000000045,1493.918,1478.068,15.849999999999909
