global_step,target_step,runner_step_index_zero_based,progress_pct,elapsed_text,elapsed_s,elapsed_h,eta_text,eta_s,eta_h,mean_step_time_s,step_time_s,step_time_min,step_time_s_rolling5,step_time_s_rolling10,num_trajectories,success_trajectories,cumulative_trajectories,cumulative_successes,return,success_once,success_pct,success_once_rolling5,success_once_rolling10,reward,actor/approx_kl,actor/clip_fraction,actor/grad_norm,actor/ratio,actor/ratio_abs,actor/policy_loss,actor/policy_loss_abs,actor/total_loss,actor/dvac_current_mean,actor/dvac_current_std,actor/dvac_history_mean,actor/dvac_history_std,actor/dvac_current_minus_history,actor/dvac_warmup,actor/dvac_weight_mean_rank_local,actor/actor/compute_adv,actor/actor/recv_traj,actor/clipped_ratio,actor/dual_cliped_ratio,actor/entropy_loss,actor/lr,actor/run_training,advantages_max,advantages_mean,advantages_min,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step,env/env/send_rollout_trajectories,env/env_interact_step,env/interact,env/run_interact_once,episode_len,generate_rollouts,rewards,rollout/generate_one_epoch,rollout/predict,rollout/rollout/generate,step,sync_weights
1,100,0,1.0,26:40,1600,0.4444444444444444,44:01:13,158473,44.02027777777778,1600.741,1600.7,26.678333333333335,1600.7,1600.7,256.0,198,256,198,0.7734375,0.7734375,77.34375,0.7734375,0.7734375,0.0038671875,0.142,0.168,47.493,0.99,0.246,0.019,0.524,0.0023,-4.413,0.646,0.0,0.0,-4.413,1.0,1.0,0.021,1555.3,0.98,0.0,0.0,5.6e-06,34.087,2.475,-0.117,-2.475,0.024,0.007,858.6,0.834,661.8,1554.7,1553.9,200.0,1555.4,0.004,1553.1,26.379,1553.1,1600.7,11.228
2,100,1,2.0,51:58,3118,0.8661111111111112,42:26:46,152806,42.44611111111111,1559.251,1517.7,25.295,1559.2,1559.2,256.0,190,512,388,0.7421875,0.7421875,74.21875,0.7578125,0.7578125,0.0037109375,0.047,0.151,36.139,0.999,0.176,0.0022,0.487,0.000274,-4.412,0.672,-4.413,0.646,0.001000000000000334,0.0,1.017,0.003,1482.1,0.989,0.0,0.0,5.6e-06,34.028,2.475,-0.109,-2.475,0.0068,0.0067,856.7,0.73,591.1,1481.3,1480.6,200.0,1482.2,0.004,1479.8,26.036,1479.8,1517.7,1.497
3,100,2,3.0,01:16:59,4619,1.2830555555555556,41:29:14,149354,41.48722222222222,1539.742,1500.7,25.011666666666667,1539.7,1539.7,256.0,196,768,584,0.765625,0.765625,76.5625,0.7604166666666666,0.7604166666666666,0.0038281248,0.038,0.153,41.996,1.008,0.186,0.004,0.506,0.000498,-4.401,0.71,-4.412,0.659,0.01100000000000012,0.0,1.019,0.0042,1465.4,0.988,0.0,0.0,5.6e-06,33.916,1.208,-0.116,-2.475,0.0076,0.0067,848.2,0.734,583.3,1464.7,1463.9,200.0,1465.5,0.0046,1463.1,25.793,1463.1,1500.7,1.299
4,100,3,4.0,01:41:58,6118,1.6994444444444445,40:47:16,146836,40.78777777777778,1529.542,1498.9,24.98166666666667,1529.5,1529.5,256.0,199,1024,783,0.77734375,0.77734375,77.734375,0.7646484375,0.7646484375,0.0038867188,0.043,0.133,32.91,1.008,0.176,0.0058,0.439,0.000729,-4.382,0.673,-4.408,0.676,0.02600000000000069,0.0,1.021,0.0031,1463.2,0.992,0.0,0.0,5.6e-06,34.313,1.62,-0.117,-2.475,0.0061,0.0065,861.5,0.711,574.4,1462.4,1461.5,200.0,1463.3,0.0039,1460.7,26.249,1460.7,1498.9,1.27
5,100,4,5.0,02:06:50,7610,2.113888888888889,40:10:07,144607,40.16861111111111,1522.189,1492.8,24.88,1522.16,1522.16,256.0,206,1280,989,0.8046875,0.8046875,80.46875,0.77265625,0.77265625,0.004023437,0.026,0.125,33.736,1.001,0.136,-0.0051,0.502,-0.000637,-4.407,0.633,-4.402,0.676,-0.004999999999999893,0.0,1.017,0.0034,1457.0,0.995,0.0,0.0,5.6e-06,34.258,1.62,-0.118,-2.475,0.0077,0.0064,856.6,0.721,569.3,1456.1,1455.3,200.0,1457.1,0.0043,1454.6,26.439,1454.6,1492.8,1.397
6,100,5,6.0,02:31:21,9081,2.5225,39:31:19,142279,39.52194444444444,1513.611,1470.7,24.511666666666667,1496.16,1513.5833333333335,256.0,217,1536,1206,0.84765625,0.84765625,84.765625,0.7875,0.78515625,0.004238281,0.05,0.16,38.711,0.996,0.179,-0.000297,0.453,-3.71e-05,-4.439,0.647,-4.403,0.667,-0.036000000000000476,0.0,1.016,0.0038,1434.8,0.985,0.0,0.0,5.6e-06,34.334,1.208,-0.115,-2.475,0.0078,0.0066,854.4,0.747,546.2,1434.0,1433.2,200.0,1434.9,0.0047,1432.4,25.999,1432.4,1470.7,1.451
7,100,6,7.0,02:56:29,10589,2.941388888888889,39:04:51,140691,39.08083333333333,1512.808,1508.0,25.133333333333333,1494.22,1512.7857142857142,256.0,202,1792,1408,0.7890625,0.7890625,78.90625,0.796875,0.7857142857142857,0.0039453125,0.069,0.173,43.568,0.975,0.192,0.011,0.416,0.0014,-4.405,0.642,-4.408,0.668,0.0030000000000001137,0.0,1.018,0.0033,1472.4,0.972,0.0,0.0,5.6e-06,34.263,1.62,-0.12,-2.475,0.0077,0.0063,851.2,0.739,587.0,1471.5,1470.7,200.0,1472.5,0.004,1469.9,25.878,1469.9,1508.0,1.234
8,100,7,8.0,03:21:07,12067,3.3519444444444444,38:32:51,138771,38.5475,1508.386,1477.4,24.623333333333335,1489.56,1508.3625,256.0,213,2048,1621,0.83203125,0.83203125,83.203125,0.81015625,0.79150390625,0.004160156,0.033,0.122,36.144,1.001,0.151,0.0022,0.415,0.000273,-4.37,0.644,-4.407,0.662,0.03699999999999992,0.0,1.024,0.0042,1441.9,0.989,0.0,0.0,5.6e-06,34.236,1.62,-0.113,-2.475,0.0074,0.011,855.3,0.765,558.7,1441.1,1440.4,200.0,1442.0,0.0043,1439.6,26.227,1439.6,1477.4,1.202
9,100,8,9.0,03:46:02,13562,3.7672222222222222,38:05:34,137134,38.092777777777776,1506.974,1495.7,24.928333333333335,1488.92,1506.9555555555555,256.0,221,2304,1842,0.86328125,0.86328125,86.328125,0.82734375,0.7994791666666666,0.004316406,0.043,0.134,34.438,0.987,0.154,0.000484,0.363,6.05e-05,-4.349,0.62,-4.401,0.648,0.0519999999999996,0.0,1.027,0.0057,1460.2,0.984,0.0,0.0,5.6e-06,34.134,1.208,-0.113,-2.475,0.0094,0.0062,855.8,0.746,569.9,1459.5,1458.5,200.0,1460.3,0.0044,1457.7,26.233,1457.7,1495.7,1.187
10,100,9,10.0,04:10:56,15056,4.182222222222222,37:38:31,135511,37.64194444444445,1505.685,1494.1,24.901666666666664,1489.18,1505.67,256.0,201,2560,2043,0.78515625,0.78515625,78.515625,0.8234375,0.798046875,0.003925781,0.025,0.1,33.054,1.003,0.137,0.0069,0.422,0.000864,-4.313,0.646,-4.394,0.638,0.0810000000000004,0.0,1.032,0.0037,1443.2,0.991,0.0,0.0,5.6e-06,33.977,1.62,-0.12,-2.475,0.0076,0.0065,850.0,0.769,560.2,1442.4,1441.5,200.0,1443.3,0.0039,1440.7,25.947,1440.7,1494.1,1.17
