global_step,runner_step,signal_mode,warmup,rank_count,valid_queries,history_steps,history_queries,weight_min,weight_max,weight_mean,weight_below_one_fraction,weight_above_one_fraction,z_low_clip_fraction,z_high_clip_fraction,weight_p05,weight_p50,weight_p95,residual_p05,residual_p50,residual_p95,positive_adv_weight_mean,negative_adv_weight_mean,current_mean,current_std,history_mean,history_std,position_center_median,position_scale_median,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
1,0,global_zscore,1,2,602,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-4.441222981613407,0.6399927396647838,0.0,0.0,,,38.74673461914063,0.2095276266336441,0.1466445475816726,0.977822244167328,0.002211624989286
2,1,global_zscore,0,2,481,1,0,0.0,2.0,1.1068406806418405,0.43700623283019435,0.5629937664882557,0.005945945956324003,0.0647401244470582,0.3223092555999756,1.084880292415619,2.0,-1.3553814888000488,0.16976061835885045,2.0,1.0704457759857178,1.155210256576538,-4.423449666593683,0.6784768779502868,-4.441222981613407,0.6399927396647838,,,39.4349365234375,0.1578516960144043,0.0743175074458122,0.9834530353546144,0.0105882324278354
3,2,global_zscore,0,2,571,2,0,0.0,2.0,1.1103948104193666,0.43092818482535944,0.5690717853723182,0.006164623408100398,0.07239929979402834,0.3110535740852356,1.0915082693099976,2.0,-1.3778928518295288,0.18301655352115626,2.0,1.025440275669098,1.2121759057044983,-4.410954271636928,0.7430232587464748,-4.432336324103545,0.6595754415152972,,,55.634090423583984,0.1763777136802673,0.0665038302540779,0.9914895296096802,0.0110063813626766
4,3,global_zscore,0,2,553,3,0,0.0,2.0,1.0674895656044185,0.46444846428324466,0.5355515526388696,0.004195298304845283,0.05168173650774772,0.33213239908218384,1.0469658374786377,1.9511956572532654,-1.335735261440277,0.0939317643642425,1.9023913145065308,1.0262365937232971,1.1479249596595764,-4.447066167519256,0.6961964387538576,-4.42520897328134,0.6885898353197136,,,46.52182769775391,0.1595021188259124,0.0469798929989337,1.001122236251831,0.0045928903855383
5,4,global_zscore,0,2,400,4,0,0.0,2.0,1.0850278145074845,0.4537500107288361,0.546249989271164,0.004299999906215804,0.05149999950081101,0.35433541238307953,1.0516294836997986,1.9537296891212463,-1.2913292050361633,0.1032589646056294,1.9074593782424927,1.0160813629627228,1.1722206473350525,-4.438344807583304,0.6836817589962944,-4.430673271840819,0.6905642019311833,,,43.75294876098633,0.1789296716451645,0.0588881969451904,0.998838484287262,0.0053701172582805
6,5,global_zscore,0,2,418,5,0,0.0,2.0,1.0978510864613729,0.4259330148331857,0.5740670057004719,0.0043540671222695605,0.04511961722345436,0.36244675517082214,1.0822008848190308,1.9527665376663208,-1.2751064896583557,0.1644017472863197,1.9055330157279968,1.0665677189826965,1.1470026969909668,-4.453930052084162,0.6769793097447113,-4.432207578989316,0.6892000431671739,,,48.605201721191406,0.1485984325408935,0.0287658348679542,1.0225834846496582,0.0086226481944322
7,6,global_zscore,0,2,418,5,0,0.0,2.0,1.1055611856816487,0.4267464225229464,0.573253590381887,0.002870813292856656,0.04574162787512721,0.3847278654575348,1.0898091793060303,1.9714872241020203,-1.2305443286895752,0.17961828410625455,1.9429744482040405,1.065517246723175,1.191622614860535,-4.434787435178766,0.6747924222116607,-4.434748993083466,0.6962832858732002,,,38.67530822753906,0.1050029397010803,0.040668923407793,0.9886842966079712,0.0008490722393617
8,7,global_zscore,0,2,316,5,0,0.0,2.0,1.1107933898515339,0.4256329189372968,0.5743670938890192,0.0023417722410226985,0.04848101230550411,0.409175768494606,1.0899747610092163,1.9836514592170715,-1.1816484332084656,0.17994953691959376,1.967302918434143,1.079803466796875,1.1511282324790955,-4.41949470120772,0.6768246992640159,-4.437016546800482,0.6955447689102994,,,41.55904769897461,0.1507008224725723,0.0546542853116989,1.0022774934768677,0.0045621581375598
9,8,global_zscore,0,2,337,5,0,0.0,2.0,1.1229431735301938,0.4289020717320881,0.571097928267912,0.0014243323681668342,0.059584570501430775,0.4418562054634094,1.0969924926757812,2.0,-1.1162875890731812,0.1939850077033043,2.0,1.0902105569839478,1.2647117972373962,-4.377941554701286,0.6527669475639899,-4.438724632714641,0.6818407326328906,,,32.60835266113281,0.1765183508396148,0.0449590571224689,0.997505784034729,-0.0036823679693043
10,9,global_zscore,0,2,439,5,0,0.0,2.0,1.1233441693907718,0.4215489802436567,0.5784510040065965,0.0016400911161094324,0.051161731429958085,0.4535520225763321,1.0885369777679443,1.9801744222640991,-1.0928959250450134,0.17707403004169459,1.9603488445281982,1.0788874626159668,1.2385801076889038,-4.3612487816452505,0.6320478682066558,-4.424899710151047,0.6735901556340758,,,53.32583618164063,0.1279859691858291,0.0411408767104148,0.9962857961654664,0.0086386883631348
