frame_idx,worker_index,env_slot,episode_index_within_slot,recording_index,reset_id,query_idx,action_slot_start,chunk_len,control_idx,physics_idx,left_control_idx,left_control_len,right_control_idx,right_control_len,left_progress,right_progress,progress,h_float,h_lo,h_hi,h_fraction,success_after,first_success,query_end,capture_reason
0,0,0,0,0,57,0,0,50,0,0,1,500,1,500,0.002,0.002,0.002,0.098,0,1,0.098,0,0,0,progress
1,0,0,0,0,57,0,0,50,10,10,11,500,11,500,0.022,0.022,0.022,1.0779999999999998,1,2,0.07799999999999985,0,0,0,progress
2,0,0,0,0,57,0,0,50,20,20,21,500,21,500,0.042,0.042,0.042,2.0580000000000003,2,3,0.058000000000000274,0,0,0,progress
3,0,0,0,0,57,0,0,50,30,30,31,500,31,500,0.062,0.062,0.062,3.038,3,4,0.03799999999999981,0,0,0,progress
4,0,0,0,0,57,0,0,50,40,40,41,500,41,500,0.082,0.082,0.082,4.018,4,5,0.017999999999999794,0,0,0,progress
5,0,0,0,0,57,0,0,50,51,51,52,500,52,500,0.104,0.104,0.104,5.096,5,6,0.09600000000000009,0,0,0,progress
6,0,0,0,0,57,0,0,50,61,61,62,500,62,500,0.124,0.124,0.124,6.076,6,7,0.07599999999999962,0,0,0,progress
7,0,0,0,0,57,0,0,50,71,71,72,500,72,500,0.144,0.144,0.144,7.055999999999999,7,8,0.05599999999999916,0,0,0,progress
8,0,0,0,0,57,0,0,50,81,81,82,500,82,500,0.164,0.164,0.164,8.036,8,9,0.03599999999999959,0,0,0,progress
9,0,0,0,0,57,0,0,50,91,91,92,500,92,500,0.184,0.184,0.184,9.016,9,10,0.016000000000000014,0,0,0,progress
10,0,0,0,0,57,0,0,50,102,102,103,500,103,500,0.206,0.206,0.206,10.094,10,11,0.09399999999999942,0,0,0,progress
11,0,0,0,0,57,0,0,50,112,112,113,500,113,500,0.226,0.226,0.226,11.074,11,12,0.07399999999999984,0,0,0,progress
12,0,0,0,0,57,0,0,50,122,122,123,500,123,500,0.246,0.246,0.246,12.054,12,13,0.05400000000000027,0,0,0,progress
13,0,0,0,0,57,0,0,50,132,132,133,500,133,500,0.266,0.266,0.266,13.034,13,14,0.034000000000000696,0,0,0,progress
14,0,0,0,0,57,0,0,50,142,142,143,500,143,500,0.286,0.286,0.286,14.014,14,15,0.013999999999999346,0,0,0,progress
15,0,0,0,0,57,0,0,50,153,153,154,500,154,500,0.308,0.308,0.308,15.092,15,16,0.09200000000000053,0,0,0,progress
16,0,0,0,0,57,0,0,50,163,163,164,500,164,500,0.328,0.328,0.328,16.072,16,17,0.07199999999999918,0,0,0,progress
17,0,0,0,0,57,0,0,50,173,173,174,500,174,500,0.348,0.348,0.348,17.052,17,18,0.0519999999999996,0,0,0,progress
18,0,0,0,0,57,0,0,50,183,183,184,500,184,500,0.368,0.368,0.368,18.032,18,19,0.03200000000000003,0,0,0,progress
19,0,0,0,0,57,0,0,50,193,193,194,500,194,500,0.388,0.388,0.388,19.012,19,20,0.012000000000000455,0,0,0,progress
20,0,0,0,0,57,0,0,50,204,204,205,500,205,500,0.41,0.41,0.41,20.09,20,21,0.08999999999999986,0,0,0,progress
21,0,0,0,0,57,0,0,50,214,214,215,500,215,500,0.43,0.43,0.43,21.07,21,22,0.07000000000000028,0,0,0,progress
22,0,0,0,0,57,0,0,50,224,224,225,500,225,500,0.45,0.45,0.45,22.05,22,23,0.05000000000000071,0,0,0,progress
23,0,0,0,0,57,0,0,50,234,234,235,500,235,500,0.47,0.47,0.47,23.029999999999998,23,24,0.029999999999997584,0,0,0,progress
24,0,0,0,0,57,0,0,50,244,244,245,500,245,500,0.49,0.49,0.49,24.009999999999998,24,25,0.00999999999999801,0,0,0,progress
25,0,0,0,0,57,0,0,50,255,255,256,500,256,500,0.512,0.512,0.512,25.088,25,26,0.08800000000000097,0,0,0,progress
26,0,0,0,0,57,0,0,50,265,265,266,500,266,500,0.532,0.532,0.532,26.068,26,27,0.06800000000000139,0,0,0,progress
27,0,0,0,0,57,0,0,50,275,275,276,500,276,500,0.552,0.552,0.552,27.048000000000002,27,28,0.04800000000000182,0,0,0,progress
28,0,0,0,0,57,0,0,50,285,285,286,500,286,500,0.572,0.572,0.572,28.028,28,29,0.027999999999998693,0,0,0,progress
29,0,0,0,0,57,0,0,50,295,295,296,500,296,500,0.592,0.592,0.592,29.008,29,30,0.007999999999999119,0,0,0,progress
30,0,0,0,0,57,0,0,50,306,306,307,500,307,500,0.614,0.614,0.614,30.086,30,31,0.08599999999999852,0,0,0,progress
31,0,0,0,0,57,0,0,50,316,316,317,500,317,500,0.634,0.634,0.634,31.066,31,32,0.06599999999999895,0,0,0,progress
32,0,0,0,0,57,0,0,50,326,326,327,500,327,500,0.654,0.654,0.654,32.046,32,33,0.045999999999999375,0,0,0,progress
33,0,0,0,0,57,0,0,50,336,336,337,500,337,500,0.674,0.674,0.674,33.026,33,34,0.026000000000003354,0,0,0,progress
34,0,0,0,0,57,0,0,50,346,346,347,500,347,500,0.694,0.694,0.694,34.006,34,35,0.006000000000000227,0,0,0,progress
