global_step,target_step_r_only,progress_pct,elapsed_text,elapsed_s,eta_text,eta_s,mean_step_time_s_r_only,actor/actor/compute_adv,actor/actor/recv_traj,actor/run_training_r_only,cal_adv_and_returns,env/compute_bootstrap_rewards,env/env/bootstrap_step_r_only,env/env/send_rollout_trajectories,env/env_interact_step_r_only,env/interact,env/run_interact_once,generate_rollouts,rollout/generate_one_epoch,rollout/predict_r_only,rollout/rollout/generate,step_r_only,sync_weights_r_only,episode_len_r_only,num_trajectories_r_only,return_r_only,reward,success_once_r_only,advantages_max_r_only,advantages_mean_r_only,advantages_min_r_only,rewards,actor/approx_kl_r_only,actor/clip_fraction_r_only,actor/clipped_ratio_r_only,actor/dual_cliped_ratio_r_only,actor/dvac_current_mean,actor/dvac_current_std,actor/dvac_history_mean,actor/dvac_history_std,actor/dvac_warmup,actor/dvac_weight_mean_rank_local,actor/entropy_loss,actor/grad_norm_r_only,actor/lr,actor/policy_loss_r_only,actor/policy_loss_abs_r_only,actor/ratio_r_only,actor/ratio_abs_r_only,actor/total_loss_r_only,step_time_s_r_only,success_pct,step_grpo,target_step_grpo,mean_step_time_s_grpo,step_time_s_grpo,success_once_grpo,return_grpo,actor/approx_kl_grpo,actor/clip_fraction_grpo,actor/clipped_ratio_grpo,actor/grad_norm_grpo,actor/policy_loss_grpo,actor/ratio_grpo,actor/ratio_abs_grpo,actor/policy_loss_abs_grpo,actor/total_loss_grpo,actor/dual_cliped_ratio_grpo,advantages_mean_grpo,advantages_min_grpo,advantages_max_grpo,num_trajectories_grpo,episode_len_grpo,env/env/bootstrap_step_grpo,env/env_interact_step_grpo,rollout/predict_grpo,actor/run_training_grpo,sync_weights_grpo,success_delta,success_roll5_r_only,success_roll5_grpo,success_roll5_delta
1,100,1.0,25:47,1547.0,42:32:56,153176.0,1547.24,0.02,1501.4,33.997,0.024,0.0067,863.9,1.206,607.6,1500.8,1499.9,1501.5,1499.1,27.15,1499.2,1547.2,11.699,200.0,256.0,0.82421875,0.0041210935,0.82421875,2.475,-0.116,-2.475,0.0044,0.122,0.15,0.977,0.0,-4.424,0.64,0.0,0.0,1.0,1.0,0.0,39.272,5.6e-06,0.011,0.461,1.005,0.25,0.0013,1547.2,82.421875,1,100,1438.32,1438.3,0.8359375,0.8359375,0.111,0.21,0.984,28.65,-7.74e-05,1.028,0.262,0.411,-9.68e-06,0.0,-0.121,-2.475,1.208,256.0,200.0,902.6,455.1,26.24,35.398,11.244,-0.01171875,0.82421875,0.8359375,-0.01171875
2,100,2.0,50:53,3053.0,41:33:33,149613.0,1526.664,0.004,1470.7,33.663,0.0074,0.0059,857.7,0.764,577.6,1470.0,1469.0,1470.8,1468.2,26.147,1468.2,1506.1,1.545,200.0,256.0,0.76171875,0.0038085936,0.76171875,1.62,-0.113,-2.475,0.0045,0.044,0.134,0.988,0.0,-4.39,0.654,-4.424,0.64,0.0,0.989,0.0,38.011,5.6e-06,0.0053,0.479,1.011,0.174,0.000657,1506.1,76.171875,2,100,1443.861,1449.4,0.7265625,0.7265625,0.078,0.194,0.988,35.52,0.0043,1.023,0.24,0.426,0.000532,0.0,-0.122,-2.475,2.475,256.0,200.0,897.8,482.6,25.908,34.889,1.638,0.03515625,0.79296875,0.78125,0.01171875
3,100,3.0,01:16:08,4568.0,41:01:43,147703.0,1522.72,0.006,1479.7,33.722,0.0094,0.0059,842.9,0.782,602.6,1478.9,1478.2,1479.8,1477.3,26.025,1477.3,1514.8,1.321,200.0,256.0,0.7890625,0.003945312,0.7890625,2.475,-0.116,-2.475,0.0041,0.051,0.156,0.982,0.0,-4.39,0.689,-4.407,0.647,0.0,0.991,0.0,44.164,5.6e-06,0.0071,0.494,0.995,0.187,0.000892,1514.8,78.90625,3,100,1446.537,1451.9,0.76953125,0.76953125,0.042,0.189,0.989,39.954,-0.0012,1.003,0.189,0.449,-0.00015,0.0,-0.124,-2.475,1.208,256.0,200.0,903.2,478.9,26.218,35.023,1.415,0.01953125,0.7916666666666666,0.77734375,0.01432291666666663
4,100,4.0,01:41:29,6089.0,40:35:56,146156.0,1522.461,0.0032,1486.7,33.613,0.0065,0.0061,856.9,0.727,593.9,1485.9,1485.1,1486.8,1484.4,26.028,1484.4,1521.7,1.278,200.0,256.0,0.8125,0.0040625,0.8125,1.62,-0.116,-2.475,0.0043,0.032,0.127,0.989,0.0,-4.374,0.668,-4.401,0.661,0.0,0.997,0.0,46.177,5.6e-06,0.0057,0.5,1.0,0.154,0.000714,1521.7,81.25,4,100,1449.99,1460.3,0.859375,0.859375,0.05,0.154,0.981,33.845,0.0036,0.989,0.171,0.345,0.000449,0.0,-0.115,-2.475,2.475,256.0,200.0,897.7,493.4,25.925,35.077,1.635,-0.046875,0.796875,0.7978515625,-0.0009765625
5,100,5.0,02:06:28,7588.0,40:02:52,144172.0,1517.604,0.0027,1463.0,33.623,0.0062,0.0057,852.6,0.773,573.8,1462.3,1461.4,1463.1,1460.7,26.857,1460.7,1498.2,1.394,200.0,256.0,0.8203125,0.0041015623,0.8203125,1.208,-0.111,-2.475,0.0045,0.021,0.137,0.996,0.0,-4.381,0.635,-4.394,0.663,0.0,0.989,0.0,29.716,5.6e-06,-0.000483,0.414,1.016,0.155,-6.04e-05,1498.2,82.03125,5,100,1443.57,1417.9,0.8984375,0.8984375,0.04,0.107,0.99,22.997,-0.0033,0.986,0.125,0.328,-0.000414,0.0,-0.112,-2.475,0.935,256.0,200.0,897.7,458.8,25.972,36.074,1.583,-0.078125,0.8015625,0.81796875,-0.016406250000000067
6,100,6.0,02:30:59,9059.0,39:25:32,141932.0,1509.915,0.0035,1436.3,33.643,0.0071,0.0059,847.5,0.765,553.5,1435.6,1434.6,1436.4,1433.8,26.798,1433.8,1471.4,1.424,200.0,256.0,0.9140625,0.004570312,0.9140625,0.935,-0.11,-2.475,0.005,0.044,0.11,0.989,0.0,-4.409,0.618,-4.392,0.658,0.0,0.982,0.0,29.378,5.6e-06,0.000766,0.299,0.994,0.152,9.58e-05,1471.4,91.40625,6,100,1445.331,1454.1,0.90625,0.90625,0.03,0.16,0.99,38.549,0.0035,1.014,0.19,0.319,0.000442,0.0,-0.115,-2.475,0.725,256.0,200.0,906.9,476.9,25.791,35.864,1.521,0.0078125,0.81953125,0.83203125,-0.012499999999999956
7,100,7.0,02:55:48,10548.0,38:55:41,140141.0,1506.901,0.0045,1453.8,33.695,0.0075,0.0058,848.9,0.758,568.0,1453.0,1452.2,1453.9,1451.5,27.085,1451.5,1488.8,1.223,200.0,256.0,0.828125,0.004140625,0.828125,0.935,-0.115,-2.475,0.0046,0.03,0.129,0.986,0.0,-4.373,0.638,-4.389,0.653,0.0,0.998,0.0,33.815,5.6e-06,0.0029,0.414,1.001,0.152,0.000362,1488.8,82.8125,7,100,1442.063,1422.4,0.88671875,0.88671875,0.034,0.12,0.995,36.739,0.0039,1.001,0.161,0.377,0.000489,0.0,-0.112,-2.475,0.935,256.0,200.0,899.7,462.9,25.431,35.473,1.259,-0.05859375,0.8328125,0.8640625,-0.03125
8,100,8.0,03:20:28,12028.0,38:25:22,138322.0,1503.502,0.0035,1444.7,33.685,0.0077,0.0061,847.0,0.74,562.6,1443.9,1443.0,1444.8,1442.2,26.646,1442.2,1479.7,1.201,200.0,256.0,0.81640625,0.004082031,0.81640625,1.62,-0.118,-2.475,0.0042,0.016,0.106,0.996,0.0,-4.347,0.642,-4.385,0.65,0.0,1.006,0.0,27.993,5.6e-06,-0.0054,0.384,1.004,0.119,-0.000679,1479.7,81.640625,8,100,1441.137,1434.6,0.8984375,0.8984375,0.054,0.171,0.98,37.421,0.0033,0.995,0.202,0.258,0.000412,0.0,-0.108,-2.475,2.475,256.0,200.0,893.9,471.5,25.626,35.577,1.302,-0.08203125,0.83828125,0.88984375,-0.05156250000000007
9,100,9.0,03:45:42,13542.0,38:02:12,136932.0,1504.747,0.0033,1479.6,33.717,0.0067,0.006,850.6,0.772,596.1,1478.8,1478.0,1479.7,1477.2,26.556,1477.2,1514.7,1.238,200.0,256.0,0.80078125,0.004003906,0.80078125,1.208,-0.119,-2.475,0.0042,0.039,0.142,0.988,0.0,-4.311,0.616,-4.377,0.641,0.0,1.002,0.0,44.476,5.6e-06,0.0035,0.498,0.993,0.16,0.000436,1514.7,80.078125,9,100,1443.304,1460.6,0.87109375,0.87109375,0.015,0.13,1.0,29.122,0.0011,1.016,0.154,0.279,0.000134,0.0,-0.112,-2.475,1.62,256.0,200.0,893.7,496.8,25.894,35.249,1.275,-0.0703125,0.8359375,0.8921875,-0.05625000000000002
10,100,10.0,04:10:44,15044.0,37:36:42,135402.0,1504.471,0.0035,1451.2,33.719,0.0071,0.006,846.1,0.79,568.4,1450.3,1449.2,1451.3,1448.5,26.806,1448.5,1502.0,1.191,200.0,256.0,0.84765625,0.004238281,0.84765625,2.475,-0.109,-2.475,0.0046,0.03,0.118,0.99,0.0,-4.321,0.589,-4.364,0.631,0.0,1.003,0.0,33.865,5.6e-06,0.0082,0.417,0.998,0.144,0.001,1502.0,84.765625,10,100,1452.416,1534.4,0.83984375,0.83984375,0.033,0.123,0.992,39.783,0.0034,1.002,0.156,0.401,0.000419,0.0,-0.114,-2.475,2.475,256.0,200.0,874.0,574.7,26.085,34.851,1.326,0.0078125,0.84140625,0.88046875,-0.0390625
