runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
0,1,apply,per_h_robust_residual,1,0,0,0,0.0,0.0,nan,nan,51200,-4.423609437821433,0.639531974082355,288,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.27231979370117,0.15019360184669495,0.12156543135643005,1.0045292377471924,0.010769585147500038
1,1,apply,per_h_robust_residual,0,1,51200,1024,-4.423609437821433,0.639531974082362,-4.470353126525879,0.6069532632827759,51200,-4.389597834816668,0.6539578012523979,259,0.5,0.7048873901367188,0.9942917227745056,1.0265103578567505,1.2000000476837158,1.2000000476837158,0.38061776757240295,0.6193822622299194,-1.180450439453125,0.26510316133499146,2.0,0.0038610037881881,0.05073359236121178,0.9849846959114075,1.01670241355896,38.010963439941406,0.13359400629997253,0.04370880872011185,1.0105571746826172,0.005255670286715031
2,1,apply,per_h_robust_residual,0,2,102400,2048,-4.40660363631905,0.6470086345104008,-4.44789457321167,0.6165252327919006,51200,-4.389848171594785,0.6890082697460194,234,0.5,0.7019891738891602,0.9977416396141052,1.0298664569854736,1.2000000476837158,1.2000000476837158,0.377094030380249,0.622905969619751,-1.1920431852340698,0.2986637353897095,2.0,0.004273504484444857,0.07461538165807724,0.9803950786590576,1.036771297454834,44.16446304321289,0.15560439229011536,0.050750814378261566,0.995339035987854,0.0071394601836800575
3,1,apply,per_h_robust_residual,0,3,153600,3072,-4.401018481410962,0.6613521265237648,-4.440747261047363,0.6295989751815796,51200,-4.374157278408675,0.6682829531428861,285,0.5,0.7078116536140442,0.988711953163147,1.0224108695983887,1.1915829181671143,1.2000000476837158,0.40070176124572754,0.5992982387542725,-1.1687532663345337,0.2241095006465912,1.9158289432525635,0.001964912284165621,0.043929822742938995,0.9757161736488342,1.0220136642456055,46.177459716796875,0.12693282961845398,0.03187163174152374,1.0002052783966064,0.0057127466425299644
4,1,apply,per_h_robust_residual,0,4,204800,4096,-4.3943031806603905,0.6631936282873846,-4.434177398681641,0.631365180015564,51200,-4.381167614564765,0.6352505024299584,206,0.5,0.7115719318389893,0.9856299161911011,1.0190701484680176,1.18801748752594,1.2000000476837158,0.41737863421440125,0.5826213359832764,-1.153712272644043,0.19070155918598175,1.8801748752593994,0.002912621246650815,0.0404854379594326,0.9789555072784424,1.0035076141357422,29.716089248657227,0.13684967160224915,0.020920516923069954,1.0159616470336914,-0.00048328039702028036
5,1,apply,per_h_robust_residual,0,5,256000,5120,-4.391676067441265,0.6577209727108891,-4.437694549560547,0.6271839141845703,51200,-4.408825195219833,0.6177278000835846,101,0.5,0.6828688383102417,0.9779940843582153,1.0156983137130737,1.186806559562683,1.2000000476837158,0.4342574179172516,0.565742552280426,-1.2685246467590332,0.1569831669330597,1.868065357208252,0.005742574110627174,0.03742574155330658,0.9662154316902161,1.0256975889205933,29.378421783447266,0.10981428623199463,0.04411013424396515,0.9936603307723999,0.0007661884883418679
6,1,apply,per_h_robust_residual,0,5,256000,5120,-4.388719218920945,0.6534219948111756,-4.447086334228516,0.6280046701431274,51200,-4.372751142219641,0.6381117286566997,233,0.5,0.713009238243103,0.9973918795585632,1.030436635017395,1.1865192651748657,1.2000000476837158,0.3699570894241333,0.6300429105758667,-1.1479631662368774,0.3043666183948517,1.8651925325393677,0.003519313409924507,0.03811158612370491,0.9896101355552673,1.0162739753723145,33.81541061401367,0.12931209802627563,0.030160976573824883,1.0008618831634521,0.002899169921875
7,1,apply,per_h_robust_residual,0,5,256000,5120,-4.38534988040154,0.6503114229725159,-4.448101997375488,0.6274573802947998,51200,-4.3465283868648115,0.6419686751135348,215,0.5,0.704412043094635,1.0044783353805542,1.0377944707870483,1.2000000476837158,1.2000000476837158,0.35879069566726685,0.6412093043327332,-1.18235182762146,0.37794435024261475,2.0,0.0037209303118288517,0.07227907329797745,0.9892523288726807,1.024834394454956,27.99327278137207,0.10566182434558868,0.01590040698647499,1.0039020776748657,-0.0054342737421393394
8,1,apply,per_h_robust_residual,0,5,256000,5120,-4.376685923455545,0.6407850920984951,-4.440138816833496,0.6149792075157166,51200,-4.311447994098999,0.6155920600184361,236,0.5,0.7188441753387451,1.0028975009918213,1.0332624912261963,1.2000000476837158,1.2000000476837158,0.3626271188259125,0.6373729109764099,-1.12462317943573,0.33262452483177185,2.0,0.0026271187234669924,0.06398305296897888,0.9942877292633057,1.0196864604949951,44.476348876953125,0.14173555374145508,0.03914850205183029,0.9934695959091187,0.003485586028546095
9,1,apply,per_h_robust_residual,0,5,256000,5120,-4.364144066593609,0.6306888698380523,-4.4293212890625,0.6083263158798218,51200,-4.3210936018382196,0.5888981641395247,210,0.5,0.7154906988143921,0.9994354248046875,1.0319690704345703,1.2000000476837158,1.2000000476837158,0.37676191329956055,0.6232380867004395,-1.1380374431610107,0.3196912407875061,2.0,0.002761904848739505,0.05904762074351311,1.004643440246582,0.9894540309906006,33.865074157714844,0.1184467002749443,0.029538899660110474,0.9982677698135376,0.008150233887135983
10,1,apply,per_h_robust_residual,0,5,256000,5120,-4.3521292640483,0.6217623120624893,-4.413923263549805,0.5992881059646606,51200,-4.33086779311765,0.6005220431153109,77,0.5,0.7281008362770081,1.0011869668960571,1.0302201509475708,1.194965124130249,1.2000000476837158,0.3675324618816376,0.63246750831604,-1.0875966548919678,0.30220144987106323,1.949652075767517,0.0010389609960839152,0.04571428522467613,0.9894101619720459,1.0347505807876587,21.69876480102539,0.08257125318050385,0.020003167912364006,1.0007500648498535,-0.002808357123285532
