step,elapsed,step_time_s,train_success,train_reward,eval_success,global_min_replay,actor_updates,critic_updates,update_step,ready_for_online,baseline_count,baseline_frozen,weight_mean,weight_ess,success_roll5,success_roll10
1,02:11,131.334,0.125,0.00625,,71.0,0.0,0.0,0.0,0.0,755.0,0.0,,,0.125,0.125
2,04:15,127.954,0.125,0.00625,,142.0,0.0,0.0,0.0,0.0,1510.0,0.0,,,0.125,0.125
3,06:12,124.196,0.25,0.011875,,222.0,0.0,0.0,0.0,0.0,2225.0,0.0,,,0.16666666666666666,0.16666666666666666
4,07:57,119.483,0.75,0.036250003,,276.0,0.0,0.0,0.0,0.0,2765.0,0.0,,,0.3125,0.3125
5,09:53,118.758,0.25,0.0125,,347.0,0.0,0.0,0.0,0.0,3475.0,0.0,,,0.3,0.3
6,12:00,120.161,0.0,0.0,,427.0,0.0,0.0,0.0,0.0,4275.0,0.0,,,0.275,0.25
7,14:09,121.334,0.125,0.00625,,498.0,0.0,0.0,0.0,0.0,5030.0,0.0,,,0.275,0.23214285714285715
8,16:09,121.186,0.125,0.00625,,569.0,0.0,0.0,0.0,0.0,5785.0,0.0,,,0.25,0.21875
9,18:11,121.284,0.25,0.011875,,640.0,0.0,0.0,0.0,0.0,6500.0,0.0,,,0.15,0.2222222222222222
10,20:18,121.82,0.0,0.0,,720.0,0.0,0.0,0.0,0.0,7300.0,0.0,,,0.1,0.2
11,22:24,122.196,0.0,0.0,,800.0,0.0,0.0,0.0,0.0,8100.0,0.0,,,0.1,0.1875
12,24:26,122.209,0.0,0.0,,880.0,0.0,0.0,0.0,0.0,8900.0,0.0,,,0.075,0.175
13,26:26,122.001,0.0,0.0,,960.0,0.0,0.0,0.0,0.0,9700.0,0.0,,,0.05,0.15
14,28:30,122.166,0.125,0.005,,1040.0,0.0,0.0,0.0,0.0,10500.0,0.0,,,0.025,0.0875
15,30:35,122.344,0.125,0.005625,,1112.0,0.0,0.0,0.0,0.0,11200.0,0.0,,,0.05,0.075
16,32:43,122.712,0.125,0.00625,,1192.0,0.0,0.0,0.0,0.0,12000.0,0.0,,,0.075,0.0875
17,34:41,122.428,0.25,0.01125,,1263.0,0.0,0.0,0.0,0.0,12700.0,0.0,,,0.125,0.1
18,36:42,122.339,0.125,0.00625,,1334.0,0.0,0.0,0.0,0.0,13500.0,0.0,,,0.15,0.1
19,38:45,122.396,0.125,0.00625,,1405.0,0.0,0.0,0.0,0.0,14200.0,0.0,,,0.15,0.0875
20,40:54,122.743,0.125,0.005625,,1477.0,0.0,0.0,0.0,0.0,15000.0,0.0,,,0.15,0.1
21,42:57,122.735,0.375,0.0175,,1532.0,0.0,0.0,0.0,0.0,15600.0,0.0,,,0.2,0.1375
22,45:02,122.822,0.0,0.0,,1612.0,0.0,0.0,0.0,0.0,16400.0,0.0,,,0.15,0.1375
23,47:00,122.612,0.25,0.0125,,1682.0,0.0,0.0,0.0,0.0,17200.0,0.0,,,0.175,0.1625
24,48:53,122.23,0.375,0.018125001,,1753.0,0.0,0.0,0.0,0.0,17800.0,0.0,,,0.225,0.1875
25,55:23,132.929,0.25,0.0125,0.0,1825.0,0.0,0.0,0.0,0.0,18500.0,0.0,,,0.25,0.2
26,57:16,132.18,0.375,0.018125,,1887.0,0.0,0.0,0.0,0.0,19200.0,0.0,,,0.25,0.225
27,59:09,131.465,0.25,0.0131250005,,1957.0,0.0,0.0,0.0,0.0,19900.0,0.0,,,0.3,0.225
28,01:01:13,131.191,0.0,0.0,,2037.0,0.0,0.0,0.0,0.0,20700.0,0.0,,,0.25,0.2125
29,01:03:15,130.885,0.0,0.0,,2117.0,0.0,0.0,0.0,0.0,21500.0,0.0,,,0.175,0.2
30,01:05:16,130.559,0.125,0.00625,,2197.0,0.0,0.0,0.0,0.0,22300.0,0.0,,,0.15,0.2
31,01:07:22,130.404,0.125,0.00625,,2268.0,0.0,0.0,0.0,0.0,23000.0,0.0,,,0.1,0.175
32,01:09:25,130.164,0.0,0.0,,2348.0,0.0,0.0,0.0,0.0,23800.0,0.0,,,0.05,0.175
33,01:11:30,130.023,0.125,0.00625,,2419.0,0.0,0.0,0.0,0.0,24600.0,0.0,,,0.075,0.1625
34,01:13:32,129.775,0.125,0.006875,,2489.0,0.0,0.0,0.0,0.0,25300.0,0.0,,,0.1,0.1375
35,01:15:32,129.492,0.125,0.005625,,2569.0,0.0,0.0,0.0,0.0,26100.0,0.0,,,0.1,0.125
36,01:17:33,129.26,0.125,0.006875,,2649.0,0.0,0.0,0.0,0.0,26800.0,0.0,,,0.1,0.1
37,01:19:35,129.062,0.0,0.0,,2729.0,0.0,0.0,0.0,0.0,27600.0,0.0,,,0.1,0.075
38,01:21:40,128.953,0.125,0.00625,,2800.0,0.0,0.0,0.0,0.0,28400.0,0.0,,,0.1,0.0875
39,01:23:45,128.866,0.0,0.0,,2880.0,0.0,0.0,0.0,0.0,29200.0,0.0,,,0.075,0.0875
40,01:25:39,128.488,0.25,0.011875,,2951.0,0.0,0.0,0.0,0.0,29900.0,0.0,,,0.1,0.1
41,01:27:42,128.343,0.125,0.00625,,3022.0,0.0,0.0,0.0,0.0,30700.0,0.0,,,0.1,0.1
42,01:29:36,128.003,0.25,0.011875,,3094.0,0.0,0.0,0.0,0.0,31400.0,0.0,,,0.15,0.125
43,01:31:42,127.962,0.125,0.00125,,3173.0,0.0,0.0,0.0,0.0,32200.0,0.0,,,0.15,0.125
44,01:33:38,127.697,0.125,0.005625,,3245.0,0.0,0.0,0.0,0.0,32900.0,0.0,,,0.175,0.125
45,01:35:37,127.49,0.125,0.00625,,3316.0,0.0,0.0,0.0,0.0,33700.0,0.0,,,0.15,0.125
46,01:37:36,127.325,0.125,0.00625,,3396.0,0.0,0.0,0.0,0.0,34400.0,0.0,,,0.15,0.125
47,01:39:30,127.038,0.25,0.011875,,3468.0,0.0,0.0,0.0,0.0,35200.0,0.0,,,0.15,0.15
48,01:41:34,126.967,0.25,0.011875,,3548.0,0.0,0.0,0.0,0.0,35900.0,0.0,,,0.175,0.1625
49,01:43:37,126.886,0.125,0.00625,,3619.0,0.0,0.0,0.0,0.0,36600.0,0.0,,,0.175,0.175
50,01:50:17,132.344,0.0,0.0,0.0,3699.0,0.0,0.0,0.0,0.0,37400.0,0.0,,,0.15,0.15
51,01:52:22,132.209,0.25,0.0131250005,,3779.0,0.0,0.0,0.0,0.0,38100.0,0.0,,,0.175,0.1625
52,01:54:25,132.025,0.125,0.00625,,3859.0,0.0,0.0,0.0,0.0,38900.0,0.0,,,0.15,0.15
53,01:56:24,131.791,0.125,0.00625,,3939.0,0.0,0.0,0.0,0.0,39600.0,0.0,,,0.125,0.15
54,01:58:30,131.681,0.125,0.00625,,4010.0,0.0,0.0,0.0,0.0,40400.0,0.0,,,0.125,0.15
55,02:00:22,131.311,0.375,0.019375,,4072.0,0.0,0.0,0.0,0.0,41100.0,0.0,,,0.2,0.175
56,02:02:25,131.165,0.125,0.005625,,4144.0,0.0,0.0,0.0,0.0,41800.0,0.0,,,0.175,0.175
57,02:04:28,131.022,0.0,0.0,,4224.0,0.0,0.0,0.0,0.0,42600.0,0.0,,,0.15,0.15
58,02:06:18,130.655,0.5,0.02375,,4287.0,0.0,0.0,0.0,0.0,43200.0,0.0,,,0.225,0.175
59,02:08:16,130.457,0.25,0.0125,,4349.0,0.0,0.0,0.0,0.0,44000.0,0.0,,,0.25,0.1875
60,02:10:16,130.274,0.125,0.00625,,4420.0,0.0,0.0,0.0,0.0,44700.0,0.0,,,0.2,0.2
61,02:12:16,130.104,0.125,0.005625,,4492.0,0.0,0.0,0.0,0.0,45500.0,0.0,,,0.2,0.1875
62,02:14:09,129.823,0.25,0.011875,,4564.0,0.0,0.0,0.0,0.0,46200.0,0.0,,,0.25,0.2
63,02:16:09,129.673,0.125,0.00625,,4635.0,0.0,0.0,0.0,0.0,46900.0,0.0,,,0.175,0.2
64,02:18:10,129.533,0.0,0.0,,4715.0,0.0,0.0,0.0,0.0,47700.0,0.0,,,0.125,0.1875
65,02:20:17,129.493,0.0,0.0,,4795.0,0.0,0.0,0.0,0.0,48500.0,0.0,,,0.1,0.15
66,02:22:20,129.408,0.0,0.0,,4875.0,0.0,0.0,0.0,0.0,49300.0,0.0,,,0.075,0.1375
