run,step,raw_pct,ma5_pct,ma10_pct,ma20_pct,fixed_eval_pct
pure03,1,25.0,25.0,25.0,25.0,
pure03,2,12.5,18.75,18.75,18.75,
pure03,3,12.5,16.666666666666668,16.666666666666668,16.666666666666668,
pure03,4,25.0,18.75,18.75,18.75,
pure03,5,25.0,20.0,20.0,20.0,
pure03,6,12.5,17.5,18.75,18.75,
pure03,7,12.5,17.5,17.857142857142858,17.857142857142858,
pure03,8,12.5,17.5,17.1875,17.1875,
pure03,9,37.5,20.0,19.444444444444443,19.444444444444443,
pure03,10,25.0,20.0,20.0,20.0,
pure03,11,25.0,22.5,20.0,20.454545454545453,
pure03,12,25.0,25.0,21.25,20.833333333333332,
pure03,13,25.0,27.5,22.5,21.153846153846153,
pure03,14,0.0,20.0,20.0,19.642857142857142,
pure03,15,25.0,20.0,20.0,20.0,
pure03,16,0.0,15.0,18.75,18.75,
pure03,17,37.5,17.5,21.25,19.852941176470587,
pure03,18,12.5,15.0,21.25,19.444444444444443,
pure03,19,12.5,17.5,18.75,19.07894736842105,
pure03,20,0.0,12.5,16.25,18.125,
pure03,21,12.5,15.0,15.0,17.5,
pure03,22,12.5,10.0,13.75,17.5,
pure03,23,12.5,10.0,12.5,17.5,
pure03,24,37.5,15.0,16.25,18.125,
pure03,25,25.0,20.0,16.25,18.125,0.0
pure03,26,12.5,20.0,17.5,18.125,
pure03,27,37.5,25.0,17.5,19.375,
pure03,28,0.0,22.5,16.25,18.75,
pure03,29,0.0,15.0,15.0,16.875,
pure03,30,25.0,15.0,17.5,16.875,
pure03,31,12.5,15.0,17.5,16.25,
pure03,32,12.5,10.0,17.5,15.625,
pure03,33,12.5,12.5,17.5,15.0,
pure03,34,25.0,17.5,16.25,16.25,
pure03,35,0.0,12.5,13.75,15.0,
pure03,36,25.0,15.0,15.0,16.25,
pure03,37,37.5,20.0,15.0,16.25,
pure03,38,37.5,25.0,18.75,17.5,
pure03,39,12.5,22.5,20.0,17.5,
pure03,40,12.5,25.0,18.75,18.125,
pure03,41,25.0,25.0,20.0,18.75,
pure03,42,0.0,17.5,18.75,18.125,
pure03,43,0.0,10.0,17.5,17.5,
pure03,44,37.5,15.0,18.75,17.5,
pure03,45,25.0,17.5,21.25,17.5,
pure03,46,25.0,17.5,21.25,18.125,
pure03,47,0.0,17.5,17.5,16.25,
pure03,48,0.0,17.5,13.75,16.25,
pure03,49,0.0,10.0,12.5,16.25,
pure03,50,0.0,5.0,11.25,15.0,0.0
pure03,51,25.0,5.0,11.25,15.625,
pure03,52,0.0,5.0,11.25,15.0,
pure03,53,12.5,7.5,12.5,15.0,
pure03,54,0.0,7.5,8.75,13.75,
pure03,55,12.5,10.0,7.5,14.375,
pure03,56,37.5,12.5,8.75,15.0,
pure03,57,25.0,17.5,11.25,14.375,
pure03,58,12.5,17.5,12.5,13.125,
pure03,59,12.5,20.0,13.75,13.125,
pure03,60,25.0,22.5,16.25,13.75,
pure03,61,25.0,20.0,16.25,13.75,
pure03,62,12.5,17.5,17.5,14.375,
pure03,63,50.0,25.0,21.25,16.875,
pure03,64,25.0,27.5,23.75,16.25,
pure03,65,25.0,27.5,25.0,16.25,
pure03,66,12.5,25.0,22.5,15.625,
pure03,67,25.0,27.5,22.5,16.875,
pure03,68,12.5,20.0,22.5,17.5,
pure03,69,12.5,17.5,22.5,18.125,
pure03,70,50.0,22.5,25.0,20.625,
pure03,71,0.0,20.0,22.5,19.375,
pure03,72,12.5,17.5,22.5,20.0,
pure03,73,25.0,20.0,20.0,20.625,
pure03,74,12.5,20.0,18.75,21.25,
pure03,75,25.0,15.0,18.75,21.875,0.0
pure03,76,12.5,17.5,18.75,20.625,
pure03,77,0.0,15.0,16.25,19.375,
pure03,78,12.5,12.5,16.25,19.375,
pure03,79,0.0,10.0,15.0,18.75,
pure03,80,12.5,7.5,11.25,18.125,
pure03,81,37.5,12.5,15.0,18.75,
pure03,82,37.5,20.0,17.5,20.0,
pure03,83,0.0,17.5,15.0,17.5,
pure03,84,0.0,17.5,13.75,16.25,
pure03,85,12.5,17.5,12.5,15.625,
pure03,86,37.5,17.5,15.0,16.875,
pure03,87,25.0,15.0,17.5,16.875,
pure03,88,0.0,15.0,16.25,16.25,
pure03,89,12.5,17.5,17.5,16.25,
pure03,90,0.0,15.0,16.25,13.75,
pure03,91,12.5,10.0,13.75,14.375,
pure03,92,0.0,5.0,10.0,13.75,
pure03,93,12.5,7.5,11.25,13.125,
pure03,94,12.5,7.5,12.5,13.125,
pure03,95,12.5,10.0,12.5,12.5,
pure03,96,0.0,7.5,8.75,11.875,
pure03,97,12.5,10.0,7.5,12.5,
pure03,98,25.0,12.5,10.0,13.125,
pure03,99,25.0,15.0,11.25,14.375,
pure03,100,0.0,12.5,11.25,13.75,0.0
pure04,1,37.5,37.5,37.5,37.5,
pure04,2,37.5,37.5,37.5,37.5,
pure04,3,25.0,33.333333333333336,33.333333333333336,33.333333333333336,
pure04,4,0.0,25.0,25.0,25.0,
pure04,5,12.5,22.5,22.5,22.5,
pure04,6,0.0,15.0,18.75,18.75,
pure04,7,25.0,12.5,19.642857142857142,19.642857142857142,
pure04,8,0.0,7.5,17.1875,17.1875,
pure04,9,37.5,15.0,19.444444444444443,19.444444444444443,
pure04,10,12.5,15.0,18.75,18.75,
pure04,11,0.0,15.0,15.0,17.045454545454547,
pure04,12,25.0,15.0,13.75,17.708333333333332,
pure04,13,12.5,17.5,12.5,17.307692307692307,
pure04,14,12.5,12.5,13.75,16.964285714285715,
pure04,15,0.0,10.0,12.5,15.833333333333334,
pure04,16,0.0,10.0,12.5,14.84375,
pure04,17,12.5,7.5,11.25,14.705882352941176,
pure04,18,0.0,5.0,11.25,13.88888888888889,
pure04,19,0.0,2.5,7.5,13.157894736842104,
pure04,20,12.5,5.0,7.5,13.125,
pure04,21,12.5,7.5,8.75,11.875,
pure04,22,0.0,5.0,6.25,10.0,
pure04,23,25.0,10.0,7.5,10.0,
pure04,24,25.0,15.0,8.75,11.25,
pure04,25,12.5,15.0,10.0,11.25,0.0
pure04,26,0.0,12.5,10.0,11.25,
pure04,27,12.5,15.0,10.0,10.625,
pure04,28,0.0,10.0,10.0,10.625,
pure04,29,25.0,10.0,12.5,10.0,
pure04,30,37.5,15.0,15.0,11.25,
pure04,31,12.5,17.5,15.0,11.875,
pure04,32,0.0,15.0,15.0,10.625,
pure04,33,12.5,17.5,13.75,10.625,
pure04,34,12.5,15.0,12.5,10.625,
pure04,35,25.0,12.5,13.75,11.875,
pure04,36,37.5,17.5,17.5,13.75,
pure04,37,25.0,22.5,18.75,14.375,
pure04,38,25.0,25.0,21.25,15.625,
pure04,39,25.0,27.5,21.25,16.875,
pure04,40,12.5,25.0,18.75,16.875,
pure04,41,37.5,25.0,21.25,18.125,
pure04,42,12.5,22.5,22.5,18.75,
pure04,43,0.0,17.5,21.25,17.5,
pure04,44,37.5,20.0,23.75,18.125,
pure04,45,50.0,27.5,26.25,20.0,
pure04,46,12.5,22.5,23.75,20.625,
pure04,47,12.5,22.5,22.5,20.625,
pure04,48,0.0,22.5,20.0,20.625,
pure04,49,0.0,15.0,17.5,19.375,
pure04,50,12.5,7.5,17.5,18.125,0.0
