unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787563099,1.02677e+12,9976184832,310124544,9601003520,0,0,0,0,0,788697018368,0,0,0,0,1424,1352,1380,3160,1444,0,0
1787563101,1.02643e+12,10313801728,640942080,9601007616,0,0,0,0,0,788697018368,0,0,0,0,1372,1344,1420,3160,1388,0,0
1787563103,1.02599e+12,10759430144,1082232832,9601015808,0,0,0,0,0,788697014272,0,0,0,0,1420,1344,1420,3160,1328,0,0
1787563105,1.02557e+12,11119214592,1393303552,9601036288,0,0,0,0,20480,788697014272,4,0,4,0,1428,1384,1376,3160,1392,0,0
1787563107,1.02541e+12,11285377024,1557520384,9601040384,0,0,0,0,20480,788697014272,4,0,4,0,1376,1388,1340,3160,176388,176624,0
1787563110,1.02454e+12,12157644800,2420830208,9601060864,0,0,0,0,20480,788697014272,4,0,4,0,1392,1392,1388,3160,941788,830004,0
1787563112,1.02368e+12,13037121536,3269414912,9602543616,0,0,0,0,32768,788697014272,4,0,4,0,1376,1392,1348,3160,1062712,1079132,0
1787563114,1.02169e+12,15008280576,5159362560,9602756608,0,0,0,0,32768,788697014272,4,0,4,0,1428,1392,1380,3160,1081648,4401652,0
1787563117,1.019e+12,17711243264,7821787136,9603100672,0,0,0,0,32768,788696981504,4,0,4,0,1360,1376,1348,3160,1100516,10052924,0
1787563119,1.01659e+12,20104339456,10191925248,9603145728,0,0,0,0,32768,788696981504,4,0,4,0,1360,1348,1448,3160,1106520,12323772,0
1787563121,1.01408e+12,22472671232,12489932800,9647869952,0,0,0,0,32768,788696981504,447,0,447,0,1392,1348,1892340,3160,1110692,14427608,2
1787563123,1.01251e+12,24060272640,13837197312,9648054272,0,0,0,0,155648,788696977408,447,0,447,0,2873396,1348,3157176,3160,1113796,16280816,2
1787563127,1.01196e+12,24581496832,14350934016,9648431104,0,0,0,0,155648,788696973312,447,0,447,0,3344976,1452,3360600,3160,1117628,16978636,3
1787563129,1.00912e+12,27215794176,16960450560,9665228800,0,0,0,0,155648,788696973312,950,0,909,0,4316748,1360,5558396,3160,1118084,20180896,6
