unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787566178,1.02591e+12,10095824896,311623680,9716998144,0,0,0,0,81920,788696563712,0,0,0,0,1340,1388,1328,3112,1372,0,0
1787566180,1.02562e+12,10426937344,636522496,9716998144,0,0,0,0,81920,788696563712,0,0,0,0,1384,1344,1452,3112,1420,0,0
1787566182,1.02522e+12,10852659200,1056063488,9717010432,0,0,0,0,81920,788696559616,0,0,0,0,1344,1372,1360,3112,1372,0,0
1787566184,1.02477e+12,11229642752,1384321024,9717030912,0,0,0,0,102400,788696559616,4,0,4,0,1348,1384,1380,3112,1360,0,0
1787566187,1.02456e+12,11415027712,1568047104,9717035008,0,0,0,0,102400,788696559616,4,0,4,0,1424,1340,1328,3112,175856,176040,0
1787566189,1.02373e+12,12279451648,2423713792,9717055488,0,0,0,0,102400,788696559616,4,0,4,0,1380,1388,1368,3112,941896,830024,0
1787566191,1.02287e+12,13158068224,3270389760,9718349824,0,0,0,0,114688,788696559616,4,0,4,0,1388,1432,1396,3112,1273488,997092,0
1787566193,1.02088e+12,15137902592,5167788032,9718562816,0,0,0,0,114688,788696559616,4,0,4,0,1340,1344,1340,3112,1304300,4316468,0
1787566196,1.01793e+12,18112995328,8096477184,9718906880,0,0,0,0,114688,788696526848,4,0,4,0,1388,1360,1392,3112,1326548,10177528,0
1787566198,1.01546e+12,20556832768,10526404608,9718951936,0,0,0,0,114688,788696526848,4,0,4,0,1432,1344,1424,3112,1334280,12267224,0
1787566200,1.01327e+12,22563782656,12492701696,9735761920,0,0,0,0,114688,788696526848,447,0,447,0,1364,1392,1854724,3112,1338396,14303272,2
1787566202,1.01177e+12,24069353472,13758758912,9735921664,0,0,0,0,237568,788696522752,447,0,447,0,2867200,1376,3001232,3112,1345400,16057152,2
1787566205,1.01126e+12,24588849152,14267994112,9735929856,0,0,0,0,237568,788696518656,447,0,447,0,3204764,1424,3359828,3112,1349468,16748764,2
1787566207,1.0095e+12,26192973824,15860916224,9744334848,0,0,0,0,237568,788696518656,529,0,909,0,4194592,1448,4580384,3112,1351692,19007700,6
1787566210,1.007e+12,28621066240,18269294592,9752723456,0,0,0,0,237568,788696518656,950,0,909,0,4318688,1420,6639292,3112,1352180,21136300,6
1787566212,1.00696e+12,28655423488,18299047936,9756917760,0,0,0,0,237568,788696518656,1028,0,987,0,4360472,1372,6639820,3112,1352556,21178888,6
1787566214,1.00593e+12,29742596096,19393667072,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3891516,1392,8137796,3112,1353456,22264220,4
1787566216,1.00295e+12,32714612736,22354870272,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892072,1372,10913068,3112,1353304,25029344,4
1787566219,9.99822e+11,35844739072,25479802880,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892076,1392,13994816,3112,1354612,28114612,4
1787566221,9.96598e+11,39071465472,28699623424,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892008,1428,17129888,3112,1355868,31249848,4
1787566223,9.93423e+11,42244190208,31866040320,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892068,1420,20224500,3112,1358092,34346864,4
1787566225,9.90234e+11,45444014080,35059695616,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892020,1328,23357700,3112,1357500,37497220,4
1787566228,9.87077e+11,48596328448,38202499072,9756901376,0,0,0,0,237568,788696518656,947,0,947,0,3892100,1388,26258216,3112,1357656,40337032,4
1787566230,9.87167e+11,48595468288,38203482112,9756905472,0,0,0,0,237568,788696518656,947,0,947,0,3892008,1372,26258692,3112,1358308,40338432,4
1787566232,9.87166e+11,48595570688,38203994112,9756905472,0,0,0,0,237568,788696518656,947,0,947,0,3892100,1392,26259396,3112,1358464,40338884,4
1787566234,9.87147e+11,48599482368,38204907520,9756905472,0,0,0,0,237568,788696518656,947,0,947,0,3892100,1432,26259484,3112,1359296,40339684,4
1787566237,9.87123e+11,48601022464,38206722048,9756905472,0,0,0,0,237568,788696518656,947,0,947,0,3892076,1452,26259488,3112,1360496,40341060,4
1787566239,9.87113e+11,48601243648,38207275008,9756905472,0,0,0,0,237568,788696518656,947,0,947,0,3892060,1388,26259504,3112,1360428,40340948,4
1787566241,9.84669e+11,51112521728,40719863808,9756909568,0,0,0,0,237568,788696514560,947,0,947,0,3892032,1344,28870916,3112,1360368,43003028,4
1787566243,9.82953e+11,52825829376,42422611968,9756909568,0,0,0,0,237568,788696514560,947,0,947,0,3892084,1348,30373812,3112,1362360,44457412,4
1787566246,9.85786e+11,49996029952,39605534720,9756909568,0,0,0,0,237568,788696514560,947,0,947,0,3892032,1380,27812244,3112,1361384,41951772,4
1787566248,9.82799e+11,52955942912,42561458176,9756909568,0,0,0,0,237568,788696514560,947,0,947,0,3892076,1360,30721856,3112,1361384,44830496,4
1787566250,9.82536e+11,53214175232,42812612608,9756930048,0,0,0,0,237568,788696514560,947,0,947,0,3892136,1420,30751956,3112,1363760,44836924,4
1787566252,9.80432e+11,55323971584,44919820288,9756954624,0,0,0,0,237568,788696514560,947,0,947,0,3892032,1340,32808964,3112,1363888,46894144,4
1787566255,9.82779e+11,52928598016,42441187328,9757118464,0,0,0,0,237568,788696514560,947,0,947,0,3892080,1428,27984136,3112,1364280,41246996,4
1787566257,9.91805e+11,43976933376,33599135744,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892036,1380,21450980,3112,1365496,35631412,4
1787566259,9.95361e+11,40402563072,30032191488,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892108,1432,18485984,3112,1365724,32618832,4
1787566261,9.92066e+11,43676819456,33298870272,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892032,1380,21639268,3112,1365796,35770624,4
1787566263,9.92314e+11,43422486528,33048059904,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892080,1368,21707388,3112,1365944,35950536,4
1787566266,9.83314e+11,52460339200,42070802432,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892056,1368,30469664,3112,1367412,44727532,4
1787566268,9.74367e+11,61397524480,50981908480,9757237248,0,0,0,0,237568,788696514560,947,0,947,0,3892064,1360,38721812,3112,1367292,52811656,4
1787566270,9.89744e+11,46013689856,35627503616,9757237248,0,0,0,0,237568,788696514560,2775,40,2775,8,3892136,1388,21748840,3112,1367632,35199932,4
1787566273,1.00231e+12,33295196160,22800175104,9878368256,0,0,0,0,14925824,788696510464,10121,0,10123,0,3892064,1376,10783524,3112,1367676,25627804,6
1787566275,1.00192e+12,33684652032,23068766208,9995603968,0,0,0,0,29704192,788696510464,10475,1,10669,0,4049720,1328,11018384,3112,1382076,26265956,8
1787566277,1.00157e+12,33940164608,23323197440,9995612160,0,0,0,0,29704192,788696510464,10520,0,10677,0,4384848,1428,11026588,3112,1425872,26539732,8
1787566279,1.00148e+12,34019770368,23400378368,9995616256,0,0,0,0,29704192,788696510464,10522,0,10679,0,4425488,1392,11026844,3112,1454684,26610628,8
1787566282,1.0012e+12,34227904512,23610847232,9995616256,0,0,0,0,29704192,788696510464,10742,1,10899,1,4770352,1372,11027100,3112,1485968,26991636,8
1787566284,9.99789e+11,35619188736,24999411712,9995616256,0,0,0,0,29704192,788696510464,10806,0,10963,0,5961744,1348,11027152,3112,1517364,28214784,8
1787566286,9.98973e+11,36345847808,25724043264,9995616256,0,0,0,0,29704192,788696510464,11448,0,11605,0,6672256,1392,11027732,3112,1546668,28966720,8
1787566289,9.97888e+11,37342396416,26717614080,9995616256,0,0,0,0,29704192,788696510464,13637,0,13798,0,7718816,1364,11028172,3112,1573640,30028812,8
1787566291,9.97245e+11,37938860032,27312623616,9995616256,0,0,0,0,29704192,788696510464,13637,3,13798,2,8274812,1372,11028232,3112,1597812,30617944,8
1787566293,9.97071e+11,38114545664,27486134272,9995616256,0,0,0,0,29704192,788696510464,14349,0,14509,2,8410844,1380,11028244,3112,1638212,30786804,8
1787566296,9.96215e+11,38963736576,28332728320,9995616256,0,0,0,0,29704192,788696494080,14701,0,14862,0,9230708,1372,11028728,3112,1662952,31632504,8
1787566298,9.9552e+11,39630929920,29000183808,9995616256,0,0,0,0,29704192,788696510464,15159,0,15319,2,9945100,1344,11029504,3112,1683096,32368540,8
1787566300,9.95332e+11,39835308032,29210427392,9995616256,0,0,0,0,29704192,788696510464,15765,2,15926,3,10230268,1388,11030404,3112,1709784,32878792,8
1787566302,9.94524e+11,40641384448,30010843136,9995620352,0,0,0,0,29704192,788696506368,15765,0,15926,0,10978556,1332,11030604,3112,1737900,33599708,8
1787566305,9.93766e+11,41379422208,30745235456,9995624448,0,0,0,0,29704192,788696506368,16223,1,16383,0,11475808,1340,11030804,3112,1762728,33979792,8
1787566307,9.93606e+11,41524826112,30869897216,10004803584,0,0,0,0,29704192,788696506368,17111,0,17193,0,11486904,1360,11271132,3112,1788384,34312252,8
1787566309,9.9357e+11,41549950976,30894141440,10004828160,0,0,0,0,29704192,788696506368,17111,94,17193,96,11496572,1388,11271172,3112,1803684,34336280,8
1787566312,9.93345e+11,41781747712,31105597440,10023206912,0,0,0,0,29704192,788696506368,17111,62,17193,73,11704544,1328,11285944,3112,1812700,34573912,8
1787566314,9.93316e+11,41808949248,31134232576,10023505920,0,0,0,0,29704192,788696506368,17111,3,17193,74,11707196,1348,11285924,3112,1837392,34601812,8
1787566316,9.93274e+11,41848283136,31172677632,10023604224,0,0,0,0,29704192,788696506368,17111,0,17193,100,11721336,1332,11291964,3112,1851164,34639960,8
1787566319,9.93257e+11,41860513792,31183196160,10023608320,0,0,0,0,29704192,788696506368,17111,100,17193,95,11723292,1368,11291896,3112,1863920,34653952,8
1787566321,9.93239e+11,41894387712,31219822592,10023608320,0,0,0,0,29704192,788696506368,17111,1,17193,18,11731840,1424,11291980,3112,1876988,34687196,8
1787566323,9.93225e+11,41911930880,31235620864,10023608320,0,0,0,0,29704192,788696506368,17111,0,17193,100,11733516,1416,11291992,3112,1888804,34701024,8
1787566325,9.93211e+11,41930678272,31253831680,10023608320,0,0,0,0,29704192,788696506368,17111,0,17193,64,11734016,1348,11294912,3112,1900812,34718132,8
1787566328,9.93197e+11,41942413312,31266566144,10023608320,0,0,0,0,29704192,788696506368,17111,28,17193,37,11735312,1392,11294964,3112,1916272,34734852,8
1787566330,9.93163e+11,41964351488,31287197696,10023612416,0,0,0,0,29704192,788696506368,17111,71,17193,0,11737016,1452,11298664,3112,1927688,34752568,8
1787566332,9.93155e+11,41974571008,31299465216,10023612416,0,0,0,0,29704192,788696506368,17111,33,17193,100,11737060,1392,11298552,3112,1939364,34763384,8
1787566335,9.93127e+11,41993605120,31317422080,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,0,11739668,1372,11298580,3112,1950620,34780224,8
1787566337,9.93073e+11,42000605184,31324741632,10023612416,0,0,0,0,29704192,788696506368,17111,11,17193,0,11739712,1420,11298616,3112,1963232,34792948,8
1787566339,9.93036e+11,42015252480,31339479040,10023612416,0,0,0,0,29704192,788696506368,17111,70,17193,0,11740224,1388,11298876,3112,1969776,34804108,8
1787566341,9.93066e+11,42023735296,31349665792,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,53,11740212,1372,11298908,3112,1979984,34814412,8
1787566344,9.93056e+11,42041393152,31365640192,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,85,11741056,1352,11299892,3112,1993492,34831828,8
1787566346,9.93057e+11,42033213440,31359746048,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,0,11741484,1328,11300608,3112,2011872,34832472,8
1787566348,9.93038e+11,42056830976,31380840448,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,51,11743316,1368,11300688,3112,2022120,34846932,8
1787566351,9.93027e+11,42071707648,31395815424,10023612416,0,0,0,0,29704192,788696506368,17111,0,17193,11,11745188,1376,11300792,3112,2033572,34862272,8
1787566353,9.92999e+11,42090246144,31412412416,10023612416,0,0,0,0,29704192,788696506368,17111,75,17193,65,11746936,1380,11300868,3112,2047936,34878512,8
1787566355,9.92979e+11,42107781120,31430500352,10023616512,0,0,0,0,29704192,788696506368,17111,0,17193,0,11746936,1364,11300848,3112,2066956,34901776,8
1787566357,9.92954e+11,42123497472,31447425024,10023616512,0,0,0,0,29704192,788696506368,17111,92,17193,50,11747072,1388,11300820,3112,2079464,34915480,8
1787566360,9.92937e+11,42138382336,31464136704,10023616512,0,0,0,0,29704192,788696506368,17111,0,17193,100,11747224,1328,11300836,3112,2090948,34930572,8
1787566362,9.92918e+11,42158350336,31478517760,10023616512,0,0,0,0,29704192,788696506368,17111,74,17193,100,11748128,1432,11300904,3112,2098856,34945212,8
1787566364,9.92907e+11,42162495488,31488045056,10023620608,0,0,0,0,29704192,788696502272,17111,6,17193,49,11748432,1340,11300800,3112,2110852,34958260,8
1787566367,9.92874e+11,42183602176,31506677760,10023620608,0,0,0,0,29704192,788696502272,17111,0,17193,0,11751524,1452,11300816,3112,2120260,34972692,8
1787566369,9.9286e+11,42182885376,31508090880,10023641088,0,0,0,0,29704192,788696502272,17111,8,17193,63,11751688,1380,11300808,3112,2121404,34973856,8
1787566371,9.92852e+11,42189512704,31514546176,10023641088,0,0,0,0,29704192,788696502272,17111,100,17193,97,11751616,1388,11300868,3112,2127608,34980296,8
1787566373,9.92839e+11,42197315584,31520927744,10023825408,0,0,0,0,29704192,788696502272,17111,0,17193,0,11751636,1424,11300816,3112,2134752,34987528,8
1787566376,9.92836e+11,42200059904,31526965248,10023948288,0,0,0,0,29704192,788696502272,17111,79,17193,99,11753544,1444,11300940,3112,2136772,34992300,8
1787566378,9.9283e+11,42212028416,31535226880,10023952384,0,0,0,0,29704192,788696502272,17111,0,17193,72,11757268,1392,11300892,3112,2141896,35001640,8
1787566380,9.92815e+11,42213724160,31539531776,10023956480,0,0,0,0,29704192,788696502272,17111,0,17193,0,11757296,1340,11300860,3112,2146360,35006156,8
1787566383,9.92808e+11,42219941888,31544475648,10023956480,0,0,0,0,29704192,788696502272,17111,0,17193,0,11760116,1380,11300900,3112,2151460,35010728,8
1787566385,9.92808e+11,42223325184,31548370944,10023956480,0,0,0,0,29704192,788696502272,17111,0,17193,99,11760592,1368,11300912,3112,2155152,35015012,8
1787566387,9.92798e+11,42227752960,31552540672,10023960576,0,0,0,0,29704192,788696502272,17111,0,17193,33,11760792,1396,11301052,3112,2158680,35020544,8
1787566390,9.93409e+11,41710825472,31034019840,10023952384,0,0,0,0,29704192,788696502272,17095,100,11339,0,11012844,1432,11301112,3112,2159840,34292156,7
1787566392,9.93402e+11,41710428160,31032909824,10023952384,0,0,0,0,29704192,788696502272,17095,100,11339,0,11014664,1324,11301188,3112,2156672,34291172,7
1787566394,9.93361e+11,41710657536,31034572800,10023952384,0,0,0,0,29704192,788696502272,17095,100,11339,0,11014676,1392,11301164,3112,2157812,34292324,7
1787566396,9.94859e+11,40393707520,29718695936,10023948288,0,0,0,0,29704192,788696502272,11227,100,11339,0,9497780,1416,11301208,3112,2160516,32988684,6
1787566399,9.93501e+11,41752244224,31070441472,10024062976,0,0,0,0,29708288,788696408064,10780,0,10767,0,9750668,1376,11302348,3112,2160448,34333440,8
1787566401,9.92877e+11,42215751680,31533883392,10024079360,0,0,0,0,29708288,788696408064,11045,0,11033,1,10500260,1368,11302360,3112,2161648,35074904,8
1787566403,9.9164e+11,43478421504,32791805952,10024079360,0,0,0,0,29708288,788696408064,11109,0,11097,0,11685952,1340,11302396,3112,2161492,36261448,8
1787566405,9.90943e+11,44212207616,33525919744,10024083456,0,0,0,0,29708288,788696408064,11751,0,11739,0,12372736,1392,11302448,3112,2161984,37031672,8
1787566408,9.89919e+11,45145235456,34454249472,10024083456,0,0,0,0,29708288,788696408064,13940,0,13932,0,13412520,1360,11302404,3112,2158580,38001900,8
1787566410,9.89418e+11,45710876672,35019743232,10024083456,0,0,0,0,29708288,788696408064,14259,5,14251,5,13942716,1416,11302436,3112,2158852,38599284,8
1787566412,9.89295e+11,45842833408,35149471744,10024083456,0,0,0,0,29708288,788696408064,14979,61,14644,0,14108312,1376,11302368,3112,2158352,38684320,8
1787566415,9.89245e+11,45855064064,35164237824,10024083456,0,0,0,0,29708288,788696408064,15377,54,15370,100,14134904,1424,11304920,3112,2158492,38693372,8
1787566417,9.8929e+11,45863735296,35171864576,10024083456,0,0,0,0,29708288,788696408064,15377,0,15370,12,14138012,1356,11304924,3112,2159092,38696940,8
