unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,shmem_bytes,inactive_file_bytes,active_file_bytes,slab_reclaimable_bytes,pgscan,pgsteal,refault_file,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787568738,10164502528,253403070464,257698037760,0,0,0,0,312647680,9786032128,172032,856752128,8932786176,48098112,0,0,7842,0.00,0.00,0,0,0,0,1348,1384,1368,105332,1428,110860,0
1787568740,10503811072,253403070464,257698037760,0,0,0,0,642727936,9786036224,172032,856756224,8932786176,48100520,0,0,7842,0.00,0.00,0,0,0,0,1384,1368,1392,568696,1344,574184,0
1787568742,10963169280,253403070464,257698037760,0,0,0,0,1097781248,9786044416,172032,856760320,8932790272,48128616,0,0,7842,0.00,0.00,1,0,1,0,1392,1340,1376,1066024,1344,1071476,0
1787568745,11327332352,253403070464,257698037760,0,0,0,0,1412595712,9786064896,192512,856760320,8932790272,48196792,0,0,7842,0.00,0.00,4,0,4,0,1448,1368,1384,1411372,1384,1416956,0
1787568747,11700199424,253403070464,257698037760,0,0,0,0,1787645952,9786068992,192512,856764416,8932790272,48386600,0,0,7842,0.00,0.00,4,0,4,0,1384,1420,1420,1474248,385376,1863848,0
1787568749,12655742976,253403070464,257698037760,0,0,0,0,2737766400,9786089472,192512,856784896,8932790272,49006304,0,0,7842,0.00,0.00,4,0,4,0,1420,1380,1376,1492816,945496,2442488,0
1787568751,13226938368,253403070464,257698037760,0,0,0,0,3269709824,9787383808,204800,858062848,8932790272,49568696,0,0,7842,0.00,0.00,4,0,4,0,1344,1368,1368,1493356,2014380,3511816,0
1787568754,15204691968,253403070464,257698037760,0,0,0,0,5165613056,9787596800,204800,858279936,8932790272,50893736,0,0,7842,0.00,0.00,4,0,4,0,1380,1352,1360,1503888,2030928,3538908,0
1787568756,18229063680,253403070464,257698037760,0,0,0,0,8149241856,9787940864,204800,858619904,8932790272,51527224,0,0,7842,0.00,0.00,4,0,4,0,1344,1328,1372,1514888,2053916,3572848,0
1787568758,20704841728,253403070464,257698037760,0,0,0,0,10619486208,9787985920,204800,858669056,8932790272,54412512,0,0,7842,0.00,0.00,4,0,4,0,1388,1360,1388,1515080,2060352,3579568,0
