step,rlt_raw_pct,rlt_ma5_pct,rlt_ma10_pct,dvac_bc_raw_pct,dvac_bc_ma5_pct,dvac_bc_ma10_pct,pure_s0p5_raw_pct,pure_s0p5_ma5_pct,pure_s0p5_ma10_pct,pure_s2p0_raw_pct,pure_s2p0_ma5_pct,pure_s2p0_ma10_pct
1,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0
2,37.5,31.25,31.25,25.0,25.0,25.0,50.0,25.0,25.0,12.5,18.75,18.75
3,12.5,25.0,25.0,37.5,29.166666666666668,29.166666666666668,12.5,20.833333333333332,20.833333333333332,12.5,16.666666666666668,16.666666666666668
4,0.0,18.75,18.75,25.0,28.125,28.125,0.0,15.625,15.625,25.0,18.75,18.75
5,12.5,17.5,17.5,0.0,22.5,22.5,0.0,12.5,12.5,12.5,17.5,17.5
6,12.5,15.0,16.666666666666668,12.5,20.0,20.833333333333332,12.5,15.0,12.5,12.5,15.0,16.666666666666668
7,0.0,7.5,14.285714285714286,0.0,15.0,17.857142857142858,12.5,7.5,12.5,0.0,12.5,14.285714285714286
8,37.5,12.5,17.1875,12.5,10.0,17.1875,0.0,5.0,10.9375,25.0,15.0,15.625
9,37.5,20.0,19.444444444444443,0.0,5.0,15.277777777777779,25.0,10.0,12.5,25.0,15.0,16.666666666666668
10,12.5,20.0,18.75,12.5,7.5,15.0,12.5,12.5,12.5,12.5,15.0,16.25
11,37.5,25.0,20.0,12.5,7.5,13.75,0.0,10.0,12.5,12.5,15.0,15.0
12,37.5,32.5,20.0,0.0,7.5,11.25,12.5,10.0,8.75,0.0,15.0,13.75
13,37.5,32.5,22.5,25.0,10.0,10.0,50.0,20.0,12.5,25.0,15.0,15.0
14,12.5,27.5,23.75,12.5,12.5,8.75,12.5,17.5,13.75,12.5,12.5,13.75
15,0.0,25.0,22.5,0.0,10.0,8.75,0.0,15.0,13.75,0.0,10.0,12.5
16,0.0,17.5,21.25,0.0,7.5,7.5,0.0,15.0,12.5,0.0,7.5,11.25
17,12.5,12.5,22.5,12.5,10.0,8.75,25.0,17.5,13.75,25.0,12.5,13.75
18,0.0,5.0,18.75,12.5,7.5,8.75,37.5,15.0,17.5,25.0,12.5,13.75
19,12.5,5.0,16.25,12.5,7.5,10.0,0.0,12.5,15.0,0.0,10.0,11.25
