selection,success,query_idx,action_slot_start,trajectory_id,reward_sum,done,log10_v_l3_c10_mean,log10_v_l3_h10_49_mean,v_l3_c10_peak_h,w_s0p5_min,w_s0p5_max,w_s2p0_min,w_s2p0_max,executed_reference_mse
success_low,1,0,0,56990,0.0,0,-2.0667638778686523,-1.7687479257583618,8,0.672380805015564,1.399425983428955,0.0,2.5194802284240723,0.002871035598218441
success_low,1,1,10,56991,0.0,0,-2.2204487323760986,-2.119281768798828,4,0.30463138222694397,1.7855201959609985,0.0,3.3116097450256348,0.08809804171323776
success_low,1,2,20,56992,0.0,0,-2.1283276081085205,-1.9889229536056519,0,0.5168060064315796,1.3692166805267334,0.0,2.2655420303344727,0.06258397549390793
success_low,1,3,30,56993,0.0,0,-2.3041515350341797,-2.109393835067749,8,0.7551721334457397,1.3498057126998901,0.020688414573669434,2.3992228507995605,0.012673343531787395
success_low,1,4,40,56994,0.0,0,-2.145937919616699,-1.9521338939666748,2,0.6553831100463867,1.381521224975586,0.0,2.433967113494873,0.012190286070108414
success_low,1,5,50,56995,0.0,0,-2.197322368621826,-1.9040751457214355,1,0.5355785489082336,1.5653889179229736,0.0,2.939368724822998,0.007453773636370897
success_low,1,6,60,56996,0.0,0,-2.229677677154541,-1.8564465045928955,3,0.515570878982544,1.48933744430542,0.0,2.5379199981689453,0.015760401263833046
success_low,1,7,70,56997,0.0,0,-2.26530385017395,-1.8394407033920288,2,0.38716667890548706,1.7535117864608765,0.0,3.2564685344696045,0.06168350577354431
success_low,1,8,80,56998,0.0,0,-2.199410915374756,-1.778206467628479,6,0.7199080586433411,1.3205453157424927,0.0,2.255037784576416,0.029836446046829224
success_low,1,9,90,56999,1.0,1,-2.352243185043335,-2.1563117504119873,1,0.5161387324333191,1.363602876663208,0.0,2.244454860687256,0.049533870071172714
success_middle,1,0,0,57522,0.0,0,-1.9082789421081543,-1.9965229034423828,9,0.45093482732772827,1.6151736974716187,0.0,2.913027048110962,0.005740069318562746
success_middle,1,1,10,57523,0.0,0,-2.0693461894989014,-1.9975641965866089,8,0.649125337600708,1.596798300743103,0.0,3.047297477722168,0.026884885504841805
success_middle,1,2,20,57524,0.0,0,-2.159011125564575,-1.953346610069275,8,0.5082453489303589,1.7731091976165771,0.0,3.574085235595703,0.017379343509674072
success_middle,1,3,30,57525,0.0,0,-1.9582910537719727,-1.6388630867004395,8,0.4309462308883667,1.736858606338501,0.0,2.9289159774780273,0.011311611160635948
success_middle,1,4,40,57526,0.0,0,-1.8815919160842896,-1.6295162439346313,9,0.41939979791641235,1.395998239517212,0.0,2.2584776878356934,0.00614551454782486
success_middle,1,5,50,57527,0.0,0,-2.157749652862549,-1.6372532844543457,0,0.4429875612258911,1.404773235321045,0.0,2.141751289367676,0.012898010201752186
