unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,control_driver_rss_kib,control_head_rss_kib,method_driver_rss_kib,method_head_rss_kib,compute_process_count
1787668159,55358468096,253403070464,257698037760,0,0,0,0,17156669440,36541370368,0.00,0.00,15114,0,4,0,1497860,21725440,397048,21725440,4
1787668161,55857258496,253403070464,257698037760,0,0,0,0,17654689792,36541374464,0.00,0.00,15572,8,4,0,1497860,22060752,620256,22060752,4
1787668163,56059068416,253403070464,257698037760,0,0,0,0,17857052672,36541378560,0.00,0.00,15652,88,4,0,1497860,22055240,1213208,22055256,4
1787668165,56632909824,253403070464,257698037760,0,0,0,0,18426642432,36541378560,0.00,0.00,15932,0,4,0,1497860,22468472,1422500,22468472,4
1787668167,57015259136,253403070464,257698037760,0,0,0,0,18803810304,36541415424,0.00,0.00,16390,0,4,0,1497864,22852336,1491560,22886884,4
1787668170,57988182016,253403070464,257698037760,0,0,0,0,19777298432,36541509632,0.00,0.00,16996,0,4,0,1497864,24287044,1499940,24299384,4
1787668172,61197594624,253403070464,257698037760,0,0,0,0,22941954048,36541788160,0.00,0.00,16996,0,4,0,1497864,29437100,1500352,29451356,4
1787668174,61809385472,253403070464,257698037760,0,0,0,0,23535218688,36550209536,0.00,0.00,17454,0,447,3,1497864,30701976,1500584,30702640,5
1787668176,62905327616,253403070464,257698037760,0,0,0,0,24626307072,36550221824,0.00,0.00,18062,0,447,0,1497864,32339572,1500608,32340528,5
1787668179,63372812288,253403070464,257698037760,0,0,0,0,25089277952,36550230016,0.00,0.00,18062,2,447,0,1497864,32955280,1501148,32955280,5
1787668181,63829196800,253403070464,257698037760,0,0,0,0,25543749632,36550238208,0.00,0.00,18535,10,495,6,1497864,33599992,1501148,33599992,6
1787668183,65206579200,253403070464,257698037760,0,0,0,0,26915549184,36558626816,0.00,0.00,18889,0,917,0,1497864,35302272,1501148,35332452,7
1787668185,66372521984,253403070464,257698037760,0,0,0,0,28070629376,36558626816,0.00,0.00,19347,0,917,0,1497864,36146368,1501148,36146368,7
1787668188,66482683904,253403070464,257698037760,0,0,0,0,28179660800,36558626816,0.00,0.00,19723,79,909,0,1497864,36304396,1501244,36288532,7
1787668190,67221958656,253403070464,257698037760,0,0,0,0,28912214016,36569903104,0.00,0.00,21223,76,987,0,1497864,37158036,1501244,37166484,7
1787668192,68675874816,253403070464,257698037760,0,0,0,0,30351101952,36569894912,0.00,0.00,21208,0,947,0,1497864,38354824,1501288,38354824,6
1787668194,70008336384,253403070464,257698037760,0,0,0,0,31692132352,36569894912,0.00,0.00,21208,0,947,0,1497864,39757344,1501288,39765264,6
1787668196,71743758336,253403070464,257698037760,0,0,0,0,33414406144,36579074048,0.00,0.00,21208,0,947,0,1497864,41450012,1501288,41457140,6
1787668199,73356922880,253403070464,257698037760,0,0,0,0,35025457152,36579074048,0.00,0.00,21208,0,947,0,1497864,43026824,1501344,43035008,6
1787668201,74991747072,253403070464,257698037760,0,0,0,0,36657393664,36579078144,0.00,0.00,21208,0,947,0,1497864,44621816,1501344,44632112,6
1787668203,76634578944,253403070464,257698037760,0,0,0,0,38295588864,36579078144,0.00,0.00,21208,61,947,0,1497864,46209716,1501344,46218684,6
1787668205,76819103744,253403070464,257698037760,0,0,0,0,38469701632,36579078144,0.00,0.00,21208,0,947,0,1497864,46302592,1501344,46302592,6
1787668208,76839911424,253403070464,257698037760,0,0,0,0,38489673728,36579078144,0.00,0.00,21208,0,947,0,1497864,46321464,1501348,46321464,6
1787668210,76840529920,253403070464,257698037760,0,0,0,0,38493896704,36579078144,0.00,0.00,21208,29,947,0,1497864,46326296,1501348,46326296,6
1787668212,76848173056,253403070464,257698037760,0,0,0,0,38498963456,36579078144,0.00,0.00,21208,61,947,0,1497864,46333192,1501348,46333192,6
1787668214,76873510912,253403070464,257698037760,0,0,0,0,38524751872,36579078144,0.00,0.00,21208,0,947,0,1497864,46356076,1501348,46356076,6
1787668217,77233094656,253403070464,257698037760,0,0,0,0,38892306432,36579102720,0.00,0.00,21208,99,947,0,1497864,46792020,1501348,46800996,6
1787668219,78868234240,253403070464,257698037760,0,0,0,0,40525033472,36579426304,0.00,0.00,21208,73,947,0,1497864,48384352,1501364,48390952,6
1787668221,79008927744,253403070464,257698037760,0,0,0,0,40655380480,36579426304,0.00,0.00,21208,0,947,0,1497864,48436344,1501364,48436344,6
1787668223,78180823040,253403070464,257698037760,0,0,0,0,39839518720,36579426304,0.00,0.00,21208,24,947,0,1497864,47729852,1501364,47738252,6
1787668225,79223865344,253403070464,257698037760,0,0,0,0,40870928384,36579430400,0.00,0.00,21208,91,947,0,1497864,48648508,1501364,48648508,6
1787668228,79475253248,253403070464,257698037760,0,0,0,0,41130049536,36579467264,0.00,0.00,21208,0,947,0,1497864,48972088,1501380,48979216,6
1787668230,80289292288,253403070464,257698037760,0,0,0,0,41934995456,36579516416,0.00,0.00,21208,31,947,0,1497864,48779048,1501380,48658444,6
1787668232,76782084096,253403070464,257698037760,0,0,0,0,38450872320,36579647488,0.00,0.00,21208,36,947,0,1497864,46135500,1501380,46148260,6
1787668234,74053242880,253403070464,257698037760,0,0,0,0,35591835648,36579647488,0.00,0.00,21208,0,947,0,1497864,43313780,1501380,43341500,6
1787668236,73318535168,253403070464,257698037760,0,0,0,0,34986110976,36579647488,0.00,0.00,21208,100,947,0,1497864,42993444,1501380,43000572,6
1787668239,74957578240,253403070464,257698037760,0,0,0,0,36622417920,36579647488,0.00,0.00,21208,0,947,0,1497864,44588596,1501396,44595724,6
1787668241,76082479104,253403070464,257698037760,0,0,0,0,37760856064,36579647488,0.00,0.00,21208,100,947,0,1497864,45824372,1501396,45847340,6
1787668243,81096597504,253403070464,257698037760,0,0,0,0,42765991936,36579647488,0.00,0.00,21208,0,947,0,1497864,50764276,1501396,50789884,6
1787668245,83370741760,253403070464,257698037760,0,0,0,0,45008728064,36579647488,0.00,0.00,21208,0,947,0,1497864,52690616,1501396,52690616,6
1787668248,69078274048,253403070464,257698037760,0,0,0,0,30741258240,36588036096,0.00,0.00,21208,100,9549,9,1497864,38898732,1501448,38917500,7
1787668250,69419999232,253403070464,257698037760,0,0,0,0,31008636928,36650672128,0.00,0.00,21223,0,9849,1,1497864,39425268,1501552,39427364,8
1787668252,69548294144,253403070464,257698037760,0,0,0,0,31137443840,36650676224,0.00,0.00,21223,98,9849,0,1497864,39462756,1501552,39462756,8
1787668254,69570183168,253403070464,257698037760,0,0,0,0,31158296576,36650676224,0.00,0.00,21223,0,9849,0,1497864,39487152,1501552,39487152,8
1787668257,69606010880,253403070464,257698037760,0,0,0,0,31193415680,36650676224,0.00,0.00,21223,4,9849,0,1497864,39518052,1501552,39518052,8
1787668259,69653467136,253403070464,257698037760,0,0,0,0,31241150464,36650676224,0.00,0.00,21223,72,9851,0,1497864,39574528,1501864,39575584,8
1787668261,69715644416,253403070464,257698037760,0,0,0,0,31300173824,36650676224,0.00,0.00,21223,0,9855,0,1497864,39623624,1501864,39623624,8
1787668263,69891268608,253403070464,257698037760,0,0,0,0,31476465664,36650676224,0.00,0.00,21223,0,10073,0,1497864,39831004,1501864,39831004,8
1787668266,70527160320,253403070464,257698037760,0,0,0,0,32113819648,36650676224,0.00,0.00,21223,0,10137,0,1497864,40450484,1501864,40450484,8
1787668268,70891917312,253403070464,257698037760,0,0,0,0,32478130176,36650676224,0.00,0.00,21223,43,10779,1,1497864,40811424,1501868,40811472,8
1787668270,71414251520,253403070464,257698037760,0,0,0,0,32996868096,36650676224,0.00,0.00,21223,57,12972,0,1497864,41366876,1501868,41366876,8
1787668272,71696416768,253403070464,257698037760,0,0,0,0,33280532480,36650676224,0.00,0.00,21223,0,12972,2,1497864,41653204,1501868,41653204,8
1787668275,71791509504,253403070464,257698037760,0,0,0,0,33384820736,36650700800,0.00,0.00,21223,0,13683,0,1497864,41736088,1501868,41736092,8
1787668277,72582729728,253403070464,257698037760,0,0,0,0,34187399168,36650704896,0.00,0.00,21223,0,14036,0,1497864,42143792,1501868,42149504,8
1787668279,72520597504,253403070464,257698037760,0,0,0,0,34102149120,36650876928,0.00,0.00,21223,95,14493,1,1497864,42499760,1501868,42513488,8
1787668281,72749662208,253403070464,257698037760,0,0,0,0,34331770880,36650876928,0.00,0.00,21223,59,15100,1,1497864,42675916,1501868,42675916,8
1787668284,73374203904,253403070464,257698037760,0,0,0,0,34953216000,36650881024,0.00,0.00,21223,10,15100,0,1497864,43295952,1501868,43312056,8
1787668286,73767067648,253403070464,257698037760,0,0,0,0,35346391040,36650881024,0.00,0.00,21223,95,15557,3,1497864,43586624,1501868,43587632,8
1787668288,74204659712,253403070464,257698037760,0,0,0,0,35785469952,36650905600,0.00,0.00,21223,82,15918,0,1497864,44165636,1501868,44175404,8
1787668290,74532659200,253403070464,257698037760,0,0,0,0,36110221312,36651003904,0.00,0.00,21223,0,16376,7,1497864,44330804,1501868,44330804,8
1787668292,74506633216,253403070464,257698037760,0,0,0,0,36083032064,36651057152,0.00,0.00,21223,100,16726,79,1497864,44388344,1501868,44388344,8
1787668295,74899353600,253403070464,257698037760,0,0,0,0,36476481536,36651057152,0.00,0.00,21223,37,16982,0,1497864,44775220,1501868,44775220,8
1787668297,75206811648,253403070464,257698037760,0,0,0,0,36782075904,36651057152,0.00,0.00,21223,98,17440,0,1497864,45077140,1501868,45086644,8
1787668299,75397922816,253403070464,257698037760,0,0,0,0,36970536960,36651057152,0.00,0.00,21223,0,18048,3,1497864,45343424,1501868,45374048,8
1787668301,75740594176,253403070464,257698037760,0,0,0,0,37323055104,36651061248,0.00,0.00,21223,78,18048,0,1497864,45746920,1501868,45761968,8
1787668304,76149485568,253403070464,257698037760,0,0,0,0,37747355648,36651061248,0.00,0.00,21223,91,18506,4,1497864,45933032,1501868,45933032,8
1787668306,76683722752,253403070464,257698037760,0,0,0,0,38255378432,36651061248,0.00,0.00,21223,0,18860,0,1497864,46512252,1501868,46512252,8
1787668308,76931547136,253403070464,257698037760,0,0,0,0,38498148352,36651061248,0.00,0.00,21223,0,19318,4,1497864,46711948,1501868,46724884,8
1787668310,76934594560,253403070464,257698037760,0,0,0,0,38504288256,36651061248,0.00,0.00,21223,0,19650,36,1497864,46754096,1501868,46754096,8
1787668313,77055737856,253403070464,257698037760,0,0,0,0,38609362944,36660240384,0.00,0.00,21223,100,21194,0,1497864,46972736,1501868,46972736,8
1787668315,77026881536,253403070464,257698037760,0,0,0,0,38583975936,36660240384,0.00,0.00,21223,76,21194,0,1497864,46948064,1501868,46948064,8
1787668317,77048553472,253403070464,257698037760,0,0,0,0,38601043968,36660240384,0.00,0.00,21223,0,21194,0,1497864,46964116,1501868,46964116,8
1787668319,77049884672,253403070464,257698037760,0,0,0,0,38606946304,36660240384,0.00,0.00,21223,0,21194,48,1497864,46969768,1501868,46969768,8
1787668322,77187940352,253403070464,257698037760,0,0,0,0,38735642624,36669419520,0.00,0.00,21223,47,21194,5,1497864,47113852,1501868,47113856,8
1787668324,77191655424,253403070464,257698037760,0,0,0,0,38734950400,36669419520,0.00,0.00,21223,37,21194,100,1497864,47112488,1501868,47112488,8
1787668326,77193162752,253403070464,257698037760,0,0,0,0,38738485248,36669423616,0.00,0.00,21223,100,21194,25,1497864,47116608,1501868,47116608,8
1787668328,77213884416,253403070464,257698037760,0,0,0,0,38756327424,36669423616,0.00,0.00,21223,61,21194,0,1497864,47136548,1501868,47136548,8
1787668331,77214855168,253403070464,257698037760,0,0,0,0,38760316928,36669423616,0.00,0.00,21223,0,21194,37,1497864,47139592,1501868,47139592,8
1787668333,77211156480,253403070464,257698037760,0,0,0,0,38757220352,36669423616,0.00,0.00,21223,0,21194,0,1497864,47140628,1501868,47140628,8
1787668335,77211811840,253403070464,257698037760,0,0,0,0,38760161280,36669448192,0.00,0.00,21223,0,21194,0,1497864,47145364,1501868,47145364,8
1787668337,77238161408,253403070464,257698037760,0,0,0,0,38784901120,36669472768,0.00,0.00,21223,0,21194,79,1497864,47174264,1501868,47174264,8
1787668339,77238317056,253403070464,257698037760,0,0,0,0,38785630208,36669620224,0.00,0.00,21223,0,21194,60,1497864,47175964,1501868,47175964,8
1787668342,77242068992,253403070464,257698037760,0,0,0,0,38788866048,36669620224,0.00,0.00,21223,0,21194,13,1497864,47181684,1501868,47181684,8
1787668344,77245374464,253403070464,257698037760,0,0,0,0,38791483392,36669620224,0.00,0.00,21223,0,21194,81,1497864,47185120,1501868,47186532,8
1787668346,77259788288,253403070464,257698037760,0,0,0,0,38806360064,36669624320,0.00,0.00,21223,42,21194,52,1497864,47201860,1501868,47201860,8
1787668348,77261647872,253403070464,257698037760,0,0,0,0,38808371200,36669652992,0.00,0.00,21223,100,21194,100,1497864,47204592,1501868,47204592,8
1787668351,77262184448,253403070464,257698037760,0,0,0,0,38809612288,36669820928,0.00,0.00,21223,77,21194,0,1497864,47206156,1501868,47206156,8
1787668353,77272301568,253403070464,257698037760,0,0,0,0,38818889728,36669820928,0.00,0.00,21223,0,21194,45,1497864,47216008,1501868,47216008,8
1787668355,77271375872,253403070464,257698037760,0,0,0,0,38817419264,36669820928,0.00,0.00,21223,0,21194,90,1497864,47215252,1501868,47215252,8
1787668357,77272334336,253403070464,257698037760,0,0,0,0,38818009088,36669820928,0.00,0.00,21223,68,21194,77,1497864,47216444,1501868,47216820,8
