step,control_raw_pct,control_ma5_pct,control_ma10_pct,method_raw_pct,method_ma5_pct,method_ma10_pct
1.0,25.0,25.0,25.0,37.5,37.5,37.5
2.0,12.5,18.75,18.75,37.5,37.5,37.5
3.0,0.0,12.5,12.5,12.5,29.166666666666668,29.166666666666668
4.0,12.5,12.5,12.5,12.5,25.0,25.0
5.0,12.5,12.5,12.5,12.5,22.5,22.5
6.0,12.5,10.0,12.5,12.5,17.5,20.833333333333332
7.0,12.5,10.0,12.5,12.5,12.5,19.642857142857142
8.0,0.0,10.0,10.9375,25.0,15.0,20.3125
9.0,25.0,12.5,12.5,25.0,17.5,20.833333333333332
10.0,25.0,15.0,13.75,12.5,17.5,20.0
11.0,25.0,17.5,13.75,0.0,15.0,16.25
12.0,12.5,17.5,13.75,12.5,15.0,13.75
13.0,25.0,22.5,16.25,25.0,15.0,15.0
14.0,37.5,25.0,18.75,12.5,12.5,15.0
15.0,0.0,20.0,17.5,12.5,12.5,15.0
16.0,12.5,17.5,17.5,0.0,12.5,13.75
17.0,25.0,20.0,18.75,25.0,15.0,15.0
18.0,25.0,20.0,21.25,12.5,12.5,13.75
19.0,12.5,15.0,20.0,12.5,12.5,12.5
20.0,25.0,20.0,20.0,25.0,15.0,13.75
21.0,12.5,20.0,18.75,12.5,17.5,15.0
22.0,25.0,20.0,20.0,0.0,12.5,13.75
23.0,25.0,20.0,20.0,25.0,15.0,13.75
24.0,12.5,20.0,17.5,25.0,17.5,15.0
25.0,0.0,15.0,17.5,12.5,15.0,15.0
26.0,12.5,15.0,17.5,25.0,17.5,17.5
27.0,12.5,12.5,16.25,12.5,20.0,16.25
28.0,0.0,7.5,13.75,0.0,15.0,15.0
29.0,12.5,7.5,13.75,12.5,12.5,15.0
30.0,25.0,12.5,13.75,0.0,10.0,12.5
31.0,12.5,12.5,13.75,0.0,5.0,11.25
32.0,12.5,12.5,12.5,12.5,5.0,12.5
33.0,25.0,17.5,12.5,25.0,10.0,12.5
34.0,37.5,22.5,15.0,12.5,10.0,11.25
35.0,12.5,20.0,16.25,12.5,12.5,11.25
36.0,0.0,17.5,15.0,12.5,15.0,10.0
37.0,25.0,20.0,16.25,37.5,20.0,12.5
38.0,12.5,17.5,17.5,37.5,22.5,16.25
39.0,12.5,12.5,17.5,0.0,20.0,15.0
40.0,12.5,12.5,16.25,0.0,17.5,15.0
41.0,12.5,15.0,16.25,12.5,17.5,16.25
42.0,0.0,10.0,15.0,25.0,15.0,17.5
43.0,0.0,7.5,12.5,25.0,12.5,17.5
44.0,25.0,10.0,11.25,25.0,17.5,18.75
45.0,25.0,12.5,12.5,12.5,20.0,18.75
46.0,12.5,12.5,13.75,12.5,20.0,18.75
47.0,0.0,12.5,11.25,0.0,15.0,15.0
48.0,12.5,15.0,11.25,12.5,12.5,12.5
49.0,0.0,10.0,10.0,12.5,10.0,13.75
50.0,0.0,5.0,8.75,0.0,7.5,13.75
51.0,12.5,5.0,8.75,25.0,10.0,15.0
52.0,0.0,5.0,8.75,0.0,10.0,12.5
53.0,25.0,7.5,11.25,12.5,10.0,11.25
54.0,12.5,10.0,10.0,0.0,7.5,8.75
55.0,12.5,12.5,8.75,0.0,7.5,7.5
56.0,0.0,10.0,7.5,0.0,2.5,6.25
57.0,25.0,15.0,10.0,12.5,5.0,7.5
58.0,25.0,15.0,11.25,0.0,2.5,6.25
59.0,12.5,15.0,12.5,12.5,5.0,6.25
60.0,25.0,17.5,15.0,37.5,12.5,10.0
61.0,12.5,20.0,15.0,25.0,17.5,10.0
