step,control_raw,control_ma5,control_ma10,method_raw,method_ma5,method_ma10
1,25.0,25.0,25.0,25.0,25.0,25.0
2,37.5,31.25,31.25,25.0,25.0,25.0
3,12.5,25.0,25.0,37.5,29.166666666666668,29.166666666666668
4,0.0,18.75,18.75,25.0,28.125,28.125
5,12.5,17.5,17.5,0.0,22.5,22.5
6,12.5,15.0,16.666666666666668,12.5,20.0,20.833333333333332
7,0.0,7.5,14.285714285714286,0.0,15.0,17.857142857142858
8,37.5,12.5,17.1875,12.5,10.0,17.1875
9,37.5,20.0,19.444444444444443,0.0,5.0,15.277777777777779
10,12.5,20.0,18.75,12.5,7.5,15.0
11,37.5,25.0,20.0,12.5,7.5,13.75
12,37.5,32.5,20.0,0.0,7.5,11.25
13,37.5,32.5,22.5,25.0,10.0,10.0
14,12.5,27.5,23.75,12.5,12.5,8.75
15,0.0,25.0,22.5,0.0,10.0,8.75
16,0.0,17.5,21.25,0.0,7.5,7.5
17,12.5,12.5,22.5,12.5,10.0,8.75
18,0.0,5.0,18.75,12.5,7.5,8.75
19,12.5,5.0,16.25,12.5,7.5,10.0
20,12.5,7.5,16.25,12.5,10.0,10.0
21,0.0,7.5,12.5,37.5,17.5,12.5
22,25.0,10.0,11.25,25.0,20.0,15.0
23,25.0,15.0,10.0,37.5,25.0,16.25
24,25.0,17.5,11.25,12.5,25.0,16.25
25,12.5,17.5,12.5,25.0,27.5,18.75
26,12.5,20.0,13.75,25.0,25.0,21.25
27,12.5,17.5,13.75,37.5,27.5,23.75
28,0.0,12.5,13.75,0.0,20.0,22.5
29,25.0,12.5,15.0,25.0,22.5,23.75
30,25.0,15.0,16.25,37.5,25.0,26.25
31,0.0,12.5,16.25,12.5,22.5,23.75
32,0.0,10.0,13.75,0.0,15.0,21.25
33,12.5,12.5,12.5,25.0,20.0,20.0
34,25.0,12.5,12.5,25.0,20.0,21.25
35,12.5,10.0,12.5,12.5,15.0,20.0
36,0.0,10.0,11.25,25.0,17.5,20.0
37,0.0,10.0,10.0,12.5,20.0,17.5
38,37.5,15.0,13.75,0.0,15.0,17.5
39,0.0,10.0,11.25,0.0,10.0,15.0
40,12.5,10.0,10.0,0.0,7.5,11.25
41,0.0,10.0,10.0,12.5,5.0,11.25
42,25.0,15.0,12.5,12.5,5.0,12.5
43,12.5,10.0,12.5,37.5,12.5,13.75
44,25.0,15.0,12.5,37.5,20.0,15.0
45,0.0,12.5,11.25,25.0,25.0,16.25
46,12.5,15.0,12.5,12.5,25.0,15.0
47,12.5,12.5,13.75,12.5,25.0,15.0
48,0.0,10.0,10.0,0.0,17.5,15.0
49,12.5,7.5,11.25,25.0,15.0,17.5
50,25.0,12.5,12.5,0.0,10.0,17.5
51,0.0,10.0,12.5,25.0,12.5,18.75
52,12.5,10.0,11.25,12.5,12.5,18.75
53,12.5,12.5,11.25,12.5,15.0,16.25
54,12.5,12.5,10.0,12.5,12.5,13.75
55,12.5,10.0,11.25,0.0,12.5,11.25
56,12.5,12.5,11.25,25.0,12.5,12.5
57,37.5,17.5,13.75,12.5,12.5,12.5
58,25.0,20.0,16.25,0.0,10.0,12.5
59,12.5,20.0,16.25,37.5,15.0,13.75
60,0.0,17.5,13.75,12.5,17.5,15.0
61,12.5,17.5,15.0,12.5,15.0,13.75
62,12.5,12.5,15.0,0.0,12.5,12.5
63,0.0,7.5,13.75,37.5,20.0,15.0
64,12.5,7.5,13.75,12.5,15.0,15.0
65,37.5,15.0,16.25,37.5,20.0,18.75
