run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
Original GRPO (100 steps),1,83.59375,83.59375,0.111,21.0,28.65,23.971666666666668
Original GRPO (100 steps),2,72.65625,78.125,0.078,19.400000000000002,35.52,24.15666666666667
Original GRPO (100 steps),3,76.953125,77.734375,0.042,18.9,39.954,24.198333333333334
Original GRPO (100 steps),4,85.9375,79.78515625,0.05,15.4,33.845,24.33833333333333
Original GRPO (100 steps),5,89.84375,81.796875,0.04,10.7,22.997,23.631666666666668
Original GRPO (100 steps),6,90.625,83.203125,0.03,16.0,38.549,24.235
Original GRPO (100 steps),7,88.671875,86.40625,0.034,12.0,36.739,23.706666666666667
Original GRPO (100 steps),8,89.84375,88.984375,0.054,17.1,37.421,23.91
Original GRPO (100 steps),9,87.109375,89.21875,0.015,13.0,29.122,24.34333333333333
Original GRPO (100 steps),10,83.984375,88.046875,0.033,12.3,39.783,25.573333333333334
Original GRPO (100 steps),11,83.59375,86.640625,0.056,15.5,29.032,24.746666666666666
Original GRPO (100 steps),12,83.59375,85.625,0.061,16.3,40.197,24.95
Original GRPO (100 steps),13,76.5625,82.96875,0.026,9.8,42.256,25.303333333333335
Original GRPO (100 steps),14,80.078125,81.5625,0.023,11.700000000000001,38.402,25.235
Original GRPO (100 steps),15,85.15625,81.796875,0.037,12.1,40.51,24.878333333333334
Original GRPO (100 steps),16,85.9375,82.265625,0.027,12.0,38.035,24.703333333333333
Original GRPO (100 steps),17,83.203125,82.1875,0.03,12.6,34.02,24.728333333333335
Original GRPO (100 steps),18,88.28125,84.53125,0.034,17.4,31.316,24.956666666666667
Original GRPO (100 steps),19,86.328125,85.78125,0.045,15.1,37.01,24.866666666666667
Original GRPO (100 steps),20,92.96875,87.34375,0.052,17.2,21.573,24.961666666666666
Original GRPO (100 steps),21,85.546875,87.265625,0.045,15.4,33.909,24.884999999999998
Original GRPO (100 steps),22,88.28125,88.28125,0.015,13.100000000000001,31.109,24.808333333333334
Original GRPO (100 steps),23,85.546875,87.734375,0.036,13.5,32.046,24.626666666666665
Original GRPO (100 steps),24,80.859375,86.640625,0.036,12.1,29.246,25.186666666666667
Original GRPO (100 steps),25,94.140625,86.875,0.057,18.2,23.899,24.509999999999998
Original GRPO (100 steps),26,88.671875,87.5,0.068,15.8,27.271,24.938333333333333
Original GRPO (100 steps),27,86.328125,87.109375,0.075,15.6,35.257,24.611666666666668
Original GRPO (100 steps),28,91.796875,88.359375,0.036,12.8,30.961,24.793333333333333
Original GRPO (100 steps),29,91.796875,90.546875,0.047,16.6,32.61,24.478333333333335
Original GRPO (100 steps),30,87.890625,89.296875,0.056,12.3,31.213,24.759999999999998
Original GRPO (100 steps),31,94.53125,90.46875,0.024,12.5,22.555,24.21333333333333
Original GRPO (100 steps),32,95.3125,92.265625,0.032,13.100000000000001,29.588,24.388333333333332
Original GRPO (100 steps),33,87.5,91.40625,0.067,14.299999999999999,28.708,24.651666666666664
Original GRPO (100 steps),34,92.578125,91.5625,0.04,17.9,24.904,24.473333333333336
Original GRPO (100 steps),35,90.625,92.109375,0.048,15.2,30.159,24.293333333333333
Original GRPO (100 steps),36,92.578125,91.71875,0.121,19.2,22.298,24.621666666666666
Original GRPO (100 steps),37,94.921875,91.640625,0.047,18.2,20.408,24.256666666666668
Original GRPO (100 steps),38,96.09375,93.359375,0.034,16.7,21.477,24.421666666666667
Original GRPO (100 steps),39,91.015625,93.046875,0.039,19.3,29.822,24.615000000000002
Original GRPO (100 steps),40,95.703125,94.0625,0.052,19.1,23.791,24.808333333333334
Original GRPO (100 steps),41,93.75,94.296875,0.082,19.7,25.413,24.653333333333332
Original GRPO (100 steps),42,86.71875,92.65625,0.035,15.1,32.172,24.858333333333334
Original GRPO (100 steps),43,91.015625,91.640625,0.052,14.299999999999999,26.748,24.498333333333335
