runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss,global_step
0,0,apply,per_h_robust_residual,1,0,0,0,0.0,0.0,,,51200,-4.472625285009854,0.6235019530947385,256,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.83964538574219,0.1841329783201217,0.1618072539567947,0.9858105778694152,0.0111015811562538,1
1,0,apply,per_h_robust_residual,0,1,51200,1024,-4.472625285009854,0.6235019530947403,-4.500411987304688,0.6143217086791992,51200,-4.3906263250648045,0.674386727825649,299,0.0,0.3802233040332794,1.1988401412963867,1.1970360279083252,2.0,2.0,0.3571906387805938,0.6428093910217285,-1.239553451538086,0.3940721750259399,2.0,0.0061538461595773,0.0811371207237243,1.1246800422668457,1.2830649614334106,47.27886962890625,0.1512393653392791,0.0515792071819305,0.9995633363723756,-0.000836030987557,2
2,0,apply,per_h_robust_residual,0,2,102400,2048,-4.431625805037329,0.6507357600809894,-4.471682548522949,0.6231493949890137,51200,-4.400565584153519,0.7315384196356871,378,0.0,0.33980792760849,1.1321909427642822,1.1273268461227417,2.0,2.0,0.4010581970214844,0.5989418029785156,-1.32038414478302,0.2546537518501282,2.0,0.0078306877985596,0.0563492067158222,1.071308970451355,1.2082934379577637,49.57046508789063,0.14451465010643,0.0449685305356979,1.0056273937225342,0.0096559636294841,3
3,0,apply,per_h_robust_residual,0,3,153600,3072,-4.421272398076059,0.6788975564628497,-4.458003520965576,0.6441617012023926,51200,-4.401295656576403,0.672398826702366,270,0.0,0.3741124272346496,1.134984254837036,1.1288135051727295,2.0,2.0,0.3942962884902954,0.6057037115097046,-1.251775145530701,0.2576268911361694,2.0,0.0053333332762122,0.05274074152112,1.083181381225586,1.199737787246704,42.1524543762207,0.1611066907644271,0.0365776754915714,1.004598617553711,0.002059125341475,4
4,0,apply,per_h_robust_residual,0,4,204800,4096,-4.416278212701145,0.6773339577555294,-4.463009834289551,0.6409148573875427,51200,-4.382158265988109,0.6475787143305891,263,0.0,0.4411004781723022,1.1665599346160889,1.1518359184265137,1.988597631454468,2.0,0.3714828789234161,0.6285170912742615,-1.1177990436553955,0.3036719262599945,1.9771952629089355,0.0033460075501352,0.047756653279066,1.1051311492919922,1.280737280845642,47.92646408081055,0.1219301968812942,0.0414307005703449,0.98861563205719,-0.0018420815467834,5
5,0,apply,per_h_robust_residual,0,5,256000,5120,-4.409454223358538,0.6716270824170504,-4.46160888671875,0.6321839094161987,51200,-4.397132217364852,0.666161593544371,315,0.0,0.3823332190513611,1.153215408325195,1.1417293548583984,2.0,2.0,0.3827301561832428,0.6172698140144348,-1.2353335618972778,0.2834588885307312,2.0,0.0043809525668621,0.0657777786254882,1.082577347755432,1.2886048555374146,57.58808898925781,0.1383707821369171,0.0487614274024963,0.993125319480896,0.0131402136757969,6
6,0,apply,per_h_robust_residual,0,5,256000,5120,-4.394355609829538,0.679036476270576,-4.453753471374512,0.6309614181518555,51200,-4.363021230925806,0.6446274854844217,267,0.0,0.4066153466701507,1.1616138219833374,1.158470869064331,1.9879053831100464,2.0,0.377752810716629,0.6222472190856934,-1.1867693662643433,0.3169416487216949,1.9758105278015137,0.0026966291479766,0.0475655421614646,1.11768639087677,1.2262846231460571,45.6566047668457,0.1540434956550598,0.0274648591876029,1.0085790157318115,-0.0004831692203879,7
7,0,apply,per_h_robust_residual,0,5,256000,5120,-4.3888345910017375,0.6733521135923445,-4.459174633026123,0.6283330321311951,51200,-4.358165315388469,0.6499587983482239,266,0.0,0.4204184412956238,1.1797887086868286,1.1713831424713137,2.0,2.0,0.3682706654071808,0.6317293047904968,-1.1591631174087524,0.3427661061286926,2.0,0.0032330825924873,0.0751127824187278,1.1051918268203735,1.303619384765625,60.12336349487305,0.1427883356809616,0.0334787964820861,1.0077968835830688,0.0109178433194756,8
8,0,apply,per_h_robust_residual,0,5,256000,5120,-4.380354537248728,0.6564688501751772,-4.457365989685059,0.6144459843635559,51200,-4.325527579504996,0.6294262655605062,261,0.0,0.4157371819019317,1.159124493598938,1.1519285440444946,2.0,2.0,0.3786973059177398,0.6213026642799377,-1.1685255765914917,0.3038570880889892,2.0,0.0038314175326377,0.0508045963943004,1.111275315284729,1.2599494457244873,45.7358283996582,0.1317023187875747,0.034778993576765,0.9927391409873962,0.0004297664854675,9
9,0,apply,per_h_robust_residual,0,5,256000,5120,-4.365200921834447,0.6481100681820023,-4.446132659912109,0.6078411936759949,51200,-4.336516047162004,0.6185067794639796,263,0.0,0.3905715942382812,1.1231920719146729,1.1061785221099854,1.9931124448776243,2.0,0.4191634953022003,0.5808364748954773,-1.2188568115234375,0.2123571634292602,1.986224889755249,0.0032699620351195,0.0481368824839592,1.0474687814712524,1.263938546180725,41.92547225952149,0.1101785972714424,0.0571405440568923,0.9858837127685548,0.0060566845349967,10
10,0,apply,per_h_robust_residual,0,5,256000,5120,-4.356072478069225,0.6424242173937074,-4.437070846557617,0.6094484329223633,51200,-4.325256098245736,0.6448419809735073,287,0.0,0.4473353028297424,1.1716519594192505,1.1535552740097046,2.0,2.0,0.3744947612285614,0.6255052089691162,-1.1053293943405151,0.3071106076240539,2.0,0.0024390243925154,0.0665505230426788,1.089874505996704,1.3449842929840088,43.22257614135742,0.1130991876125335,0.0139033831655979,1.0141358375549316,-0.0008391420124098,11
11,0,apply,per_h_robust_residual,0,5,256000,5120,-4.341697254245402,0.6377812789595432,-4.416123390197754,0.5981867909431458,51200,-4.239774610874011,0.6490082674142091,162,0.0,0.474517673254013,1.2442328929901123,1.2458093166351318,2.0,2.0,0.3219753205776214,0.6780247092247009,-1.0509647130966189,0.4916185736656189,2.0,0.0016049382975324,0.1008641943335533,1.1535474061965942,1.357589840888977,39.98017883300781,0.154057577252388,0.0504988729953765,0.9915671348571776,0.0011475635692477,12
