global_step,runner_step,signal_mode,warmup,rank_count,valid_queries,history_steps,history_queries,weight_min,weight_max,weight_mean,weight_below_one_fraction,weight_above_one_fraction,z_low_clip_fraction,z_high_clip_fraction,weight_p05,weight_p50,weight_p95,residual_p05,residual_p50,residual_p95,positive_adv_weight_mean,negative_adv_weight_mean,current_mean,current_std,history_mean,history_std,position_center_median,position_scale_median,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
1,0,per_h_robust_residual,1,2,542,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-4.472625285009854,0.6235019530947385,0.0,0.0,,,34.83964538574219,0.1841329783201217,0.1618072539567947,0.9858105778694152,0.0111015811562538
2,1,per_h_robust_residual,0,2,671,1,1024,0.0,2.0,1.1716387502838,0.3730551373496673,0.6269448759303541,0.0063189269222551905,0.0676900144616466,0.36690880358219147,1.1746575236320496,2.0,-1.2661824226379395,0.34931510686874384,2.0,1.1188380122184753,1.245536983013153,-4.3906263250648045,0.674386727825649,-4.472625285009854,0.6235019530947403,-4.500411987304688,0.6143217086791992,47.27886962890625,0.1512393653392791,0.0515792071819305,0.9995633363723756,-0.000836030987557
3,2,per_h_robust_residual,0,2,589,2,2048,0.0,2.0,1.1395197366008532,0.39677419534968195,0.603225804650318,0.006723259804937901,0.05901528020817876,0.3570122569799423,1.1346761584281921,2.0,-1.2859755158424377,0.26935240626335144,2.0,1.0738281607627869,1.2482391595840454,-4.400565584153519,0.7315384196356871,-4.431625805037329,0.6507357600809894,-4.471682548522949,0.6231493949890137,49.57046508789063,0.14451465010643,0.0449685305356979,1.0056273937225342,0.0096559636294841
4,3,per_h_robust_residual,0,2,504,3,3072,0.0,2.0,1.1418234493051256,0.39492063224315643,0.6050793677568436,0.004404761911635918,0.05797619119818716,0.3866642713546753,1.1331002712249756,2.0,-1.2266714572906494,0.26620049774646753,2.0,1.0903959274291992,1.2333438396453857,-4.401295656576403,0.672398826702366,-4.421272398076059,0.6788975564628497,-4.458003520965576,0.6441617012023926,42.1524543762207,0.1611066907644271,0.0365776754915714,1.004598617553711,0.002059125341475
5,4,per_h_robust_residual,0,2,576,4,4096,0.0,2.0,1.1537542949534125,0.38725693585971993,0.6127430343379577,0.0032638888333166734,0.05413194420462882,0.42667967081069946,1.1356226801872253,1.9942988157272339,-1.146640658378601,0.27124542742967606,1.9885976314544678,1.1170647144317627,1.228676199913025,-4.382158265988109,0.6475787143305891,-4.416278212701145,0.6773339577555294,-4.463009834289551,0.6409148573875427,47.92646408081055,0.1219301968812942,0.0414307005703449,0.98861563205719,-0.0018420815467834
6,5,per_h_robust_residual,0,2,598,5,5120,0.0,2.0,1.1507946364456993,0.3834448085481108,0.6165551757533415,0.004214046955152242,0.058294314037647066,0.3965141475200653,1.1384716033935547,1.9998207092285156,-1.2069717049598694,0.27694323658943176,1.999641478061676,1.0959269404411316,1.271224319934845,-4.397132217364852,0.666161593544371,-4.409454223358538,0.6716270824170504,-4.46160888671875,0.6321839094161987,57.58808898925781,0.1383707821369171,0.0487614274024963,0.993125319480896,0.0131402136757969
7,6,per_h_robust_residual,0,2,532,5,5120,0.0,2.0,1.1636422027770739,0.3715413510239214,0.6284586639332592,0.0024812029450571203,0.04913533796885401,0.42392380535602564,1.1602102518081665,1.9939526915550232,-1.152152419090271,0.3204204738140106,1.9879052639007568,1.1132200360298157,1.2429543137550354,-4.363021230925806,0.6446274854844217,-4.394355609829538,0.679036476270576,-4.453753471374512,0.6309614181518555,45.6566047668457,0.1540434956550598,0.0274648591876029,1.0085790157318115,-0.0004831692203879
8,7,per_h_robust_residual,0,2,499,5,5120,0.0,2.0,1.1677161034696804,0.3795991974149295,0.6204008006141755,0.0026853706483319878,0.06829659277218611,0.41913914680480957,1.150257706642151,2.0,-1.1617217063903809,0.3005152642726898,2.0,1.1158666610717773,1.2620095014572144,-4.358165315388469,0.6499587983482239,-4.3888345910017375,0.6733521135923445,-4.459174633026123,0.6283330321311951,60.12336349487305,0.1427883356809616,0.0334787964820861,1.0077968835830688,0.0109178433194756
9,8,per_h_robust_residual,0,2,468,5,5120,0.0,2.0,1.1928947269916534,0.3517093967932921,0.6482905997679784,0.0027777777487734117,0.06094017030241395,0.4583117216825485,1.1873368620872498,2.0,-1.0833765268325806,0.3746736943721771,2.0,1.1426766514778137,1.3229227662086487,-4.325527579504996,0.6294262655605062,-4.380354537248728,0.6564688501751772,-4.457365989685059,0.6144459843635559,45.7358283996582,0.1317023187875747,0.034778993576765,0.9927391409873962,0.0004297664854675
10,9,per_h_robust_residual,0,2,496,5,5120,0.0,2.0,1.1309265583272903,0.41056451622036194,0.5894354819770782,0.0032258065189271884,0.04681451669743944,0.41007018089294434,1.1118385791778564,1.9824231266975403,-1.1798596382141113,0.22367716580629343,1.9648461937904358,1.0722460746765137,1.2535220384597778,-4.336516047162004,0.6185067794639796,-4.365200921834447,0.6481100681820023,-4.446132659912109,0.6078411936759949,41.92547225952149,0.1101785972714424,0.0571405440568923,0.9858837127685548,0.0060566845349967
