run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
Original GRPO,1,83.59375,83.59375,0.111,21.0,28.65,23.971666666666668
Original GRPO,2,72.65625,78.125,0.078,19.4,35.52,24.15666666666667
Original GRPO,3,76.953125,77.734375,0.042,18.9,39.954,24.19833333333333
Original GRPO,4,85.9375,79.78515625,0.05,15.4,33.845,24.33833333333333
Original GRPO,5,89.84375,81.796875,0.04,10.7,22.997,23.631666666666668
Original GRPO,6,90.625,83.203125,0.03,16.0,38.549,24.235
Original GRPO,7,88.671875,86.40625,0.034,12.0,36.739,23.706666666666667
Original GRPO,8,89.84375,88.984375,0.054,17.1,37.421,23.91
Original GRPO,9,87.109375,89.21875,0.015,13.0,29.122,24.34333333333333
Original GRPO,10,83.984375,88.046875,0.033,12.3,39.783,25.57333333333333
Original GRPO,11,83.59375,86.640625,0.056,15.5,29.032,24.746666666666663
Original GRPO,12,83.59375,85.625,0.061,16.3,40.197,24.95
Original GRPO,13,76.5625,82.96875,0.026,9.8,42.256,25.30333333333333
Original GRPO,14,80.078125,81.5625,0.023,11.7,38.402,25.235
Original GRPO,15,85.15625,81.796875,0.037,12.1,40.51,24.87833333333333
Original GRPO,16,85.9375,82.265625,0.027,12.0,38.035,24.703333333333333
Original GRPO,17,83.203125,82.1875,0.03,12.6,34.02,24.72833333333333
Original GRPO,18,88.28125,84.53125,0.034,17.4,31.316,24.956666666666667
Original GRPO,19,86.328125,85.78125,0.045,15.1,37.01,24.866666666666667
Original GRPO,20,92.96875,87.34375,0.052,17.2,21.573,24.961666666666662
Original GRPO,21,85.546875,87.265625,0.045,15.4,33.909,24.885
Original GRPO,22,88.28125,88.28125,0.015,13.1,31.109,24.808333333333334
Original GRPO,23,85.546875,87.734375,0.036,13.5,32.046,24.626666666666665
Original GRPO,24,80.859375,86.640625,0.036,12.1,29.246,25.186666666666667
Original GRPO,25,94.140625,86.875,0.057,18.2,23.899,24.51
Original GRPO,26,88.671875,87.5,0.068,15.8,27.271,24.938333333333333
Original GRPO,27,86.328125,87.109375,0.075,15.6,35.257,24.611666666666668
Original GRPO,28,91.796875,88.359375,0.036,12.8,30.961,24.793333333333333
Original GRPO,29,91.796875,90.546875,0.047,16.6,32.61,24.47833333333333
Original GRPO,30,87.890625,89.296875,0.056,12.3,31.213,24.76
Original GRPO,31,94.53125,90.46875,0.024,12.5,22.555,24.21333333333333
Original GRPO,32,95.3125,92.265625,0.032,13.1,29.588,24.38833333333333
Original GRPO,33,87.5,91.40625,0.067,14.3,28.708,24.651666666666664
Original GRPO,34,92.578125,91.5625,0.04,17.9,24.904,24.473333333333336
Original GRPO,35,90.625,92.109375,0.048,15.2,30.159,24.293333333333333
Original GRPO,36,92.578125,91.71875,0.121,19.2,22.298,24.621666666666663
Original GRPO,37,94.921875,91.640625,0.047,18.2,20.408,24.256666666666668
Original GRPO,38,96.09375,93.359375,0.034,16.7,21.477,24.421666666666667
Original GRPO,39,91.015625,93.046875,0.039,19.3,29.822,24.615
Original GRPO,40,95.703125,94.0625,0.052,19.1,23.791,24.808333333333334
Original GRPO,41,93.75,94.296875,0.082,19.7,25.413,24.65333333333333
Original GRPO,42,86.71875,92.65625,0.035,15.1,32.172,24.85833333333333
Original GRPO,43,91.015625,91.640625,0.052,14.3,26.748,24.49833333333333
Original GRPO,44,84.375,90.3125,0.036,11.2,29.856,25.055
Original GRPO,45,90.234375,89.21875,0.056,13.4,29.022,24.466666666666665
Original GRPO,46,92.1875,88.90625,0.065,10.9,25.429,24.826666666666664
Original GRPO,47,93.359375,90.234375,0.074,16.1,26.981,24.581666666666667
Original GRPO,48,85.546875,89.140625,0.038,11.9,24.576,24.758333333333333
Original GRPO,49,91.015625,90.46875,0.024,16.1,35.767,24.75
DVAC v1 global-z,1,77.34375,77.34375,0.142,16.8,47.493,26.67833333333333
DVAC v1 global-z,2,74.21875,75.78125,0.047,15.1,36.139,25.295
DVAC v1 global-z,3,76.5625,76.04166666666667,0.038,15.3,41.996,25.011666666666667
DVAC v1 global-z,4,77.734375,76.46484375,0.043,13.3,32.91,24.98166666666667
DVAC v1 global-z,5,80.46875,77.265625,0.026,12.5,33.736,24.88
DVAC v1 global-z,6,84.765625,78.75,0.05,16.0,38.711,24.511666666666667
DVAC v1 global-z,7,78.90625,79.6875,0.069,17.299999999999997,43.568,25.133333333333333
DVAC v1 global-z,8,83.203125,81.015625,0.033,12.2,36.144,24.62333333333333
DVAC v1 global-z,9,86.328125,82.734375,0.043,13.4,34.438,24.92833333333333
DVAC v1 global-z,10,78.515625,82.34375,0.025,10.0,33.054,24.901666666666664
DVAC v1 global-z,11,87.890625,82.96875,0.033,13.900000000000002,28.825,24.415000000000003
DVAC v1 global-z,12,77.734375,82.734375,0.024,11.5,36.776,25.09333333333333
DVAC v1 global-z,13,76.5625,81.40625,0.042,14.000000000000002,41.789,25.18166666666667
DVAC v1 global-z,14,80.078125,80.15625,0.051,12.7,38.995,24.881666666666668
DVAC v1 global-z,15,81.640625,80.78125,0.043,13.6,35.456,24.95833333333333
DVAC v1 global-z,16,84.375,80.078125,0.031,8.4,31.225,24.473333333333336
DVAC v1 global-z,17,80.859375,80.703125,0.036,12.8,31.449,24.89333333333333
DVAC v1 global-z,18,89.84375,83.359375,0.033,15.0,24.328,24.48166666666667
DVAC v1 global-z,19,89.0625,85.15625,0.04,14.7,43.251,24.78333333333333
DVAC v1 global-z,20,92.578125,87.34375,0.051,14.7,30.946,25.048333333333336
DVAC v1 global-z,21,87.5,87.96875,0.035,11.3,39.593,24.62333333333333
DVAC v1 global-z,22,89.84375,89.765625,0.064,14.2,31.486,24.735
DVAC v1 global-z,23,87.109375,89.21875,0.049,17.2,38.412,24.7
DVAC v1 global-z,24,78.515625,87.109375,0.045,12.9,33.519,25.203333333333333
DVAC v1 global-z,25,90.234375,86.640625,0.0079,18.8,35.307,24.35666666666667
DVAC v1 global-z,26,89.453125,87.03125,0.041,12.0,36.625,24.48333333333333
DVAC v1 global-z,27,92.96875,87.65625,0.044,14.8,35.88,24.841666666666665
DVAC v1 global-z,28,84.765625,87.1875,0.033,13.7,42.279,25.055
DVAC v1 global-z,29,91.015625,89.6875,0.027,15.1,23.851,24.315
DVAC v1 global-z,30,91.40625,89.921875,0.053,14.2,32.558,24.71333333333333
DVAC v1 global-z,31,91.796875,90.390625,0.028,12.7,28.796,24.366666666666667
DVAC v1 global-z,32,93.75,90.546875,0.018,14.9,21.837,24.023333333333333
DVAC v1 global-z,33,84.765625,90.546875,0.044,16.0,37.129,25.07333333333333
