run,tag,completed_step,value,wall_time
bc,env/return,1,0.5,1788623687.9420078
bc,env/return,2,0.625,1788624467.493008
bc,env/return,3,0.53125,1788625236.4933088
bc,env/return,4,0.5625,1788625994.0582566
bc,env/return,5,0.5625,1788627050.5882833
bc,env/return,6,0.4375,1788627833.6487007
bc,env/return,7,0.625,1788628601.1781914
bc,env/return,8,0.5,1788629398.149427
bc,env/return,9,0.53125,1788630153.4608557
bc,env/return,10,0.71875,1788631285.7313871
bc,env/return,11,0.6875,1788632074.747486
bc,env/return,12,0.71875,1788632847.9793122
bc,env/return,13,0.625,1788633643.0483353
bc,env/return,14,0.59375,1788634433.9449086
bc,env/return,15,0.75,1788635579.5131335
bc,env/return,16,0.6875,1788636336.910203
bc,env/return,17,0.6875,1788637138.740029
bc,env/return,18,0.59375,1788637933.0698266
bc,env/return,19,0.75,1788638718.5999446
bc,env/return,20,0.78125,1788639815.3610497
bc,env/return,21,0.71875,1788640569.129319
bc,env/return,22,0.59375,1788641350.9169147
bc,env/return,23,0.8125,1788642123.5263584
bc,env/return,24,0.625,1788642890.943938
bc,env/return,25,0.59375,1788643997.5012789
bc,env/return,26,0.65625,1788644752.0496671
bc,env/return,27,0.65625,1788645549.4340217
bc,env/return,28,0.71875,1788646303.4859693
bc,env/return,29,0.65625,1788647078.6628015
bc,env/return,30,0.65625,1788648220.7927742
bc,env/return,31,0.6875,1788648981.7255385
bc,env/return,32,0.625,1788649746.3426142
bc,env/return,33,0.8125,1788650526.6808026
bc,env/return,34,0.6875,1788651303.5403106
bc,env/return,35,0.5,1788652412.6846514
bc,env/return,36,0.65625,1788653159.9763877
bc,env/return,37,0.5,1788653931.556849
bc,env/return,38,0.65625,1788654696.7037597
bc,env/return,39,0.75,1788655476.992403
bc,env/return,40,0.65625,1788656601.0250337
bc,env/return,41,0.71875,1788657408.6478205
bc,env/return,42,0.71875,1788658166.8280852
bc,env/return,43,0.78125,1788658953.0453224
bc,env/return,44,0.71875,1788659751.0520294
bc,env/reward,1,0.0024999999441206455,1788623687.942097
bc,env/reward,2,0.0031249995809048414,1788624467.4930658
bc,env/reward,3,0.0026562497951090336,1788625236.4933577
bc,env/reward,4,0.0028124998789280653,1788625994.0583074
bc,env/reward,5,0.0028124998789280653,1788627050.5883553
bc,env/reward,6,0.002187499776482582,1788627833.6488512
bc,env/reward,7,0.0031250000465661287,1788628601.1782653
bc,env/reward,8,0.0024999999441206455,1788629398.1494915
bc,env/reward,9,0.0026562500279396772,1788630153.460906
bc,env/reward,10,0.003593750298023224,1788631285.7314258
bc,env/reward,11,0.0034374999813735485,1788632074.747528
bc,env/reward,12,0.0035937498323619366,1788632847.9793725
bc,env/reward,13,0.003124999813735485,1788633643.0483968
bc,env/reward,14,0.002968749962747097,1788634433.9449666
bc,env/reward,15,0.0037499996833503246,1788635579.5131855
bc,env/reward,16,0.0034374999813735485,1788636336.9102445
bc,env/reward,17,0.0034374999813735485,1788637138.7400877
bc,env/reward,18,0.0029687501955777407,1788637933.0698926
bc,env/reward,19,0.0037499999161809683,1788638718.6000035
bc,env/reward,20,0.00390625,1788639815.3610852
bc,env/reward,21,0.0035937498323619366,1788640569.1293705
bc,env/reward,22,0.002968749962747097,1788641350.9169655
bc,env/reward,23,0.004062499850988388,1788642123.5264056
bc,env/reward,24,0.003124999813735485,1788642890.9440055
bc,env/reward,25,0.002968749962747097,1788643997.5013247
bc,env/reward,26,0.0032812501303851604,1788644752.0498173
bc,env/reward,27,0.0032812501303851604,1788645549.4340713
bc,env/reward,28,0.0035937498323619366,1788646303.486024
bc,env/reward,29,0.003281249897554517,1788647078.6628504
bc,env/reward,30,0.003281249897554517,1788648220.7927988
bc,env/reward,31,0.0034374999813735485,1788648981.725595
bc,env/reward,32,0.0031250000465661287,1788649746.3426578
bc,env/reward,33,0.004062499850988388,1788650526.680862
bc,env/reward,34,0.0034374999813735485,1788651303.5403683
bc,env/reward,35,0.0024999999441206455,1788652412.6846874
bc,env/reward,36,0.003281249897554517,1788653159.976434
bc,env/reward,37,0.0024999999441206455,1788653931.55691
bc,env/reward,38,0.003281249897554517,1788654696.7038841
bc,env/reward,39,0.0037499996833503246,1788655476.9924765
bc,env/reward,40,0.0032812501303851604,1788656601.0250697
bc,env/reward,41,0.0035937498323619366,1788657408.6478796
bc,env/reward,42,0.0035937498323619366,1788658166.8281145
bc,env/reward,43,0.0039062497671693563,1788658953.0454009
bc,env/reward,44,0.0035937498323619366,1788659751.0521073
bc,env/episode_len,1,200.0,1788623687.9421077
bc,env/episode_len,2,200.0,1788624467.493079
bc,env/episode_len,3,200.0,1788625236.4933672
bc,env/episode_len,4,200.0,1788625994.0583174
bc,env/episode_len,5,200.0,1788627050.588382
bc,env/episode_len,6,200.0,1788627833.6488793
bc,env/episode_len,7,200.0,1788628601.1782796
bc,env/episode_len,8,200.0,1788629398.1495025
bc,env/episode_len,9,200.0,1788630153.4609144
bc,env/episode_len,10,200.0,1788631285.7314346
bc,env/episode_len,11,200.0,1788632074.7475345
bc,env/episode_len,12,200.0,1788632847.9793813
bc,env/episode_len,13,200.0,1788633643.048408
bc,env/episode_len,14,200.0,1788634433.9449785
bc,env/episode_len,15,200.0,1788635579.5132046
bc,env/episode_len,16,200.0,1788636336.9102528
bc,env/episode_len,17,200.0,1788637138.7400959
bc,env/episode_len,18,200.0,1788637933.069903
bc,env/episode_len,19,200.0,1788638718.6000152
bc,env/episode_len,20,200.0,1788639815.361096
bc,env/episode_len,21,200.0,1788640569.129381
bc,env/episode_len,22,200.0,1788641350.9169738
bc,env/episode_len,23,200.0,1788642123.5264156
bc,env/episode_len,24,200.0,1788642890.9440196
bc,env/episode_len,25,200.0,1788643997.5013404
bc,env/episode_len,26,200.0,1788644752.0498471
bc,env/episode_len,27,200.0,1788645549.4340796
bc,env/episode_len,28,200.0,1788646303.4860344
bc,env/episode_len,29,200.0,1788647078.66286
bc,env/episode_len,30,200.0,1788648220.7928069
bc,env/episode_len,31,200.0,1788648981.7256055
bc,env/episode_len,32,200.0,1788649746.3426657
bc,env/episode_len,33,200.0,1788650526.680873
bc,env/episode_len,34,200.0,1788651303.5403771
bc,env/episode_len,35,200.0,1788652412.684701
bc,env/episode_len,36,200.0,1788653159.976442
bc,env/episode_len,37,200.0,1788653931.5569186
bc,env/episode_len,38,200.0,1788654696.7039084
bc,env/episode_len,39,200.0,1788655476.9924917
bc,env/episode_len,40,200.0,1788656601.025085
bc,env/episode_len,41,200.0,1788657408.6478913
bc,env/episode_len,42,200.0,1788658166.8281233
bc,env/episode_len,43,200.0,1788658953.0454173
bc,env/episode_len,44,200.0,1788659751.0521195
bc,env/success_once,1,0.5,1788623687.9421153
bc,env/success_once,2,0.625,1788624467.4930882
bc,env/success_once,3,0.53125,1788625236.4933748
bc,env/success_once,4,0.5625,1788625994.0583255
bc,env/success_once,5,0.5625,1788627050.5884042
bc,env/success_once,6,0.4375,1788627833.6489024
bc,env/success_once,7,0.625,1788628601.178289
bc,env/success_once,8,0.5,1788629398.1495123
bc,env/success_once,9,0.53125,1788630153.4609208
bc,env/success_once,10,0.71875,1788631285.7314405
bc,env/success_once,11,0.6875,1788632074.7475398
bc,env/success_once,12,0.71875,1788632847.9793878
bc,env/success_once,13,0.625,1788633643.048416
bc,env/success_once,14,0.59375,1788634433.9449875
bc,env/success_once,15,0.75,1788635579.5132177
bc,env/success_once,16,0.6875,1788636336.91026
bc,env/success_once,17,0.6875,1788637138.7401018
bc,env/success_once,18,0.59375,1788637933.0699108
bc,env/success_once,19,0.75,1788638718.6000245
bc,env/success_once,20,0.78125,1788639815.361104
bc,env/success_once,21,0.71875,1788640569.1293883
bc,env/success_once,22,0.59375,1788641350.916981
bc,env/success_once,23,0.8125,1788642123.5264237
bc,env/success_once,24,0.625,1788642890.9440305
bc,env/success_once,25,0.59375,1788643997.5013516
bc,env/success_once,26,0.65625,1788644752.0498703
bc,env/success_once,27,0.65625,1788645549.4340868
bc,env/success_once,28,0.71875,1788646303.4860423
bc,env/success_once,29,0.65625,1788647078.6628668
bc,env/success_once,30,0.65625,1788648220.792813
bc,env/success_once,31,0.6875,1788648981.725614
bc,env/success_once,32,0.625,1788649746.3426716
bc,env/success_once,33,0.8125,1788650526.6808805
bc,env/success_once,34,0.6875,1788651303.5403838
bc,env/success_once,35,0.5,1788652412.684711
bc,env/success_once,36,0.65625,1788653159.9764483
bc,env/success_once,37,0.5,1788653931.5569248
bc,env/success_once,38,0.65625,1788654696.7039275
bc,env/success_once,39,0.75,1788655476.9925003
bc,env/success_once,40,0.65625,1788656601.025094
bc,env/success_once,41,0.71875,1788657408.6478999
bc,env/success_once,42,0.71875,1788658166.8281326
bc,env/success_once,43,0.78125,1788658953.0454285
bc,env/success_once,44,0.71875,1788659751.0521276
bc,env/num_trajectories,1,32.0,1788623687.9421525
bc,env/num_trajectories,2,32.0,1788624467.4931178
bc,env/num_trajectories,3,32.0,1788625236.4933972
bc,env/num_trajectories,4,32.0,1788625994.0583522
bc,env/num_trajectories,5,32.0,1788627050.5884454
bc,env/num_trajectories,6,32.0,1788627833.648974
bc,env/num_trajectories,7,32.0,1788628601.1783216
bc,env/num_trajectories,8,32.0,1788629398.1495426
bc,env/num_trajectories,9,32.0,1788630153.4609451
bc,env/num_trajectories,10,32.0,1788631285.7314603
bc,env/num_trajectories,11,32.0,1788632074.7475598
bc,env/num_trajectories,12,32.0,1788632847.9794183
bc,env/num_trajectories,13,32.0,1788633643.0484467
bc,env/num_trajectories,14,32.0,1788634433.9450195
bc,env/num_trajectories,15,32.0,1788635579.5132463
bc,env/num_trajectories,16,32.0,1788636336.9102817
bc,env/num_trajectories,17,32.0,1788637138.740132
bc,env/num_trajectories,18,32.0,1788637933.0699399
bc,env/num_trajectories,19,32.0,1788638718.6000552
bc,env/num_trajectories,20,32.0,1788639815.3611279
bc,env/num_trajectories,21,32.0,1788640569.1294124
bc,env/num_trajectories,22,32.0,1788641350.9170063
bc,env/num_trajectories,23,32.0,1788642123.5264468
bc,env/num_trajectories,24,32.0,1788642890.9440646
bc,env/num_trajectories,25,32.0,1788643997.501379
bc,env/num_trajectories,26,32.0,1788644752.0499482
bc,env/num_trajectories,27,32.0,1788645549.434116
bc,env/num_trajectories,28,32.0,1788646303.486072
bc,env/num_trajectories,29,32.0,1788647078.662893
bc,env/num_trajectories,30,32.0,1788648220.7928271
bc,env/num_trajectories,31,32.0,1788648981.7256405
bc,env/num_trajectories,32,32.0,1788649746.342694
bc,env/num_trajectories,33,32.0,1788650526.6809113
bc,env/num_trajectories,34,32.0,1788651303.5404124
bc,env/num_trajectories,35,32.0,1788652412.6847324
bc,env/num_trajectories,36,32.0,1788653159.976473
bc,env/num_trajectories,37,32.0,1788653931.5569553
bc,env/num_trajectories,38,32.0,1788654696.7039883
bc,env/num_trajectories,39,32.0,1788655476.9925315
bc,env/num_trajectories,40,32.0,1788656601.0251129
bc,env/num_trajectories,41,32.0,1788657408.647931
bc,env/num_trajectories,42,32.0,1788658166.8281534
bc,env/num_trajectories,43,32.0,1788658953.0454652
bc,env/num_trajectories,44,32.0,1788659751.052158
bc,time/sync_weights,1,10.109216690063477,1788623687.94218
bc,time/sync_weights,2,7.682250022888184,1788624467.4931347
bc,time/sync_weights,3,6.000696182250977,1788625236.4934096
bc,time/sync_weights,4,5.349982738494873,1788625994.0583665
bc,time/sync_weights,5,5.6755170822143555,1788627050.5884843
bc,time/sync_weights,6,1.8720970153808594,1788627833.6490173
bc,time/sync_weights,7,6.273930549621582,1788628601.1783402
bc,time/sync_weights,8,5.737093448638916,1788629398.1495595
