unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785312422,8.32242e+11,218154246144,313303040,216188313600,0,0,0,0,28764,0
1785312423,8.32019e+11,218380083200,535994368,216188313600,0,0,0,0,428644,0
1785312424,8.35138e+11,218488807424,643956736,216188317696,0,0,0,0,579428,0
1785312426,8.33846e+11,218759192576,909156352,216188317696,0,0,0,0,633428,0
1785312427,8.33694e+11,218907570176,1051631616,216188321792,2,0,1,0,747008,0
1785312428,8.3406e+11,219518259200,1614340096,216188350464,4,0,4,0,1244804,0
1785312429,8.33575e+11,220006445056,2097688576,216188362752,4,0,4,0,1636700,0
1785312431,8.32845e+11,220745146368,2806845440,216189620224,4,0,4,0,1637328,0
1785312432,8.32759e+11,220803457024,2864697344,216189640704,4,0,4,0,1656036,0
1785312433,8.31646e+11,220954529792,3012239360,216189665280,4,0,4,0,1890052,0
1785312434,8.29998e+11,222564782080,4571254784,216189804544,4,0,4,0,4892508,0
1785312436,8.30662e+11,222942171136,4915159040,216189878272,4,0,4,0,5232668,0
1785312437,8.3022e+11,223385595904,5343252480,216189980672,4,0,4,0,7077748,0
1785312438,8.28799e+11,224804970496,6756315136,216190009344,4,0,4,0,8536220,0
1785312439,8.28414e+11,225186803712,7133159424,216190025728,4,0,4,0,9009160,0
1785312440,8.26858e+11,225706278912,7646621696,216190025728,4,0,4,0,9105380,0
1785312442,8.26521e+11,226031222784,7971889152,216190033920,4,0,4,0,9322596,0
1785312443,8.27133e+11,226459389952,8318533632,216190083072,4,0,4,0,9777096,0
1785312444,8.26888e+11,226699960320,8558206976,216190091264,4,0,4,0,10604864,0
1785312445,8.26647e+11,226956447744,8802156544,216190099456,4,0,4,0,10924904,0
1785312447,8.2649e+11,227111096320,8956620800,216190119936,4,0,4,0,11073652,0
1785312448,8.26318e+11,227281719296,9109573632,216190136320,4,0,4,0,11602980,0
1785312449,8.25119e+11,227414753280,9243955200,216190136320,4,0,4,0,11832972,0
1785312450,8.25054e+11,227474882560,9301614592,216190140416,4,0,4,0,11878976,0
1785312451,8.26081e+11,227480813568,9306710016,216190140416,4,0,4,0,11915308,0
1785312453,8.24897e+11,228667408384,10496995328,216190140416,4,0,4,0,13219092,0
1785312454,8.23198e+11,230372462592,12197945344,216190140416,4,0,4,0,14852500,0
1785312455,8.22725e+11,230842494976,12663828480,216190140416,4,0,4,0,15165252,0
1785312456,8.21677e+11,230842105856,12664401920,216190140416,4,0,4,0,15165348,0
1785312457,8.21666e+11,230845440000,12665122816,216190140416,4,0,4,0,15165980,0
1785312459,8.22689e+11,230847283200,12665327616,216190140416,4,0,4,0,15175108,0
1785312460,8.21074e+11,232466579456,14288912384,216190140416,4,0,4,0,16951228,0
1785312461,8.19082e+11,234461130752,16278839296,216190140416,4,0,4,0,18859148,0
1785312462,8.18135e+11,235414167552,17229275136,216190140416,4,0,4,0,19697796,0
1785312463,8.15593e+11,236967600128,18779176960,216190140416,4,0,4,0,21295912,0
1785312465,8.13844e+11,238705565696,20513280000,216190140416,4,0,4,0,22998516,0
1785312466,8.13137e+11,240444485632,22254403584,216190140416,4,0,4,0,24705588,0
1785312467,8.11378e+11,242198470656,23999733760,216190140416,4,0,4,0,26410080,0
1785312468,8.09655e+11,243914911744,25714151424,216190140416,4,0,4,0,28077984,0
1785312470,8.07916e+11,245667332096,27467169792,216190140416,4,0,4,0,29745500,0
1785312471,8.06263e+11,247309348864,29100154880,216190144512,4,0,4,0,31331640,0
1785312472,8.04633e+11,248967155712,30756605952,216190144512,4,0,4,0,33008940,0
1785312473,8.0297e+11,250617942016,32402309120,216190144512,4,0,4,0,34525892,0
1785312474,8.02584e+11,250976690176,32760631296,216190144512,4,0,4,0,34788088,0
1785312476,8.02377e+11,250985730048,32762789888,216190144512,4,0,4,0,34790692,0
1785312477,8.0216e+11,250980478976,32762982400,216190144512,4,0,4,0,34790868,0
1785312478,8.00791e+11,250979102720,32763117568,216190144512,4,0,4,0,34791060,0
1785312479,8.00417e+11,250979176448,32763170816,216190144512,4,0,4,0,34791188,0
1785312480,8.01526e+11,250980401152,32763719680,216190144512,4,0,4,0,34791716,0
1785312482,8.00787e+11,250979774464,32763834368,216190144512,4,0,4,0,34792188,0
1785312483,8.01521e+11,250980900864,32763711488,216190148608,4,0,4,0,34792000,0
1785312484,8.00952e+11,250980773888,32763891712,216190148608,4,0,4,0,34792212,0
1785312485,8.01702e+11,250980978688,32764047360,216190148608,4,0,4,0,34793076,0
1785312486,8.01627e+11,251017256960,32799653888,216190148608,4,0,4,0,34905764,0
1785312488,8.00662e+11,252188643328,33972191232,216190148608,4,0,4,0,36116324,0
1785312489,7.9957e+11,253764046848,35544141824,216190148608,4,0,4,0,37685440,0
