unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1785345354,1.05392e+12,211443392512,311304192,209390247936,78418,1377869,0,0,425984,886792081408,0,0,0,0,1388,1432,1324,3128,1424,26772,0
1785345356,1.05358e+12,211782504448,642285568,209390252032,78418,1377869,0,0,425984,886792081408,0,0,0,0,1348,1428,1428,3128,1372,563016,0
1785345359,1.05314e+12,212225716224,1080549376,209390260224,78418,1377869,0,0,425984,886792077312,0,0,0,0,1416,1380,1372,3128,1376,1041888,0
1785345361,1.05274e+12,212590129152,1398558720,209390280704,78418,1377869,0,0,446464,886792077312,4,0,4,0,1364,1372,1416,3128,1368,1404976,0
1785345363,1.0525e+12,212833955840,1639137280,209390284800,78418,1377869,0,0,446464,886792077312,4,0,4,0,1392,1448,1388,3128,231700,1704460,0
1785345365,1.0517e+12,213640114176,2437668864,209390305280,78418,1377869,0,0,446464,886792077312,4,0,4,0,1392,1420,1388,3128,945132,2321712,0
1785345367,1.05086e+12,214504341504,3271856128,209391599616,78418,1377869,0,0,458752,886792077312,4,0,4,0,1388,1380,1396,3128,1062952,2560012,0
1785345370,1.0489e+12,216474169344,5158182912,209391812608,78418,1377869,0,0,458752,886792077312,4,0,4,0,1340,1328,1420,3128,1082104,5892748,0
1785345372,1.04621e+12,219197562880,7837126656,209392156672,78418,1377869,0,0,458752,886792044544,4,0,4,0,1416,1388,1348,3128,1103204,11582128,0
1785345374,1.04375e+12,221635321856,10253955072,209392201728,78418,1377869,0,0,458752,886792044544,4,0,4,0,1416,1328,1328,3128,1106652,13808308,0
1785345376,1.04132e+12,223899545600,12486270976,209409015808,78418,1377869,0,0,458752,886792044544,447,0,447,0,1388,1392,1844960,3128,1110272,15884416,2
1785345379,1.03987e+12,225399042048,13742358528,209409171456,78418,1377869,0,0,581632,886792040448,447,0,447,0,2877272,1388,3061968,3128,1114788,17713904,2
1785345382,1.03925e+12,226003324928,14337110016,209409400832,78418,1377869,0,0,581632,886792040448,447,0,447,0,3348676,1380,3318564,3128,1118672,18451732,2
1785345384,1.03705e+12,227986989056,16296259584,209426321408,78418,1377869,0,0,581632,886792036352,942,0,917,0,4331416,1352,4889676,3128,1119248,21032964,6
1785345386,1.03504e+12,229989392384,18286116864,209430515712,78418,1377869,0,0,581632,886792036352,1020,0,995,0,4372608,1348,6598200,3128,1119820,22738288,6
1785345388,1.0353e+12,229789270016,18088226816,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901424,1348,6598168,3128,1120552,22267908,4
1785345391,1.03395e+12,231141842944,19442384896,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901416,1360,8118212,3128,1120892,23836468,4
1785345393,1.03094e+12,234156236800,22449094656,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901924,1368,10926756,3128,1121032,26622864,4
1785345395,1.02803e+12,237048487936,25340055552,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901904,1344,13823256,3128,1121952,29545640,4
1785345397,1.02484e+12,240233730048,28518891520,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901884,1368,16977100,3128,1122692,32696068,4
1785345400,1.02162e+12,243436380160,31715762176,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901976,1396,20047048,3128,1123224,35770052,4
1785345402,1.01849e+12,246581129216,34853699584,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901908,1428,23105800,3128,1123168,38826860,4
1785345404,1.0155e+12,249593016320,37856649216,209430499328,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901948,1396,25981484,3128,1122996,41681756,4
1785345406,1.01516e+12,249930612736,38191480832,209430503424,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901940,1448,26217520,3128,1123120,41895244,4
1785345409,1.01516e+12,249929351168,38191808512,209430503424,78418,1377869,0,0,581632,886792036352,947,0,947,0,3901892,1388,26217688,3128,1123104,41895540,4
1785345411,1.01514e+12,249935577088,38194290688,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901936,1428,26217856,3128,1124512,41897096,4
1785345413,1.01514e+12,249933803520,38194728960,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901904,1360,26217900,3128,1124720,41897568,4
1785345415,1.01512e+12,249934200832,38195146752,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901956,1452,26217912,3128,1124992,41897848,4
1785345418,1.01475e+12,250309963776,38571188224,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901984,1340,26676224,3128,1124784,42377444,4
1785345420,1.01174e+12,253329723392,41586614272,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901940,1376,29681304,3128,1124612,45403952,4
1785345422,1.01091e+12,254156423168,42409271296,209430507520,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901956,1388,30332612,3128,1124592,46012656,4
1785345424,1.0133e+12,251777015808,40038408192,209430532096,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901924,1392,28138340,3128,1124760,43846044,4
1785345427,1.01055e+12,254520061952,42775900160,209430532096,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901948,1372,30710624,3128,1125896,46391928,4
1785345429,1.01051e+12,254547603456,42799329280,209430859776,78418,1377869,0,0,581632,886792032256,947,0,947,0,3902012,1384,30710740,3128,1126044,46392368,4
1785345431,1.00841e+12,256657739776,44906848256,209430904832,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901984,1368,32767776,3128,1126364,48449856,4
1785345433,1.01104e+12,254028333056,42288545792,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901908,1392,30463704,3128,1126676,46237496,4
1785345435,1.01743e+12,247595917312,35869609984,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901956,1376,23691704,3128,1127024,39237448,4
1785345438,1.02219e+12,242847125504,31110672384,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901956,1344,18991640,3128,1127244,34606568,4
1785345440,1.02268e+12,242337755136,30621069312,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901948,1344,18977640,3128,1127264,34706444,4
1785345442,1.0195e+12,245511131136,33784532992,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901948,1392,22061648,3128,1129016,37794008,4
1785345445,1.02009e+12,244921303040,33203552256,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3902028,1344,21874448,3128,1129148,37708248,4
1785345447,1.01074e+12,254275358720,42540740608,209430982656,78418,1377869,0,0,581632,886792032256,947,0,947,0,3901960,1376,30991880,3128,1129580,46838828,4
1785345449,1.00332e+12,257697882112,49928826880,205445373952,78418,1395600,0,0,581632,886792032256,947,0,947,0,3879212,1340,38092472,3128,1129096,53833544,4
