experiment,step,success_pct,ma5_pct,ma10_pct
fastwam256,1,36.71875,36.71875,36.71875
fastwam256,2,28.515625,32.6171875,32.6171875
pi05_control,1,88.28125,88.28125,88.28125
pi05_control,2,78.90625,83.59375,83.59375
pi05_control,3,86.71875,84.63541666666666,84.63541666666666
pi05_control,4,77.734375,82.91015625,82.91015625
pi05_control,5,85.9375,83.515625,83.515625
pi05_control,6,90.234375,83.90625,84.63541666666666
pi05_control,7,88.28125,85.78125,85.15625
pi05_control,8,83.59375,85.15625,84.9609375
pi05_control,9,82.8125,86.171875,84.72222222222221
pi05_control,10,86.328125,86.25,84.8828125
pi05_control,11,93.359375,86.875,85.390625
pi05_control,12,82.8125,85.78125,85.78125
pi05_control,13,84.375,85.9375,85.546875
pi05_control,14,93.359375,88.046875,87.109375
pi05_control,15,90.234375,88.828125,87.5390625
pi05_control,16,95.3125,89.21875,88.046875
pi05_control,17,88.671875,90.390625,88.0859375
pi05_control,18,87.109375,90.9375,88.4375
pi05_control,19,82.8125,88.828125,88.4375
pi05_control,20,91.40625,89.0625,88.9453125
pi05_control,21,92.578125,88.515625,88.8671875
pi05_control,22,89.453125,88.671875,89.53125
pi05_control,23,82.03125,87.65625,89.296875
pi05_control,24,82.8125,87.65625,88.2421875
pi05_control,25,90.234375,87.421875,88.2421875
pi05_control,26,86.328125,86.171875,87.34375
pi05_control,27,83.59375,85.0,86.8359375
pi05_control,28,78.90625,84.375,86.015625
pi05_control,29,81.640625,84.140625,85.8984375
pi05_control,30,89.0625,83.90625,85.6640625
pi05_control,31,84.765625,83.59375,84.8828125
pi05_control,32,90.234375,84.921875,84.9609375
pi05_control,33,80.859375,85.3125,84.84375
pi05_control,34,94.921875,87.96875,86.0546875
pi05_control,35,87.109375,87.578125,85.7421875
pi05_control,36,94.53125,89.53125,86.5625
pi05_control,37,87.5,88.984375,86.953125
pi05_control,38,88.671875,90.546875,87.9296875
pi05_control,39,79.296875,87.421875,87.6953125
pi05_control,40,86.71875,87.34375,87.4609375
pi05_control,41,96.09375,87.65625,88.59375
pi05_control,42,76.5625,85.46875,87.2265625
pi05_control,43,85.15625,84.765625,87.65625
pi05_control,44,80.859375,85.078125,86.25
pi05_control,45,92.578125,86.25,86.796875
pi05_control,46,83.59375,83.75,85.703125
pi05_control,47,91.015625,86.640625,86.0546875
pi05_control,48,92.96875,88.203125,86.484375
pi05_control,49,85.546875,89.140625,87.109375
pi05_control,50,86.328125,87.890625,87.0703125
pi05_control,51,90.625,89.296875,86.5234375
pi05_control,52,83.984375,87.890625,87.265625
pi05_control,53,82.421875,85.78125,86.9921875
pi05_control,54,87.890625,86.25,87.6953125
pi05_control,55,83.984375,85.78125,86.8359375
pi05_control,56,85.15625,84.6875,86.9921875
