step,control_raw,control_ma5,control_ma10,control_fixed,dvac_raw,dvac_ma5,dvac_ma10,dvac_fixed
1,0.76171875,,,,0.671875,,,
2,0.72265625,,,,0.703125,,,
3,0.7421875,,,,0.71484375,,,
4,0.65625,,,,0.72265625,,,
5,0.76953125,0.73046875,,0.84375,0.7421875,0.7109375,,0.75
6,0.80078125,0.73828125,,,0.71875,0.7203125,,
7,0.70703125,0.73515625,,,0.67578125,0.71484375,,
8,0.84375,0.75546875,,,0.75390625,0.72265625,,
9,0.84375,0.79296875,,,0.8203125,0.7421875,,
10,0.7890625,0.796875,0.763671875,0.9375,0.7734375,0.7484375,0.7296875,0.84375
11,0.828125,0.80234375,0.7703125,,0.82421875,0.76953125,0.744921875,
12,0.9140625,0.84375,0.789453125,,,,,
