timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-31T03:53:43+00:00,1,234240096,52460,0,52814,0
2026-08-31T03:54:52+00:00,1,2017696704,1194,0,1194,0
2026-08-31T03:55:52+00:00,1,2014084628,16016,5,16016,5
2026-08-31T03:56:52+00:00,1,1992944004,16478,0,16864,0
2026-08-31T03:57:52+00:00,1,1968254692,24256,0,24642,0
2026-08-31T03:58:52+00:00,1,1943836068,31575,3,32419,0
2026-08-31T03:59:53+00:00,1,1919670692,39544,7,40187,5
2026-08-31T04:00:53+00:00,1,1902062632,50002,0,50038,41
2026-08-31T04:01:53+00:00,1,1900433208,50004,0,50042,100
2026-08-31T04:02:53+00:00,1,1892567776,33592,0,33586,0
2026-08-31T04:03:53+00:00,1,1868095040,35980,0,35976,2
2026-08-31T04:04:53+00:00,1,1843301424,40413,0,40098,0
2026-08-31T04:05:54+00:00,1,1819264356,46899,0,46578,0
2026-08-31T04:06:54+00:00,1,1801972480,50650,80,50943,63
2026-08-31T04:07:54+00:00,1,1800655540,50650,0,50943,89
2026-08-31T04:08:54+00:00,1,1805504268,30716,0,31521,3
2026-08-31T04:09:54+00:00,1,1799996884,33304,0,34203,0
2026-08-31T04:10:54+00:00,1,1786344108,39623,0,39915,0
2026-08-31T04:11:55+00:00,1,1767874116,46621,0,46913,2
2026-08-31T04:12:55+00:00,1,1758487460,50373,0,50409,0
2026-08-31T04:13:55+00:00,1,1758625456,49779,0,50409,76
2026-08-31T04:14:55+00:00,1,1757902648,37621,3,37669,0
2026-08-31T04:15:55+00:00,1,1758764124,40097,3,40253,0
2026-08-31T04:16:56+00:00,1,1758826384,42485,0,42709,61
2026-08-31T04:17:56+00:00,1,1756236316,48453,0,47681,2
2026-08-31T04:18:56+00:00,1,1752050688,51141,81,51433,0
2026-08-31T04:19:56+00:00,1,1744665024,38817,0,51433,93
2026-08-31T04:20:56+00:00,1,1737341596,29613,0,29391,0
2026-08-31T04:21:56+00:00,1,1727830304,31797,0,31257,0
2026-08-31T04:22:56+00:00,1,1702467904,34389,0,34361,0
2026-08-31T04:23:57+00:00,1,1670432436,42843,1,43273,0
2026-08-31T04:24:57+00:00,1,1651997620,51317,0,51289,0
2026-08-31T04:25:57+00:00,1,1648187376,51317,87,49149,0
2026-08-31T04:26:57+00:00,1,1648853920,39487,0,39597,2
2026-08-31T04:27:57+00:00,1,1642033668,32231,0,33827,1
2026-08-31T04:28:58+00:00,1,1630415772,38913,0,40565,0
2026-08-31T04:29:58+00:00,1,1619356908,48809,5,50203,0
2026-08-31T04:30:58+00:00,1,1606421200,49973,89,50203,61
2026-08-31T04:31:58+00:00,1,1605133868,39167,0,35475,0
2026-08-31T04:32:58+00:00,1,1604575420,35099,0,35369,0
2026-08-31T04:33:58+00:00,1,1602768896,38841,24,39829,7
2026-08-31T04:34:59+00:00,1,1586067384,47503,1,48795,1
2026-08-31T04:35:59+00:00,1,1573143504,51255,0,51483,0
2026-08-31T04:36:59+00:00,1,1571316684,51255,0,49405,0
2026-08-31T04:37:59+00:00,1,1569350616,39333,0,39857,2
2026-08-31T04:38:59+00:00,1,1562234052,42303,0,43031,0
2026-08-31T04:39:59+00:00,1,1549198136,45583,0,47079,0
2026-08-31T04:40:59+00:00,1,1532703072,52023,84,52507,0
2026-08-31T04:42:00+00:00,1,1527785748,52023,0,40253,0
2026-08-31T04:43:00+00:00,1,1525423388,35727,0,35955,0
2026-08-31T04:44:00+00:00,1,1526213112,31147,0,31185,1
2026-08-31T04:45:00+00:00,1,1531180800,35093,0,35159,0
2026-08-31T04:46:00+00:00,1,1525018172,44099,1,44071,0
2026-08-31T04:47:00+00:00,1,1523185920,51767,0,51737,0
2026-08-31T04:48:01+00:00,1,1522876136,51767,0,48471,0
2026-08-31T04:49:01+00:00,1,1521366044,40105,0,40317,0
2026-08-31T04:50:01+00:00,1,1519902960,42683,2,42789,3
2026-08-31T04:51:01+00:00,1,1512711612,45159,1,45467,1
2026-08-31T04:52:01+00:00,1,1502413252,49591,0,51185,0
