step,action_adv_raw,action_adv_ma5,action_adv_ma10,action_adv_fixed32,prism_raw,prism_ma5,prism_ma10,prism_fixed32
1,0.77734375,,,,0.828125,,,
2,0.75,,,,0.70703125,,,
3,0.68359375,,,,0.70703125,,,
4,0.8359375,,,,0.8046875,,,
5,0.796875,0.76875,,0.875,0.80078125,0.76953125,,0.875
6,0.8359375,0.78046875,,,0.89453125,0.7828125,,
7,0.86328125,0.803125,,,0.80078125,0.8015625,,
8,0.78515625,0.8234375,,,0.8046875,0.82109375,,
9,0.79296875,0.81484375,,,0.875,0.83515625,,
10,0.78515625,0.8125,0.790625,0.84375,0.88671875,0.85234375,0.8109375,0.875
11,0.75390625,0.79609375,0.78828125,,0.90625,0.8546875,0.81875,
12,0.71875,0.7671875,0.78515625,,0.8984375,0.87421875,0.837890625,
13,0.71875,0.75390625,0.788671875,,0.78515625,0.8703125,0.845703125,
14,0.65625,0.7265625,0.770703125,,0.85546875,0.86640625,0.85078125,
15,0.80859375,0.73125,0.771875,0.84375,0.8359375,0.85625,0.854296875,0.875
16,0.70703125,0.721875,0.758984375,,0.8671875,0.8484375,0.8515625,
17,0.73828125,0.72578125,0.746484375,,0.75390625,0.81953125,0.846875,
18,0.7890625,0.73984375,0.746875,,0.88671875,0.83984375,0.855078125,
19,0.75,0.75859375,0.742578125,,0.921875,0.853125,0.859765625,
20,0.7734375,0.7515625,0.74140625,0.71875,0.93359375,0.87265625,0.864453125,0.90625
21,0.7890625,0.76796875,0.744921875,,0.9140625,0.88203125,0.865234375,
22,,,,,0.87109375,0.90546875,0.8625,
23,,,,,0.9453125,0.9171875,0.878515625,
24,,,,,0.859375,0.9046875,0.87890625,
25,,,,,0.9453125,0.90703125,0.88984375,0.9375
26,,,,,0.90625,0.90546875,0.89375,
27,,,,,0.9609375,0.9234375,0.914453125,
28,,,,,0.94140625,0.92265625,0.919921875,
29,,,,,0.93359375,0.9375,0.92109375,
30,,,,,0.91796875,0.93203125,0.91953125,0.9375
31,,,,,0.91796875,0.934375,0.919921875,
32,,,,,0.9765625,0.9375,0.93046875,
33,,,,,0.89453125,0.928125,0.925390625,
34,,,,,0.93359375,0.928125,0.9328125,
35,,,,,0.9453125,0.93359375,0.9328125,0.96875
36,,,,,0.921875,0.934375,0.934375,
37,,,,,0.88671875,0.91640625,0.926953125,
38,,,,,0.9453125,0.9265625,0.92734375,
39,,,,,0.9609375,0.93203125,0.930078125,
40,,,,,0.953125,0.93359375,0.93359375,0.96875
41,,,,,0.96875,0.94296875,0.938671875,
42,,,,,0.95703125,0.95703125,0.93671875,
43,,,,,0.9375,0.95546875,0.941015625,
44,,,,,0.87109375,0.9375,0.934765625,
45,,,,,0.9296875,0.9328125,0.933203125,0.9375
46,,,,,0.94140625,0.92734375,0.93515625,
47,,,,,0.9609375,0.928125,0.942578125,
