step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1476,0.77734375,,0.134,0.978,1.125,1.438,0.557,1476.3,1435.2,24.396
2,2814,0.75,,0.028,0.108,0.686,0.673,0.548,1337.8,1312.2,22.794
3,4099,0.68359375,,0.035,0.115,0.808,0.759,0.654,1285.4,1262.9,19.81
4,5449,0.8359375,,0.024,0.038,0.526,0.61,0.363,1349.6,1316.5,31.039
5,7046,0.796875,0.875,0.019,0.037,0.577,0.532,0.531,1596.9,1298.7,19.755
6,8440,0.8359375,,0.013,0.02,0.538,0.46,0.482,1394.5,1370.3,21.865
7,9770,0.86328125,,0.018,0.041,0.698,0.523,0.405,1329.5,1307.6,19.769
8,11098,0.78515625,,0.027,0.041,0.718,0.57,0.493,1327.8,1306.1,19.708
9,12485,0.79296875,,0.0074,0.024,0.674,0.569,0.417,1387.4,1365.4,19.964
10,14174,0.78515625,0.84375,0.026,0.06,0.662,0.69,0.434,1688.7,1342.9,20.311
11,15528,0.75390625,,0.029,0.083,0.83,0.694,0.62,1353.8,1328.3,23.831
12,16919,0.71875,,0.019,0.078,0.884,0.634,0.551,1391.2,1365.2,23.597
13,18305,0.71875,,0.032,0.087,0.853,0.754,0.489,1385.9,1363.6,19.758
14,19701,0.65625,,0.016,0.029,0.588,0.482,0.517,1395.9,1374.3,19.743
15,21372,0.80859375,0.84375,0.0061,0.02,0.497,0.465,0.348,1671.1,1363.0,20.297
16,22778,0.70703125,,0.012,0.022,0.531,0.467,0.409,1406.2,1384.7,19.719
17,24158,0.73828125,,0.0016,0.024,0.651,0.608,0.409,1380.0,1355.3,22.661
18,25532,0.7890625,,0.013,0.027,0.62,0.493,0.449,1373.9,1349.1,22.185
19,26927,0.75,,0.014,0.02,0.591,0.573,0.406,1394.6,1372.8,19.471
20,28656,0.7734375,0.71875,0.022,0.014,0.768,0.559,0.5,1729.4,1382.7,21.02
21,30036,0.7890625,,0.0037,0.002,0.551,0.363,0.339,1380.0,1357.1,21.341
22,31446,0.79296875,,0.016,0.011,0.636,0.466,0.394,1409.4,1387.8,19.678
23,32892,0.75,,0.035,0.039,0.969,0.837,0.613,1446.1,1424.4,19.827
24,34322,0.765625,,0.004,0.0097,0.559,0.458,0.381,1430.3,1407.6,20.782
25,36009,0.8515625,0.875,0.006,0.019,0.939,0.541,0.46,1687.0,1368.3,21.792
26,37385,0.80859375,,0.013,0.011,0.587,0.473,0.456,1376.0,1354.0,20.136
27,38743,0.8828125,,0.016,0.027,0.63,0.54,0.44,1357.6,1335.2,20.302
28,40105,0.8984375,,0.016,0.01,0.596,0.428,0.307,1362.0,1340.1,19.617
29,41520,0.80078125,,0.031,0.054,0.779,0.75,0.535,1414.7,1393.1,19.654
