step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1534,0.828125,,0.038,0.107,14.524,0.15,0.271,1534.3,1492.2,24.827
2,3068,0.70703125,,0.027,0.115,20.741,0.14,0.311,1534.3,1508.5,22.962
3,4566,0.70703125,,0.017,0.067,17.356,0.086,0.332,1497.6,1471.8,22.85
4,6046,0.8046875,,0.011,0.074,13.848,0.086,0.266,1480.0,1457.1,20.273
5,7887,0.80078125,0.875,0.013,0.07,20.171,0.091,0.324,1840.9,1495.6,22.755
6,9482,0.89453125,,0.013,0.047,16.683,0.062,0.21,1595.5,1571.2,22.267
7,10967,0.80078125,,0.008,0.05,16.757,0.06,0.291,1484.3,1460.5,21.374
8,12472,0.8046875,,0.013,0.091,21.272,0.089,0.306,1505.3,1481.0,22.26
9,14025,0.875,,0.012,0.061,12.068,0.069,0.204,1552.9,1528.3,22.115
10,15960,0.88671875,0.875,0.01,0.078,14.285,0.082,0.211,1935.1,1561.1,22.16
11,17443,0.90625,,0.019,0.068,15.125,0.069,0.208,1482.8,1457.6,23.61
12,18968,0.8984375,,0.018,0.072,13.723,0.08,0.172,1525.5,1501.2,21.978
13,20565,0.78515625,,0.012,0.098,18.162,0.098,0.237,1596.8,1571.6,22.809
14,22141,0.85546875,,0.01,0.048,14.222,0.061,0.212,1575.3,1550.5,22.43
15,23954,0.8359375,0.875,0.0093,0.046,16.7,0.064,0.236,1813.8,1461.5,22.441
16,25437,0.8671875,,0.019,0.078,16.988,0.091,0.246,1482.9,1458.1,22.756
17,26983,0.75390625,,0.016,0.068,14.712,0.077,0.271,1545.3,1520.2,22.705
18,28501,0.88671875,,0.0046,0.039,13.503,0.059,0.208,1518.3,1496.0,19.904
19,29995,0.921875,,0.0059,0.053,9.264,0.068,0.144,1494.1,1471.2,21.007
20,31842,0.93359375,0.90625,0.0063,0.043,10.99,0.063,0.168,1846.5,1494.5,22.46
21,33370,0.9140625,,0.01,0.039,6.957,0.052,0.167,1527.7,1503.9,22.277
22,34881,0.87109375,,0.011,0.067,15.656,0.083,0.246,1511.4,1487.5,21.532
23,36452,0.9453125,,0.012,0.049,10.617,0.059,0.122,1570.7,1545.5,22.903
24,38067,0.859375,,0.011,0.044,12.484,0.065,0.184,1614.7,1589.6,22.733
25,39777,0.9453125,0.9375,0.0045,0.049,9.771,0.068,0.148,1710.0,1381.8,21.696
26,41274,0.90625,,0.0094,0.066,10.71,0.072,0.195,1497.0,1473.7,21.417
27,42652,0.9609375,,0.0054,0.058,8.154,0.064,0.123,1378.8,1357.1,19.571
28,43963,0.94140625,,0.012,0.067,8.626,0.076,0.144,1310.3,1286.2,22.193
29,45321,0.93359375,,0.02,0.057,9.232,0.066,0.117,1358.3,1336.5,19.626
30,46955,0.91796875,0.9375,0.021,0.081,15.024,0.088,0.182,1633.5,1306.9,19.985
31,48327,0.91796875,,0.023,0.076,12.685,0.093,0.181,1372.7,1349.9,21.253
32,49637,0.9765625,,0.017,0.058,6.889,0.068,0.1,1309.4,1287.7,19.709
33,50965,0.89453125,,0.000112,0.068,14.29,0.083,0.183,1328.1,1306.5,19.629
34,52304,0.93359375,,0.015,0.038,11.778,0.06,0.163,1339.3,1317.5,19.791
35,53907,0.9453125,0.96875,0.0069,0.025,6.657,0.045,0.111,1602.6,1316.1,19.946
36,55289,0.921875,,0.021,0.07,15.096,0.084,0.188,1382.5,1361.0,19.655
37,56646,0.88671875,,0.018,0.078,14.973,0.091,0.237,1357.1,1335.6,19.521
38,57953,0.9453125,,0.019,0.054,10.171,0.07,0.148,1307.1,1285.5,19.531
39,59277,0.9609375,,0.014,0.058,6.239,0.063,0.101,1323.4,1298.9,22.632
40,60925,0.953125,0.96875,0.0087,0.022,8.685,0.04,0.122,1648.3,1297.2,19.638
41,62229,0.96875,,0.011,0.042,5.283,0.054,0.09,1303.9,1281.6,20.638
42,63532,0.95703125,,0.019,0.056,10.152,0.068,0.135,1302.7,1279.3,21.446
43,64836,0.9375,,0.0088,0.026,8.931,0.047,0.142,1303.9,1280.6,20.865
44,66163,0.87109375,,0.0063,0.034,12.888,0.059,0.153,1327.6,1302.3,23.311
45,67730,0.9296875,0.9375,0.018,0.036,10.207,0.056,0.143,1566.2,1271.6,22.02
46,69047,0.94140625,,0.0087,0.047,9.301,0.06,0.129,1317.4,1293.5,21.773
47,70346,0.9609375,,0.0072,0.043,9.345,0.057,0.108,1298.8,1273.8,22.711
48,71683,0.859375,,0.022,0.061,12.146,0.081,0.175,1337.2,1313.7,21.119
49,73075,0.86328125,,0.017,0.058,18.105,0.075,0.216,1391.6,1368.4,20.788
50,74724,0.93359375,0.9375,0.021,0.051,16.817,0.065,0.165,1648.9,1296.7,22.24
51,76053,0.96875,,0.0058,0.029,8.986,0.052,0.116,1329.2,1306.1,21.473
52,77371,0.9765625,,0.000273,0.024,4.133,0.041,0.087,1318.0,1295.4,20.446
53,78713,0.91796875,,0.014,0.076,15.167,0.091,0.181,1341.7,1317.2,22.503
54,80029,0.95703125,,0.014,0.05,10.602,0.062,0.115,1315.8,1291.5,21.838
55,81621,0.93359375,0.96875,0.0082,0.048,8.595,0.063,0.118,1592.8,1292.9,21.686
