step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1502,0.8125,,0.079,0.122,28.103,0.187,0.523,1502.7,1471.7,24.491
2,3005,0.7578125,,0.021,0.113,33.423,0.114,0.464,1503.0,1477.2,22.95
3,4499,0.77734375,,0.015,0.075,23.38,0.07,0.4,1493.8,1468.2,22.976
4,6008,0.765625,,0.01,0.065,36.854,0.073,0.587,1508.8,1483.4,22.939
5,7841,0.78125,0.78125,0.0047,0.039,27.865,0.052,0.502,1833.3,1470.5,22.343
6,9389,0.875,,0.017,0.086,23.028,0.08,0.357,1547.8,1524.9,20.837
7,10967,0.8125,,0.012,0.073,30.899,0.072,0.424,1577.4,1553.2,21.74
8,12537,0.875,,0.026,0.046,22.929,0.058,0.285,1570.5,1546.8,21.661
9,14130,0.84375,,0.0096,0.028,16.819,0.041,0.369,1593.2,1568.2,22.734
10,16047,0.82421875,0.90625,0.03,0.094,33.999,0.103,0.353,1916.7,1520.0,22.806
11,17577,0.8984375,,0.021,0.053,29.871,0.075,0.399,1530.3,1505.9,22.753
12,19167,0.8828125,,0.012,0.05,23.334,0.059,0.209,1589.3,1564.2,22.71
13,20735,0.78125,,0.02,0.061,28.882,0.081,0.303,1568.4,1543.7,22.501
14,22290,0.90625,,0.011,0.052,21.529,0.062,0.222,1554.9,1530.4,22.163
15,24140,0.84765625,0.90625,0.0098,0.046,23.862,0.065,0.262,1849.8,1488.2,22.899
16,25719,0.8203125,,0.027,0.062,40.287,0.085,0.452,1578.7,1554.0,22.769
17,27254,0.859375,,0.012,0.049,20.3,0.054,0.251,1535.6,1509.7,23.533
18,28831,0.875,,0.0095,0.059,28.4,0.077,0.311,1576.6,1551.2,23.049
19,30432,0.90625,,0.026,0.085,37.486,0.092,0.359,1600.6,1575.0,23.058
20,32341,0.9453125,0.9375,0.011,0.054,16.733,0.054,0.162,1909.1,1514.0,22.996
21,33926,0.90234375,,0.021,0.095,29.523,0.084,0.294,1584.9,1560.6,22.747
22,35506,0.90625,,0.014,0.075,32.546,0.08,0.316,1579.9,1556.2,21.422
23,37084,0.88671875,,0.019,0.046,30.964,0.078,0.369,1577.9,1552.8,22.846
24,38685,0.8515625,,0.0051,0.069,20.701,0.07,0.27,1601.2,1576.4,22.495
25,40639,0.9140625,0.9375,0.0054,0.067,32.707,0.09,0.232,1953.7,1578.2,22.379
26,42194,0.91796875,,0.018,0.054,27.345,0.066,0.251,1555.7,1531.2,22.643
27,43741,0.8984375,,0.013,0.063,22.896,0.068,0.277,1546.6,1524.3,20.179
28,45282,0.953125,,0.0094,0.05,16.748,0.058,0.161,1540.7,1518.8,19.876
29,46898,0.93359375,,0.024,0.145,27.642,0.143,0.196,1616.6,1591.5,23.109
30,48867,0.9140625,0.9375,0.02,0.079,31.245,0.093,0.223,1968.2,1564.0,23.237
31,50489,0.94140625,,0.014,0.066,23.286,0.076,0.231,1622.8,1598.1,23.04
32,52097,0.94921875,,0.032,0.066,18.79,0.071,0.15,1607.5,1582.2,23.08
33,53750,0.85546875,,0.029,0.09,33.02,0.096,0.416,1653.5,1627.9,23.257
34,55368,0.94140625,,-0.01,0.051,16.426,0.056,0.144,1617.8,1592.3,23.068
35,57322,0.875,0.90625,0.017,0.099,35.105,0.11,0.326,1953.2,1585.7,20.691
36,58940,0.953125,,0.032,0.065,21.809,0.079,0.198,1618.6,1593.7,22.854
37,60547,0.92578125,,0.027,0.064,23.636,0.082,0.248,1606.3,1581.6,22.318
38,62114,0.921875,,0.012,0.091,25.792,0.1,0.204,1567.6,1542.2,22.985
39,63736,0.9296875,,0.003,0.067,25.046,0.095,0.245,1621.9,1596.5,22.981
40,65745,0.91796875,0.9375,0.025,0.078,19.878,0.075,0.235,2009.2,1594.3,21.691
41,67337,0.94921875,,0.0018,0.047,14.638,0.058,0.14,1591.4,1568.5,20.98
42,68891,0.8984375,,0.011,0.06,21.485,0.071,0.266,1554.0,1525.9,26.049
43,70406,0.90234375,,0.044,0.088,29.219,0.105,0.294,1515.6,1489.6,23.647
44,71745,0.86328125,,0.0055,0.086,25.347,0.087,0.23,1338.1,1312.4,22.846
45,73505,0.90625,0.96875,0.019,0.11,24.58,0.107,0.228,1760.5,1400.8,19.668
46,74886,0.94140625,,0.0079,0.015,11.416,0.029,0.151,1381.3,1359.8,19.578
47,76457,0.96484375,,-0.01,0.073,12.386,0.064,0.117,1570.3,1545.7,22.555
48,78091,0.83984375,,0.0045,0.086,24.428,0.094,0.307,1634.5,1609.7,22.444
49,79636,0.91015625,,0.027,0.081,25.046,0.104,0.212,1545.1,1519.9,22.99
50,81491,0.97265625,0.96875,0.0093,0.0026,6.75,0.031,0.091,1854.3,1481.1,22.084
51,83077,0.9140625,,0.018,0.069,23.446,0.088,0.256,1586.7,1564.3,20.823
52,84633,0.95703125,,0.0096,0.097,15.832,0.09,0.116,1555.9,1530.5,23.097
53,86200,0.9375,,0.015,0.072,19.703,0.073,0.21,1566.8,1542.4,21.98
