step,action_mid_raw,action_mid_ma5,action_mid_ma10,action_mid_fixed,st_narrow_raw,st_narrow_ma5,st_narrow_ma10,st_narrow_fixed
1,0.8203125,,,,0.83984375,,,
2,0.76953125,,,,0.703125,,,
3,0.734375,,,,0.7578125,,,
4,0.7890625,,,,0.875,,,
5,0.8828125,0.79921875,,0.9375,0.875,0.81015625,,0.9375
6,0.87109375,0.809375,,,0.92578125,0.82734375,,
7,0.84765625,0.825,,,0.8828125,0.86328125,,
8,0.8671875,0.8515625,,,0.890625,0.88984375,,
9,0.8828125,0.8703125,,,0.86328125,0.8875,,
10,0.85546875,0.86484375,0.83203125,0.9375,0.82421875,0.87734375,0.84375,0.90625
11,0.890625,0.86875,0.8390625,,0.86328125,0.86484375,0.84609375,
12,0.84375,0.86796875,0.846484375,,0.8203125,0.85234375,0.8578125,
13,0.82421875,0.859375,0.85546875,,0.765625,0.82734375,0.85859375,
14,0.91015625,0.86484375,0.867578125,,0.8515625,0.825,0.85625,
15,0.87109375,0.86796875,0.86640625,0.90625,0.8359375,0.82734375,0.85234375,0.875
16,0.76953125,0.84375,0.85625,,0.78515625,0.81171875,0.83828125,
17,0.87890625,0.85078125,0.859375,,0.79296875,0.80625,0.829296875,
18,0.921875,0.8703125,0.86484375,,0.78125,0.809375,0.818359375,
19,0.8671875,0.86171875,0.86328125,,0.88671875,0.81640625,0.820703125,
20,0.9765625,0.8828125,0.875390625,0.90625,0.91796875,0.8328125,0.830078125,0.875
21,0.90234375,0.909375,0.8765625,,0.8984375,0.85546875,0.83359375,
22,0.93359375,0.9203125,0.885546875,,0.82421875,0.86171875,0.833984375,
23,0.92578125,0.92109375,0.895703125,,0.86328125,0.878125,0.84375,
24,0.828125,0.91328125,0.8875,,0.74609375,0.85,0.833203125,
25,0.8828125,0.89453125,0.888671875,0.84375,0.8828125,0.84296875,0.837890625,0.90625
26,0.875,0.8890625,0.89921875,,0.91015625,0.8453125,0.850390625,
27,0.93359375,0.8890625,0.9046875,,0.86328125,0.853125,0.857421875,
28,0.91015625,0.8859375,0.903515625,,0.89453125,0.859375,0.86875,
29,0.94921875,0.91015625,0.91171875,,0.93359375,0.896875,0.8734375,
30,0.921875,0.91796875,0.90625,0.90625,0.87109375,0.89453125,0.86875,0.9375
31,0.9609375,0.93515625,0.912109375,,0.90625,0.89375,0.86953125,
32,0.890625,0.9265625,0.9078125,,0.94140625,0.909375,0.88125,
33,0.92578125,0.9296875,0.9078125,,0.90625,0.91171875,0.885546875,
34,0.921875,0.92421875,0.9171875,,0.92578125,0.91015625,0.903515625,
35,0.9296875,0.92578125,0.921875,0.9375,0.93359375,0.92265625,0.90859375,0.96875
36,0.9609375,0.92578125,0.93046875,,0.95703125,0.9328125,0.91328125,
37,0.96875,0.94140625,0.933984375,,0.94140625,0.9328125,0.92109375,
38,0.94140625,0.94453125,0.937109375,,0.96484375,0.94453125,0.928125,
39,0.93359375,0.946875,0.935546875,,0.88671875,0.93671875,0.9234375,
40,0.9609375,0.953125,0.939453125,0.9375,0.921875,0.934375,0.928515625,0.9375
41,0.953125,0.9515625,0.938671875,,0.921875,0.92734375,0.930078125,
42,0.9296875,0.94375,0.942578125,,0.88671875,0.91640625,0.924609375,
43,0.9609375,0.94765625,0.94609375,,0.8828125,0.9,0.922265625,
44,0.87109375,0.93515625,0.941015625,,,,,
45,0.9140625,0.92578125,0.939453125,0.96875,,,,
46,0.8984375,0.91484375,0.933203125,,,,,
47,0.9453125,0.91796875,0.930859375,,,,,
48,0.92578125,0.9109375,0.929296875,,,,,
49,0.96484375,0.9296875,0.932421875,,,,,
50,0.92578125,0.93203125,0.92890625,0.90625,,,,
51,0.92578125,0.9375,0.926171875,,,,,
52,0.96875,0.9421875,0.930078125,,,,,
53,0.96484375,0.95,0.93046875,,,,,
54,0.984375,0.95390625,0.941796875,,,,,
55,0.91796875,0.95234375,0.9421875,0.96875,,,,
56,0.91015625,0.94921875,0.943359375,,,,,
57,0.9609375,0.94765625,0.944921875,,,,,
58,0.98046875,0.95078125,0.950390625,,,,,
59,0.91796875,0.9375,0.945703125,,,,,
