step,control_raw,control_ma5,control_ma10,control_fixed,st_02_raw,st_02_ma5,st_02_ma10,st_02_fixed,prism_raw,prism_ma5,prism_ma10,prism_fixed,action_old_raw,action_old_ma5,action_old_ma10,action_old_fixed,action_fix_02_raw,action_fix_02_ma5,action_fix_02_ma10,action_fix_02_fixed,st_half_raw,st_half_ma5,st_half_ma10,st_half_fixed,action_mid_raw,action_mid_ma5,action_mid_ma10,action_mid_fixed,st_narrow_raw,st_narrow_ma5,st_narrow_ma10,st_narrow_fixed
1,0.69140625,,,,0.8125,,,,0.828125,,,,0.77734375,,,,0.80859375,,,,0.8125,,,,0.8203125,,,,0.83984375,,,
2,0.70703125,,,,0.62109375,,,,0.70703125,,,,0.75,,,,0.71875,,,,0.7578125,,,,0.76953125,,,,0.703125,,,
3,0.75,,,,0.7578125,,,,0.70703125,,,,0.68359375,,,,0.703125,,,,0.77734375,,,,0.734375,,,,0.7578125,,,
4,0.7421875,,,,0.796875,,,,0.8046875,,,,0.8359375,,,,0.7890625,,,,0.765625,,,,0.7890625,,,,0.875,,,
5,0.86328125,0.75078125,,0.875,0.85546875,0.76875,,0.84375,0.80078125,0.76953125,,0.875,0.796875,0.76875,,0.875,0.83984375,0.771875,,0.875,0.78125,0.77890625,,0.78125,0.8828125,0.79921875,,0.9375,0.875,0.81015625,,0.9375
6,0.89453125,0.79140625,,,0.8984375,0.7859375,,,0.89453125,0.7828125,,,0.8359375,0.78046875,,,0.84375,0.77890625,,,0.875,0.79140625,,,0.87109375,0.809375,,,0.92578125,0.82734375,,
7,0.75390625,0.80078125,,,0.84765625,0.83125,,,0.80078125,0.8015625,,,0.86328125,0.803125,,,0.87890625,0.8109375,,,0.8125,0.80234375,,,0.84765625,0.825,,,0.8828125,0.86328125,,
8,0.7734375,0.80546875,,,0.90234375,0.86015625,,,0.8046875,0.82109375,,,0.78515625,0.8234375,,,0.82421875,0.83515625,,,0.875,0.821875,,,0.8671875,0.8515625,,,0.890625,0.88984375,,
9,0.8359375,0.82421875,,,0.84375,0.86953125,,,0.875,0.83515625,,,0.79296875,0.81484375,,,0.859375,0.84921875,,,0.84375,0.8375,,,0.8828125,0.8703125,,,0.86328125,0.8875,,
10,0.82421875,0.81640625,0.78359375,0.90625,0.8671875,0.871875,0.8203125,0.96875,0.88671875,0.85234375,0.8109375,0.875,0.78515625,0.8125,0.790625,0.84375,0.84375,0.85,0.8109375,0.90625,0.82421875,0.84609375,0.8125,0.90625,0.85546875,0.86484375,0.83203125,0.9375,0.82421875,0.87734375,0.84375,0.90625
11,0.8203125,0.8015625,0.796484375,,0.86328125,0.86484375,0.825390625,,0.90625,0.8546875,0.81875,,0.75390625,0.79609375,0.78828125,,0.890625,0.859375,0.819140625,,0.8984375,0.85078125,0.82109375,,0.890625,0.86875,0.8390625,,0.86328125,0.86484375,0.84609375,
12,0.765625,0.80390625,0.80234375,,0.87109375,0.86953125,0.850390625,,0.8984375,0.87421875,0.837890625,,0.71875,0.7671875,0.78515625,,0.83203125,0.85,0.83046875,,0.8828125,0.86484375,0.83359375,,0.84375,0.86796875,0.846484375,,0.8203125,0.85234375,0.8578125,
13,0.74609375,0.7984375,0.801953125,,0.765625,0.8421875,0.851171875,,0.78515625,0.8703125,0.845703125,,0.71875,0.75390625,0.788671875,,0.83984375,0.853125,0.844140625,,0.78125,0.84609375,0.833984375,,0.82421875,0.859375,0.85546875,,0.765625,0.82734375,0.85859375,
14,0.82421875,0.79609375,0.81015625,,0.87890625,0.84921875,0.859375,,0.85546875,0.86640625,0.85078125,,0.65625,0.7265625,0.770703125,,0.828125,0.846875,0.848046875,,0.90625,0.85859375,0.848046875,,0.91015625,0.86484375,0.867578125,,0.8515625,0.825,0.85625,
15,0.71875,0.775,0.795703125,0.84375,0.875,0.85078125,0.861328125,0.90625,0.8359375,0.85625,0.854296875,0.875,0.80859375,0.73125,0.771875,0.84375,0.87890625,0.85390625,0.851953125,0.90625,0.84765625,0.86328125,0.8546875,0.90625,0.87109375,0.86796875,0.86640625,0.90625,0.8359375,0.82734375,0.85234375,0.875
16,0.7421875,0.759375,0.78046875,,0.9296875,0.8640625,0.864453125,,0.8671875,0.8484375,0.8515625,,0.70703125,0.721875,0.758984375,,0.91796875,0.859375,0.859375,,0.8203125,0.84765625,0.84921875,,0.76953125,0.84375,0.85625,,0.78515625,0.81171875,0.83828125,
17,0.8125,0.76875,0.786328125,,0.84765625,0.859375,0.864453125,,0.75390625,0.81953125,0.846875,,0.73828125,0.72578125,0.746484375,,0.87109375,0.8671875,0.85859375,,0.859375,0.84296875,0.85390625,,0.87890625,0.85078125,0.859375,,0.79296875,0.80625,0.829296875,
18,0.74609375,0.76875,0.78359375,,0.921875,0.890625,0.86640625,,0.88671875,0.83984375,0.855078125,,0.7890625,0.73984375,0.746875,,0.88671875,0.8765625,0.86484375,,0.875,0.86171875,0.85390625,,0.921875,0.8703125,0.86484375,,0.78125,0.809375,0.818359375,
19,0.80859375,0.765625,0.780859375,,0.94140625,0.903125,0.876171875,,0.921875,0.853125,0.859765625,,0.75,0.75859375,0.742578125,,0.96484375,0.90390625,0.875390625,,0.90625,0.86171875,0.86015625,,0.8671875,0.86171875,0.86328125,,0.88671875,0.81640625,0.820703125,
20,0.87109375,0.79609375,0.785546875,0.9375,0.94921875,0.91796875,0.884375,0.9375,0.93359375,0.87265625,0.864453125,0.90625,0.7734375,0.7515625,0.74140625,0.71875,0.91015625,0.91015625,0.88203125,0.96875,0.9453125,0.88125,0.872265625,0.9375,0.9765625,0.8828125,0.875390625,0.90625,0.91796875,0.8328125,0.830078125,0.875
21,0.72265625,0.7921875,0.77578125,,0.875,0.90703125,0.885546875,,0.9140625,0.88203125,0.865234375,,0.7890625,0.76796875,0.744921875,,0.92578125,0.91171875,0.885546875,,0.90234375,0.89765625,0.87265625,,0.90234375,0.909375,0.8765625,,0.8984375,0.85546875,0.83359375,
22,0.85546875,0.80078125,0.784765625,,0.90234375,0.91796875,0.888671875,,0.87109375,0.90546875,0.8625,,0.79296875,0.77890625,0.75234375,,0.90625,0.91875,0.89296875,,0.90625,0.90703125,0.875,,0.93359375,0.9203125,0.885546875,,0.82421875,0.86171875,0.833984375,
23,0.87109375,0.82578125,0.797265625,,0.9296875,0.91953125,0.905078125,,0.9453125,0.9171875,0.878515625,,0.75,0.77109375,0.75546875,,0.99609375,0.940625,0.90859375,,0.88671875,0.909375,0.885546875,,0.92578125,0.92109375,0.895703125,,0.86328125,0.878125,0.84375,
24,0.8125,0.8265625,0.79609375,,0.80859375,0.89296875,0.898046875,,0.859375,0.9046875,0.87890625,,0.765625,0.77421875,0.76640625,,0.89453125,0.9265625,0.915234375,,0.8515625,0.8984375,0.880078125,,0.828125,0.91328125,0.8875,,0.74609375,0.85,0.833203125,
25,0.890625,0.83046875,0.81328125,0.9375,0.9453125,0.8921875,0.905078125,0.90625,0.9453125,0.90703125,0.88984375,0.9375,0.8515625,0.78984375,0.770703125,0.875,0.98046875,0.940625,0.925390625,0.96875,0.9140625,0.8921875,0.88671875,0.9375,0.8828125,0.89453125,0.888671875,0.84375,0.8828125,0.84296875,0.837890625,0.90625
26,0.81640625,0.84921875,0.820703125,,0.86328125,0.88984375,0.8984375,,0.90625,0.90546875,0.89375,,0.80859375,0.79375,0.780859375,,0.91015625,0.9375,0.924609375,,0.91796875,0.8953125,0.896484375,,0.875,0.8890625,0.89921875,,0.91015625,0.8453125,0.850390625,
27,0.94140625,0.86640625,0.83359375,,0.8984375,0.8890625,0.903515625,,0.9609375,0.9234375,0.914453125,,0.8828125,0.81171875,0.7953125,,0.90625,0.9375,0.928125,,0.8984375,0.89375,0.900390625,,0.93359375,0.8890625,0.9046875,,0.86328125,0.853125,0.857421875,
28,0.91015625,0.87421875,0.85,,0.90625,0.884375,0.901953125,,0.94140625,0.92265625,0.919921875,,0.8984375,0.84140625,0.80625,,0.96875,0.93203125,0.936328125,,0.953125,0.90703125,0.908203125,,0.91015625,0.8859375,0.903515625,,0.89453125,0.859375,0.86875,
29,0.91796875,0.8953125,0.8609375,,0.87109375,0.896875,0.894921875,,0.93359375,0.9375,0.92109375,,0.80078125,0.8484375,0.811328125,,0.9140625,0.9359375,0.93125,,0.93359375,0.9234375,0.9109375,,0.94921875,0.91015625,0.91171875,,0.93359375,0.896875,0.8734375,
30,0.86328125,0.88984375,0.86015625,0.9375,0.85546875,0.87890625,0.885546875,0.9375,0.91796875,0.93203125,0.91953125,0.9375,,,,,0.93359375,0.9265625,0.93359375,0.90625,0.9140625,0.9234375,0.9078125,0.9375,0.921875,0.91796875,0.90625,0.90625,0.87109375,0.89453125,0.86875,0.9375
31,0.92578125,0.91171875,0.88046875,,0.93359375,0.89296875,0.89140625,,0.91796875,0.934375,0.919921875,,,,,,0.94140625,0.9328125,0.93515625,,0.94140625,0.928125,0.91171875,,0.9609375,0.93515625,0.912109375,,0.90625,0.89375,0.86953125,
32,0.890625,0.9015625,0.883984375,,0.953125,0.90390625,0.896484375,,0.9765625,0.9375,0.93046875,,,,,,0.95703125,0.94296875,0.940234375,,0.94921875,0.93828125,0.916015625,,0.890625,0.9265625,0.9078125,,0.94140625,0.909375,0.88125,
33,0.8203125,0.88359375,0.87890625,,0.90625,0.90390625,0.894140625,,0.89453125,0.928125,0.925390625,,,,,,0.9375,0.93671875,0.934375,,0.85546875,0.91875,0.912890625,,0.92578125,0.9296875,0.9078125,,0.90625,0.91171875,0.885546875,
34,0.83203125,0.86640625,0.880859375,,0.8828125,0.90625,0.9015625,,0.93359375,0.928125,0.9328125,,,,,,0.90234375,0.934375,0.93515625,,0.94140625,0.9203125,0.921875,,0.921875,0.92421875,0.9171875,,0.92578125,0.91015625,0.903515625,
35,0.8671875,0.8671875,0.878515625,0.9375,0.8671875,0.90859375,0.89375,0.875,0.9453125,0.93359375,0.9328125,0.96875,,,,,0.953125,0.93828125,0.932421875,0.9375,0.875,0.9125,0.91796875,0.90625,0.9296875,0.92578125,0.921875,0.9375,0.93359375,0.92265625,0.90859375,0.96875
36,0.8984375,0.86171875,0.88671875,,0.93359375,0.90859375,0.90078125,,0.921875,0.934375,0.934375,,,,,,0.9296875,0.9359375,0.934375,,0.953125,0.91484375,0.921484375,,0.9609375,0.92578125,0.93046875,,0.95703125,0.9328125,0.91328125,
37,0.94140625,0.871875,0.88671875,,0.9296875,0.90390625,0.90390625,,0.88671875,0.91640625,0.926953125,,,,,,0.90625,0.92578125,0.934375,,0.92578125,0.91015625,0.92421875,,0.96875,0.94140625,0.933984375,,0.94140625,0.9328125,0.92109375,
38,0.9296875,0.89375,0.888671875,,0.88671875,0.9,0.901953125,,0.9453125,0.9265625,0.92734375,,,,,,0.94921875,0.928125,0.932421875,,0.921875,0.9234375,0.92109375,,0.94140625,0.94453125,0.937109375,,0.96484375,0.94453125,0.928125,
39,0.89453125,0.90625,0.886328125,,0.87890625,0.89921875,0.902734375,,0.9609375,0.93203125,0.930078125,,,,,,0.953125,0.93828125,0.936328125,,0.9296875,0.92109375,0.920703125,,0.93359375,0.946875,0.935546875,,0.88671875,0.93671875,0.9234375,
40,0.9140625,0.915625,0.89140625,0.90625,0.87890625,0.9015625,0.905078125,0.9375,0.953125,0.93359375,0.93359375,0.96875,,,,,0.8984375,0.92734375,0.9328125,0.90625,0.91796875,0.9296875,0.92109375,0.9375,0.9609375,0.953125,0.939453125,0.9375,0.921875,0.934375,0.928515625,0.9375
41,0.9296875,0.921875,0.891796875,,0.9296875,0.90078125,0.9046875,,0.96875,0.94296875,0.938671875,,,,,,0.9140625,0.92421875,0.930078125,,0.94921875,0.92890625,0.921875,,0.953125,0.9515625,0.938671875,,0.921875,0.92734375,0.930078125,
42,0.84375,0.90234375,0.887109375,,0.85546875,0.8859375,0.894921875,,0.95703125,0.95703125,0.93671875,,,,,,0.88671875,0.9203125,0.923046875,,0.8984375,0.9234375,0.916796875,,0.9296875,0.94375,0.942578125,,0.88671875,0.91640625,0.924609375,
43,0.92578125,0.9015625,0.89765625,,0.9375,0.89609375,0.898046875,,0.9375,0.95546875,0.941015625,,,,,,0.94140625,0.91875,0.9234375,,0.90234375,0.91953125,0.921484375,,0.9609375,0.94765625,0.94609375,,0.8828125,0.9,0.922265625,
44,0.83984375,0.890625,0.8984375,,0.77734375,0.87578125,0.8875,,0.87109375,0.9375,0.934765625,,,,,,0.8828125,0.9046875,0.921484375,,0.86328125,0.90625,0.913671875,,0.87109375,0.93515625,0.941015625,,,,,
45,0.85546875,0.87890625,0.897265625,0.96875,0.89453125,0.87890625,0.890234375,0.96875,0.9296875,0.9328125,0.933203125,0.9375,,,,,0.90234375,0.90546875,0.91640625,0.9375,0.90625,0.90390625,0.916796875,0.96875,0.9140625,0.92578125,0.939453125,0.96875,,,,
46,0.91015625,0.875,0.8984375,,0.85546875,0.8640625,0.882421875,,0.94140625,0.92734375,0.93515625,,,,,,0.93359375,0.909375,0.916796875,,0.94140625,0.90234375,0.915625,,0.8984375,0.91484375,0.933203125,,,,,
