step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1304,0.69140625,,0.093,0.118,33.514,0.183,0.738,1304.8,1267.3,20.791
2,2648,0.70703125,,0.031,0.089,31.728,0.104,0.61,1343.7,1321.3,20.08
3,3941,0.75,,0.031,0.093,31.346,0.091,0.546,1293.3,1271.3,19.799
4,5230,0.7421875,,0.023,0.091,31.187,0.095,0.601,1289.0,1267.4,19.562
5,6826,0.86328125,0.875,0.016,0.096,29.828,0.094,0.342,1596.0,1268.6,22.732
6,8274,0.89453125,,0.058,0.113,26.692,0.11,0.304,1447.3,1422.0,23.193
7,9726,0.75390625,,0.0051,0.083,33.519,0.091,0.559,1452.3,1427.5,22.571
8,11203,0.7734375,,0.01,0.057,30.918,0.072,0.469,1476.8,1453.3,21.303
9,12725,0.8359375,,0.0017,0.061,28.168,0.071,0.424,1522.6,1500.3,19.835
10,14587,0.82421875,0.90625,0.0079,0.056,25.386,0.06,0.388,1862.1,1475.9,22.946
11,16202,0.8203125,,0.018,0.081,38.536,0.097,0.521,1615.0,1590.5,22.889
12,17802,0.765625,,0.008,0.049,35.322,0.059,0.521,1599.7,1575.7,21.54
13,19409,0.74609375,,0.011,0.048,24.222,0.052,0.445,1606.8,1582.6,22.056
14,21074,0.82421875,,0.015,0.096,31.022,0.104,0.433,1665.4,1640.4,22.91
15,23100,0.71875,0.84375,0.0071,0.04,27.147,0.058,0.574,2025.1,1642.8,22.521
16,24696,0.7421875,,0.014,0.067,43.931,0.074,0.524,1596.0,1571.0,22.948
17,26280,0.8125,,0.018,0.048,19.162,0.063,0.366,1584.6,1559.1,22.899
18,27875,0.74609375,,0.0093,0.065,38.474,0.079,0.59,1594.9,1570.2,22.274
19,29485,0.80859375,,0.012,0.068,31.497,0.08,0.517,1609.4,1584.3,22.665
20,31429,0.87109375,0.9375,0.01,0.059,28.431,0.071,0.369,1944.1,1561.0,22.977
21,33066,0.72265625,,0.015,0.064,35.788,0.074,0.698,1637.1,1613.2,22.296
22,34657,0.85546875,,0.0097,0.062,29.692,0.073,0.472,1591.1,1566.2,22.571
23,36234,0.87109375,,0.017,0.071,31.05,0.084,0.395,1576.5,1551.0,23.182
24,37841,0.8125,,0.013,0.043,23.405,0.057,0.375,1607.3,1582.4,22.536
25,39732,0.890625,0.9375,0.022,0.069,23.458,0.079,0.273,1891.2,1517.5,22.84
26,41363,0.81640625,,0.017,0.064,28.27,0.078,0.429,1630.8,1606.2,22.578
27,42975,0.94140625,,0.014,0.08,19.462,0.068,0.2,1612.4,1589.1,20.821
28,44530,0.91015625,,0.0078,0.06,20.928,0.072,0.279,1554.2,1530.1,22.032
29,46144,0.91796875,,0.021,0.072,22.008,0.071,0.278,1614.1,1589.7,22.199
30,48108,0.86328125,0.9375,0.025,0.088,39.07,0.096,0.425,1963.9,1603.5,21.134
31,49671,0.92578125,,0.012,0.056,25.976,0.079,0.281,1563.8,1542.4,19.768
32,51281,0.890625,,-0.0062,0.085,29.499,0.086,0.274,1609.1,1584.4,22.776
33,52872,0.8203125,,0.022,0.07,17.069,0.072,0.245,1591.3,1568.3,20.622
34,54495,0.83203125,,0.014,0.066,25.48,0.078,0.414,1622.9,1599.2,21.665
35,56403,0.8671875,0.9375,0.017,0.054,23.453,0.081,0.308,1908.5,1544.3,21.712
36,57985,0.8984375,,0.023,0.044,24.805,0.066,0.266,1581.9,1557.1,22.846
37,59558,0.94140625,,0.021,0.045,14.608,0.063,0.17,1572.9,1547.6,22.644
38,61080,0.9296875,,0.0074,0.054,23.092,0.072,0.22,1522.3,1498.9,21.121
39,62574,0.89453125,,0.017,0.08,28.864,0.096,0.299,1493.0,1468.6,21.805
40,64373,0.9140625,0.90625,0.0066,0.052,16.937,0.064,0.238,1799.5,1396.7,20.485
41,65873,0.9296875,,0.0028,0.064,22.4,0.06,0.226,1499.9,1475.4,22.781
42,67420,0.84375,,0.017,0.081,34.98,0.083,0.451,1547.5,1524.8,20.538
43,68961,0.92578125,,0.0089,0.087,18.847,0.082,0.256,1540.6,1511.6,26.472
44,70534,0.83984375,,0.021,0.088,28.96,0.093,0.298,1573.4,1547.9,22.873
45,72483,0.85546875,0.96875,0.011,0.045,26.463,0.05,0.245,1948.1,1596.2,21.364
46,74071,0.91015625,,-0.000867,0.048,17.451,0.06,0.24,1587.9,1562.8,23.137
47,75628,0.921875,,0.0072,0.031,16.427,0.059,0.209,1557.5,1534.2,20.991
48,77105,0.91015625,,0.000514,0.085,11.299,0.061,0.058,1476.7,1454.3,20.136
49,78599,0.8671875,,0.0063,0.078,22.172,0.095,0.323,1494.1,1468.0,23.982
50,80410,0.95703125,0.9375,0.013,0.025,12.057,0.038,0.139,1811.5,1453.8,20.478
51,81847,0.921875,,0.016,0.065,22.572,0.084,0.197,1436.7,1413.9,20.796
52,83278,0.95703125,,0.0096,0.024,14.045,0.048,0.137,1431.2,1409.2,19.91
53,84768,0.9140625,,0.0043,0.049,18.578,0.064,0.293,1489.3,1464.2,22.896
54,86288,0.93359375,,0.021,0.075,22.6,0.079,0.223,1520.4,1495.9,22.07
55,88247,0.89453125,0.96875,0.022,0.084,24.996,0.116,0.264,1958.5,1591.8,22.499
56,89807,0.89453125,,0.0049,0.058,23.404,0.073,0.215,1560.4,1539.0,19.589
57,91503,0.8671875,,0.024,0.064,27.69,0.079,0.392,1695.8,1669.9,23.825
58,93138,0.953125,,0.027,0.052,15.571,0.063,0.155,1634.6,1609.9,21.941
59,94859,0.95703125,,0.019,0.114,20.73,0.101,0.157,1721.3,1695.8,22.771
60,96824,0.890625,0.96875,0.024,0.077,28.509,0.094,0.32,1965.2,1564.5,19.734
61,98402,0.9375,,0.018,0.046,16.368,0.062,0.175,1577.9,1556.4,19.875
62,99995,0.953125,,0.0068,0.049,19.337,0.075,0.141,1593.3,1568.4,22.931
63,101402,0.9296875,,0.034,0.101,26.638,0.104,0.259,1406.8,1385.2,19.31
64,102654,0.94921875,,0.0014,0.056,18.941,0.061,0.113,1252.1,1230.7,19.589
65,104198,0.9140625,0.96875,0.0097,0.071,25.014,0.08,0.223,1543.6,1252.1,19.303
66,105473,0.9375,,0.022,0.054,19.678,0.064,0.151,1275.3,1254.1,19.43
67,106773,0.93359375,,0.000198,0.07,23.086,0.081,0.228,1300.0,1278.5,19.58
68,108046,0.9765625,,0.013,0.053,13.516,0.068,0.088,1273.0,1251.6,19.516
69,109318,0.9765625,,0.0019,0.021,9.056,0.029,0.068,1271.3,1249.9,19.47
70,110879,0.94921875,0.9375,0.012,0.049,13.313,0.06,0.18,1561.5,1242.9,19.3
71,112140,0.94921875,,0.0094,0.065,12.816,0.052,0.067,1260.8,1240.0,19.244
72,113411,0.94140625,,0.0095,0.049,14.955,0.048,0.138,1271.1,1249.7,19.579
73,114689,0.9375,,0.03,0.097,20.242,0.102,0.21,1278.2,1256.8,19.536
74,116160,0.9296875,,0.013,0.062,23.178,0.082,0.25,1470.9,1448.0,20.919
75,118178,0.83203125,0.96875,0.017,0.062,29.904,0.076,0.359,2017.9,1671.3,22.944
76,119803,0.87109375,,0.015,0.039,17.04,0.052,0.211,1624.2,1600.0,22.335
77,121436,0.8671875,,0.043,0.079,34.654,0.111,0.376,1633.4,1608.4,22.639
78,123068,0.93359375,,0.0068,0.043,14.771,0.052,0.18,1632.1,1607.8,22.047
79,124724,0.89453125,,0.019,0.058,16.092,0.08,0.143,1656.3,1631.6,22.356
80,126684,0.92578125,0.9375,0.011,0.094,26.328,0.106,0.261,1959.5,1568.1,22.037
81,128332,0.92578125,,0.011,0.098,14.224,0.072,0.154,1648.4,1624.0,22.782
82,129985,0.94921875,,0.034,0.08,22.49,0.088,0.203,1652.8,1627.8,22.699
83,131668,0.94921875,,-0.0041,0.048,21.66,0.054,0.196,1682.6,1660.6,19.512
84,133234,0.96484375,,0.013,0.034,16.257,0.052,0.135,1566.4,1543.5,20.914
85,135251,0.9765625,0.96875,0.01,0.076,10.944,0.064,0.102,2016.9,1616.6,22.986
86,136937,0.94921875,,0.016,0.048,10.263,0.06,0.095,1685.3,1661.8,21.553
87,138508,0.9375,,0.011,0.097,14.133,0.106,0.104,1571.4,1546.6,22.597
88,140078,0.96484375,,0.017,0.082,19.152,0.089,0.132,1570.2,1548.2,19.821
89,141735,0.9296875,,0.035,0.092,27.498,0.102,0.235,1657.0,1633.0,22.06
90,143706,0.96484375,0.9375,0.0072,0.054,12.7,0.063,0.133,1970.2,1603.6,20.137
91,145306,0.94140625,,0.019,0.051,17.283,0.048,0.126,1600.3,1576.2,22.489
92,146910,0.953125,,0.011,0.1,19.049,0.121,0.189,1604.4,1579.2,23.057
93,148399,0.97265625,,0.0019,0.02,5.912,0.022,0.044,1489.0,1467.3,19.456
94,149976,0.953125,,0.016,0.032,13.707,0.053,0.168,1576.6,1552.8,21.923
95,151965,0.92578125,0.96875,0.022,0.074,21.015,0.075,0.22,1988.6,1609.6,22.328
96,153583,0.9296875,,0.022,0.082,15.42,0.099,0.15,1618.1,1593.5,22.717
