step,success_count,episode_count,eval/episode_len,eval/num_trajectories,eval/return,eval/reward,eval/success_at_end,eval/success_once
5,10,32,200.0,32.0,0.3125,0.0015624997904524207,0.3125,0.3125
10,19,32,200.0,32.0,0.59375,0.002968749962747097,0.59375,0.59375
15,15,32,200.0,32.0,0.46875,0.002343749860301614,0.46875,0.46875
20,14,32,200.0,32.0,0.4375,0.002187499776482582,0.4375,0.4375
25,16,32,200.0,32.0,0.5,0.0024999999441206455,0.5,0.5
30,14,32,200.0,32.0,0.4375,0.002187499776482582,0.4375,0.4375
35,19,32,200.0,32.0,0.59375,0.002968749962747097,0.59375,0.59375
40,15,32,200.0,32.0,0.46875,0.002343749860301614,0.46875,0.46875
45,14,32,200.0,32.0,0.4375,0.0021875000093132257,0.4375,0.4375
50,16,32,200.0,32.0,0.5,0.0024999999441206455,0.5,0.5
55,19,32,200.0,32.0,0.59375,0.0029687497299164534,0.59375,0.59375
60,24,32,200.0,32.0,0.75,0.003750000149011612,0.75,0.75
65,19,32,200.0,32.0,0.59375,0.0029687497299164534,0.59375,0.59375
70,26,32,200.0,32.0,0.8125,0.004062499850988388,0.8125,0.8125
75,21,32,200.0,32.0,0.65625,0.0032812501303851604,0.65625,0.65625
80,22,32,200.0,32.0,0.6875,0.0034374999813735485,0.6875,0.6875
85,24,32,200.0,32.0,0.75,0.003750000149011612,0.75,0.75
90,21,32,200.0,32.0,0.65625,0.0032812501303851604,0.65625,0.65625
95,22,32,200.0,32.0,0.6875,0.0034374999813735485,0.6875,0.6875
100,19,32,200.0,32.0,0.59375,0.002968749962747097,0.59375,0.59375
