completed_step,train_success_256,train_pct,train_ma10_pct,fixed_success_32,fixed_pct
1,83,32.421875,32.421875,,
2,87,33.984375,33.203125,,
3,102,39.84375,35.416666666666664,,
4,114,44.53125,37.6953125,,
5,117,45.703125,39.296875,10,31.25
6,116,45.3125,40.299479166666664,,
7,139,54.296875,42.299107142857146,,
8,106,41.40625,42.1875,,
9,103,40.234375,41.970486111111114,,
10,100,39.0625,41.6796875,19,59.375
11,120,46.875,43.125,,
12,109,42.578125,43.984375,,
13,118,46.09375,44.609375,,
14,118,46.09375,44.765625,,
15,150,58.59375,46.0546875,15,46.875
16,135,52.734375,46.796875,,
17,125,48.828125,46.25,,
18,124,48.4375,46.953125,,
19,135,52.734375,48.203125,,
20,131,51.171875,49.4140625,14,43.75
21,150,58.59375,50.5859375,,
22,114,44.53125,50.78125,,
23,142,55.46875,51.71875,,
24,148,57.8125,52.890625,,
25,123,48.046875,51.8359375,16,50.0
26,146,57.03125,52.265625,,
27,158,61.71875,53.5546875,,
28,123,48.046875,53.515625,,
29,153,59.765625,54.21875,,
30,133,51.953125,54.296875,14,43.75
31,161,62.890625,54.7265625,,
32,154,60.15625,56.2890625,,
33,142,55.46875,56.2890625,,
34,135,52.734375,55.78125,,
35,144,56.25,56.6015625,19,59.375
36,145,56.640625,56.5625,,
37,155,60.546875,56.4453125,,
38,136,53.125,56.953125,,
39,124,48.4375,55.8203125,,
40,121,47.265625,55.3515625,15,46.875
41,151,58.984375,54.9609375,,
42,135,52.734375,54.21875,,
43,132,51.5625,53.828125,,
44,143,55.859375,54.140625,,
45,146,57.03125,54.21875,14,43.75
46,154,60.15625,54.5703125,,
47,149,58.203125,54.3359375,,
48,151,58.984375,54.921875,,
49,142,55.46875,55.625,,
50,162,63.28125,57.2265625,16,50.0
51,152,59.375,57.265625,,
52,153,59.765625,57.96875,,
53,145,56.640625,58.4765625,,
54,146,57.03125,58.59375,,
55,171,66.796875,59.5703125,19,59.375
56,165,64.453125,60.0,,
57,152,59.375,60.1171875,,
58,158,61.71875,60.390625,,
59,149,58.203125,60.6640625,,
60,155,60.546875,60.390625,24,75.0
61,148,57.8125,60.234375,,
62,169,66.015625,60.859375,,
63,177,69.140625,62.109375,,
64,175,68.359375,63.2421875,,
65,152,59.375,62.5,19,59.375
66,166,64.84375,62.5390625,,
67,158,61.71875,62.7734375,,
68,169,66.015625,63.203125,,
69,178,69.53125,64.3359375,,
70,147,57.421875,64.0234375,26,81.25
71,163,63.671875,64.609375,,
72,144,56.25,63.6328125,,
73,158,61.71875,62.890625,,
74,142,55.46875,61.6015625,,
75,152,59.375,61.6015625,21,65.625
76,170,66.40625,61.7578125,,
77,177,69.140625,62.5,,
78,168,65.625,62.4609375,,
79,171,66.796875,62.1875,,
80,162,63.28125,62.7734375,22,68.75
81,157,61.328125,62.5390625,,
82,173,67.578125,63.671875,,
83,165,64.453125,63.9453125,,
84,140,54.6875,63.8671875,,
85,141,55.078125,63.4375,24,75.0
86,189,73.828125,64.1796875,,
87,165,64.453125,63.7109375,,
88,144,56.25,62.7734375,,
89,163,63.671875,62.4609375,,
90,180,70.3125,63.1640625,21,65.625
91,165,64.453125,63.4765625,,
92,167,65.234375,63.2421875,,
93,178,69.53125,63.75,,
94,187,73.046875,65.5859375,,
95,188,73.4375,67.421875,22,68.75
96,167,65.234375,66.5625,,
97,168,65.625,66.6796875,,
98,162,63.28125,67.3828125,,
99,166,64.84375,67.5,,
100,165,64.453125,66.9140625,19,59.375
101,156,60.9375,66.5625,,
102,171,66.796875,66.71875,,
103,160,62.5,66.015625,,
104,179,69.921875,65.703125,,
105,179,69.921875,65.3515625,24,75.0
106,167,65.234375,65.3515625,,
107,183,71.484375,65.9375,,
108,152,59.375,65.546875,,
109,164,64.0625,65.46875,,
110,147,57.421875,64.765625,17,53.125
