tag,step,value,wall_time
env/success_once,0,0.728515625,1787564505.6799614
env/success_once,1,0.71875,1787566267.7116714
env/return,0,0.728515625,1787564505.6800506
env/return,1,0.71875,1787566267.7116985
env/episode_len,0,200.0,1787564505.6800613
env/episode_len,1,200.0,1787566267.7117062
env/reward,0,0.003642577910795808,1787564505.6800683
env/reward,1,0.0035937498323619366,1787566267.7117116
env/num_trajectories,0,512.0,1787564505.6801083
env/num_trajectories,1,512.0,1787566267.711728
rollout/rewards,0,0.004291247110813856,1787564505.6801226
rollout/rewards,1,0.004186046309769154,1787566267.7117372
rollout/advantages_mean,0,-0.11849632859230042,1787564505.6801322
rollout/advantages_mean,1,-0.1185191199183464,1787566267.7117455
rollout/advantages_max,0,1.6201815605163574,1787564505.6801543
rollout/advantages_max,1,1.6201815605163574,1787566267.711757
rollout/advantages_min,0,-2.4748666286468506,1787564505.680165
rollout/advantages_min,1,-2.4748666286468506,1787566267.7117662
time/sync_weights,0,38.35047149658203,1787564505.6801858
time/sync_weights,1,2.887519121170044,1787566267.7117763
time/generate_rollouts,0,1489.4317626953125,1787564505.680193
time/generate_rollouts,1,1350.4185791015625,1787566267.7117827
time/cal_adv_and_returns,0,0.04684090614318848,1787564505.6818964
time/cal_adv_and_returns,1,0.01579570770263672,1787566267.7122607
time/actor_training,0,25.519960403442383,1787564505.6819234
time/actor_training,1,23.58460235595703,1787566267.7122679
time/step,0,1553.3509521484375,1787564505.6819344
time/step,1,1761.9937744140625,1787566267.7122803
time/env/env/bootstrap_step,0,1107.97998046875,1787564505.6819446
time/env/env/bootstrap_step,1,948.1824951171875,1787566267.712287
time/env/compute_bootstrap_rewards,0,0.002031040145084262,1787564505.6819522
time/env/compute_bootstrap_rewards,1,0.0017672268440946937,1787566267.712293
time/env/env_interact_step,0,366.42333984375,1787564505.681959
time/env/env_interact_step,1,382.2877197265625,1787566267.7122993
time/env/env/send_rollout_trajectories,0,1.053547739982605,1787564505.6819675
time/env/env/send_rollout_trajectories,1,1.1861525774002075,1787566267.712306
time/env/run_interact_once,0,1484.932373046875,1787564505.681976
time/env/run_interact_once,1,1346.345947265625,1787566267.7123117
time/env/interact,0,1484.932373046875,1787564505.681983
time/env/interact,1,1346.3460693359375,1787566267.712318
time/rollout/sync_model_from_actor,0,37.582950592041016,1787564505.6819894
time/rollout/sync_model_from_actor,1,5.662454128265381,1787566267.7129078
time/rollout/predict,0,10.766308784484863,1787564505.6825268
time/rollout/predict,1,11.734685897827148,1787566267.712914
time/rollout/generate_one_epoch,0,1482.89599609375,1787564505.682534
