episode_key,source_kind,source_root,run_id,policy,checkpoint,task,cohort_id,group_id,episode_uid,episode_id,reset_id,source_seed,source_seed_provenance,success,first_success_action_slot,first_success_query,terminal_success_video_frame,any_success_after,queries,total_action_slots,episode_mean_S_raw,episode_median_S_raw,episode_mean_S_std,episode_median_S_std,episode_min_S_std,episode_max_S_std,episode_mean_abs_I_raw,episode_mean_abs_I_std,episode_mean_abs_R_std,video_path,query_scope,representative,selection_reason
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0001_reset0,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0001_reset0,1,0,,missing,True,140.0,5.0,141.0,True,6,141,0.0787349634850187,0.09723793740482614,0.12406510124388448,0.15721577672253434,-0.43411854441142445,0.6467331420041541,0.3895281052142519,0.6674363753374024,0.7666290318248331,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode0_randomized-false_success-true.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0002_reset1,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0002_reset1,2,1,,missing,True,225.0,9.0,226.0,True,10,226,0.19015866881347535,-0.13022879453542777,0.31197153090184554,-0.1976918364511377,-0.831638550998503,2.671868748849401,0.4518265510355823,0.7896380497696801,1.152014013716131,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode1_randomized-false_success-true.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0003_reset2,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0003_reset2,3,2,,missing,True,142.0,5.0,143.0,True,6,143,0.10784776046112438,0.0447879545579143,0.13726466637278492,-0.06442443172743237,-0.8716203163523712,1.2603703144646965,0.44428724279749715,0.7634148944874194,0.9810450649112035,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode2_randomized-false_success-true.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0004_reset3,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0004_reset3,4,3,,missing,True,148.0,6.0,149.0,True,7,149,-0.004516452612262222,0.04096509351538294,-0.010624549242540684,0.06537404048084458,-0.5790735318701492,0.4595672502993498,0.3677196870957119,0.6009622974456894,0.6926943108598617,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode3_randomized-false_success-true.mp4,pre_success,True,typical_success_nearest_outcome_median_action_slots
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0005_reset4,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0005_reset4,5,4,,missing,True,132.0,5.0,133.0,True,6,133,-0.1404749245871234,-0.03905555375602285,-0.25185358078388953,-0.09883738015399898,-0.9400374229919561,0.07597889065897762,0.31963723066610544,0.5247988478979032,0.6597953490886451,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode4_randomized-false_success-true.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0006_reset5,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0006_reset5,6,5,,missing,False,,,,False,17,400,0.6635750678764759,0.45401463516432816,0.9938773792323853,0.6179666728307277,-0.6160885978894164,5.3522682607647365,0.6385034139534915,0.9417935103252755,1.5164117038993872,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode5_randomized-false_success-false.mp4,pre_success,True,typical_failure_nearest_outcome_median_action_slots
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0007_reset6,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0007_reset6,7,6,,missing,False,,,,False,17,400,0.3010495175623167,0.03798779108204464,0.4819842130260677,0.06465231980500469,-0.5046709827508323,6.857040289204073,0.4218449064313937,0.7057685256685251,1.0052446950018759,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode6_randomized-false_success-false.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0008_reset7,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0008_reset7,8,7,,missing,True,164.0,6.0,165.0,True,7,165,-0.010818861177435265,-0.11946774874933963,-0.011954624187924114,-0.14391584034220978,-0.7100219078177661,0.578099826559713,0.31137784384050454,0.5244543411140271,0.6529422890111137,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode7_randomized-false_success-true.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0009_reset8,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0009_reset8,9,8,,missing,False,,,,False,17,400,-0.0944410688181606,-0.08694944471980415,-0.15274482841436243,-0.15276808455537325,-1.1452882853164545,0.6501920891647666,0.28296066454634783,0.4817704957479651,0.5803128017318782,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode8_randomized-false_success-false.mp4,pre_success,False,
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1::episode0010_reset9,fastwam,/data/chenyiteng/results/dvac-observation/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,episode0010_reset9,10,9,,missing,False,,,,False,17,400,0.7339602682895796,0.9335485832158743,1.1232422194105207,1.360412454745924,-0.690728034251045,4.397320457955648,0.5811212365086447,0.8507616303749955,1.462748193938307,/data/chenyiteng/projects/fastwam-standalone/worktrees/fastwam-dvac-observe-7faa711/evaluate_results/robotwin/robotwin_uncond_3cam_384/fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1/move_stapler_pad/episode9_randomized-false_success-false.mp4,pre_success,False,
