policy,task,outcome,metric,axis,bin_index,x_left,x_right,x_center,n_at_risk,mean,sd,episodes_total,main_L
fastwam,adjust_bottle,success,raw_y,normalized_progress,0,0.0,0.05,0.025,16,-8.443202797829032,0.06642493033736868,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,1,0.05,0.1,0.075,16,-7.9437892539757495,0.1419725437358786,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,2,0.1,0.15,0.125,16,-7.366971543718175,0.18277255448060398,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,3,0.15,0.2,0.175,16,-7.800234301685748,0.3045597426309195,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,4,0.2,0.25,0.225,16,-8.508014835771831,0.19731168431805016,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,5,0.25,0.3,0.275,16,-8.692952155265584,0.08869668361731266,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,6,0.3,0.35,0.325,16,-8.468268200287994,0.11640383168770142,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,7,0.35,0.4,0.375,16,-8.425950847560546,0.14208803029441425,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,8,0.4,0.45,0.425,16,-8.462336184562844,0.10722688253480955,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,9,0.45,0.5,0.475,16,-8.5794399382624,0.23598297674438273,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,10,0.5,0.55,0.525,16,-8.285599824962933,0.16294225854276534,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,11,0.55,0.6,0.575,16,-8.362320676380953,0.14535968932090998,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,12,0.6,0.65,0.625,16,-8.482072503457701,0.20785336795813336,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,13,0.65,0.7,0.675,16,-8.298952645923894,0.35015527558519466,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,14,0.7,0.75,0.725,16,-8.236272779632634,0.17515977984374245,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,15,0.75,0.8,0.775,16,-8.368217903234726,0.16209544627225486,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,16,0.8,0.85,0.825,16,-8.173894691837107,0.17411870344556765,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,17,0.85,0.9,0.875,16,-7.983290797524421,0.2851218536931911,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,18,0.9,0.95,0.925,16,-7.333660900339805,0.7565416749213554,16,5
fastwam,adjust_bottle,success,raw_y,normalized_progress,19,0.95,1.0,0.975,16,-7.475958919950733,0.564842948538417,16,5
fastwam,adjust_bottle,success,raw_y,absolute_slot,0,0.0,24.0,12.0,16,-7.9041577235867955,0.13905546436708585,16,5
fastwam,adjust_bottle,success,raw_y,absolute_slot,1,24.0,48.0,36.0,16,-8.527466172493757,0.05612321362390236,16,5
fastwam,adjust_bottle,success,raw_y,absolute_slot,2,48.0,72.0,60.0,16,-8.447450704361037,0.11133234850518829,16,5
fastwam,adjust_bottle,success,raw_y,absolute_slot,3,72.0,96.0,84.0,16,-8.291055318702679,0.1505467743196879,16,5
fastwam,adjust_bottle,success,raw_y,absolute_slot,4,96.0,120.0,108.0,16,-7.670851984196403,0.35122377607682,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,0,0.0,0.05,0.025,16,0.629322498792094,0.17255233881031976,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,1,0.05,0.1,0.075,16,0.8348467061591522,0.38861613146841384,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,2,0.1,0.15,0.125,16,1.2855745925752593,0.3907471177089857,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,3,0.15,0.2,0.175,16,1.1961273918994992,0.7262349721503937,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,4,0.2,0.25,0.225,16,0.7214829984412374,0.2839010520979625,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,5,0.25,0.3,0.275,16,0.8976644120718831,0.23918828465039593,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,6,0.3,0.35,0.325,16,0.7732200065970252,0.17791713469788828,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,7,0.35,0.4,0.375,16,0.5927362538962507,0.18758166703975937,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,8,0.4,0.45,0.425,16,0.6571754036855622,0.19712726519714993,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,9,0.45,0.5,0.475,16,0.8924471498052199,0.2936755027771243,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,10,0.5,0.55,0.525,16,0.5003767640440167,0.18136431609681006,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,11,0.55,0.6,0.575,16,0.557123642835105,0.1800947427137578,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,12,0.6,0.65,0.625,16,0.817372338101799,0.3389399224829439,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,13,0.65,0.7,0.675,16,0.6864162912385504,0.6167679772954402,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,14,0.7,0.75,0.725,16,0.36678940075477445,0.1331339213763175,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,15,0.75,0.8,0.775,16,0.5148961579772942,0.19987138456228204,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,16,0.8,0.85,0.825,16,0.921207767414476,0.38018965247057535,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,17,0.85,0.9,0.875,16,1.2002768819198044,0.5202601914582015,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,18,0.9,0.95,0.925,16,1.7270837003727109,1.2479580919210835,16,5
fastwam,adjust_bottle,success,abs_R,normalized_progress,19,0.95,1.0,0.975,16,1.533266223616349,1.0373688360145314,16,5
fastwam,adjust_bottle,success,abs_R,absolute_slot,0,0.0,24.0,12.0,16,0.9672985157987878,0.31639974240193935,16,5
