figure,kind,policy,task,case,outcome,metric,main_L
figures/case_pi0_adjust_success__raw_dvac.png,case_metric,pi0,adjust_bottle,pi0_adjust_success,success,raw,3.0
figures/case_pi0_adjust_success__raw_residual.png,case_metric,pi0,adjust_bottle,pi0_adjust_success,success,r,3.0
figures/case_pi0_adjust_success__standardized_residual.png,case_metric,pi0,adjust_bottle,pi0_adjust_success,success,R,3.0
figures/case_pi0_adjust_success__query_wide_S.png,case_metric,pi0,adjust_bottle,pi0_adjust_success,success,S,3.0
figures/case_pi0_adjust_success__local_I.png,case_metric,pi0,adjust_bottle,pi0_adjust_success,success,I,3.0
figures/case_pi0_adjust_failure__raw_dvac.png,case_metric,pi0,adjust_bottle,pi0_adjust_failure,failure,raw,3.0
figures/case_pi0_adjust_failure__raw_residual.png,case_metric,pi0,adjust_bottle,pi0_adjust_failure,failure,r,3.0
figures/case_pi0_adjust_failure__standardized_residual.png,case_metric,pi0,adjust_bottle,pi0_adjust_failure,failure,R,3.0
figures/case_pi0_adjust_failure__query_wide_S.png,case_metric,pi0,adjust_bottle,pi0_adjust_failure,failure,S,3.0
figures/case_pi0_adjust_failure__local_I.png,case_metric,pi0,adjust_bottle,pi0_adjust_failure,failure,I,3.0
figures/case_fastwam_adjust_success__raw_dvac.png,case_metric,fastwam,adjust_bottle,fastwam_adjust_success,success,raw,5.0
figures/case_fastwam_adjust_success__raw_residual.png,case_metric,fastwam,adjust_bottle,fastwam_adjust_success,success,r,5.0
figures/case_fastwam_adjust_success__standardized_residual.png,case_metric,fastwam,adjust_bottle,fastwam_adjust_success,success,R,5.0
figures/case_fastwam_adjust_success__query_wide_S.png,case_metric,fastwam,adjust_bottle,fastwam_adjust_success,success,S,5.0
figures/case_fastwam_adjust_success__local_I.png,case_metric,fastwam,adjust_bottle,fastwam_adjust_success,success,I,5.0
figures/case_fastwam_move_success__raw_dvac.png,case_metric,fastwam,move_stapler_pad,fastwam_move_success,success,raw,5.0
figures/case_fastwam_move_success__raw_residual.png,case_metric,fastwam,move_stapler_pad,fastwam_move_success,success,r,5.0
figures/case_fastwam_move_success__standardized_residual.png,case_metric,fastwam,move_stapler_pad,fastwam_move_success,success,R,5.0
figures/case_fastwam_move_success__query_wide_S.png,case_metric,fastwam,move_stapler_pad,fastwam_move_success,success,S,5.0
figures/case_fastwam_move_success__local_I.png,case_metric,fastwam,move_stapler_pad,fastwam_move_success,success,I,5.0
figures/case_fastwam_move_failure__raw_dvac.png,case_metric,fastwam,move_stapler_pad,fastwam_move_failure,failure,raw,5.0
figures/case_fastwam_move_failure__raw_residual.png,case_metric,fastwam,move_stapler_pad,fastwam_move_failure,failure,r,5.0
figures/case_fastwam_move_failure__standardized_residual.png,case_metric,fastwam,move_stapler_pad,fastwam_move_failure,failure,R,5.0
figures/case_fastwam_move_failure__query_wide_S.png,case_metric,fastwam,move_stapler_pad,fastwam_move_failure,failure,S,5.0
figures/case_fastwam_move_failure__local_I.png,case_metric,fastwam,move_stapler_pad,fastwam_move_failure,failure,I,5.0
figures/case_fastwam_turn_success__raw_dvac.png,case_metric,fastwam,turn_switch,fastwam_turn_success,success,raw,5.0
figures/case_fastwam_turn_success__raw_residual.png,case_metric,fastwam,turn_switch,fastwam_turn_success,success,r,5.0
figures/case_fastwam_turn_success__standardized_residual.png,case_metric,fastwam,turn_switch,fastwam_turn_success,success,R,5.0
figures/case_fastwam_turn_success__query_wide_S.png,case_metric,fastwam,turn_switch,fastwam_turn_success,success,S,5.0
figures/case_fastwam_turn_success__local_I.png,case_metric,fastwam,turn_switch,fastwam_turn_success,success,I,5.0
figures/case_fastwam_turn_failure__raw_dvac.png,case_metric,fastwam,turn_switch,fastwam_turn_failure,failure,raw,5.0
figures/case_fastwam_turn_failure__raw_residual.png,case_metric,fastwam,turn_switch,fastwam_turn_failure,failure,r,5.0
figures/case_fastwam_turn_failure__standardized_residual.png,case_metric,fastwam,turn_switch,fastwam_turn_failure,failure,R,5.0
figures/case_fastwam_turn_failure__query_wide_S.png,case_metric,fastwam,turn_switch,fastwam_turn_failure,failure,S,5.0
figures/case_fastwam_turn_failure__local_I.png,case_metric,fastwam,turn_switch,fastwam_turn_failure,failure,I,5.0
figures/case_fastwam_pick_success__raw_dvac.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_success,success,raw,5.0
figures/case_fastwam_pick_success__raw_residual.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_success,success,r,5.0
figures/case_fastwam_pick_success__standardized_residual.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_success,success,R,5.0
figures/case_fastwam_pick_success__query_wide_S.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_success,success,S,5.0
figures/case_fastwam_pick_success__local_I.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_success,success,I,5.0
figures/case_fastwam_pick_failure__raw_dvac.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_failure,failure,raw,5.0
figures/case_fastwam_pick_failure__raw_residual.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_failure,failure,r,5.0
figures/case_fastwam_pick_failure__standardized_residual.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_failure,failure,R,5.0
figures/case_fastwam_pick_failure__query_wide_S.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_failure,failure,S,5.0
figures/case_fastwam_pick_failure__local_I.png,case_metric,fastwam,pick_diverse_bottles,fastwam_pick_failure,failure,I,5.0
figures/reference_00_task_overview.png,task_overview,,,,,,
figures/reference_01_signal_dictionary.png,signal_dictionary,,,,,,
figures/reference_02_denoising_tail_window.png,denoising_window,,,,,,
figures/reference_03_axis_and_video_alignment.png,alignment,,,,,,
figures/position_reference_fastwam_adjust_bottle.png,position_reference,fastwam,adjust_bottle,,,,5.0
figures/position_reference_fastwam_move_stapler_pad.png,position_reference,fastwam,move_stapler_pad,,,,5.0
figures/position_reference_fastwam_pick_diverse_bottles.png,position_reference,fastwam,pick_diverse_bottles,,,,5.0
figures/position_reference_fastwam_turn_switch.png,position_reference,fastwam,turn_switch,,,,5.0
figures/position_reference_pi0_adjust_bottle.png,position_reference,pi0,adjust_bottle,,,,3.0
figures/reference_04_tail_length_sensitivity.png,tail_sensitivity,,,,,,
figures/reference_05_move_slot239_319_S_I_cancellation.png,cancellation,,,,,,
figures/reference_06_position_phase_aliasing.png,position_phase_aliasing,,,,,,
figures/aggregate_fastwam_adjust_bottle__raw_y.png,aggregate,fastwam,adjust_bottle,,,raw_y,
figures/aggregate_fastwam_adjust_bottle__abs_R.png,aggregate,fastwam,adjust_bottle,,,abs_R,
figures/aggregate_fastwam_adjust_bottle__S.png,aggregate,fastwam,adjust_bottle,,,S,
figures/aggregate_fastwam_adjust_bottle__abs_I.png,aggregate,fastwam,adjust_bottle,,,abs_I,
figures/aggregate_fastwam_move_stapler_pad__raw_y.png,aggregate,fastwam,move_stapler_pad,,,raw_y,
figures/aggregate_fastwam_move_stapler_pad__abs_R.png,aggregate,fastwam,move_stapler_pad,,,abs_R,
figures/aggregate_fastwam_move_stapler_pad__S.png,aggregate,fastwam,move_stapler_pad,,,S,
figures/aggregate_fastwam_move_stapler_pad__abs_I.png,aggregate,fastwam,move_stapler_pad,,,abs_I,
figures/aggregate_fastwam_pick_diverse_bottles__raw_y.png,aggregate,fastwam,pick_diverse_bottles,,,raw_y,
figures/aggregate_fastwam_pick_diverse_bottles__abs_R.png,aggregate,fastwam,pick_diverse_bottles,,,abs_R,
figures/aggregate_fastwam_pick_diverse_bottles__S.png,aggregate,fastwam,pick_diverse_bottles,,,S,
figures/aggregate_fastwam_pick_diverse_bottles__abs_I.png,aggregate,fastwam,pick_diverse_bottles,,,abs_I,
figures/aggregate_fastwam_turn_switch__raw_y.png,aggregate,fastwam,turn_switch,,,raw_y,
figures/aggregate_fastwam_turn_switch__abs_R.png,aggregate,fastwam,turn_switch,,,abs_R,
figures/aggregate_fastwam_turn_switch__S.png,aggregate,fastwam,turn_switch,,,S,
figures/aggregate_fastwam_turn_switch__abs_I.png,aggregate,fastwam,turn_switch,,,abs_I,
figures/aggregate_pi0_adjust_bottle__raw_y.png,aggregate,pi0,adjust_bottle,,,raw_y,
figures/aggregate_pi0_adjust_bottle__abs_R.png,aggregate,pi0,adjust_bottle,,,abs_R,
figures/aggregate_pi0_adjust_bottle__S.png,aggregate,pi0,adjust_bottle,,,S,
figures/aggregate_pi0_adjust_bottle__abs_I.png,aggregate,pi0,adjust_bottle,,,abs_I,
