phase_task,h,count
UNLABELED,0,8
UNLABELED,1,8
UNLABELED,2,8
UNLABELED,3,8
UNLABELED,4,8
UNLABELED,5,8
UNLABELED,6,8
UNLABELED,7,8
UNLABELED,8,8
UNLABELED,9,8
UNLABELED,10,8
UNLABELED,11,8
UNLABELED,12,8
UNLABELED,13,8
UNLABELED,14,8
UNLABELED,15,8
UNLABELED,16,7
UNLABELED,17,7
UNLABELED,18,7
UNLABELED,19,7
UNLABELED,20,7
UNLABELED,21,7
UNLABELED,22,7
UNLABELED,23,7
approach,0,3
approach,1,3
approach,2,3
approach,3,3
approach,4,3
approach,5,3
approach,6,3
approach,7,3
approach,8,3
approach,9,3
approach,10,3
approach,11,3
approach,12,3
approach,13,3
approach,14,3
approach,15,3
approach,16,3
approach,17,3
approach,18,3
approach,19,3
approach,20,3
approach,21,3
approach,22,3
approach,23,3
grasp-contact,0,3
grasp-contact,1,3
grasp-contact,2,3
grasp-contact,3,3
grasp-contact,4,3
grasp-contact,5,3
grasp-contact,6,3
grasp-contact,7,3
grasp-contact,8,3
grasp-contact,9,3
grasp-contact,10,3
grasp-contact,11,3
grasp-contact,12,3
grasp-contact,13,3
grasp-contact,14,3
grasp-contact,15,3
grasp-contact,16,3
grasp-contact,17,3
grasp-contact,18,3
grasp-contact,19,3
grasp-contact,20,3
grasp-contact,21,3
grasp-contact,22,3
grasp-contact,23,3
place-release,0,4
place-release,1,4
place-release,2,4
place-release,3,4
place-release,4,4
place-release,5,4
place-release,6,4
place-release,7,4
place-release,8,4
place-release,9,4
place-release,10,4
place-release,11,4
place-release,12,4
place-release,13,4
place-release,14,4
place-release,15,4
place-release,16,4
place-release,17,4
place-release,18,4
place-release,19,4
place-release,20,4
place-release,21,4
place-release,22,4
place-release,23,4
transport-or-rotate,0,4
transport-or-rotate,1,4
transport-or-rotate,2,4
transport-or-rotate,3,4
transport-or-rotate,4,4
transport-or-rotate,5,4
transport-or-rotate,6,4
transport-or-rotate,7,4
transport-or-rotate,8,4
transport-or-rotate,9,4
transport-or-rotate,10,4
transport-or-rotate,11,4
transport-or-rotate,12,4
transport-or-rotate,13,4
transport-or-rotate,14,4
transport-or-rotate,15,4
transport-or-rotate,16,4
transport-or-rotate,17,4
transport-or-rotate,18,4
transport-or-rotate,19,4
transport-or-rotate,20,4
transport-or-rotate,21,4
transport-or-rotate,22,4
transport-or-rotate,23,4
verify,0,2
verify,1,2
verify,2,2
verify,3,2
verify,4,2
verify,5,1
verify,6,1
verify,7,1
verify,8,1
verify,9,1
verify,10,1
verify,11,1
verify,12,1
verify,13,1
verify,14,1
verify,15,1
verify,16,1
verify,17,1
verify,18,1
verify,19,1
verify,20,1
verify,21,1
verify,22,1
verify,23,1
