policy,task,metric,scope,L_left,L_right,episodes_paired,rho_spearman,aggregation_unit
fastwam,adjust_bottle,S,all,3,5,16,0.961764705882353,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,S,success,3,5,16,0.961764705882353,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,S,failure,3,5,0,,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_I,all,3,5,16,0.7352941176470589,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_I,success,3,5,16,0.7352941176470589,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_I,failure,3,5,0,,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_R,all,3,5,16,0.9147058823529413,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_R,success,3,5,16,0.9147058823529413,episode_equal_mean_of_query_metrics
fastwam,adjust_bottle,abs_R,failure,3,5,0,,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,S,all,3,5,16,0.9705882352941176,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,S,success,3,5,11,0.9636363636363637,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,S,failure,3,5,5,0.9999999999999999,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_I,all,3,5,16,0.9323529411764706,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_I,success,3,5,11,0.8727272727272729,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_I,failure,3,5,5,0.9999999999999999,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_R,all,3,5,16,0.9441176470588234,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_R,success,3,5,11,0.8727272727272729,episode_equal_mean_of_query_metrics
fastwam,move_stapler_pad,abs_R,failure,3,5,5,0.9999999999999999,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,S,all,3,5,16,0.9235294117647058,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,S,success,3,5,12,0.9090909090909092,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,S,failure,3,5,4,0.7999999999999999,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_I,all,3,5,16,0.9029411764705882,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_I,success,3,5,12,0.8811188811188813,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_I,failure,3,5,4,0.19999999999999998,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_R,all,3,5,16,0.7676470588235293,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_R,success,3,5,12,0.6013986013986015,episode_equal_mean_of_query_metrics
fastwam,pick_diverse_bottles,abs_R,failure,3,5,4,1.0,episode_equal_mean_of_query_metrics
fastwam,turn_switch,S,all,3,5,16,0.9852941176470588,episode_equal_mean_of_query_metrics
fastwam,turn_switch,S,success,3,5,10,0.9878787878787878,episode_equal_mean_of_query_metrics
fastwam,turn_switch,S,failure,3,5,6,0.942857142857143,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_I,all,3,5,16,0.9470588235294116,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_I,success,3,5,10,0.9030303030303028,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_I,failure,3,5,6,0.942857142857143,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_R,all,3,5,16,0.961764705882353,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_R,success,3,5,10,0.9515151515151514,episode_equal_mean_of_query_metrics
fastwam,turn_switch,abs_R,failure,3,5,6,0.7714285714285715,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,all,2,3,64,0.8298992673992674,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,success,2,3,42,0.7543148853415446,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,failure,2,3,22,0.7820440429136083,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,all,3,4,64,0.42413003663003657,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,success,3,4,42,0.1752694271128758,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,S,failure,3,4,22,0.6103896103896105,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,all,2,3,64,0.5157967032967032,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,success,2,3,42,0.6740944818086055,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,failure,2,3,22,0.22868435911914178,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,all,3,4,64,0.3111263736263736,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,success,3,4,42,0.19439267482375822,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_I,failure,3,4,22,0.4760022586109543,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,all,2,3,64,0.5576007326007325,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,success,2,3,42,0.5870674985819626,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,failure,2,3,22,0.4443817052512706,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,all,3,4,64,0.4066849816849817,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,success,3,4,42,0.048699457094238716,episode_equal_mean_of_query_metrics
pi0,adjust_bottle,abs_R,failure,3,4,22,0.7583286278938454,episode_equal_mean_of_query_metrics
